"subject","course_code","course_name","credits","description"
"Accounting","ACCT 201A","Financial Accounting","3","ACCT 201A - Financial Accounting (3)Accounting concepts and techniques essential to the administration of a business enterprise: analyzing and recording financial transactions; accounting valuation and allocation practices; preparation, analysis and interpretation of financial statements; international accounting issues.Undergraduate Course not available for Graduate CreditOne or more sections may be offered in any online format.Typically Offered: Fall/Spring/Summer"
"Accounting","ACCT 201B","Managerial Accounting","3","ACCT 201B - Managerial Accounting (3)Introduction to managerial accounting; product costing; budgetary control and responsibility accounting; analysis and techniques for aiding management planning and control decisions; basic income tax concepts for planning business transactions.Prerequisite:ACCT 201Awith a “C” (2.0) or better.Undergraduate Course not available for Graduate CreditOne or more sections may be offered in any online format.Typically Offered: Fall/Spring/Summer"
"Accounting","ACCT 301A","Intermediate Accounting","3","ACCT 301A - Intermediate Accounting (3)Accounting theory; preparation of income statements, balance sheets, and statements of cash flows and comprehensive income; IFRS (International Financial Reporting Standards); present value concepts; assets, revenue recognition and investments.Prerequisites:ACCT 201B; completion of all lower-division Business Administration core courses all with a “C” (2.0) or better. Corequisite:BUAD 301.Undergraduate Course not available for Graduate CreditOne or more sections may be offered in any online format.Typically Offered: Fall/Spring/Summer"
"Accounting","ACCT 301B","Intermediate Accounting","3","ACCT 301B - Intermediate Accounting (3)Accounting theory; IFRS (International Financial Reporting Standards); present value concepts; liabilities and stockholders’ equity; pensions; leases; earnings per share; financial statement analysis; accounting changes and error analysis; accounting for income taxes and statement of cash flows.Prerequisites: CBE undergraduate standing (not CBE premajor) -ACCT 301A,BUAD 301with a “C” (2.0) or better; or CBE graduate standing (not M.A. Economics).Undergraduate Course not available for Graduate CreditOne or more sections may be offered in any online format.Typically Offered: Fall/Spring/Summer"
"Accounting","ACCT 302","Cost Accounting","3","ACCT 302 - Cost Accounting (3)Accounting information for management of manufacturing and service enterprises; cost records; cost behavior and allocation; product costing and inventory valuation; flexible budgeting; standard costs; responsibility accounting; cost planning and control; and operating decision analysis.Prerequisites:ACCT 201B; completion of all lower-division Business Administration core courses with a “C” (2.0) or better. Corequisite:BUAD 301.Undergraduate Course not available for Graduate CreditOne or more sections may be offered in any online format.Typically Offered: Fall/Spring/Summer"
"Accounting","ACCT 307","Accounting Information Systems","3","ACCT 307 - Accounting Information Systems (3)Organization and implementation of information technology for the collection, organization and presentation of accounting information with an emphasis on enterprise resource planning systems.Prerequisites: CBE undergraduate standing (not CBE premajor) - completion of all lower-division Business Administration core courses with a “C” (2.0) or better. Corequisite:BUAD 301; or CBE graduate standing (not M.A. Economics).Undergraduate Course not available for Graduate CreditOne or more sections may be offered in any online format.Typically Offered: Fall/Spring/Summer"
"Accounting","ACCT 308","Concepts of Federal Income Tax Accounting","3","ACCT 308 - Concepts of Federal Income Tax Accounting (3)Federal tax system, federal income taxation relating to federal tax system, federal income taxation relating to individuals, corporations, partnerships and fiduciaries. Federal estate and gift taxes.Prerequisites:ACCT 201B; completion of all lower-division Business Administration core courses all with a “C” (2.0) or better. Corequisite:BUAD 301.Undergraduate Course not available for Graduate CreditOne or more sections may be offered in any online format.Typically Offered: Fall/Spring/Summer"
"Accounting","ACCT 401","Advanced Accounting","3","ACCT 401 - Advanced Accounting (3)Business combinations; meaning, usefulness and methodology of consolidated financial statements; investments and additional advanced topics; consolidated financial statements for overseas units of U.S.-based multinational companies; translations of foreign currencies, derivatives.Prerequisites:ACCT 301Bwith a “C” (2.0) or better;BUAD 301; or CBE graduate standing (not pre-MBA).400-level Undergraduate Course available for Graduate CreditOne or more sections may be offered in any online format.Typically Offered: Fall/Spring/Summer"
"Accounting","ACCT 402","Auditing","3","ACCT 402 - Auditing (3)Auditing standards and procedures used by financial and operational auditors. Management information and computer systems, internal control, audit evidence, professional responsibilities and legal liabilities, standards of reporting financial information.Prerequisites:ACCT 301B,ACCT 307all with “C” (2.0) or better;BUAD 301; or CBE graduate standing (not pre-MBA).400-level Undergraduate Course available for Graduate CreditOne or more sections may be offered in any online format.Typically Offered: Fall/Spring/Summer"
"Accounting","ACCT 403","Accounting for Governmental and Nonprofit Entities","3","ACCT 403 - Accounting for Governmental and Nonprofit Entities (3)Fund accounting as applied to governmental and nonprofit entities; state and federal governments, municipalities, hospitals and universities. Budgets, tax levies, revenues and appropriations, expenditures and encumbrances, various types of funds and accounting statements.Prerequisites:ACCT 301Bwith a “C” (2.0) or better;BUAD 301.400-level Undergraduate Course available for Graduate CreditTypically Offered: Fall/Spring"
