"subject","course_code","course_name","credits","description"
"Accountancy","ACCTG 201","Financial Accounting Fundamentals","3","Theory and practice of accounting applicable to recording, summarizing, and reporting of business transactions for external reporting and other external uses. Asset valuation; revenue and expense recognition; various asset, liability, and capital accounts."
"Accountancy","ACCTG 202","Managerial Accounting Fundamentals","3","Selection and analysis of accounting information for internal use by managers. Using financial information for planning and control purposes."
"Accountancy","ACCTG 296","Experimental Topics","1-4","Selected topics."
"Accountancy","ACCTG 325","Intermediate Managerial and Tax Accounting","3","Theories, practices, and concepts to provide planning and control information to decision makers; tax considerations that impact managerial planning and decision making."
"Accountancy","ACCTG 326","Intermediate Financial Accounting","3","Theories, practices, and concepts needed to satisfy the decision making requirements of external users; financial reporting for enterprises engaged in international trade of business. May not be taken for credit by accounting majors."
"Accountancy","ACCTG 331","Intermediate Accounting I","3","Concepts and methods underlying financial statements (including IFRS introduction)."
"Accountancy","ACCTG 332","Federal Income Taxation","3","Concepts and methods underlying taxation of individuals and business entities."
"Accountancy","ACCTG 333","Accounting Information Systems","3","Accounting information systems for internal and external decision making."
"Accountancy","ACCTG 334","Intermediate Accounting II","3","Financial reporting issues; preparation and use of financial statement information."
"Accountancy","ACCTG 390W","Reporting Techniques for Accountants","3","Advanced preparation of written and oral reports with application to professional needs of accountants."
"Accountancy","ACCTG 409","Field Study in Taxation","1","Income tax preparation in the field. Follows procedures of IRSVITA Program. IRS instruction followed by faculty supervised fieldwork. Student must be available for special IRS tax school."
"Accountancy","ACCTG 431","Auditing","3","Audit of financial statements in accordance with generally accepted auditing standards; ethics in auditing."
"Accountancy","ACCTG 432","Cost Management","4","Use of accounting information and data analytics to facilitate business decisions; cost management and ethics in managerial accounting."
"Accountancy","ACCTG 496","Selected Topics in Accountancy","1-4","Selected areas of concern in accountancy."
"Accountancy","ACCTG 498","Investigation and Report","1-3","A comprehensive and original study of a problem connected with accounting under the direction of one or more members of the accounting staff."
"Accountancy","ACCTG 499","Special Study","1-3","Individual study."
"Accountancy","ACCTG 501","Advanced Financial Accounting","3","Advanced financial accounting topics. Partnerships, consolidations, foreign currency transactions and financial statements, accounting for derivatives and hedging, accounting for bankruptcy and reorganizations."
"Accountancy","ACCTG 503","Federal Taxation of Individuals","3","Taxation of individuals, including income, deductions, credits, social security taxes, and property transactions."
"Accountancy","ACCTG 505","Fraud Examination","3","Skills and tools for auditors, consultants, tax professionals, managers. Techniques and technologies for fraud investigation and interviewing. Case analysis, research of public records, ethical decision making for accountants. Service learning project."
"Accountancy","ACCTG 508","Accounting for Not-For-Profit Organizations","3","Principles of modified accrual accounting in state and local governmental units, hospitals, colleges, and universities. Budgetary accounting, appropriations, encumbrances, internal controls, and auditing procedures."
"Accountancy","ACCTG 522","International Financial Reporting","3","Accounting convergence, IASB-FASB joint projects. US and international financial reporting issues and standards."
"Accountancy","ACCTG 530","Ethics in Accounting","3","Ethical reasoning and implications for accounting professionals; ethical decision process and professional judgment; professional codes of conduct from the AICPA, IMA, IIA, etc.; the professional accountant’s role in corporate governance and ethical management; audit responsibilities and fraud, including legal and regulatory obligations; current ethical issues facing the accounting profession."
"Accountancy","ACCTG 596","Contemporary Topics in Accounting","1-3","Contemporary topics in modern accounting."
"Accountancy","ACCTG 620","Financial Measurement and Reporting","3","Measurement concepts and mechanics to translate global business transactions into principal financial statements using U.S. and international accounting standards. Revenue recognition, operating assets, investments, debt and equity financing, compensation, EPS, and cash flows."
"Accountancy","ACCTG 621","Accounting Information Systems","3","Application of accounting information systems to attain organizational objectives, improve planning and control at all levels of the organization. Systems analysis, design methodologies, tools, control frameworks and use of technologies in information systems."
"Accountancy","ACCTG 624","Business Entity Taxation","3","Concepts and methods underlying federal income taxation of business entities."
"Accountancy","ACCTG 625","Managerial Analysis and Financial Reporting","3","Measurement concepts and mechanics to translate global business transactions into management and financial reporting information. Cost control and budgeting, inventory, operational assets, leases, deferred taxes, and strategic analysis."
"Accountancy","ACCTG 626","Auditing and Assurance Services","3","Duties, responsibilities, and ethics of the auditor; auditor’s reports and procedures for evaluation of financial statements. Compilation and review standards for assurance services provided to non-public companies."
"Accountancy","ACCTG 650","Accounting Research and Communication","3","Identification, organization, and integration of diverse sources of authoritative literature to reach a conclusion and communicate an accounting or tax decision."
"Accountancy","ACCTG 651","Seminar in Corporate Tax","3","Corporate tax problems involving distributions, liquidations, reorganizations, redemptions, personal holding companies, accumulated earnings tax, and thin capitalization."
"Accountancy","ACCTG 654","Seminar in Partnership Taxation","3","Partnership and S corporation tax laws related to formation, operations, distributions, and liquidations. Flow-through entities in small and medium sized business environments."
"Accountancy","ACCTG 655","Tax Planning for Individuals","3","Selected complex tax laws related to individuals and sole proprietorship businesses, sales and exchanges of property, tax deferred transactions in property, accounting periods and methods, and personal deductions."
"Accountancy","ACCTG 656","Multijurisdictional Tax","3","Tax law in a multistate and international context. Multijurisdictional concepts for tax planning."
"Accountancy","ACCTG 657","Accounting for Income Taxes","3","Financial accounting for income taxes under generally accepted accounting principles. Accounting methods for Federal income tax and accounting purposes."
"Accountancy","ACCTG 659","Seminar in Taxation Topics","1-3","Contemporary theories and practices in taxation."
"Accountancy","ACCTG 661","Seminar in International Accounting","3","Current financial reporting practices of business entities engaged in international activities; theories and concepts that underlie development of accounting standards to include cultural and professional dimensions, accounting clusters."
"Accountancy","ACCTG 663","Financial Statement Analysis","3","Illustrative cases and problems to analyze methods for communicating information about financing and operating activities of corporate firms, and techniques for evaluating the information."
"Accountancy","ACCTG 670","Seminar in Assurance Services","3","Selected conceptual issues in assurance services."
"Accountancy","ACCTG 673","Accounting Information Systems (AIS) Development","3","AIS theories, databases, and internal controls in designing, maintaining, and enhancing business processes and systems. Hands-on experience to develop skills with EXCEL, ACCESS, and/or other integrated systems."
"Accountancy","ACCTG 675","Seminar in Accounting Information Systems Audit and Control","3","Risk assessment and management in accounting systems, including impact on clients’ business and audit functions, external and internal auditor issues, internal controls in computerized environments, issues related to Sarbanes-Oxley Act, and application of computer-assisted audit techniques (CAATs) using current audit software."
"Accountancy","ACCTG 677","Data Analytics for Accounting","3","Covers data analytics as it pertains to accounting professionals. Data has proliferated in business and managers and accountants need to understand the implications for decision-making and tap into the data to provide better insights into a firm/client/customer/supplier, etc. This course is intended to provide students with an understanding of data analytic thinking and terminology as well as hands-on experience with data analytics tools and techniques. Three major areas that comprise analytics are data reporting, data visualization, and predictive analytics. Students should leave this course with the skills necessary to translate accounting and business problems into actionable proposals that they can competently present to managers and data scientists."
"Accountancy","ACCTG 680","Seminar in Managerial Accounting","3","Managerial cost accounting concepts and procedures, including budgetary planning, cost control, advisory functions, measurement of divisional profitability, product pricing, and investment decisions."
"Accountancy","ACCTG 696","Seminar in Selected Topics","3","Intensive study in specific areas of accountancy."
"Accountancy","ACCTG 705","Forensic Accounting","3","Application of forensic accounting techniques using data analytics to discover fraud anomalies."
"Accountancy","ACCTG 729","Seminar in Current Issues in Accounting and Auditing","1-3","Contemporary theories and practices in relation to changing accounting environment."
"Accountancy","ACCTG 790","Analytics in Accounting","3","Problem diagnosis, information analysis and evaluation, and decision making for contemporary issues in accounting information systems, auditing, financial reporting, management accounting, and taxation. Preparation for comprehensive examination for students in the M.S. degree in Accountancy under Plan B."
"Accountancy","ACCTG 797","Research","3","Research in the area of accountancy."
"Accountancy","ACCTG 798","Special Study","1-3","Individual study."
"Administration, Rehabilitation and Postsecondary Education","ARP 296","Experimental Topics","1-4","Selected topics."
"Administration, Rehabilitation and Postsecondary Education","ARP 380","Principles of Adult and Vocational Education","3","Principles, practices, scope, and functions of adult and vocational education."
"Administration, Rehabilitation and Postsecondary Education","ARP 382","Directed Teaching","2-4","Systematic observation, participation, and teaching under supervision in an occupational subject matter area."
"Administration, Rehabilitation and Postsecondary Education","ARP 397","Problems in Education","1-4","Class study of specially selected problems in education."
"Administration, Rehabilitation and Postsecondary Education","ARP 496","Experimental Topics","1-4","Selected topics."
"Administration, Rehabilitation and Postsecondary Education","ARP 510","Inclusive Learning of Mind Skills: Executive Functioning, Social Cognitions and Communication Skills","3","Teaches and enhances habits of mind including executive functioning, social cognitive and communication skills that will enhance an individuals intellectual and professional life and the ability to teach these skills to others. This includes the interconnectedness of these cognitions."
"Administration, Rehabilitation and Postsecondary Education","ARP 596","Topics in Administration, Rehabilitation and Postsecondary Education","1-3","Selected topics in Administration, Rehabilitation and Postsecondary Education."
"Administration, Rehabilitation and Postsecondary Education","ARP 601","Psychiatric Rehabilitation and Co-occurring Disorders-Law and Ethics","3","Evidence-based practices for individuals with psychiatric disabilities and co-occurring disorders within the context of law and ethics."
"Administration, Rehabilitation and Postsecondary Education","ARP 607","Applications of Rehabilitation Technology","3","Provide rehabilitation professionals with knowledge and skills to assess assistive technology needs of individuals with disabilities and match those needs with appropriate adaptations, equipment, and/or resources to expand employment and related quality of life opportunities."
"Administration, Rehabilitation and Postsecondary Education","ARP 608","Assessment for Psychiatric Rehabilitation and Co-occurring Disorders","3","Assessment of individuals with psychiatric disabilities and co-occurring disorders within the context of the recovery model."
"Administration, Rehabilitation and Postsecondary Education","ARP 609","Seminar in Rehabilitation: Policy Developments in Cognitive Disabilities","3","Working with persons with intellectual disabilities, autism spectrum disorders, brain injuries, and learning disabilities. Impact of these factors and how to work effectively as clinicians, administrators, and policy makers."
"Administration, Rehabilitation and Postsecondary Education","ARP 610","Educational Leadership","3","Concepts and techniques of leadership, analysis of the factors and practice of individual and group leadership as applied to educational and related environments."
"Administration, Rehabilitation and Postsecondary Education","ARP 611","Program Development and Evaluation in Postsecondary Education","3","Process of program development, change, improvement and evaluation for postsecondary education. Covers instructional programs, curriculum development, and student services programming. Includes designing instructional strategies to meet student learning needs."
"Administration, Rehabilitation and Postsecondary Education","ARP 612","Skills, Resources, and Programs in Cognitive Disabilities","3-12","Cognitive disabilities through community-based and classroom experiences with individuals with cognitive disabilities, families of persons with cognitive disabilities, and professionals that support the cognitively disabled. Acquired brain injury, autism spectrum disorders, intellectual and learning disability."
"Administration, Rehabilitation and Postsecondary Education","ARP 615","Seminar in Multicultural Dimensions in Rehabilitation Counseling","3","Issues, insights, and techniques for improving effectiveness in working with culturally diverse individuals with disabilities and their families. Focuses on insuring culturally appropriate and relevant rehabilitation services including full community integration."
