"department","course_code","course_name","course_hours","course_description"
"Accounting (ACCT)","ACCT 5121","Financial Accounting and Reporting.","(3 Credits)","The class introduces the financial reporting of public firms in the United States. It covers the basic economic concepts of assets, liabilities, stockholder’s equity, revenues, and expenses used to organize information into a standard set of financial statements. The focus is on accounting conventions, managerial judgments, and the resulting reporting prepared for external users such as stockholders and creditors. The class also explores the institutional context in which financial reports are produced."
"Accounting (ACCT)","ACCT 5122","Financial Reporting I.","(3 Credits)","An intensive study of financial accounting theory and practical applications as related to the preparation and analysis of financial statements, particularly focusing on assets, liabilities, owner's equity and income determination."
"Accounting (ACCT)","ACCT 5123","Cost Analysis and Control.","(3 Credits)","Managerial uses of accounting information for decision-making within the business enterprise. Decisions considered include product pricing, transfer pricing, make or buy, and capital budgeting. Formation of budgets establishing an internal control structure, performance evaluation, and cost control techniques are also discussed."
"Accounting (ACCT)","ACCT 5124","Financial Reporting II.","(3 Credits)","Continuation of an intensive study of financial accounting theory and practical applications as it relates to the preparation and analysis of financial statements, particularly focusing on pensions, bonds, leases, and intangibles. Also covered are accounting for consolidations, intercompany transfers, and multinational accounting."
"Accounting (ACCT)","ACCT 5243","Assurance Services.","(3 Credits)","An in-depth study of issues relevant to the public accounting profession, including legal liability and ethics, audit risk analysis, planning of audit engagements, auditor reports, and other assurance services and reports. Students will learn to think critically about issues facing the accounting profession primarily by analyzing cases and completing a number of individual and group research projects."
"Accounting (ACCT)","ACCT 5260","Federal Income Taxation.","(3 Credits)","A study of the fundamentals of Federal income taxation for individuals and related issues of compliance, reporting, and planning. Focuses on income and deduction recognition, character, and timing and includes the tax treatment of property, investments, compensation, retirement, and estates."
"Accounting (ACCT)","ACCT 5327","Financial Statement Analysis and Business Valuation.","(3 Credits)","Addresses the use of financial statements to analyze and value firms. Topics include advanced issues in accounting, earnings quality, performance measurement, cash flows, and accounting-based valuation and trading strategies."
"Accounting (ACCT)","ACCT 5505","Ethics and the Accounting Professional Environment.","(3 Credits)","The groundwork for fundamental issues that are included in the curriculum in the M.S. in Accounting Program relating to content and skills associated with professional success will be set."
"Accounting (ACCT)","ACCT 5530","Business Sustainability Reporting and Analysis.","(3 Credits)","This course provides a critical analysis of current practices in business sustainability reporting  and analysis. Topics covered include reporting practices, reporting frameworks, reporting  standards, current and proposed regulatory requirements, rating agencies, investment  products, and assurance of the reliability of the information. The course also analyzes guidance  for synthesizing information from corporate sustainability disclosures into traditional financial  and valuation analyses."
"Accounting (ACCT)","ACCT 5532","Contemporary Issues in Financial Reporting and Analysis.","(3 Credits)","Focuses on major financial reporting issues in consideration of the current data-centric technological and analytical environment. Broad topics are derived from FASB's conceptual framework, including income determination and asset valuation. Specific topics covered include risk management, earnings management, firm valuation, investing, and corporate governance issues. Introduces tools that link non-financial metrics with financial reports, providing actionable insights for external decision makers."
"Accounting (ACCT)","ACCT 5533","Contemporary Managerial Accounting Issues.","(3 Credits)","Study of major managerial accounting issues including analysis and evaluation of cost management systems. Overall focus is on the use of internally generated accounting data to support business strategy and maintain competitive advantages. Current research in the constantly evolving area of managerial accounting is emphasized."
"Accounting (ACCT)","ACCT 5535","Global Financial Reporting and Analysis.","(3 Credits)","Students will develop and test expectations about the content of financial reports based on an understanding of how national culture and subcultures affect financial reporting in a principles-based decision environment."
"Accounting (ACCT)","ACCT 5543","Advanced Assurance Services.","(3 Credits)","Advanced treatment of significant assurance services issues. Intended for students with previous coursework in assurance services and/or auditing. The course demonstrates more detailed level of audit techniques: audit planning, risk analysis, assessing internal control, executing audit procedures to substantiate validity of key financial accounts, and a presenting the audit findings in a final audit report."
"Accounting (ACCT)","ACCT 5545","Business Law, Business Ethics, and Public Accounting.","(3 Credits)","Covers the major legal and ethical issues in business and their significance for the accounting profession and related stakeholders. Included among the topics are the tension between profit and the public interest, corporate responsibility to society, environmental concerns, consumer and employee relations, confidentiality, whistle blowing, advertising and hiring practices."
"Accounting (ACCT)","ACCT 5546","Forensic Accounting and Fraud Examination.","(3 Credits)","Develops a foundation upon which forensic accounting engagements are performed. Highlighting the many contexts within which forensic accounting can be performed, students learn the roles forensic accountants play within a wide range of engagements. Students will build their forensic accounting mindset and skill set through the readings and interactions with the professor, while working on a forensic accounting engagement from inception through successful resolution."
"Accounting (ACCT)","ACCT 5549","Accounting and Disclosure for Not for Profit Entities.","(3 Credits)","Accounting for not-for-profit organizations (NFPs), including educational institutions, hospitals and other health care entities, and civic and cultural organizations, is substantially different than for-profit entities. Examines topics relating to preparing and using financial statements for NFPs, including accounting, audit, and disclosure requirements and selected issues relating to government grants awarded to NFPs."
"Accounting (ACCT)","ACCT 5554","Data Analytics: Skills for Accountants.","(3 Credits)","Introduction to the skills and technologies used to analyze data with an emphasis on preparing accountants to interact with data scientists and others. The role of data analysis in the accounting profession will be explored."
"Accounting (ACCT)","ACCT 5555","Data Analytics: Accounting Applications.","(3 Credits)","Covers practical issues such as dealing with errors in data and preparing accounting data for analysis. Additional techniques for dealing with data anomalies are explored. This technical, hands-on course prepares students for entry level accounting data analysis."
"Accounting (ACCT)","ACCT 5557","Advanced Accounting Information Systems.","(3 Credits)","An overview of Accounting Information Systems with emphasis on business process analysis, data modeling, business analytics, and internal controls. Highlights emerging trends in data analytics and its growing impact in accounting. Students work directly with various software tools to learn relational database design, data retrieval, and analysis. Introduces principles of Big Data, data visualization and software for fraud detection and internal controls."
"Accounting (ACCT)","ACCT 5559","Accounting and Auditing for Governmental Entities.","(3 Credits)","Provides students with an understanding of how the characteristics and unique objectives of government entities are manifested in the accounting standards, audit risk and disclosure requirements. Topics addressed include the purpose of the various governmental financial statements, basis of accounting, measurement, audit focus, risk, fund types, and financial statement disclosures."
"Accounting (ACCT)","ACCT 5563","Enterprise Risk Management: Identify Events as Risks to Manage or Opportunities to Seize.","(3 Credits)","Provides students with the ability within the COSO framework to identify events that may impact a nonfinancial publicly traded enterprise's ability to realize value for its stakeholders using the concept of the triple bottom line of profit, people, and planet. Events will be evaluated as risks that have negative impacts and opportunities as well as potential positive impacts. ERM techniques applied in the course will include: risk control, business continuity, reputation risk, supply-chain management, compensation system alignment, and strategic decisions."
"Accounting (ACCT)","ACCT 5570","Taxation of Business Entities - Flow Through Entities.","(3 Credits)","Application of basic tax concepts to business entities, with particular emphasis on flow through entities. At the end of the course, students should be able to identify and address the tax issues faced when forming, operating, and liquidating a flow through entity."
"Accounting (ACCT)","ACCT 5571","Taxation of Business Entities: C Corporations.","(3 Credits)","Application of basic tax concepts to business entities, with particular emphasis on C corporations. At the end of the course, students should be able to identify and address the tax issues faced when forming, operating, and liquidating a C corporation."
"Accounting (ACCT)","ACCT 5575","Taxes and Business Strategy.","(3 Credits)","Provides a foundation for understanding how taxes affect economic behavior. Students work through a conceptual framework that describes how tax rules affect business decisions. At the end of this course, students should be able to apply this conceptual framework to a number of settings including compensation, organizational form, investment strategies, and multinational tax issues."
"Accounting (ACCT)","ACCT 5582","Research for Accounting Professionals.","(3 Credits)","This course provides students with the information literacy skills required of an accounting professional to identify information needs, specify and implement research strategies, evaluate resources in order to fulfill those needs, and communicate findings."
"Accounting (ACCT)","ACCT 5583","Financial Reporting of Income Taxes.","(3 Credits)","Focuses on the financial reporting provisions related to federal, foreign, and state income taxes. Students will learn how to calculate income tax amounts reported on the income statement and balance sheet and prepare the income tax footnote and related disclosures."
"Accounting (ACCT)","ACCT 5584","Advanced Accounting.","(3 Credits)","An in-depth study of accounting for business combinations. Coverage also includes contemporary issues in financial accounting, such as multinational entities and partnerships."
"Accounting (ACCT)","ACCT 5894","Special Topics in Accounting.","(1-3 Credits)","Investigation and discussion of special topics in accounting."
"Accounting (ACCT)","ACCT 5895","Independent Study in Accounting.","(1-6 Credits)","Faculty-student interaction on a one-to-one basis involving independent study of specific areas of accounting. Emphasis, selected by the student, may be on theoretical or applied aspects. A written report is required."
"Accounting (ACCT)","ACCT 6200","Investigation of Special Topics.","(1-3 Credits)",""
"Accounting (ACCT)","ACCT 6201","Introduction to Accounting Research.","(3 Credits)","This seminar introduces students to three major elements of accounting research: research validity, with an emphasis on examples in accounting research; paradigms used in accounting research; and basic research design issues and how those issues are illustrated in the accounting literature. Finally, students will be exposed to data sources and analysis with commonly used statistical software."
"Accounting (ACCT)","ACCT 6203","Accounting and Capital Markets.","(3 Credits)","Provides a broad survey of capital markets research in accounting and related fields. Students are introduced to major theoretical and methodological issues in this line of research. The seminar focuses on theoretical and intuitive constructs that frame accounting research questions and the methods that are used to address those research questions."
"Accounting (ACCT)","ACCT 6205","Archival Audit Research.","(3 Credits)","Provides a broad overview of archival, empirical research in auditing and audit markets. Students are introduced to the major theoretical and methodological issues in this section of research. Topics covered include: audit quality, the supply of/market for auditing, the demand for/value of auditing, internal control, audit committees, audit regulation, and audit opinions."
"Accounting (ACCT)","ACCT 6206","Research in Taxation.","(3 Credits)","This seminar provides a broad survey of research in taxation. Students are introduced to the major theoretical and methodological issues in this line of research. The seminar focuses on theoretical and intuitive constructs that frame tax research questions and the methods and data that are used to address those research questions."
"Accounting (ACCT)","ACCT 6211","Seminar in Special Research Topics.","(1-3 Credits)","Students are exposed to a broad range of accounting research through reading and critiquing research papers presented at the Accounting Department Research Workshop (papers are presented by local scholars as well as scholars from other institutions). The seminar also focuses on how to present effective written and oral criticisms of research papers."
"Administration (Social Work) (ADMN)","ADMN 5354","Field Education in Administration IV.","(4 Credits)","Focuses primarily on the student's major method, emphasizing preparation for competent, advanced specialized practice. Required course for students in the Administration concentration."
"Advanced Manufacturing for Energy Systems (AMES)","AMES 5101","Engineering Analysis.","(3 Credits)","Advanced math topics including Laplace, Fourier and z-Transform methods, probability theory, ordinary differential equations and systems of ODEs, partial differential equations, vector calculus, elements of statistics, linear and non-linear optimization, matrix theory, and special functions like Bessel, Legendre, and gamma. This course is set up as modules. Students will be required to complete certain modules depending on their background and concentrations."
"Advanced Manufacturing for Energy Systems (AMES)","AMES 5111","Computer Aided Engineering.","(3 Credits)","Introduction to computational methods in design and analysis of materials, processes, and systems related to advanced manufacturing and energy systems. Topics covered include computational materials, process simulation, computational fluid dynamics, finite element analysis, and manufacturing process simulation."
"Advanced Manufacturing for Energy Systems (AMES)","AMES 5121","Engineering Communication.","(3 Credits)","Development of the advanced communication skills as well as the information management required of engineers and engineering managers in industry, government and business. Focus on the design and writing of technical reports, articles, proposals, and the memoranda that address the needs of diverse organizational and professional audiences; the preparation and delivery of organizational and technical oral and multimedia presentations and briefings; team building skills with an emphasis on communications; and knowledge management."
"Advanced Manufacturing for Energy Systems (AMES)","AMES 5420","Introduction to Smart and Green Manufacturing.","(3 Credits)","Introduction to foundational concepts and methods of smart manufacturing and green manufacturing. Discusses the impacts of smart technologies and initiatives such as Industry 4.0 in Europe, National Network of Manufacturing Innovation Institutes established in the U.S., and Made-in-China 2025 on manufacturing. Includes the architecture of smart manufacturing, sensing technology, internet-of-things, cloud manufacturing/manufacturing as a service, basic data analytics for diagnosis and prognosis in manufacturing. Covers fundamental issues in green manufacturing, such as the metrics, principles, and societal/business/policy impacts, as well as fundamental methods such as lifecycle assessment and sustainability assessment of manufacturing."
"Advanced Manufacturing for Energy Systems (AMES)","AMES 5895","Special Topics in Advanced Manufacturing for Energy Systems.","(1-4 Credits)","Classroom and/or laboratory courses in special topics as announced in advance for each semester. The field of study or investigation is to be approved by the Program Director before announcement of the course."
"African Studies (AFRI)","AFRI 5105","Special Topics in African Studies.","(1-9 Credits)",""
"Africana Studies (AFRA)","AFRA 6470","Racial Justice and Decoloniality in Higher Education Teaching.","(3 Credits)","(Also offered as EDLR 6470.) Theory and practice of how teaching within a higher education context can work toward racially equitable learning experiences and decoloniality of the classroom."
"Agricultural and Resource Economics (ARE)","ARE 5201","Microeconomics.","(3 Credits)","Beginning graduate microeconomics covering consumer and producer theory, price determination, economic efficiency, and welfare analysis."
"Agricultural and Resource Economics (ARE)","ARE 5203","Economics Methodology: Praxis and Practice.","(3 Credits)","Philosophical foundations of economics as a science and economic research. Developing skills for planning, performing, reporting, and evaluating economic research. Critical thinking about the research process, reading about and discussing research methodology, analyzing the logic and reasoning of other economists’ research articles, and developing a research project."
"Agricultural and Resource Economics (ARE)","ARE 5205","Market Planning and Survey Research in the Food Industry.","(3 Credits)","Overview of market planning in the food industry, with emphasis on survey design and implementation. Graduate students will lead teams of undergraduates as they work with clients to develop tailored market plans."
"Agricultural and Resource Economics (ARE)","ARE 5210","Data Science for Decision Making in Applied and Resource Economics.","(3 Credits)","This course introduces data science and its transformative role in decision-making across business and policy applications in applied and resource economics. Students will learn to analyze and interpret data using R, with hands-on practice in visualization, A/B testing, regression analysis, and machine learning. Designed for beginners, it emphasizes intuitive approaches and practical applications, preparing students to apply data science in real-world contexts."
"Agricultural and Resource Economics (ARE)","ARE 5215","Sustainable Business Planning.","(3 Credits)","The practice of creating a sustainable business plan as a critical step for entrepreneurial success. In this course you will learn principles of marketing, financial and human resource management as well as budgeting techniques and the legal and organizational structure of businesses while creating a sustainable business plan."
"Agricultural and Resource Economics (ARE)","ARE 5305","Sustainable Economic Development.","(3 Credits)","The role of sustainable economic development of less developed economies.  Microeconomic dimensions of agricultural development, food security, agricultural production and supply, foreign assistance, and government programming."
"Agricultural and Resource Economics (ARE)","ARE 5311","Applied Econometrics I.","(3 Credits)","This course deals with the estimation and inference of statistical parameters that describe the data generating process of a society, the process that cannot be reproduced like in a pure science experimentation. In other words, the data are generated from economic systems of equations that are stochastic, dynamic, and simultaneous. An attempt is made to obtain the best, unbiased, and consistent estimates of the statistical parameters that describe the inherent economic phenomena."
"Agricultural and Resource Economics (ARE)","ARE 5353","Data Ethics and Equity in the Era of Misinformation.","(2 Credits)","This course will introduce students to issues of ethics and equity in the contemporary practice of data science. The ability to collect, store, process, and analyze ever greater amounts of data offers great opportunities, as well as potential perils. This course will provide examine the ethical implications of data collection, usage, and distribution. Topics will include systematic approaches to assessing ethical issues; privacy and confidentiality; defining research and the responsibilities associated with conducting ethical research; implicit and structural biases in data collection and analysis."
"Agricultural and Resource Economics (ARE)","ARE 5438","Climate Economics.","(3 Credits)","Analysis of the interactive relationship between the economy and climate change. Use of advanced principles and tools of economics to focus on the costs of changes in the severity and frequency of weather events, how these costs are influenced by markets and policies, and how costs and benefits are distributed across populations within the U.S and across the globe in the short and long terms. Examination of household, firm-level, national and international decision-making as influenced by climate change, taking into account uncertainty, diverging interests, external costs, and evaluation of models used to alternative scenarios."
"Agricultural and Resource Economics (ARE)","ARE 5440","Global Energy Transitions.","(3 Credits)","Recent theoretical and empirical research on the economics of clean energy transitions from a global perspective. Topics include fossil fuel extraction, critical minerals and metals, renewable and green technologies, and challenges involved in decarbonizing electricity generation and consumption. Cross-cutting themes include energy poverty and development, industrial and climate policies, environmental impacts, and political economy. Focus on developing data-driven research and empirical estimation."
"Agricultural and Resource Economics (ARE)","ARE 5462","Environmental and Resource Economics.","(3 Credits)","Natural resource use and environmental quality analysis using economic theory. Reviews of empirical research and relevant policy issues."
"Agricultural and Resource Economics (ARE)","ARE 5464","Cost-Benefit Analysis and Applications.","(3 Credits)","Foundations and applications of cost-benefit analysis for evaluation of public policies relevant to environment, protection, health, economic development, and other public policies. Applications include data-driven assignments and analysis."
"Agricultural and Resource Economics (ARE)","ARE 5474","Industrial Organization: Empirical Analysis.","(3 Credits)","Analysis of the structure, conduct, and performance of industries with examples from the food sector and other industries. Explains the development of testable hypotheses from theory, empirical methods, evidence on the level and type of competition, economies of size, product differentiation, entry barriers, and the impact of alternative organizational forms including cooperatives on economic performance."
"Agricultural and Resource Economics (ARE)","ARE 5476","International Trade and Policy.","(3 Credits)","Analysis of international trade and trade policy focusing on agricultural and food markets. Covers trade-related issues concerning economic development and growth. Focus on current challenges to the multilateral trading system and the theoretical foundation for understanding the economic importance of firms, international trade, and global capital flows. Introduction of methods and tools for counterfactual evaluation of trade policies. Statistical modeling techniques to analyze trade patterns and measure trade policy effects."
"Agricultural and Resource Economics (ARE)","ARE 5480","Effective Teaching Strategies and Course Design in Applied Economics.","(1-3 Credits)","Introduction to course development and strategies for effective teaching. Students will be expected to attend teaching workshops, meet weekly with the instructor and their peers to discuss teaching-related topics, and work on developing their course materials including syllabi, course learning goals, lectures, and assessments."
"Agricultural and Resource Economics (ARE)","ARE 5495","Special Topics.","(1-3 Credits)","Topics and credits to be published prior to the registration period preceding the semester offerings."
"Agricultural and Resource Economics (ARE)","ARE 5499","Independent Study in Agricultural and Resource Economics.","(1-6 Credits)","This course provides the opportunity for graduate students to carry on independent reading or research in the field of the student's needs and interests."
"Agricultural and Resource Economics (ARE)","ARE 5538","Valuing the Environment.","(3 Credits)","Conceptual and practical understanding of main methods used to evaluate economic benefits of environmental protection and damages from degradation. Methods include: change in productivity, hedonic pricing, travel cost method, contingent valuation, defensive expenditures, replacement costs, and cost-of-illness. Topics covered include: recreation, soil-erosion, energy, forestry, hazardous waste, air pollution, deforestation, wetlands, wildlife, biodiversity, noise, visibility, water, and water pollution. Taught together with ARE 4438E."
"Agricultural and Resource Economics (ARE)","ARE 5991","Professional Internship.","(1-6 Credits)","Professional or project based work in applied economics and policy related to agribusiness management, marketing and financial analysis, food systems, environmental and resource management, sustainability, or economic development. Requires a learning agreement and student's advisor approval."
"Agricultural and Resource Economics (ARE)","ARE 5993","Teaching Practicum in Applied Economics.","(1-6 Credits)","Teaching practicum in the field of applied economics and policy related to agribusiness management, marketing and financial analysis, food systems, environmental and resource management, sustainability, economic development, and data analysis. Requires a learning agreement and student's advisor approval."
"Agricultural and Resource Economics (ARE)","ARE 6203","Economics Methodology: Praxis and Practice.","(3 Credits)","Philosophical foundations of economics as a science and economic research. Developing skills for planning, performing, reporting, and evaluating economic research. Critical thinking about the research process, reading about and discussing research methodology, analyzing the logic and reasoning of other economists’ research articles, and developing a research project."
"Agricultural and Resource Economics (ARE)","ARE 6305","Applied Development Economics.","(3 Credits)","Overview of the current applied literature on the microeconomics of development in poor countries, as well as examples from the US. Topics include the role of land policies, agriculture, human capital, health, education, the internal structure of households (neoclassical and bargaining) and the functioning of markets."
"Agricultural and Resource Economics (ARE)","ARE 6311","Applied Econometrics I.","(3 Credits)","Expose students to techniques in applied economics research. Students will learn models - derivations, assumptions, and issues. The models will be practiced utilizing empirical data and interpreting results in light of economic and econometric theory."
"Agricultural and Resource Economics (ARE)","ARE 6313","Applied Econometrics II.","(3 Credits)","An introduction to econometric methods used in contemporary applied economic data analysis. Emphasis on learning how to operationalize different estimation techniques in standard statistical software."
