"department","course_code","course_name","course_hours","course_description"
"Accounting (ACCT)","ACCT 2001","Principles of Financial Accounting.","(3 Credits)","The study of the generation and interpretation of accounting information as a basis for financial statement analysis and management decision-making."
"Accounting (ACCT)","ACCT 2101","Principles of Managerial Accounting.","(3 Credits)","(Also offered as BADM 2101.) Internal reporting to managers for use in planning and controlling operating systems, for use in decision making, formulating major plans and policies, and for costing products for inventory valuation and income determination."
"Accounting (ACCT)","ACCT 3005","Introduction to a Profession.","(1 Credit)","Designed to help students (1) understand the professional responsibilities of accountants, (2) enhance one's knowledge of the structure of the accounting profession and the reporting process, (3) evaluate alternative accounting careers, and (4) prepare for accounting internship and career opportunities. Consists of a series of evening seminars. Topics include (among others): alternative accounting careers, accounting standard setting, professional certification for accountants, and analysis and interpretation of accounting information. The course will also introduce and allow students to interact with UConn accounting alumni in a variety of accounting careers."
"Accounting (ACCT)","ACCT 3201","Intermediate Accounting I.","(3 Credits)","(Also offered as BADM 3201.) An in-depth study of financial accounting, giving particular emphasis to balance sheet valuations and their relationship to income determination."
"Accounting (ACCT)","ACCT 3202","Intermediate Accounting II.","(3 Credits)","(Also offered as BADM 3202.) A continuation of ACCT/BADM 3201."
"Accounting (ACCT)","ACCT 3210","Introduction to Accounting Analytics.","(3 Credits)","In Introduction to Accounting Analytics, students will develop their ability to ask and answer meaningful accounting questions through data analytics. Using different types of data analysis software, students will identify business questions that can be answered using data, prepare data for analysis, perform tests, and analyze and communicate the results of testing. Students will learn to think critically about what makes a good accounting question and how data can be used to answer those questions. Students will apply these skills within an accounting framework, in areas such as financial reporting, auditing, and managerial accounting."
"Accounting (ACCT)","ACCT 3221","Cost Accounting.","(3 Credits)","(Also offered as BADM 3221.) The study of (1) product costing as a basis for income determination and inventory valuation and (2) accounting concepts for planning and controlling organizational operations."
"Accounting (ACCT)","ACCT 3260","Federal Income Taxes.","(3 Credits)","(Also offered as BADM 3260.) A study of the underlying concepts of federal income taxation. Emphasis to be placed upon the impact of taxes on business decisions."
"Accounting (ACCT)","ACCT 3265","Volunteer Income Tax Assistance for Preparers.","(2 Credits)","(Also offered as BADM 3265.) IRS Certification in Basic Domestic and International Student and Scholar tax returns. Research and analyze current tax issues, interview a diverse group of real taxpayers, prepare real returns and respond to immediate feedback while working in a controlled setting under the supervision of a CPA. Students learn practical accounting and tax skills and procedures, while providing a valuable service to our community. Gives students the rare opportunity to gain technical industry experience in an academic environment. ACCT/BADM 4265 can be taken for one credit subsequent to ACCT/BADM 3265. Students in ACCT/BADM 4265 serve as qualified reviewers."
"Accounting (ACCT)","ACCT 4203","Advanced Accounting.","(3 Credits)","An in-depth study of accounting for business combinations. Coverage will also be given to accounting for nonprofit entities and contemporary issues in financial accounting."
"Accounting (ACCT)","ACCT 4204","Financial Statement Analysis and Business Valuation.","(3 Credits)","Advances the understanding of financial information to analyze and value firms. Involves the application of accounting, economics, finance and other skills to better understand information contained in financial reports."
"Accounting (ACCT)","ACCT 4243","Assurance Services.","(3 Credits)","(Also offered as BADM 4243.) Focuses on issues relevant to the public accounting profession, such as legal liability and ethics, audit risk analysis, planning of audit engagements, audit reports, and other assurance services and reports. Students will learn to think critically about issues facing the accounting profession, primarily by analyzing cases and completing a number of individual and group research projects."
"Accounting (ACCT)","ACCT 4265","Advanced Volunteer Income Tax Assistance for Reviewers.","(1 Credit)","Advanced IRS Certification in Domestic and International Student and Scholar tax returns. Research and analyze current tax issues on an advanced level, with supervisory responsibility, while working in a controlled setting under the supervision of a CPA. Students develop mentoring skills as well as supplement practical accounting and tax skills, while providing a valuable service to our community. Gives students the rare opportunity to gain technical industry experience in an academic environment."
"Accounting (ACCT)","ACCT 4881","Internship in Accounting.","(1-6 Credits)","Designed to provide students with an opportunity for a supervised internship. Students will work with one or more professionals in their major academic area. Student performance will be evaluated on the basis of an appraisal by the field supervisor and an appropriate summative activity submitted by the student. Students taking this course will be assigned a final grade of S (satisfactory) or U (unsatisfactory)."
"Accounting (ACCT)","ACCT 4893","Foreign Study.","(1-6 Credits)","Special topics taken in a foreign study program."
"Accounting (ACCT)","ACCT 4895","Special Topics.","(1-6 Credits)","Classroom course in special topics as announced in advance for each semester.  Credit and hours by arrangement."
"Accounting (ACCT)","ACCT 4899","Independent Study.","(1-6 Credits)","Individual study of special topics as mutually arranged between a student and an instructor."
"Accounting (ACCT)","ACCT 4997W","Senior Thesis in Accounting.","(3 Credits)",""
"African Studies (AFRI)","AFRI 3995","Special Topics.","(1-3 Credits)",""
"African Studies (AFRI)","AFRI 3999","Independent Study.","(1-6 Credits)",""
"Africana Studies (AFRA)","AFRA 1100","Afrocentric Perspectives in the Arts.","(3 Credits)","(Also offered as FINA 1100.) Lectures and discussions about assigned readings focus on historical and aesthetic perspectives of African American Arts and their African sources, with emphasis on how social and aesthetic context impacts on creative expression by African American artists. Presentations by guest lecturers and University of Connecticut faculty plus small group discussions. CA 1. CA 4."
"Africana Studies (AFRA)","AFRA 2211","Introduction to Africana Studies.","(3 Credits)","Interdisciplinary overview of Africana studies, giving consideration to the artistic, intellectual, political and cultural experiences of black people in the United States, Caribbean, Europe, and Africa. Significant movements, ideas, people and events that have shaped and continue to shape Africa and the Diaspora."
"Africana Studies (AFRA)","AFRA 2214","African American Literature.","(3 Credits)","(Also offered as ENGL 2214.) Critical and historical examination of the literature of African American writers from Phyllis Wheatley to the present. CA 4."
"Africana Studies (AFRA)","AFRA 2214W","African American Literature.","(3 Credits)","(Also offered as ENGL 2214W.) Critical and historical examination of the literature of African American writers from Phyllis Wheatley to the present. CA 4."
"Africana Studies (AFRA)","AFRA 2222","Race, Gender, Sexuality, and the Power of Looking.","(3 Credits)","(Also offered as AAAS 2222.) A beginning investigation into the issues of what constitutes visual culture and how race, gender, and sexuality are seen and not seen. The goals of the course include engaging with the history and scholarly dialogues around visual studies, becoming more active and critical visual consumers and critics, and understanding personal stakes and diverse positions in dialogues about visualizing gender and race. CA 1. CA 4."
"Africana Studies (AFRA)","AFRA 2252","Politics In Africa.","(3 Credits)","(Also offered as POLS 2252.) The political systems in contemporary Africa; the background of the slave trade, imperialism, colonialism, and the present concerns of nationalism, independence, economic development and military rule. Emphasis on sub-Saharan Africa. Formerly offered as AFRA 3252 and POLS 3252."
"Africana Studies (AFRA)","AFRA 2345","Language and Racism.","(3 Credits)","(Also offered as COGS 2345.) Examines the relationships between language use, both historically and across the lifespan, and the social construction of race, racism, and racial identity, with particular emphasis on racial politics in the United States."
"Africana Studies (AFRA)","AFRA 2461","Race, Gender, and U.S. Health Care.","(3 Credits)","(Also offered as SOCI 2461.) Factors of race and gender at work in U.S health care. Focus on African Americans and Black immigrants as care recipients and care providers in health care institutions. CA 2. CA 4."
"Africana Studies (AFRA)","AFRA 2510","Ethnicity and Race.","(3 Credits)","(Also offered as SOCI 2510.) Ethnic groups, their interrelations, assimilation, and pluralism. Culture, and identity that arise from differences in race, religion, nationality, region, and language."
"Africana Studies (AFRA)","AFRA 2520","White Racism.","(3 Credits)","(Also offered as SOCI 2520.) The origin, nature, and consequences of white racism as a central and enduring social principle around which the United States and other modern societies are structured and evolve. CA 4."
"Africana Studies (AFRA)","AFRA 2530","African Americans and Social Protest.","(3 Credits)","(Also offered as SOCI 2530.) Social and economic-justice movements, from the beginning of the Civil Rights movement to the present."
"Africana Studies (AFRA)","AFRA 2621","Cuba in Local and Global Perspective.","(3 Credits)","(Also offered as HIST 2621.) Major themes in Cuban politics and culture. Local and global perspective. Key topics include race, gender, class, cultural movements and practices, slavery, political economy and movements, nationalism. CA 1. CA 4-INT."
"Africana Studies (AFRA)","AFRA 2622","History of Gender and Sexuality in Latin America and the Caribbean.","(3 Credits)","(Also offered as HIST 2622.) Topics may include: empire and colonialism/anti-colonialism; slavery, science, and the state; cultural practices and institutions; feminisms and masculinities; law and public policies; immigration; forms of labor and political mobilization; sex and reproduction; and human rights from historical perspective. Formerly offered as AFRA/HIST/LLAS/WGSS 3622."
"Africana Studies (AFRA)","AFRA 2752","Africa in Global History.","(3 Credits)","(Also offered as HIST 2752.) Broad historical survey of civilizations in Africa, including origins of human life in Africa, economic livelihoods, socio-economic and political structures, state formation, trade, commerce, urbanization, and indigenous systems of belief and world religions. CA 1. CA 4-INT."
"Africana Studies (AFRA)","AFRA 2753","History of Modern Africa.","(3 Credits)","(Also offered as HIST 2753.) The history of African perceptions of and responses to the abolition of the slave trade, Western imperialism and colonialism, and the development of nationalism and struggle for independence. CA 1. CA 4-INT."
"Africana Studies (AFRA)","AFRA 3025","Contemporary Africa.","(3 Credits)","(Also offered as ANTH 3025.) Africa since its partition in 1884. Urbanization, social stratification, racial and ethnic conflict."
"Africana Studies (AFRA)","AFRA 3033","Race and Policy.","(3 Credits)","(Also offered as PP 3033.) Examination of contemporary public policy through the lens of race."
"Africana Studies (AFRA)","AFRA 3050W","African-American Art.","(3 Credits)","(Also offered as ARTH 3050W.) The artistic and social legacy of African American art from the eighteenth century to the present day. CA 4."
"Africana Studies (AFRA)","AFRA 3106","Black Psychology.","(3 Credits)","(Also offered as PSYC 3106.) Empirical and theoretical literature on psychological experiences of African Americans. Impact of race, culture, and ethnicity on psychological development. CA 4."
"Africana Studies (AFRA)","AFRA 3131","Black Theatre.","(3 Credits)","(Also offered as DRAM 3131.) Critical study of Black theatre and performance through reading, dialogue, creative exercises, and group work. CA 4."
"Africana Studies (AFRA)","AFRA 3132","African-American Women Playwrights, 1900 to the present.","(3 Credits)","(Also offered as DRAM 3132.) African American women's playwriting in relationship to social, historical, and political contexts. CA 1. CA 4."
"Africana Studies (AFRA)","AFRA 3152","Race, Ethnicity, and Nationalism.","(3 Credits)","(Also offered as ANTH 3152.) Popular and scholarly theories of human group identity and diversity, in cross-cultural and historical perspective. Topics include: an overview of 'race' and 'ethnicity' in Western thought, ethnic group formation and transformation, political mobilizations of group identity, and systems of inequality. CA 2. CA 4."
"Africana Studies (AFRA)","AFRA 3155","Anthropology of the African Diaspora.","(3 Credits)","(Also offered as ANTH 3155.) An exploration of the racial, political, and social similarities and differences within and between the communities constituting the African Diaspora from an anthropological perspective."
"Africana Studies (AFRA)","AFRA 3206","Black Experience in the Americas.","(3 Credits)","(Also offered as HIST 3206.) Major themes in recent scholarship of African-descended communities in the Americas and their interconnection beyond geopolitical boundaries; race, gender, sexuality, class, religion, cultural movements and practices, slavery, political economy, political movements, and African consciousness, from historical perspective. CA 1. CA 4-INT."
"Africana Studies (AFRA)","AFRA 3208","Making the Black Atlantic.","(3 Credits)","(Also offered as HIST 3208.) Recent scholarship on the central role played by African-descended communities in shaping the early history of the Americas and their interconnection beyond geopolitical boundaries; race, gender, sexuality, class, religion, cultural movements and practices; slavery, political economy, and political movements."
"Africana Studies (AFRA)","AFRA 3213","Eighteenth- and Nineteenth-Century African American Literature.","(3 Credits)","(Also offered as ENGL 3213.) Broad historical survey of African American literature from its origins through the turn of the twentieth century. CA 4."
"Africana Studies (AFRA)","AFRA 3215","Twentieth- and Twenty-First Century African American Literature.","(3 Credits)","(Also offered as ENGL 3215.) Broad historical survey of African American literature from the twentieth and twenty-first century. CA 4."
"Africana Studies (AFRA)","AFRA 3215W","Twentieth- and Twenty-First Century African American Literature.","(3 Credits)","(Also offered as ENGL 3215W.) Broad historical survey of African American literature from the twentieth and twenty-first century. CA 4."
"Africana Studies (AFRA)","AFRA 3217","Studies in African American Literature and Culture.","(3 Credits)","(Also offered as ENGL 3217.) Focused study of a theme, form, author, or movement in African American literature or culture. CA 4."
"Africana Studies (AFRA)","AFRA 3224","History of Pan Africanism.","(3 Credits)","(Also offered as HIST 3770.) The development of ideas of Pan-Africanism, beginning with the proto-Pan-Africanists in the nineteenth century; examination of the linkages between those ideas in Africa and the evolution of Pan-Africanism as a movement in the African Diaspora."
"Africana Studies (AFRA)","AFRA 3293","Foreign Study.","(1-15 Credits)","Consent of Director required, normally to be granted prior to student's departure."
"Africana Studies (AFRA)","AFRA 3295","Special Topics.","(1-6 Credits)","Prerequisites and recommended preparation vary."
"Africana Studies (AFRA)","AFRA 3299","Independent Study.","(1-6 Credits)","Supervised reading and writing on a subject of special interest to the student."
"Africana Studies (AFRA)","AFRA 3320","Race, Culture, and Reproductive Health.","(3 Credits)","(Also offered as ANTH 3320.) An examination of the reproductive health experiences of women in the United States, including those focused on sexuality, birth, and motherhood. An exploration of the complex relationship between women’s reproductive experiences and their contemporary racial and socioeconomic locations in American society."
"Africana Studies (AFRA)","AFRA 3512","African Archaeology.","(3 Credits)","(Also offered as ANTH 3512.) An archaeological perspective on more than three million years of human social and behavioral change in Africa, from Stone Age societies that are the earliest in the world to sweeping changes brought about by the development and spread of cattle and crops, sophisticated metallurgy, and the later rise of kingdoms and complex polities situated at a global crossroads of trade and interaction."
"Africana Studies (AFRA)","AFRA 3563","African American History to 1865.","(3 Credits)","(Also offered as HIST 3563.) History of African-American people to 1865, from their West African roots, to their presence in colonial America, through enslavement and emancipation. Adaptation and resistance to their conditions in North America. Contributions by black people to the development of the United States."
