"course_code","course_name","description","department","credits"
"ASP 021","Workshop for Students Enrolled in MATH 121","A workshop where smaller groups of students work together with the instructor to enhance their problem-solving skills by solving additional problems both similar to, as well as more challenging than, the ones given inMATH 121. Course Information: Satisfactory/Unsatisfactory grading only. May be repeated. No graduation credit. Corequisites: Requires concurrent registration inMATH 121.","Academic Skills Program (ASP)","2 hours"
"ASP 060","Resources and Strategies for College Success","Learn study strategies such as time management, studying for and taking tests, critical reading, and critical thinking. Connect to key campus resources that are designed to help students succeed. Course Information: Satisfactory/Unsatisfactory grading only. No graduation credit.","Academic Skills Program (ASP)","3 hours"
"ASP 061","Introduction to Positive Psychology","Student coaches and mentors will study theory in positive psychology, as it relates to the coaching practice. Topics such as motivation, behavioral change, decision making, and communication will be covered. Course Information: Satisfactory/Unsatisfactory grading only. Field work required. Meets eight weeks of the semester. Course will take place on Part-of-Term B (second part) of the Fall semester. No graduation credit. Prerequisite(s): Students must be pre-approved to register for the course. Students must be working as a coach or mentor in an approved UIC program.","Academic Skills Program (ASP)","1 hour"
"ASP 080","Workshop for Students Enrolled in MATH 180","A workshop where smaller groups of students work together with the instructor to enhance their problem-solving skills by solving additional problems both similar to, as well as more challenging than, the ones given inMATH 180. Course Information: Satisfactory/Unsatisfactory grading only. May be repeated. No graduation credit. Corequisites: Requires concurrent registration inMATH 180.","Academic Skills Program (ASP)","2 hours"
"ASP 081","Workshop for Students Enrolled in MATH 181","A workshop where smaller groups of students work together with the instructor to enhance their problem-solving skills by solving additional problems both similar to, as well as more challenging than, the ones given inMATH 181. Course Information: Satisfactory/Unsatisfactory grading only. No graduation credit. Requires concurrent registration inMATH 181.","Academic Skills Program (ASP)","2 hours"
"ASP 084","Research Poster and Presentation Workshop for LARES Students","Working with a faculty mentor, students conduct research related to the Latino community and present their findings at a pre-selected conference. Course Information: Satisfactory/Unsatisfactory grading only. May be repeated. No graduation credit. Extensive computer use required. Restricted to students in the Latin American Recruitment and Educational Services Program.","Academic Skills Program (ASP)","3 hours"
"ASP 085","Boosting Academic Strategies for Success","Designed to support students who wish to enhance their academic success in and out the classroom. This intensive support program equips students with critical strategies and tools to maximize their learning experience at UIC. Course Information: Satisfactory/Unsatisfactory grading only. No graduation credit.","Academic Skills Program (ASP)","2 hours"
"ASP 090","Critical Strategies for Reading and Writing Success","Critical reading and thinking strategies for comprehending, writing about, and learning textbook material representing different academic disciplines. Instruction in writing summaries and syntheses of readings included. Course Information: Satisfactory/Unsatisfactory grading only. No graduation credit.","Academic Skills Program (ASP)","2 hours"
"ASP 092","Vocabulary Enrichment","Strategies for increasing the number of words students understand in their reading/ listening and use in their speaking/writing. Techniques for learning unfamiliar technical terms in textbooks. Course Information: Satisfactory/Unsatisfactory grading only. No graduation credit. Meets 8 weeks of the semester.","Academic Skills Program (ASP)","2 hours"
"ASP 095","Academic and Professional Writing","Academic and professional writing principles and their application are introduced and practiced. Practice in writing resumes, business and professional correspondence, reports, and theses. Course Information: Satisfactory/Unsatisfactory grading only. No graduation credit.","Academic Skills Program (ASP)","2 hours"
"ASP 096","Independent Study","For those who wish to supplement regular courses or undertake individual study projects. Course Information: Satisfactory/Unsatisfactory grading only. No graduation credit. Prerequisite(s): Approval of the department.","Academic Skills Program (ASP)","0-3 hours"
"ACTG 210","Introduction to Financial Accounting","Concepts and standards underlying the preparation and analysis of external reports; alternative effects and role of accounting in the business environment and capital markets. Course Information: Previously listed as ACTG 110. Extensive computer use required.","Accounting (ACTG)","3 hours"
"ACTG 211","Introduction to Managerial Accounting","Management planning and control; cost concepts and measurement; cost accounting systems; analysis of cost and volume-profit relationships; standard costs and variances; and budget preparation. Course Information: Previously listed as ACTG 111. Extensive computer use required. Prerequisite(s):ACTG 210. Accounting majors need a grade of C or better inACTG 210.","Accounting (ACTG)","3 hours"
"ACTG 315","Intermediate Financial Accounting I","Theory and standards related to asset valuation, revenue recognition, gain and loss recognition, and their impact on income measurement and financial position. Course Information: For satisfactory progress in the Accounting major, students must receive a grade of C or better inACTG 315.ACTG 315may be repeated only once. Transfer credit from another College or University is not accepted forACTG 315. Prerequisite(s): Average grade of B or higher inACTG 210andACTG 211.","Accounting (ACTG)","3 hours"
"ACTG 316","Intermediate Financial Accounting II","Selected topics in accounting and financial reporting including: cash flow statements, income taxes, long-term debt and leases, investments, derivative securities, and contingencies and employee retirement benefits and stockholders' equity. Course Information: Prerequisite(s): Grade of C inACTG 315.","Accounting (ACTG)","3 hours"
"ACTG 326","Cost Accounting","Design of cost accounting systems; alternate costing methods; costing for decision making; budgeting and performance evaluation. Course Information: Extensive computer use required. Prerequisite(s): Grade of C or better inACTG 210and grade of C or better inACTG 211.","Accounting (ACTG)","3 hours"
"ACTG 355","Business Law I: Commercial Transactions","Commercial transactions including: contracts, sales of goods, negotiable instruments, and secured transactions. Course Information: Prerequisite(s): A passing grade inACTG 211or the equivalent.","Accounting (ACTG)","3 hours"
"ACTG 392","Data Analytics for Accountants","Provides students with experience in accounting data analytics thinking, key terminology, and hands on experience with analytics tools and techniques. Course Information: Extensive computer use required. Prerequisite(s): Grade of C or better inACTG 210and Grade of C or better inACTG 211andIDS 270.","Accounting (ACTG)","3 hours"
"ACTG 394","Special Topics in Accounting - Undergraduate","Investigates selected contemporary accounting topics using readings in both academic and professional journals as well as cases for analysis. Course Information: Prerequisite(s): A passing grade in bothACTG 316andACTG 326.","Accounting (ACTG)","3 hours"
"ACTG 396","Independent Study in Accounting - Undergraduate","Independent study in approved topics; written report prepared under the guidance of a faculty member is required. Course Information: Prerequisite(s): Grade of C or better inACTG 316; and Grade of C or better inACTG 326; and declaration of a major and submission of form of approval to the department head one week before the beginning of the semester.","Accounting (ACTG)","1-3 hours"
"ACTG 417","Advanced Financial Accounting","Financial accounting theory for business combinations, consolidated financial statements, international transactions and investments, and partnership accounting. Course Information: 3 undergraduate hours. 4 graduate hours. Prerequisite(s): Grade of D or better inACTG 316.","Accounting (ACTG)","3 or 4 hours"
"ACTG 435","Auditing","Introduction to the audit function; ethical and legal environment; audit standards; objectives and procedures; materiality and audit risk; sampling; auditing in a computer environment; reporting. Course Information: 3 undergraduate hours. 4 graduate hours. Extensive computer use required. Prerequisite(s): Grade of C or better inACTG 315.","Accounting (ACTG)","3 or 4 hours"
"ACTG 436","Advanced Audit","Builds on the skills obtained in the introduction to auditing course and will focus on strengthening students’ understanding of fundamental aspects of an audit of financial statements and internal controls over financial reporting. Course Information: 3 undergraduate hours. 4 graduate hours. Extensive computer use required. Prerequisite(s):ACTG 435.","Accounting (ACTG)","3 or 4 hours"
"ACTG 444","Federal Income Tax for Financial Planning","Concepts and provisions of federal income taxation applicable to individual taxpayers, partnerships, individuals and trusts as it relates to certified financial planning careers. Course Information: Credit is not given forACTG 444if the student has credit inACTG 445. Extensive computer use required. Prerequisite(s): Grade of C or better inACTG 210.","Accounting (ACTG)","3 hours"
"ACTG 445","Federal Income Tax I","Concepts and provisions of federal income taxation as applicable to individual taxpayers, partnerships, individuals and trusts. Course Information: 3 undergraduate hours. 4 graduate hours. Credit is not given forACTG 445if the student has credit forACTG 508. Extensive computer use required. Prerequisite(s): Grade of C or better inACTG 315.","Accounting (ACTG)","3 or 4 hours"
"ACTG 446","Federal Income Tax II","Concepts and provisions of federal income taxation on corporations and partnerships; special problems in reorganization, liquidations, and personal holding companies. Course Information: 3 undergraduate hours. 4 graduate hours. Extensive computer use required. Prerequisite(s): A passing grade inACTG 445or the equivalent.","Accounting (ACTG)","3 or 4 hours"
"ACTG 447","Tax Research","Provides students with experience in conducting tax research for hypothetical fact patterns similar to those their future clients will face. Course Information: 3 undergraduate hours. 4 graduate hours. Extensive computer use required. Prerequisite(s):ACTG 445; and credit or concurrent registration inACTG 446.","Accounting (ACTG)","3 or 4 hours"
