"course_code","course_title","credits","department","description"
" ACCT 2110","PRINCIPLES OF FINANCIAL ACCOUNTING","3","Accounting - ACCT","LEC. 3. Basic accounting principles with focus on preparation and use of financial statements. Credit will not be given for bothACCT 2110andACCT 2810. Sophomore standing."
" ACCT 2117","HONORS PRINCIPLES OF FINANCIAL ACCOUNTING","3","Accounting - ACCT","LEC. 3. Pr. Honors College. Basic accounting principles with focus on preparation and use of financial statements. Sophomore standing."
" ACCT 2210","PRINCIPLES OF MANAGERIAL ACCOUNTING","3","Accounting - ACCT","LEC. 3. Pr.ACCT 2110or ACCT 2113 orACCT 2117. Emphasis on cost accounting, budgeting, and decision making using managerial accounting information. Sophomore standing."
" ACCT 2700","BUSINESS LAW","3","Accounting - ACCT","LEC. 3. Introduction to contracts, sales, torts, ethics and the judicial system.  Focus is on the business environment."
" ACCT 2707","HONORS BUSINESS LAW","3","Accounting - ACCT","LEC. 3. Pr. Honors College. Introduction to contracts, sales, torts, ethics and the judicial system. Focus is on the business environment."
" ACCT 2810","FUNDAMENTALS OF ACCOUNTING","3","Accounting - ACCT","LEC. 3. Principles of financial and managerial accounting. Not open to undergraduates majoring in Business. Credit will not be given for bothACCT 2110andACCT 2810."
" ACCT 2817","HONORS FUNDAMENTALS OF ACCOUNTING","3","Accounting - ACCT","LEC. 3. Principles of financial and managerial accounting. Not open to undergraduates majoring in Business. Credit will not be given for bothACCT 2110andACCT 2810."
" ACCT 3210","ACCOUNTING FOR DECISION MAKING","3","Accounting - ACCT","LEC. 3. Pr.ACCT 2110or ACCT 2113 orACCT 2117. A study of how cost data for products, projects, or services are recorded, analyzed, and used for decision making. Junior standing applies toACCT 3210.ACCT 3210is limited to students in the BSBA Online completer program."
" ACCT 3310","BUSINESS PROCESSES AND INTERNAL CONTROLS","3","Accounting - ACCT","LEC. 3. Pr.ACCT 2110or ACCT 2113 orACCT 2117. Developing knowledge of business processes, accounting for those business processes, and the internal controls surrounding such processes, both in a manual and computerized environment. Limited to students in the BSBA Online completer program. Credit will not be given for bothACCT 3310and ACCT 3520."
" ACCT 3810","PROFESSIONAL DEVELOPMENT IN ACCOUNTANCY","1","Accounting - ACCT","LEC. 1.  SU. Pr. (P/C ACCT 3110 or P/C ACCT 3113 or P/CACCT 5110) and P/CBUSI 2010. Career planning and preparation for transition from university student to accounting professional."
" ACCT 4900","DIRECTED STUDIES","1-3","Accounting - ACCT","IND.  SU. Departmental approval. Advanced individual research and study in accounting under the direction of a faculty member. Course may be repeated for a maximum of 6 credit hours."
" ACCT 4920","ACCOUNTING INTERNSHIP","1-6","Accounting - ACCT","DSL/LEC.  SU. Internship opportunity with an accounting firm, corporation, or governmental entity. Course may be repeated for a maximum of 6 credit hours."
" ACCT 5110","INTERMEDIATE ACCOUNTING I","3","Accounting - ACCT","LEC. 3. Pr.ACCT 2110or ACCT 2113 orACCT 2117. Accounting principles and theory including accounting for current assets, liabilities, and investments. Junior standing applies toACCT 5110. ACCT 5113 is limited to students accepted to online accounting program."
" ACCT 5120","INTERMEDIATE ACCOUNTING II","3","Accounting - ACCT","LEC. 3. Pr. ACCT 3110 or ACCT 3113 orACCT 5110. Grade of C or better. Continuation ofACCT 5110, with emphasis on fixed assets, capital structure, and cash flows. Junior standing applies toACCT 5120. ACCT 5123 is limited to students accepted to online accounting program."
" ACCT 5130","ADVANCED ACCOUNTING TOPICS","3","Accounting - ACCT","LEC. 3. Pr. ACCT 3120 or ACCT 3123 orACCT 5120. Emphasis on advanced accounting topics including business combinations, foreign currency transactions, derivatives, and other advanced financial topics."
" ACCT 5140","SPECIAL TOPICS IN ACCOUNTING","3","Accounting - ACCT","LEC. 3. Pr. ACCT 3120 or ACCT 3123 orACCT 5120. A study of current issues in accounting theory and practice. Topics include regulations and economic and technological developments."
" ACCT 5150","CURRENT ISSUES IN ACCOUNTING","3","Accounting - ACCT","LEC. 3. Pr. P/CACCT 5110. Departmental approval. Examination of current issues in the accounting profession."
" ACCT 5210","COST ACCOUNTING","3","Accounting - ACCT","LEC. 3. Pr.ACCT 2110or ACCT 2113 orACCT 2117. A study of how cost data for products, projects, or services are recorded, analyzed, and used for decision making. Junior standing applies toACCT 5210."
" ACCT 5300","AUDITING AND ASSURANCE SERVICES","3","Accounting - ACCT","LEC. 3. Pr. ACCT 3110 orACCT 5110. Principles of auditing standards, ethics, controls, evidence, sampling, and audit reports."
" ACCT 5410","INCOME TAX I","3","Accounting - ACCT","LEC. 3. Pr. ACCT 3110 or ACCT 3113 orACCT 5110. Principles of federal taxation as it applies to individuals and property transactions."
" ACCT 5420","INCOME TAX II","3","Accounting - ACCT","LEC. 3. Pr. ACCT 4410 or ACCT 4413 orACCT 5410. Tax accounting for individuals, partnerships, corporations, estates, and trusts.  Extensive use of a tax-service program. ACCT 5423 is limited to students accepted to online accounting program."
" ACCT 5510","ACCOUNTING INFORMATION SYSTEMS","3","Accounting - ACCT","LEC. 3. Pr. P/C ACCT 3110 or P/C ACCT 3113 or P/CACCT 5110. Developing knowledge of business processes, accounting for those business processes, and the internal controls surrounding such processes, both in a manual and computerized environment."
" ACCT 5520","ACCOUNTING ANALYTICS","3","Accounting - ACCT","LEC. 3. Pr. (ACCT 3110 or ACCT 3113 orACCT 5110) and (CTCT 3250or CTCT 3253) and (P/C ACCT 3520 or P/C ACCT 3523 or P/CACCT 5510). Students will learn to analyze data and solve accounting based problems using advanced spreadsheet techniques, database management systems and other analysis tools."
" ACCT 5610","GOVERNMENTAL AND NOT-FOR-PROFIT ACCOUNTING","3","Accounting - ACCT","LEC. 3. Pr. ACCT 3120 or ACCT 3123 orACCT 5120. Accounting for governmental and not-for-profit entities. Focus on effective use of resources."
" ACCT 5620","ISSUES IN INTERNATIONAL ACCOUNTING","3","Accounting - ACCT","LEC. 3. Pr. P/CACCT 5110. Departmental approval. Accounting issues concerning international business activity."
" ACCT 5700","ADVANCED BUSINESS LAW","3","Accounting - ACCT","LEC. 3. Pr.ACCT 2700. Legal principles concerning secured transactions, bankruptcy, trusts and estates, partnership law, property, corporations, accountant's legal liability, and negotiable instruments. ACCT 5703 is limited to students accepted to online accounting program."
" ACCT 5810","CORPORATE GOVERNANCE & ACCOUNTING ETHICS","3","Accounting - ACCT","LEC. 3. Pr. ACCT 3120 or ACCT 3123 orACCT 5120. Analyzing the impact of corporate governance and accounting ethics on business transactions."
" ACCT 6110","INTERMEDIATE ACCOUNTING I","3","Accounting - ACCT","LEC. 3. Accounting principles and theory including accounting for current assets, liabilities, and investments."
" ACCT 6120","INTERMEDIATE ACCOUNTING II","3","Accounting - ACCT","LEC. 3. Pr. ACCT 3110 or ACCT 3113 orACCT 5110orACCT 6110or ACCT 6116. Continuation ofACCT 6110/6116, with emphasis on fixed assets, capital structure, and cash flows."
" ACCT 6130","ADVANCED ACCOUNTING TOPICS","3","Accounting - ACCT","LEC. 3. Pr. ACCT 3120 or ACCT 3123 orACCT 5120orACCT 6120or ACCT 6126. Emphasis on advanced accounting topics including business combinations, foreign currency transactions, derivatives, and other advanced financial topics."
" ACCT 6150","CURRENT ISSUES IN ACCOUNTING","3","Accounting - ACCT","LEC. 3. Pr.ACCT 5110. Departmental approval. Examination of current issues in the accounting profession."
" ACCT 6210","COST ACCOUNTING","3","Accounting - ACCT","LEC. 3. Pr.ACCT 2110or ACCT 2113 orACCT 2117. A study of how cost data for products, projects, or services are recorded, analyzed, and used for decision making."
