"course_code","course_name","credits","college_name","description"
"AAST502","Special Topics","3","College of Arts & Sciences Courses","An examination of selected African American topics. Special Topics Course"
"AMS500","Internship","1-3","College of Arts & Sciences Courses","An internship opportunity that combines independent study and practical field work focusing on a particular problem or topic related to American culture and experience. Recent examples include internships in museum management, historic preservation, archaeological research, television production, category fiction, promotion of academic programs, documentary television, academic public relations, with Alabama Heritage and Louisville magazines, and with the Paul Bryant Museum. "
"AMS505","Directed Study","1-3","College of Arts & Sciences Courses","No description available. Special Topics Course"
"AMS506","Directed Study","1-3","College of Arts & Sciences Courses","No description available. Special Topics Course"
"AMS507","Landscapes of the South","3","College of Arts & Sciences Courses","This seminar explores the cultural, social, and natural ecology of the Mississippi watershed from St. Louis to the Gulf Coast. This interdisciplinary American Studies course examines the river dubbed “the Body of the Nation,” its history, cultural geography, and geophysical ecology. Through readings in history, literary accounts, and artistic expressions, we explore effects of human interventions in nature and nature’s impact on the course of human events. "
"AMS512","On The Road","3","College of Arts & Sciences Courses","This course seeks to introduce the breadth and power of the travel culture that defines ""America"" and examines enduring features when writers take to the open road in America. "
"AMS516","American Environmental Thought","3","College of Arts & Sciences Courses","Popular conceptions of nature hold extraordinary power in shaping our responses and policies toward both the geophysical world and built environments. This interdisciplinary course examines key concepts and controversies in American thought about nature since before colonization. Using accounts from various regions, the course explores evolving conceptions of nature and justice, competing claims about race and class, and changing institutional responses and remedies to environmental degradation in the context of global change. "
"AMS521","Writer & Artist in America","3","College of Arts & Sciences Courses","This course offers a comparative examination of responses by 20th century literary and visual artists to perceived social crises and challenges to American cultural values, such as sex in the early 20th century American city, working class struggles during the Great Depression, issues of atomic anxiety during the early years of the Cold War, the ethical dilemmas of the Vietnam War, the perils of the AIDS/HIV crisis, and the flourishing of contemporary consumer culture.  The course also introduces several important movements in twentieth century American arts and letters, including Naturalism, Modernism, Social Realism, the Beat movement, Social Surrealism, and Postmodernism. "
"AMS522","Popular Culture in America","3","College of Arts & Sciences Courses","Survey and analysis of 20th century US popular culture including social context and how it has reflected and shaped American society, including gender, race, class and region. "
"AMS523","The Roots of American Music","3","College of Arts & Sciences Courses","This class surveys American music from ragtime, blues, and hillbilly to Broadway, Hollywood musicals, and swing jazz. Our focus will be on commercial mainstreams and democratic audiences – how selling sound led to different identities being expressed through taste and style. Race, gender, class, sexuality, age, technology, and the music business will all factor as we move from blackface minstrelsy in the 1800s to World War II. We will listen closely to several songs each week, connecting music to larger themes through primary and secondary sources, regular writing, and in-class discussion. "
