"course_code","course_name","credits","college_name","description"
"AAST201","Intro African Amer Study","3","College of Arts & Sciences Courses","A basic outline of the diversity and complexity of the African-American experience in the United States: the early academic and social concerns of Black Studies advocates; the changes in the field's objectives that arise from its connections to contemporary social movements for Black Power, women's liberation and multiculturalism; and its major theoretical and critical debates. PW: Global Engagement, Social and Behavioral Sciences"
"AAST210","Black Literature & Culture Pre 1920","3","College of Arts & Sciences Courses","An introduction to the history and politics of African American cultural and literary expression from the colonial era to 1920. Topics covered include African American literacy and authorship in the abolitionist movement, the growth of African American cultural and political identities following Emancipation, and literary and cultural responses to racial segregation in the early twentieth century. Literature"
"AAST220","African American Literature & Culture Post 1920","3","College of Arts & Sciences Courses","An introduction to the history and politics of African American cultural and literary expression from 1920 to the present. Topics covered include the emergence of black popular culture in the US, questions of literary and political representation before and during the Civil Rights movement, black feminist literature, and the diversity of recent African American literature. Literature"
"AAST249","African American Literature","3","College of Arts & Sciences Courses","Survey of African American literature from its earliest expressions to the present. In order to identify the aesthetics of the African American literary tradition, the course material includes spirituals, slave narratives, poetry, drama, autobiography, fiction, and nonfiction. Prerequisite(s):(Undergraduate levelEN 101with minimum Grade of C- and Undergraduate levelEN 102with minimum Grade of C-) OR (Undergraduate levelEN 103with minimum Grade of C- or Undergraduate levelEN 104with minimum Grade of C-) OR (Undergraduate levelEN 120with minimum Grade of C- and Undergraduate levelEN 121with minimum Grade of C-)"
"AAST300","Studies in Gender, Sexuality, and Citizenship","3","College of Arts & Sciences Courses","This course is an introduction to the study of gender and sexuality in the description of contemporary U.S. and global citizenship. Coursework will focus on critiquing and understanding the social construction of gender, sex, and sexuality; the bodies and the nature vs. nurture ""debate""; gendered interactions; intersectionality and gender inequality; and social institutions and gender as these describe the historical and contemporary context for how we define citizenship. The students will be asked to demonstrate knowledge through class assignments of how readings and class discussion have informed their understanding of the conditions for US and global citizenship. Special Topics Course, US and Global Citizenship"
"AAST302","The Black Church","3","College of Arts & Sciences Courses","A survey of mainstream Christian expressions of black spirituality as well as other forms of sacred collective consciousness. Study of local churches and theology is encouraged. Experiential Learning, PW: Global Engagement"
"AAST303","Education Of Southern Blacks","3","College of Arts & Sciences Courses","A study of the ""miseducation"" of Africans in America. The course explores education for blacks from West Africa at the middle of the second millennium and early American society to the emergence of the separate school system of the 19th and 20th centuries. Experiential Learning, PW: Global Engagement"
"AAST306","Black Women in America and the Diaspora","3","College of Arts & Sciences Courses","The course explores the varied lived experience of Black women in the United States from the eighteenth into the twenty first century, from the perspective of both US and Global citizenship.  Though its foundation is in contemporary history, the course engages in interdisciplinary frameworks to interrogate class, ethnicity, sexuality, US regional, and international perspectives.  The class will complicate “race,"" “nation,” and citizenship, both in the US and globally, and examine the influences of Black women’s activism, political participation, and creative output. US and Global Citizenship"
"AAST310","African American Organizing From 1877 to the Present: Defining Citizenship in America","3","College of Arts & Sciences Courses","This course offers a semester-long exploration into the ways in which African Americans have mobilized and organized to define US citizenship in the struggle for civil rights from the late 19th century to the present. In this course, students will consider how race, gender identity, class, national identity, and/or historical moments have shaped the ways in which African Americans have organized and mobilized historically, and in doing so defined what we mean by citizenship in the society. What is the scope of political activism, what are the limits on personal liberty and political organization permitted in US society? Students will therefore also explore and interrogate the different strategies African Americans deployed in pursuit of these larger civil rights goals and what problems African Americans faced in their efforts to organize. Through a diverse set of readings, class discussion, and writing assignments, this course ultimately asks students to not only identify the range of movements led by African Americans for civil rights but ask and answer the question of what constitutes a movement and/or a movement leader, and what is meant today with the idea of citizenship. US and Global Citizenship"
"AAST322","Slave Resistance","3","College of Arts & Sciences Courses","This course introduces students to the major themes, questions, primary sources, monographs, and fiction in regards to slave resistance in the United States and Atlantic World. Specifically, course readings and assignments will revolve around agency and empowerment of enslaved individuals, power relations between masters and enslaved individuals and the various forms of resistance (everyday acts, runaways, rebellions, and marronage). PW: Global Engagement"
"AAST323","Hate Crimes","3","College of Arts & Sciences Courses","What are the causes and consequences of bias-motivated crimes? What are the larger social and political contexts? In this class, students will examine how bias-motivated violence receives attention in the media, how and why hate crimes legislation came to be seen as a necessary legal tool to curb crimes based on race, gender, gender identity, religion, and sexual orientation. Students will also explore the opposition to such laws and the degree to which communities are able to respond to incidents of bias-motivated violence. Students will also explore the proliferation of hate groups and the impact of those groups on social and political debates over hate crimes laws. PW: Global Engagement"
"AAST328","Introduction to African Diaspora History","3","College of Arts & Sciences Courses","This course serves as an introduction to the histories and cultures of the African diaspora, which is loosely defined as the dispersal of African descended people throughout the world. The course moves from antiquity to the present, through various lands and cultures, while studying forced and voluntary movement of Africans and their descendants. While many readings will draw heavily from historical analysis; however, the course is interdisciplinary in nature. Students will ask questions about identity formation, the reasons for dispersal, differing historical conceptions of citizenship, and how an African presence has influenced culture, technology, and industry throughout the world. "
"AAST329","20th Century Black History","3","College of Arts & Sciences Courses","The course surveys African American history from the end of Reconstruction to the present day. The course uses specific themes for each course semester, and is repeatable. An example of a theme is “Racism and Resistance in the 20th Century,” where the focus is on the production of racist ideas and how black communities resisted and/or reproduced these ideas in the US. This course employs an intersectional approach to African American history by intentionally including the experiences of women, LGBTQ communities, children, and others who have traditionally been relegated to the margins of African American history narratives. It will use a combination of music, film, and selected readings to build upon students’ prior understanding of African American history. Special Topics Course"
"AAST330","African Diasporic Music and US and Global Citizenship","3","College of Arts & Sciences Courses","Black American music, as a reflection of the African diaspora, has always soundtracked, reflected, and reshaped the history of the United States. This course will examine that relationship, centering on music’s central role in the experiences of Black Americans from the era of enslavement through modern struggles for freedom, citizenship, and justice. Students will think about key artists, styles, movements, and innovations, from West African sounds to hip-hop and beyond. Students will also think about key historical contexts from across eras as they examine what Black music can teach about larger questions of culture, citizenship, economics, and identity. The course methodology will use a variety of sources, including music, to think about how understanding Black music can reshape larger ways of thinking and working historically. US and Global Citizenship"
"AAST335","Black Internationalism","3","College of Arts & Sciences Courses","This course interrogates the varied ways that people of African descent have worked to craft political and international visions of belonging, freedom, citizenship, and decolonization throughout the late-nineteenth and twentieth centuries.  The course will center locations in the United States, France, the Caribbean, Russia, China, and Latin America, while paying close attention to the role of women and gender. US and Global Citizenship"
"AAST336","Concepts of Race and Racism","3","College of Arts & Sciences Courses","Analysis of American social structure, demographic and institutional trends over time related to race and the description of racism. This course offers a critical introduction to the conditions of possibility for the complexity of contemporary thinking about race, with particular emphasis on 1) racial slavery and anti-blackness as ontological claims, 2) diasporic and anti/de colonial meditations as traveling theories, 3) convention and community as political claims, and 4) the relationship between race as an idea and citizenship. Students will begin the course with the working assumption that slavery is usually thought to be at the root of the problem of race and racism. In order to excavate this assumption, students will survey debates on 1) the origin and history of race and racism (from the Ancients to the early moderns); 2) the deployment of categories in contested proximity to race (from class to gender); and 3) the development of different conceptual paradigms (from double consciousness to political ontology) to parse the relationship between race and the world, how persons think of citizenship and community. Instead of resolving these debates, the problem-based approach will emphasize how the scope and framing of texts bear on present problematics. In doing so, students will learn to mobilize class readings as theoretical and historical tools in interpreting and interrogating responsibility toward the themes in relation to the idea of citizenship, US and Global, as a place holder for the problem of difference and sameness. PW: Global Engagement, US and Global Citizenship"
"AAST345","Black Politics","3","College of Arts & Sciences Courses","This course examines the historical origins and present framework of Black politics, including the civil rights movement, Black political culture, local and community politics, and current and future issues for Black America such as Black imagery in television/film, Black feminism, sexuality, the War on Drugs, the impact of mass incarceration, and modern social justice and protest movements like #BlackLivesMatter. Students will explore questions regarding the history of race in American political life as well as how race has shaped a broader national identity. And evaluate what concepts like “equal treatment under the law” and “liberty and justice for all” mean with respect to the legacy of Black political participation. Experiential Learning, PW: Global Engagement"
"AAST350","Topics African American Lit","3","College of Arts & Sciences Courses","A cross-genre survey of African American literature, historical events, and critical movements. Authors may include Frederick Douglass, Harriet Jacobs, Richard Wright, Zora Neale Hurston, Nella Larson, Langston Hughes, and Toni Morrison. Special Topics Course"
"AAST352","Social Inequality","3","College of Arts & Sciences Courses","The course provides a unique perspective on the problems of US and Global Citizenship. Social inequality refers to the systemic and uneven distribution of people across social categories based on achieved and ascribed characteristics. Different cultures and societies vary in the amount of, and extent to which, inequalities exist within them. This course focuses on social inequality in the United States as a problem of citizenship, with a comparison to other cultures and societies for reference. In this course, we analyze the inequalities of power, privilege, and access as they relate to class, political status, sex and gender, sexual orientation, and race. We will examine the causes and consequences of the many types of inequalities present in our society through a variety of ways, including television/movie/documentary, pop culture, current events, and scholarly analysis. PW: Exec Systems  Structures, US and Global Citizenship"
"AAST366","Civil Rights, Literature, and Political Thought","3","College of Arts & Sciences Courses","This course will investigate major persuasive texts of the Civil Rights era, broadly defined from the 1940s to 1970s. Students will read fiction, poetry, journalism, government reports, and other kinds of texts dealing with major political and social questions from this era. Students will track three themes in particular: how does the state take up ideas and arguments from academics, activists, and communities in its definition of citizenship? How were white American interests and beliefs as a specific problem of citizenship addressed by writers of this era? How did writers attempt to mobilize and radicalize black Americans and thereby redefine what was meant by citizenship in the society as the struggle wore on?. US and Global Citizenship"
"AAST375","Freedom Beyond Rights","3","College of Arts & Sciences Courses","Feminism understands itself to be fundamentally liberatory - that is, concerned with increasing liberty, particularly (but not exclusively) of women. Feminist political theory often treats freedom within a liberal framework that prioritizes individual rights: for example, the right to control one’s reproductive health, the right to equal pay, or the right not to experience harassment. According to this framework, to be free is to enjoy one’s rights without interference or limitation. The aim of this course is to think about freedom beyond rights. Specifically, we will consider what it means to be a free political actor, whether freedom is the highest political good, whether, and how, freedom is compatible with other values, such as equality and justice, and how different kinds of politics, social norms, and modes of living might affect attempts to increase and experience freedom. PW: Exec Systems  Structures"
"AAST395","Special Topics","3","College of Arts & Sciences Courses","Examination of selected problems and issues in Sociology, African American Studies, and Women's Studies. May be taken a total of six times, with different topics. Special Topics Course"
"AAST401","Black Intellectual Thought","3","College of Arts & Sciences Courses","An upper level seminar designed to provide students with an in-depth study of major intellectual debates and mvoements that have shaped the politics, history and identities of the people of African descent in the United States and the African diaspura.  The course will combine methodologies and concepts from multiple disciplines including, history, political theory, literature, women's studies, sociology, pyschology and philosophy. Prerequisite(s):AAST 201andAMS 201"
"AAST402","Special Topics","3-9","College of Arts & Sciences Courses","An examination of selected African American topics. May be repeated for a maximum of 9 hours. Special Topics Course"
"AAST410","Denizenship and Citizenship","3","College of Arts & Sciences Courses","Denizenship, immigration, refugees, and the settler. The class will explore the concept of the citizen in relation to these complex processes by which human beings find meaning in place, in the sojourn, and in their relationships with others. Students will learn about the complexity of the contemporary politics of citizenship both in the US and as a global concept. US and Global Citizenship"
"AAST412","Slavery America Popular Cult","3","College of Arts & Sciences Courses","An examination of slavery in popular culture from the 1840s to the present. Topics and media include fiction, autobiography, film and television, advertising, and confederate celebrations. Prerequisite(s):AAST 201"
