"code","level","title","credits","description"
"CMLIT 420R","","12th-C Renaissance",3.0,""
"CMLIT 420R","","17th-Century Lit",3.0,"Problems of literary periodization in the 17th century."
"CMLIT 620R","","17th-Century Lit",3.0,""
"CMLIT 620R","","18th-Century Lit",3.0,""
"CMLIT 420R","","18th-Century Lit",3.0,"Problems of literary periodization in the 18th century."
"FREN 690R","","19th C French Novelists",3.0,""
"LAW 555","","1L Skills Lab",1.0,"Develop and refine a range of skills that will improve performance on law school exams, on the bar, and in the practice of law."
"ART 320","","20th Century Art & Theory",3.0,"Survey of modernism and postmodernism with their varied theories and methodologies as related to visual culture and art."
"FREN 690R","","20th C French Novelists",3.0,""
"CMLIT 420R","","20th-Century Lit",3.0,"Problems of literary periodization in the 20th century."
"CMLIT 620R","","20th-Century Lit",3.0,""
"DESGD 341","","3-Dimensional Design",3.0,"An advanced studio course in three-dimensional design. 3-dimensional forms including packaging, environmental graphics, signage systems, and experience design. Appropriate material use and selection relative to sustainability will be emphasized. The tactile qualities of dimensional form and the development of strategic, viable design solutions will also be considered."
"DESPX 210","No","3D Modeling Principles",3.0,"Computer software programs relative to design disciplines."
"DES 480","No","3D Motion",3.0,"Continues the exploration of design and communication with motion and animation, including and especially designing in 3-D spaces. Design principles and storytelling concepts are employed to create short motion design projects."
"MUSIC 347R","","A Cappella Ensemble",1.0,"For Noteworthy and Vocal Point."
"PSYCH 210","No","History of Psychology",3.0,"Overview of psychological thinking from Ancient Greece to the present.  Emphasizes a critical stance toward the assumptions and implications of major psychological theories."
"MATH 371","No","Abstract Algebra 1",3.0,"Groups, group homomorphisms, rings, ideals, and polynomials."
"MATH 372","No","Abstract Algebra 2",3.0,"Fields, Galois theory, solvability of polynomials by radicals."
"CPSE 615","","Acad & Beh Problem Solving",4.0,"Training future Board Certified Behavior Analysts (BCBAs) in the skills necessary to shape, develop, and strengthen behavior in a school or clinic. Emphasis on problem solving skills within an MTSS framework such as (1) collaborating with colleagues, (2) consulting with other service providers, and (3) coaching individuals in need of additional professional support."
"ACC 517","","Archival Research Design",1.5,"Accounting research using archival methodologies.  Focus on reading, interpreting, critiquing, and designing archival research.  Designed for those planning to enter a PhD program."
"CPSE 609","","Acadmc Assessment & Intrvntn",4.0,"Curriculum-based evaluation integrated with standardized academic assessment of reading, writing, and math. Identifying academic needs; developing research-based interventions; setting goals; monitoring progress; and adapting interventions as needed."
"ACC 518","","Experimental Research Design",1.5,"In-depth study of accounting research using experimental methodologies.  Focus on reading, interpreting, critiquing, and designing experimental research.  Designed for those planning to enter a PhD program."
"JAPAN 399R","","Academic Internship",9.0,"On-the-job cultural and/or language experience."
"ACINT 199R","","Academic Internshp",3.0,"Planned and supervised on-the-job experience, including cooperative education, internships, and practica; allows students to integrate classroom study with the world of work."
"MESA 399R","No","Academic Internship",3.0,"Individualized work or volunteer experience in the Middle East or with an organization dealing with the Middle East.  Must be coordinated through International Study Programs or the Washington Seminar and with the consent of the Middle East Studies/Arabic  coordinator."
"CE 199R","","Academic Internship",3.0,"Work experience evaluated by supervisor and posted on student's transcript."
"HIST 299R","","Academic Internship",6.0,"Work experience evaluated by supervisor and posted on student's transcript."
"MMBIO 399R","","Academic Internship",9.0,"Approved experiential learning."
"MUSIC 599R","","Academic Internship",6.0,"Internship in creative, performing, producing, or teaching applications of major course work."
"CH EN 199R","","Academic Internship",3.0,"Work experience evaluated by supervisor and posted on student's transcript."
"FINN 399R","","Academic Internship",3.0,"On-the-job experience in Finnish."
"STAT 199R","No","Academic Internship",3.0,"Work experience evaluated by supervisor and posted on student's transcript."
"ENGL 399R","","Academic Internship",9.0,"On-the-job training."
