"course_code","course_title","department","credits","description"
"AERO 121","Aerospace Fundamentals","Aerospace Engineering (AERO)","2 units","Introduction to the engineering profession including the aeronautical and aerospace fields. Engineering approach to problem-solving and analysis of data obtained from experiments. Basic nomenclature and design criteria used in the aerospace industry. Applications to basic problems in the field. 1 lecture, 1 laboratory."
"AERO 200","Special Problems for Undergraduates","Aerospace Engineering (AERO)","1-4 units","Individual investigation, research, studies, or surveys of selected problems.  Total credit limited to 4 units."
"AERO 215","Introduction to Aerospace Design","Aerospace Engineering (AERO)","2 units","Introduction to problem solving techniques and team-centered design projects in aerospace engineering.  Primary emphasis on the solutions of design problems in aerospace engineering using computers.  2 laboratories."
"AERO 220","Aerospace Systems Engineering and Integration","Aerospace Engineering (AERO)","1 unit","Project-based study of fundamental systems engineering concepts including sub-system interface requirements, verification and validation, modeling/analysis/design, and implementation of complex aerospace systems.  1 laboratory."
"AERO 270","Selected Topics","Aerospace Engineering (AERO)","1-4 units","Directed group study of selected topics.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 lectures."
"AERO 299","Aerospace Thermodynamics","Aerospace Engineering (AERO)","4 units","Basics of thermodynamics, energy, systems and control volume analysis.  First law, second law, phase change and energy analysis for aerospace-relevant applications.  Entropy and exergy, cycle analysis (Rankine, Brayton, turbojets and turbofans).  Not open to students with credit in AERO 301.  3 lectures, 1 laboratory."
"AERO 300","Aerospace Engineering Analysis","Aerospace Engineering (AERO)","5 units","Analytical and numerical methods for aerospace engineering problems.  Topics include vector calculus, linear algebra, ordinary and partial differential equations, and Fourier transforms.  Computer tools and numerical methods as applied to problems in aerodynamics, structures, stability and control and astronautics.  Course may be offered in classroom-based or online format.  4 lectures, 1 laboratory."
"AERO 302","Aerospace Fluid Mechanics","Aerospace Engineering (AERO)","4 units","Properties of fluids, statics, mass/energy/momentum for aeronautical applications, external aerodynamics (lift and drag), dimensional analysis for scale testing, introduction to differential analysis and Navier-Stokes equations, basics of laminar and turbulent boundary layers.  3 lectures, 1 laboratory."
"AERO 303","Aerospace Gas Dynamics and Heat Transfer","Aerospace Engineering (AERO)","4 units","Basics of heat transfer and approaches to problem solving, steady heat conduction, convection (forced and natural), heat exchanger design, shock waves and compressible flow in nozzles and diffusers (normal, oblique, expansion waves), thermal radiation and applications.  3 lectures, 1 laboratory."
"AERO 306","Aerodynamics and Flight Performance","Aerospace Engineering (AERO)","4 units","Introduction to theoretical aerodynamics.  Primary emphasis in the subsonic region, including compressibility effects.  Basic aerodynamic theory:  Airfoil theory, wing theory, lift and drag.  Team-centered aerodynamic design.  Flight performance.  4 lectures."
