"subject","course_code","course_name","description","credits"
"Accounting (Graduate)","ACCT 5000","Financial and Managerial Accounting","Accounting concepts and tools for business organizations; covers the accounting model, financial statements analysis, cost control and behavior, pricing and budgeting. Some sections may be technologically mediated.","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5200","Management Accounting Theory","Management control theory; covers design of various types of responsibility centers, strategies and strategic planning, performance measurement and management planning compensation from an accounting perspective. Some sections may be technologically mediated.","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5210A","Taxation of Corporations and Partnerships","Topics include statues, regulations, administrative rulings, court decisions, procedural problems, tax management and planning relating to federal and California income taxes of corporations and partnerships.","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5210C","State and Local Taxation","Application of interstate income allocations; multi-state tax compact; separate apportionment accounting; foreign country sourced income; taxation of air transportation, mail order sales taxes, gross receipts taxes, highway taxes and the power to tax.","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5210D","IRS’ Volunteer Income Tax Assistance (VITA) Program","This course provides students with the knowledge to complete actual income tax returns and experience in completing returns for individuals.","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5220","Seminar: Current Topics in Financial Reporting","Topics include the objectives of financial statements, efficient capital markets, the standard setting policy, the uses of accounting data and how to process accounting information.","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5240A","Accounting Information Systems","This course focuses on the study of accounting systems and internal controls. The course covers the tools necessary to understand and evaluate accounting systems. Independent research in accounting systems is required.","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5240B","Auditing","Students gain an understanding of audit and assurance services, emphasizing financial statement audit opinions by independent auditors, auditing concepts and practices used in assurance services used in public practice.        ACCT 4240A  ACCT 5240A","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5250","International Accounting","Selected analytical and policy issues underlying current developments in international accounting. Some sections maybe mediated using interactive technology.","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5260","Financial Accounting Theory","Advanced analytical concepts implicit in contemporary accounting practice; current developments in accounting techniques; specific applications to major aspects of financial statements. Some sections maybe mediated using interactive technology.","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5270","Governmental and Institutional Accounting","The course covers the principles and problems of fund accounting for state and local governments and nonªprofit organizations. The different funds used, financial statements, and unique issues facing state and local governments are covered. Also the funds and financial statements for non-profit organizations are introduced. Some sections may be technologically mediated.","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5290","Advanced Financial Accounting","Topics include business combinations and consolidations and pension accounting, post-employment benefits, share-based compensation, earnings per share, deferred taxes and partnerships. Some sections may be technologically mediate.        ACCT 3200B","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5340","Professional Accounting Ethics","This course introduces students to common ethical dilemmas in the accounting profession along with ethical solutions. It emphasizes the ethical decision-making process for preparers and auditors of the financial statements.","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5350","Forensic Accounting","The course teaches the nature of forensic accounting, financial statement fraud and misappropriation of assets and the skills to detect, investigate, and prevent fraudulent acts.        ACCT 4240B  ACCT 5240B","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5360","Advanced Forensic Accounting","The course builds on the nature of forensic accounting, financial statement fraud, and misappropriation of assets - detection, investigation, and prevention. The course enhances students’ professional skills by applying techniques necessary to investigate, detect, and prevent fraud through case studies and simulations.        ACCT 4240A  ACCT 5240A","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5440A","Advanced Accounting Information Systems","This course focuses on the study of accounting information systems and internal controls. The course will provide the student with the tools necessary for designing, building, and evaluating accounting information systems. Independent research in accounting information systems is an integral part of this course.        ACCT 4240A  ACCT 5240A","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5440B","Advanced Auditing","This course examines advanced cases in auditing. Auditors’ responsibilities to users and clients are addressed through the use of case studies and group projects. Challenging audit situations are discussed and the auditor’s ethical obligations are also emphasized. Students are also trained to use audit software and electronic working papers.        ACCT 4240A  ACCT 5240A","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5540","Special Topics in Accounting","In-depth presentation and analyses of topics significant to contemporary business world; lectures, discussions, speakers, and research projects.","3 lecture hour(s)"
"Accounting (Graduate)","ACCT 5610","CPA Exam Preparations","The course makes students aware of the requirements to sit for the CPA; the process to apply for the exam; and the topics tested on the CPA exam. Students are also introduced to the software used on the CPA exam and other test taking techniques to improve their performance on the exam.","1 lecture hour(s)"
