"subject","course_code","course_name","description","credits"
"Accounting","ACCT  8510","Tax Research","Tax research methodology as applied to the solution of routine and complex tax problems emphasizing the methodology of solution rather than a specific tax area.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8520","Financial Accounting Theory and Research","Evolution of financial accounting theory and its application to contemporary reporting. Emphasis is on learning to research, document and present a rationale for a recommended alternative. Research problems are derived from actual audit disputes concerning financial presentation.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8530","Advanced Accounting Problems","Study of specialized aspects of financial reporting, including business combinations, fund accounting and emerging practices and developments in financial accounting.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8540","Ethical, Professional and Societal Responsibilities","Study of ethical and societal responsibilities and constraints that define and affect the practice of accountancy. Includes selected readings and cases.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8550","Governmental and Nonprofit Accounting","Provides an in-depth understanding of the unique environment, concepts and procedures of accounting, financial reporting, auditing and budgeting of governmental and not-for-profit organizations.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8560","CPA Exam Review-A","Preparation for the auditing and attestation section of the Certified Public Accountant exam. Must be completed prior to receiving MPAcc degree. Does not contribute hours toward degree completion.  To be taken Pass/No Pass only.   Preq: Enrollment in MPAcc program.","0 Credits (0 Contact Hours)"
"Accounting","ACCT  8570","CPA Exam Review-D","Preparation for the discipline-specific section of the Certified Public Accountant exam. Must be completed prior to receiving MPAcc degree. Does not contribute hours toward degree completion.  To be taken Pass/No Pass only.   Preq: Enrollment in MPAcc program.","0 Credits (0 Contact Hours)"
"Accounting","ACCT  8580","CPA Exam Review-F","Preparation for the financial accounting and reporting section of the Certified Public Accountant exam. Must be completed prior to receiving MPAcc degree. Does not contribute hours toward degree completion.  To be taken Pass/No Pass only.   Preq: Enrollment in MPAcc program.","0 Credits (0 Contact Hours)"
"Accounting","ACCT  8590","CPA Exam Review-R","Preparation for the regulation section of the Certified Public Accountant exam. Must be completed prior to receiving MPAcc degree. Does not contribute hours toward degree completion.  To be taken Pass/No Pass only.   Preq: Enrollment in MPAcc program.","0 Credits (0 Contact Hours)"
"Accounting","ACCT  8620","Financial Auditing","Advanced course in financial auditing to provide a framework for thinking about contemporary auditing and assurance issues and evaluating alternative rationales regarding the value and purpose of an audit as well as conducting financial audit research.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8630","Forensics and Analysis","Study of forensic and fraud principles that relate to asset misappropriations, corruption and fraudulent financial statements. Emphasis is placed on examination and review of major fraud schemes, investigative strategies and controls used to prevent and detect the impact fraud has on an organization.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8640","Accounting Information Systems","Accounting systems including database concepts, systems design and evaluation, systems controls and systems implementation.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8650","Taxation of Business Decisions","Discusses the interrelationship of taxation and business decisions. Designed for students not specializing in taxation.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8670","International Accounting","Contemporary accounting theory and practice from an international perspective. Comparative accounting, auditing and governance systems in various countries based on prevailing practice in the United States. Technical issues covered include accounting for foreign currency transactions, international transfer pricing, international financial statement analysis, and strategic accounting issues for multinational corporations.     Preq: Enrollment in the Master of Professional Accountancy program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8680","Advanced Accounting Analytics","This course provides an advanced examination of accounting data analytics with a focus on analyzing data, interpreting results, and communicating findings to relevant stakeholders.     Preq: Enrollment in the Master of Professional Accountancy program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8690","Analytics in Accounting Practice","This course provides a link between academic instruction and analytics in accounting practice. Current and emerging techniques within accounting practice are discussed and examined.     Preq: Enrollment in the Master of Professional Accountancy program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8710","Federal and State Income Taxation of Corporations","Discusses tax principles and concepts involved in corporate-shareholder transactions, tax planning of corporations, Subchapter C and related provisions of the Internal Revenue Code.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8720","Taxation of Flowthrough Entities","Covers federal income taxation of entities treated as partnerships, S corporations, estates and trusts.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8730","International and Special Topics in Taxation","Seminar on international and special topic areas that impact practicing tax professionals.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8740","Tax Aspects of Financial Planning","Covers federal estate and gift tax laws; federal income tax laws related to trusts and estates.     Preq: Enrollment in the MPAcc program.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8750","State, Local and Advanced Topics in Taxation","Explores state and local income taxation issues and planning, retirement plans, deferred compensation plans, IRS practice and procedures and current sophisticated developments in taxation.     Preq: Enrollment in the MPAcc program..","3 Credits (3 Contact Hours)"
"Accounting","ACCT  8810","Internal Controls for Financial Information Reporting","Advanced study of internal controls related to significant financial reporting information. This course covers understanding and evaluation of significant financial reporting business processes from inception to completion, risk identification and internal control design, testing, and evaluation.     Preq: Enrollment in the Master of Professional Accountancy program.","3 Credits (3 Contact Hours)"
"Advanced Manufacturing","AMFG  6200","Collaboration and Teamwork in Manufacturing Systems","Topics of this course focus on the intersection of teamwork in manufacturing environments. The courses is transdisciplinary with a focused application in manufacturing. Topics include dimensions of collaborative engineering; team dynamics and tools to manage interpersonal issues in the manufacturing environment; communication tools and methods for management; production project planning; and team motivation strategies.","3 Credits (3 Contact Hours)"
"Advanced Manufacturing","AMFG  6800","Practicum Experience in Advanced Manufacturing","Students solve open-ended, real world manufacturing process and system design problems typically provided by industrial partners. Students experience various aspects of a team project design process, including development of a mission statement, selection of appropriate design, methodologies, project management, economic decision making, recommendation justification, reporting and presentation.       Coreq: AMFG 6801  .","3 Credits (1 Contact Hours)"
"Advanced Manufacturing","AMFG  6801","Practicum Laboratory in Advanced Manufacturing","Non-credit laboratory to accompany AMFG 6800  .       Coreq: AMFG 6800  .","0 Credits (6 Contact Hours)"
"Advanced Manufacturing","AMFG  6930","Special Topics in Advanced Manufacturing","Special topics in advanced manufacturing are explored. May be repeated for a maximum of nine credits if the content of subsequent offerings is meaningfully different from the previously taken version.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  6020","Production Economics","Application of production economic principles and modern decision-making techniques to the agricultural firm. The quantitative use of profit, productions and cost functions to analyze the input and output decisions of the agricultural firm seeking to maximize firm profit in constrained and unconstrained settings.     Preq: Consent of instructor.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  6080","Quantitative Agribusiness Analysis II","Regression analysis, linear programming, and risk efficiency analysis techniques are presented and applied to agribusiness firms to improve firm economic efficiency. Microcomputer optimization and statistical software packages are utilized to develop firm level strategic plans to achieve efficient agribusiness outcomes in no risk and risky economic environments.     Preq: AGRB 2080.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  6090","Commodity Futures Markets","Introduction to the economic theory, organization, and operating principles of agricultural commodity futures markets in the United States. Emphasizes speculating, hedging, and investing in agricultural commodity futures contracts from the standpoint of the agribusiness entrepreneur.     Preq: AGRB 2080 and AGRB 3090 and AGRB 3190, each with a grade of C or higher.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  6110","Regional Impact Analysis","Techniques for analysis of the growth and decline of regions, including economic-base theory, shift share, regional input-output, regional econometric models, and fixed impact models.     Preq: AGRB 2020; or both ECON 2110 and ECON 2120.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  6120","Regional Economic Development Theory and Policy","Development of rural economic activity in the context of historical, theoretical, and policy aspects of friction associated with spatial separation. Considers location factors, transfer costs, location patterns, and regional-growth policy.     Preq: Senior standing; and AGRB 2080 with a grade of C or higher; and one of AGRB 2020 or ECON 2000 or ECON 2110 with a grade of C or higher.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  6130","Advanced Real Estate Appraisal","Topics include highest and best use analysis, data collection, and analyses. Stresses advanced appraisal procedures for income, cost, and comparable sales approach to real estate valuation. Covers eminent domain, the appraisal of property in transition, and specialized property.     Preq: AGRB 3130 or FIN 3070.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  6210","Globalization","Utilizes basic principles of international economics (comparative advantage, free trade versus protectionism, exchange rate determination, etc.) to analyze the contemporary problems and issues of the world economy. Emphasizes application of economic principles to current globalization trends.     Preq: AGRB 2020 or ECON 2000 or ECON 2110.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB (PES) 6260","Cropping Systems Analysis","Application of agronomic and economic principles in solving problems related to the production and marketing of agronomic crops. Major part of the course is a case study in which detailed analysis of a farm, agribusiness, or environmental situation is made with students making formal written and oral presentations of results.    May also be offered as PES 6260  . Preq: PES 1040; and Junior standing; and AGRB 2020 or ECON 2000 or ECON 2110.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  6520","Agricultural Policy","Review of public agricultural policy programs in the United States and a critical examination of current and proposed government policies and programs affecting the agricultural sector of the economy. Includes economic considerations as related to past and current farm price and income problems.     Preq: Senior standing; and AGRB 2020 and AGRB 3570, each with a grade of C or higher.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  6560","Prices","Review of the basic theory of price under competitive conditions and various modifications; nature, measurement, and causes of daily, seasonal, and cyclical price fluctuations; geographical price relationships; nature, function, and behavior of futures markets; government price programs.     Preq: Senior standing; and AGRB 2080 or ECON 4050, each with a grade of C or higher; and ECON 3140 with a grade of C or higher.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  6570","Natural Resource Use, Technology and Policy","Focuses on economic analyses of actual, efficient, and sustainable uses of natural resources, impacts of technologies that affect these uses, and policies that affect development and use of such technologies. Resource-technology-policy combinations may vary, but an example is crude oil, hybrid automotive engines, and fuel economy standards.     Preq: MATH 1020 or MATH 1060; and AGRB 3570 or CRD 3570 or ECON 3140.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  6600","Agricultural Finance","Study of the principles and technique of financing in the agricultural sector. Topics include the capital situation in agriculture, concepts of farm financial management, use of credit, capital markets, lending agencies, and estate planning.     Preq: AGRB 2020 and AGRB 2080 and AGRB 3020, each with a grade of C or higher.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB (WFB) 6750","Economics of Wildlife Management and Policy","Integrated approach to the study of the economics of wildlife. Topics include determination of market and nonmarket value, single and multiple species management, enterprise cost and returns, marketing wildlife, leasing methods, complementarity and competitiveness with agricultural and forestry enterprises, and timber and crop damage cost estimates and control.    May also be offered as WFB 6750  . Preq: AGRB 2020 or ECON 2000 or ECON 2110 or FOR 3040 or WFB 3060.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  8030","Agribusiness Research Methodology","Students develop a comprehensive understanding of the research process used in agribusiness and economic research, enabling the to define research problems, develop research problem statements with objectives and testable hypothesis, and develop skills to effectively communicate research in verbal and written form.     Preq: Graduate standing.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  8080","Empirical Methods for Agricultural Economists","Simple regression analysis is reviewed. Multiple regression analysis is introduced, followed by additional topics, such as binary models applied to agribusiness, agricultural production and consumer preferences towards agricultural products. The models are estimated using statistical packages.     Preq: STAT 8010  .  Coreq: AGRB 8081  .","3 Credits (2 Contact Hours)"
"Agribusiness","AGRB  8081","Empirical Methods for Agricultural Economists Laboratory","Non-credit laboratory to accompany AGRB 8080  .       Coreq: AGRB 8080  .","0 Credits (3 Contact Hours)"
"Agribusiness","AGRB  8090","Commodity Market Analysis","In this applied course, students are introduced to common research topics and techniques used in agricultural price and commodity market analysis. By focusing on agricultural markets, students gain an understanding of the use, strengths, and limitations of time series and forecasting econometric models.     Preq: AGRB 8080  .","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  8230","Advanced Agribusiness Management","Explores the strategic techniques agribusiness managers use to enhance firm profits by developing and applying economic logic to firm level problems, synthesizing data from relevant agricultural industries to identify and analyze opportunities, and refine written and oral communication skills essential to effective agribusiness management. Students are expected to have completed a course covering the same content as AGRB 3190 before enrolling in this course.     Preq: Graduate standing.","3 Credits (3 Contact Hours)"
"Agribusiness","AGRB  8910","Master’s Thesis Research","Student conducts master’s thesis research and/or writes his/her thesis. The research topic is directly related to the student’s thesis and must be agreed upon by the studnet and his or her major professor prior to registration. May be repeated for a maximum of 24 credits. To be taken Pass/No Pass only.","1-12 Credits (1-12 Contact Hours)"
"Agribusiness","AGRB  9910","Doctoral Dissertation Research","Student conducts doctoral research and/or writes his/her dissertation. The research topic is directly related to the student’s dissertation and must be agreed upon by the studnet and his or her major professor prior to registration.  To be taken Pass/No Pass only.","1-12 Credits (1-12 Contact Hours)"
"Agricultural Education","AGED  6000","Supervised Field Experience II","1 Credit (3 Contact Hours)  Special emphasis is placed on enhancing existing knowledge and experiences of the students. Primary focus is on becoming acquainted with the student teaching center well in advance of the customary twelve-week directed teaching experience.",""
"Agricultural Education","AGED  6010","Instructional Methods in Agricultural Education","Appropriate methods of teaching vocational agriculture in high schools. Includes procedures for organizing teaching programs, teaching high school students, and directing FFA activities.       Coreq: AGED 6011  .","3 Credits (2 Contact Hours)"
"Agricultural Education","AGED  6011","Instructional Methods in Agricultural Education Laboratory","Non-credit laboratory to accompany AGED 6010  .       Coreq: AGED 6010  .","0 Credits (3 Contact Hours)"
"Agricultural Education","AGED  6030","Principles of Adult/Extension Education","Overview of adult/extension education and adult learning. Selection of adult education providers is reviewed with emphasis on extension.     Preq: Junior standing.","3 Credits (3 Contact Hours)"
"Agricultural Education","AGED  6060","Directed Teaching","Guided participation in the professional responsibilities of a teacher of vocational agriculture, including intensive study of the problems encountered and competencies developed. Twelve weeks of directed teaching in selected schools are required.      Preq: AGED 6000  , AGED 6010  , AGED 6230  , and AGED 6250  .","12 Credits (36 Contact Hours)"
"Agricultural Education","AGED  6150","Leadership of Volunteers","Provides an overview of volunteer management. Examines the knowledge, skills, and abilities required of professional managers to involve volunteers effectively in the work of organizations.","3 Credits (3 Contact Hours)"
"Agricultural Education","AGED  6160","Ethics and Issues in Agriculture and the Food and Fiber System","Explores ethical theories, concepts of critical thinking, and major ethical issues in American agriculture. The major social, political, economic, and ethical issues that arise in connection to the “food and fiber system” are examined and potential solutions considered.","3 Credits (3 Contact Hours)"
"Agricultural Education","AGED  6230","Curriculum","Curriculum goals and related planning for career and continuing education programs.","3 Credits (3 Contact Hours)"
"Agricultural Education","AGED  6250","Teaching Agricultural Mechanics","Instruction in organizing course content, conducting and managing an agricultural mechanics laboratory, shop safety, microteaching demonstrations of psychomotor skills, and methods of teaching manipulative abilities.       Coreq: AGED 6251  .","2 Credits (1 Contact Hours)"
"Agricultural Education","AGED  6251","Teaching Agricultural Mechanics Laboratory","Non-credit laboratory to accompany AGED 6250  .       Coreq: AGED 6250  .","0 Credits (3 Contact Hours)"
"Agricultural Education","AGED  6280","Special Studies in Agricultural Education","Students study, individually or collectively, selected topics and/or problems in agricultural education to meet the particular needs of the clientele enrolled. May be repeated for a maximum of six credits.","1-3 Credits (1-3 Contact Hours)"
"Agricultural Education","AGED  6400","Program Development in Adult/Extension Education","Principles, theory, and practice in planning and conducting educational programs in adult/extension settings.     Preq: Junior standing.","3 Credits (3 Contact Hours)"
"Agricultural Education","AGED  6500","Modern Topics and Issues","Students select a major area of concern to teachers of agriculture and county agents for intensive study at least one semester prior to offering the course. When feasible, team teaching with faculty from other departments in the College of Agriculture, Forestry and Life Sciences is utilized.","3 Credits (3 Contact Hours)"
"Agricultural Education","AGED  6800","Foundations of Digital Media and Learning","Critical use of digital media for leadership and learning within societal and educational contexts. Course focuses on learner impact while exploring and evaluating technology-enhanced applications. Competencies with new media literacies are developed and cultural, ethical and participatory implications are addressed. Designed to meet Read to Succeed requirements. Registration preference may be given to students enrolled in a teacher education program.       Coreq: AGED 6801  .","3 Credits (2 Contact Hours)"
"Agricultural Education","AGED  6801","Foundations of Digital Media and Learning Laboratory","Non-credit laboratory to accompany AGED 6800  .       Coreq: AGED 6800  .","0 Credits (2 Contact Hours)"
"Agricultural Education","AGED  6810","Web Design for the Life Sciences and Agriculture","Addresses basic principles and theories of Web design and site construction, including usability and accessibility considerations. Web and graphics design software are used to develop sites suitable for life science and agricultural organizations. Service-learning is used with student projects.     Preq: AGED 2000 and CPSC 1200.  Coreq: AGED 6811  .","3 Credits (2 Contact Hours)"
"Agricultural Education","AGED  6811","Web Design for the Life Sciences and Agriculture Laboratory","Non-credit laboratory to accompany AGED 6810  .       Coreq: AGED 6810  .","0 Credits (2 Contact Hours)"
"Agricultural Education","AGED  6820","Advanced Educational Applications of Microcomputers","Provides students with the knowledge and skills needed to apply microcomputer technology to the utilization and generation of educational software in accordance with sound educational principles.     Preq: AGED 4800 or EDF 4800.  Coreq: AGED 6821  .","3 Credits (2 Contact Hours)"
"Agricultural Education","AGED  6821","Advanced Educational Applications of Microcomputers Laboratory","Non-credit laboratory to accompany AGED 6820  .       Coreq: AGED 6820  .","0 Credits (2 Contact Hours)"
"Agricultural Education","AGED  7360","Internship Teaching","Increases professional competency and program development through classroom and practical experiences in planning, conducting and evaluating educational programs.   Offered spring semester only.    Coreq: AGED 7361  .","3 Credits (1 Contact Hours)"
"Agricultural Education","AGED  7361","Internship Teaching Laboratory","Non-credit laboratory to accompany AGED 7360  .       Coreq: AGED 7360  .","0 Credits (6 Contact Hours)"
"Agricultural Education","AGED  7370","Internship in Agribusiness Firms","Provides classroom and practical experiences in selected agricultural businesses and industries. Students identify and practice entry-level competencies required in selected agribusiness and natural resource management enterprises.   Offered summer session only.    Coreq: AGED 7371  .","3 Credits (1 Contact Hours)"
"Agricultural Education","AGED  7371","Internship in Agribusiness Firms Laboratory","Non-credit laboratory to accompany AGED 7370  .       Coreq: AGED 7370  .","0 Credits (6 Contact Hours)"
"Agricultural Education","AGED  7500","Special Institute Course: Selected Topics in Agricultural Education","Subject areas organized according to institute needs. Topics vary from course to course. May be repeated for a maximum of nine credits.    Preq: Consent of instructor.","1-3 Credits (1-3 Contact Hours)"
"Agricultural Education","AGED  8010","Systems for Technology Transfer","Development of a philosophical foundation and utilization of cooperative learning strategies and techniques to disseminate effectively technological change for expanding clientele and diverse socioeconomic environments.","3 Credits (3 Contact Hours)"
"Agricultural Education","AGED  8040","Special Problems","Planning, conducting and reporting a special problem in agricultural and vocational education appropriate to students’ needs.       Coreq: AGED 8041  .","3 Credits (2 Contact Hours)"
"Agricultural Education","AGED  8041","Special Problems Laboratory","Non-credit laboratory to accompany AGED 8040  .       Coreq: AGED 8040  .","0 Credits (3 Contact Hours)"
"Agricultural Education","AGED  8100","Clinical Research in Agricultural Education","Individual work on an assigned research topic in agricultural education. May be repeated for a maximum of nine credits.    Preq: STAT 8010  ; and AGED 8890  or ED 8890  .","1-6 Credits (1-6 Contact Hours)"
"Agricultural Education","AGED  8120","Development of Supervised Agricultural Experience Programs","Provides secondary agriculture teachers with strategies for supervising and guiding students’ supervised agricultural experiences (SAE).","3 Credits (3 Contact Hours)"
"Agricultural Education","AGED  8150","Teaching Agricultural and Power Mechanics","Methods of determining course content, organizing teaching modules in logical sequence, equipping shop, teaching agricultural and power mechanics to farm and agribusiness clientele, providing individualized instruction and developing off-farm experience programs.   Offered summer session of odd-numbered years only.    Coreq: AGED 8151  .","3 Credits (2 Contact Hours)"
