"subject","course_code","course_name","description","credits"
"Other Courses","LARC  2630","Urban Design Seminar","Urban design theory and practice covering both project design and regulatory frameworks; analysis of historical precedents and current theories; and review of the urban design process, including urban landscape analysis, problem identification, development of alternatives, and plan generation. Special focus is placed on form-based codes.       Preq: Sophomore standing.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  2010","Financial Accounting Concepts","Introduction to accounting principles with emphasis on the use of financial data and analysis of financial statements. Includes Honors sections.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  2020","Managerial Accounting Concepts","Introduction to managerial accounting with emphasis on using accounting information to make decisions. Includes Honors sections.     Preq: ACCT 2010  .","3 Credits (3 Contact Hours)"
"Accounting","ACCT  2900","Special Topics","Examination of timely topics important to student success in the accounting and/or business fields.     May be repeated for a maximum of six credits, but only if different topics are covered. Preq: Sophomore standing and consent of instructor.","1-3 Credits (1-3 Contact Hours)"
"Accounting","ACCT  3030","Cost Accounting","Application of cost analysis to manufacturing and distributing problems; analysis of behavior characteristics of business costs and a study of principles involved in standard cost systems; lectures and problems. Includes Honors sections.     Preq: ACCT 2010  with a C or better.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  3110","Intermediate Financial Accounting I","In-depth treatment of traditional financial accounting topics of standards setting, financial statement form and content, accounting changes and error corrections, and accounting and reporting of current and noncurrent assets. Emphasizes basic theory, valuation, and measurement issues, as well as presentation and analysis of accounting information. Includes Honors sections.     Preq: ACCT 2010  with a C or better.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  3120","Intermediate Financial Accounting II","Continuation of ACCT 3110  . In-depth treatment of accounting and reporting for current and noncurrent liabilities, equity, post-retirement benefits, leases investments, cash flows and income taxes. Emphasizes basic theory, valuation, and measurement issues, as well as presentation and analysis of accounting information. Includes Honors sections.     Preq: ACCT 3110  with a C or better.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  3130","Analytics for Accounting Decision Making","Examination of accounting information that emphasizes critical thinking skills and modeling to conduct appropriate analyses, interpret results, and communicate findings to relevant stakeholders. The overarching purpose of this course is to ensure students can use, understand, and analyze accounting data to identify issues and answer pertinent questions. Includes Honors sections.     Preq: ACCT 3110  with a grade of C or higher.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  3220","Accounting Information Systems","Study of computer-based accounting systems with attention to systems design, application, internal control, auditing the system, and system security.      Preq: ACCT 2010  with a grade of C or higher; and one of CPSC 2200  or MGT 2180  .","3 Credits (3 Contact Hours)"
"Accounting","ACCT  3980","Creative Inquiry in Accounting","In consultation with and under the direction of a faculty member, students pursue scholarly activities individually or in teams. These creative inquiry projects may be interdisciplinary. Arrangements with mentors must be established prior to registration.    To be taken Pass/No Pass only. May be repeated for a maximum of six credits.","1-4 Credits (1-4 Contact Hours)"
"Accounting","ACCT  3990","Internship in Accounting","Faculty-supervised accounting internship designed to give students learning opportunities that support their classroom experiences. Requires a minimum of six full-time weeks. Course enrollment and internship must occur in the same semester. Simultaneous credit cannot be received for another internship offering.    To be taken Pass/ No Pass only. May be repeated for a maximum of three credits. Preq: Junior standing and consent of instructor.","1-3 Credits (1-3 Contact Hours)"
"Accounting","ACCT  4040","Individual Taxation","Interpretation of Federal income tax laws, regulations, and court decisions with practice in application of these laws to the returns of individuals, partnerships, and corporations. Includes Honors sections.     Preq: ACCT 3110  with a C or better.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  4060","Business Taxation","Introduction to the importance of taxation in business decision making. Emphasizes the interrelationship of taxes, the choice of business form, and various business transactions; exposes students to the breadth of business decisions which are affected by the Federal Income Tax.      Preq: ACCT 3110  with a C or better.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  4080","Retirement and Estate Planning","Provides students with an understanding of the tax consequences of personal financial, retirement, and estate planning. Subjects include the basic concepts of retirement, gift, income shifting, and estate planning.      Preq: ACCT 4040  with a C or better.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  4100","Contemporary Reporting and Management Control Systems","Application of analyses and management control systems for contemporary business needs, including sustainability reporting, lean systems, capacity management, performance measures and incentive measures and incentive systems, and target costing.      Preq: ACCT 3030  with a C or better.","3 Credits (3 Contact Hours)"
"Accounting","ACCT  4150","Auditing","Study of professional and practical auditing theory. Includes a review of internal controls, audit procedures, and development of audit programs for various types of businesses. Considers auditors’ professional and ethical standards.      Preq: ACCT 3110  and ACCT 3220  , each with a C or better.","3 Credits (3 Contact Hours)"
"Advanced Manufacturing","AMFG  3800","Introduction to Manufacturing Systems and Processes","Students are introduced to how products are manufactured through team reverse engineering projects. Class discussions are driven by the students’ external research on manufacturing topics and students develop a system model to capture the complexity of the process.","3 Credits (3 Contact Hours)"
"Advanced Manufacturing","AMFG  4200","Collaboration and Teamwork in Manufacturing Systems","Topics of this course focus on the intersection of teamwork in manufacturing environments. The courses is transdisciplinary with a focused application in manufacturing. Topics include dimensions of collaborative engineering; team dynamics and tools to manage interpersonal issues in the manufacturing environment; communication tools and methods for management; production project planning; and team motivation strategies.   This 4000-level course has a 6000-level counterpart. Students should refer to the Graduate Catalog for the 6000-level description and requirements.","3 Credits (3 Contact Hours)"
"Advanced Manufacturing","AMFG  4800","Practicum Experience in Advanced Manufacturing","Students solve open-ended, real world manufacturing process and system design problems typically provided by industrial partners. Students experience various aspects of a team project design process, including development of a mission statement, selection of appropriate design, methodologies, project management, economic decision making, recommendation justification, reporting and presentation.      Preq: AMFG 3800  .  Coreq: AMFG 4801  .   This 4000-level course has a 6000-level counterpart. Students should refer to the Graduate Catalog for the 6000-level description and requirements.","3 Credits (1 Contact Hour)"
"Advanced Manufacturing","AMFG  4801","Practicum Laboratory in Advanced Manufacturing","Non-credit laboratory to accompany AMFG 4800  .        Coreq: AMFG 4800  .   This 4000-level course has a 6000-level counterpart. Students should refer to the Graduate Catalog for the 6000-level description and requirements.","0 Credits (6 Contact Hours)"
"Advanced Manufacturing","AMFG  4930","Special Topics in Advanced Manufacturing","Special topics in advanced manufacturing are explored.     May be repeated for a maximum of nine credits if the content of subsequent offerings is meaningfully different from the previously taken version.   This 4000-level course has a 6000-level counterpart. Students should refer to the Graduate Catalog for the 6000-level description and requirements.","3 Credits (3 Contact Hours)"
"Aerospace Studies","AS  1090","Heritage and Values of the United States Air Force I","Examines general aspects of the Department of the Air Force, Air Force leadership, Air Force benefits and opportunities for Air Force officers. The course also lays the foundation for becoming an Airman by outlining the heritage and values of the United States Air Force.        Coreq: AS 1091  .","2 Credits (1 Contact Hours)"
"Aerospace Studies","AS  1091","Heritage and Values of the United States Air Force I Laboratory","Non-credit laboratory to accompany AS 1090  .        Coreq: AS 1090  .","0 Credits (2 Contact Hours)"
"Aerospace Studies","AS  1100","Heritage and Values of the United States Air Force II","This course is a continuation of AS 1090  .        Coreq: AS 1101  .","2 Credits (1 Contact Hours)"
"Aerospace Studies","AS  1101","Heritage and Values of the United States Air Force II Laboratory","Non-credit laboratory to accompany AS 1100  .        Coreq: AS 1100  .","0 Credits (2 Contact Hours)"
"Aerospace Studies","AS  2090","Team and Leadership Fundamentals I","This survey level course focuses on laying the foundation for teams and leadership. It instills a leadership mindset and motivates sophomore students to transition from AFROTC cadets to AFROTC officer candidates. Topics include skills that will allow cadets to improve their leadership on a personal level and within a team. The course prepares cadets for their field training experience where they put the concepts learned into practice.        Coreq: AS 2091  .","2 Credits (1 Contact Hours)"
"Aerospace Studies","AS  2091","Team and Leadership Fundamentals I Laboratory","Non-credit laboratory to accompany AS 2090  .        Coreq: AS 2090  .","0 Credits (2 Contact Hours)"
"Aerospace Studies","AS  2100","Team and Leadership Fundamentals II","This course is a continuation of AS 2090  .        Coreq: AS 2101  .","2 Credits (1 Contact Hours)"
"Aerospace Studies","AS  2101","Team and Leadership Fundamentals II Laboratory","Non-credit laboratory to accompany AS 2100  .        Coreq: AS 2100  .","0 Credits (2 Contact Hours)"
"Aerospace Studies","AS  3090","Leading People and Effective Communication I","Emphasizes the individual as a manager. Individual motivational and behavioral processes, leadership, communication, and group dynamics are covered to provide a foundation for the development of the Air Force officer’s professional skills. Students prepare individual and group presentations, write reports, participate in group discussions, seminars, and conferences.        Coreq: AS 3091  .","4 Credits (3 Contact Hours)"
"Aerospace Studies","AS  3091","Leading People and Effective Communication I Laboratory","Non-credit laboratory to accompany AS 3090  .        Coreq: AS 3090  .","0 Credits (2 Contact Hours)"
"Aerospace Studies","AS  3100","Leading People and Effective Communication II","This course is a continuation of AS 3090  . Cadets learn advanced skills and knowledge in management and leadership. Special emphasis is placed on enhancing leadership skills and communication. Cadets have an opportunity to practice these leadership and management techniques in a supervised environment as juniors and seniors.        Coreq: AS 3101  .","4 Credits (3 Contact Hours)"
"Aerospace Studies","AS  3101","Leading People and Effective Communication II Laboratory","Non-credit laboratory to accompany AS 3100  .        Coreq: AS 3100  .","0 Credits (2 Contact Hours)"
"Aerospace Studies","AS  4090","National Security Policy I","Designed for college seniors, this course provides a foundation for students to understand their role as military officers in American society. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level.        Coreq: AS 4091  .","4 Credits (3 Contact Hours)"
"Aerospace Studies","AS  4091","National Security Policy I Laboratory","Non-credit laboratory to accompany AS 4090  .        Coreq: AS 4090  .","0 Credits (2 Contact Hours)"
"Aerospace Studies","AS  4100","National Security Policy II","This course is a continuation of AS 4090  . Designed for college seniors, this course provides a foundation for students to understand their role as military officers in American society. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level. The final semester provides information needed for cadets to be prepared for Active Duty.        Coreq: AS 4101  .","4 Credits (3 Contact Hours)"
"Aerospace Studies","AS  4101","National Security Policy II Laboratory","Non-credit laboratory to accompany AS 4100  .        Coreq: AS 4100  .","0 Credits (2 Contact Hours)"
