"course_code","course_title","credits","department","description"
"AEAD 8310","Fluency and Comprehension 3"," 3 ","Academic English, Adv-AEAD (AEAD)","Course Description:Not for academic credit. English as a Second Language for proficiency development. Improve fluency and comprehension using Level 3 texts; communicate with increasing fluency and accuracy about ideas from course themes.Prerequisite:None.Restrictions:Must major/minor in: PLACE Academic English. Must be a: Self Improvement.Terms Offered:Fall, Spring, Summer.Special Course Fee:No."
"AEAD 8312","Literacy and Structure 3"," 6 ","Academic English, Adv-AEAD (AEAD)","Course Description:Not for academic credit. English as a Second Language for proficiency development. Improve reading comprehension using Level 3 texts; complete well-developed and organized Level 3 writing tasks about ideas from course themes.Prerequisite:None.Restrictions:Must major/minor in: PLACE Academic English. Must be a: Self Improvement.Terms Offered:Fall, Spring, Summer.Special Course Fee:No."
"AEAD 8313","ESOL – Advanced 3 Academic English, Grammar for Undergraduates"," 6 ","Academic English, Adv-AEAD (AEAD)","Course Description:Not for academic credit. English as a Second Language for non-native speakers. For students planning to pursue an undergraduate degree. Focus on grammatical structures present in Level 3 reading and listening texts; incorporate learned grammatical structures in Level 3 writing and speaking tasks.Prerequisite:None.Restrictions:Must major/minor in: PLACE Academic English. Must be a: Self Improvement.Terms Offered:Fall, Spring, Summer.Special Course Fee:No."
"AEAD 8314","Business and Language Integrated Skills 3"," 3 ","Academic English, Adv-AEAD (AEAD)","Course Description:Not for academic credit. English as a Second Language for proficiency development. Introduce and review Level 3 business concepts and vocabulary to support language skill development.Prerequisite:None.Restrictions:Must major/minor in: PLACE Academic English. Must be a: Self Improvement.Terms Offered:Fall, Spring, Summer.Special Course Fee:No."
"AEAD 8315","STEM and Language Integrated Skills 3"," 3 ","Academic English, Adv-AEAD (AEAD)","Course Description:Not for academic credit. English as a Second Language for proficiency development. Introduce and review Level 3 STEM concepts and vocabulary to support language skill development.Prerequisite:None.Restrictions:Must major/minor in: PLACE Academic English. Must be a: Self Improvement.Terms Offered:Fall, Spring, Summer.Special Course Fee:No."
"AEAD 8325","Test Preparation"," 3 ","Academic English, Adv-AEAD (AEAD)","Course Description:Not for academic credit. English as a Second Language for proficiency development. Introduce and review testing concepts to support language skill development. Level 3.Prerequisite:None.Restrictions:Must major/minor in: PLACE Academic English. Must be a: Self Improvement.Terms Offered:Fall, Spring, Summer.Special Course Fee:No."
"AEAD 8335","Extensive Reading 3"," 3 ","Academic English, Adv-AEAD (AEAD)","Course Description:Not for academic credit. English as a Second Language for proficiency development. Introduce and review extensive reading concepts to support language skill development. Level 3.Prerequisite:None.Restrictions:Must major/minor in: PLACE Academic English. Must be a: Self Improvement.Terms Offered:Fall, Spring, Summer.Special Course Fee:No."
"AEAD 8345","Intercultural Exploration 3"," 3 ","Academic English, Adv-AEAD (AEAD)","Course Description:Not for academic credit. English as a Second Language for proficiency development. Introduce and review intercultural concepts to support language skill development. Level 3.Prerequisite:None.Restrictions:Must major/minor in: PLACE Academic English. Must be a: Self Improvement.Terms Offered:Fall, Spring, Summer.Special Course Fee:No."
"AEAD 8355","ESOL – Advanced 3 Academic English, General Non-Core for Undergraduates"," 3 ","Academic English, Adv-AEAD (AEAD)","Course Description:Not for academic credit. English as a Second Language for non-native speakers. For students planning to pursue an undergraduate degree. Introduce and review technology tools and independent language learning strategies to support language skill development.Prerequisite:None.Restrictions:Must major/minor in: PLACE Academic English. Must be a: Self Improvement.Terms Offered:Fall, Spring, Summer.Special Course Fee:No."
"AEAD 8365","Language in Practice 3"," 3 ","Academic English, Adv-AEAD (AEAD)","Course Description:Not for academic credit. English as a Second Language for proficiency development. Introduce and review community concepts to support language skill development. Level 3.Prerequisite:None.Restrictions:Must major/minor in: PLACE Academic English. Must be a: Self Improvement.Terms Offered:Fall, Spring, Summer.Special Course Fee:No."
