"subject","course_code","course_name","description","credits"
"Accounting","ACC 2000","Special Study for Lower Division Students","Individual or group investigation, research, studies, or surveys of selected problems. Proposals to be initiated by student(s) with guidance from faculty. Total credit limited to 6 units, with a maximum of 3 units per semester.   Component(s):Supervisory  Grading Basis:Graded Only  Repeat for Credit:May be taken multiple times only with different topics  Repeat for Credit Limit:5  Minimum - Maximum Units:Total credit limited to 6 units, with a maximum of 3 units per semester.","1-3"
"Accounting","ACC 2070","Financial Accounting for Decision Making","Introduction to financial accounting and accounting information systems (AIS), including basic concepts, limitations, tools and methods, use of AIS-generated information, including financial statements in decision making by investors, creditors, and other users external to the organization.   Prerequisite(s):CIS 101, CIS 1010 , or  PCPT.  Component(s):Lecture  Grading Basis:Graded Only  Repeat for Credit:May be taken only once  Course Category:Major Course, Service Course","3"
"Accounting","ACC 2080","Managerial Accounting for Decision Making","Introduction to managerial accounting and accounting information systems (AIS), including basic concepts, limitations, tools and methods. Use of AIS-generated information to support the internal decision-making functions of an organization.   Prerequisite(s):ACC 2070 ; or ACC 207 and ACC 207A.  Component(s):Lecture  Grading Basis:Graded Only  Repeat for Credit:May be taken only once  Course Category:Major Course, Service Course  Note(s):For credit, both segments are to be successfully completed.","3"
"Accounting","ACC 2990","Special Topics for Lower Division Students","Group study of a selected well-defined topic or area not covered by a regularly offered course.   Component(s):Lecture, Seminar  Grading Basis:Graded Only  Repeat for Credit:May be taken multiple times only with different topics  Repeat for Credit Limit:5  Minimum - Maximum Units:Total credit limited to 6 units applicable to a degree, with a maximum of 2 sections per semester.","1-3"
"Accounting","ACC 2990A","Special Topics for Lower Division Students Activity","Group study of a selected well-defined topic or area not covered by a regularly offered course.   Component(s):Activity  Grading Basis:Graded Only  Repeat for Credit:May be taken multiple times only with different topics  Repeat for Credit Limit:5  Minimum - Maximum Units:Total credit limited to 6 units applicable to a degree, with a maximum of 2 sections per semester.","1-3"
"Accounting","ACC 2990L","Special Topics for Lower Division Students Laboratory","Group study of a selected well-defined topic or area not covered by a regularly offered course.   Component(s):Laboratory  Grading Basis:Graded Only  Repeat for Credit:May be taken multiple times only with different topics  Repeat for Credit Limit:5  Minimum - Maximum Units:Total credit limited to 6 units applicable to a degree, with a maximum of 2 sections per semester.","1-3"
"Accounting","ACC 3110","Intermediate Accounting I","Fundamental financial accounting concepts that underlie U.S. generally accepted accounting principles (GAAP) and international financial reporting systems (IFRS), and their application to the basic financial statements, revenue recognition, fair-value accounting and assets.   Prerequisite(s):Accounting option/major/minor/certificate and C or better in ACC 2070 or ACC 207/ACC 207A; ACC 2080 or ACC 208/ACC 208A; EC 2201 or EC 201; EC 2202 or EC 202; GE Area A2; FRL 2013 or FRL 201; MAT 1250 or MAT 125, MAT 114 and MAT 115, or MAT 1140 ; and STA 1200 , STA 1202 , or STA 120.  Component(s):Lecture  Grading Basis:Graded Only  Repeat for Credit:May be taken only once  Course Category:Major Course","3"
"Accounting","ACC 3120","Intermediate Accounting II","Fundamental financial accounting concepts that underlie U.S. GAAP and IFRS, and their application to liabilities, equity, and special topics including income taxes, leases, pensions, share-based compensation, EPS, accounting changes, error corrections, and cash flows statement.   Prerequisite(s):C or better in ACC 3110 , or ACC 311 and ACC 312; and GWT*, CPU 4010 *, or CPU 401*.  Component(s):Lecture  Grading Basis:Graded Only  Repeat for Credit:May be taken only once  Course Category:Major Course  Note(s):*The enforcement of the Graduation Writing Assessment Requirement has been temporarily suspended per a Chancellor’s Office memorandum.","3"
"Accounting","ACC 3210","Cost Accounting","Accounting information for management of all types of business entities including cost concepts; cost accumulation and analysis; product costing; master and flexible budgeting; standard costing and variance analysis; responsibility accounting; decision making and relevant information; and pricing decisions and analysis.   Prerequisite(s):Accounting option/major/minor/certificate and C or better in ACC 2070 or ACC 207/ACC 207A; ACC 2080 or ACC 208/ACC 208A; EC 2201 or EC 201; EC 2202 or EC 202; GE Area A2; FRL 2013 or FRL 201; MAT 1250 or MAT 125, MAT 114 and MAT 115, or MAT 1140 ; and STA 1200 , STA 1202 , or STA 120.  Component(s):Lecture  Grading Basis:Graded Only  Repeat for Credit:May be taken only once  Course Category:Major Course","3"
"Accounting","ACC 4000","Special Study for Upper Division Students","Individual or group investigation, research, studies, or surveys of selected problems at advanced level. Proposals to be initiated by student(s) with guidance from faculty. Total credit limited to 6 units, with a maximum of 3 units per semester.   Component(s):Supervisory  Grading Basis:Graded Only  Repeat for Credit:May be taken multiple times only with different topics  Repeat for Credit Limit:5  Minimum - Maximum Units:Total credit limited to 6 units, with a maximum of 3 units per semester.","1-3"
