"subject","course_code","course_name","description","credits"
"Accountancy","ACCT 201","Elementary Financial Accounting","Introduction to financial accounting practice. For business majors.   Laboratory and/or class computer applications required.","3"
"Accountancy","ACCT 202","Managerial Accounting","Prerequisite: ACCT 201 with a “C” or better and Pre-Business and Business majors only.  The use and reporting of accounting data for managerial planning, cost control, and decision making purposes. Includes broad coverage of concepts, classifications, and behaviors of costs.   Letter grade only (A-F).    Not open for credit to students with credit in ACCT 310.","3"
"Accountancy","ACCT 300A","Intermediate Accounting","Prerequisites: ACCT 201 with a grade of “C” or better. Accounting and Pre-Accounting majors only. Exclude freshmen.  Corequisite: ACCT 202  Accounting theory including recording, valuation, and statement presentation of assets, liabilities, capital, and earnings. Funds statements, financial analysis, compound interest theory, and applications. Laboratory and/or class computer applications required.   Letter grade only (A-F).","4"
"Accountancy","ACCT 300B","Intermediate Accounting","Prerequisites: ACCT 300A with a grade of “C” or better.  Accounting majors only.  Exclude Freshmen.  Accounting theory including recording, valuation, and statement presentation of assets, liabilities, capital, and earnings. Funds statements, financial analysis, compound interest theory, and applications.   Letter grade only (A-F). Laboratory and/or class computer applications required.","4"
"Accountancy","ACCT 320","Cost Accounting","Prerequisite: ACCT 201 and ACCT 202 with a grade of “C” or better.  Accounting and Pre-Accounting majors only. Freshmen excluded.  Theory and practice of cost accounting. Managerial use of cost accounting data for planning, controlling and decision making. Emphasis on cost accumulation and management information systems.   Letter grade only (A-F). Laboratory and/or class computer applications required.","4"
"Accountancy","ACCT 351","Federal Tax Law","Prerequisite: ACCT 201 with a grade of “C” or better.  Accounting majors only. Exclude freshman.  Federal income taxation of partnerships, corporations, and s corporations. Personal and family tax planning and ethics.   Letter grade only (A-F). Laboratory and/or class computer applications required.   Not open for credit to students with credit in ACCT 451.","4"
"Accountancy","ACCT 352","Voluntary Income Tax Assistance (VITA)","(1-4 units)   Prerequisite: ACCT 351 , consent of instructor.  Accounting majors only.  Freshmen Excluded.  Federal and State income taxation of individuals. Students will provide free income tax filing for low income, elderly, disabled, and limited English proficient individuals after training and tests.   Letter grade only (A-F). Laboratory and/or class computer applications required.   May be repeated to a maximum of 8 units in different semesters.",""
"Accountancy","ACCT 400","Advanced Accounting","Prerequisites: ACCT 300B with grade of “C” or better  Specialized problems in partnership and corporate accounting. Consolidations, foreign currency transactions, and translations. Fund accounting and selected topics.   Letter grade only (A-F). Laboratory and/or class computer applications required.","4"
"Accountancy","ACCT 460","Accountants’ Professional Responsibilities and Ethics","Prerequisites: ACCT 300B with a grade of “C” or better, I S 301 .  Instructor Consent. ACCT majors only. Exclude Freshmen.  A case based course that examines different theories of the accountant’s professional responsibilities and ethics. Accountants’ ethical reasoning is examined along with the legal and regulatory obligations.   Letter grade only (A-F).","3"
"Accountancy","ACCT 465","International Accounting","Prerequisites: ACCT 201 , ACCT 202 , I S 301 .  International Business majors only. Exclude freshman.  Contemporary accounting theory and practice from an international perspective. Comparative accounting systems in various countries based on prevailing practice in the United States. Analysis of international accounting and auditing standards.   Letter grade only (A-F). Laboratory and/or class computer applications required.","3"
"Accountancy","ACCT 470","Auditing","Prerequisites: ACCT 300B and ACCT 320 with grades of “C” or better; I S 301 .  Accounting majors only. Exclude Freshmen  Problems of verification, valuation and presentation of financial information in reports covered by opinion of independent public accountant. Major concepts of operational auditing and relationship to independent audit. Public accountant and internal auditor responsibilities. Rules of professional conduct.   Letter grade only (A-F). Laboratory and/or class computer applications required.","4"
"Accountancy","ACCT 480","Accounting Systems and Data Processing","Prerequisite: ACCT 300B and ACCT 320 with grades of “C” or better; I S 300 .  Accounting majors only. Freshmen excluded.  Familiarization to accounting information systems development process. Analysis, design, development, and implementation of accounting information systems. Automation of accounting information systems studied through use and application of computers.   Letter grade only (A-F). Laboratory and/or class computer applications required.","4"
"Accountancy","ACCT 493","Accounting Internships","Prerequisite: ACCT 300A .  Overall GPA 3.0+, ACCT GPA 3.0+ and a CBA major, excluding MBA. Exclude Freshmen  Real world accounting experience by working in public accounting or accounting divisions of private industry or governmental agencies. Class seminar analysis and evaluation of academic theory in terms of the real world environment.   Credit/No Credit grading only.","3"
"Accountancy","ACCT 495","Selected Topics in Accountancy","Prerequisite: Consent of department chair. ACCT majors only. Freshmen excluded.  Current topics of interest in Accountancy.   Letter grade only (A-F).    May be repeated to a maximum of 6 units with different topics in different semesters.","3"
"Accountancy","ACCT 497","Directed Studies in Accountancy","(1-4 units)   Prerequisite: Consent of department chair.  Advanced individual projects, study and research in Accountancy.   Letter grade only (A-F).",""
"Accountancy","ACCT 500","Financial Accounting","Prerequisite: MBA Standing Required  Objective is to develop skills required to interpret and analyze the information contained in the financial statements, with emphasis on the use of accounting information as an aid to business decisions.   Letter grade only (A-F). Laboratory and/or class computer applications required.","3"
"Accountancy","ACCT 601","Corporate Governance and Financial Reporting","Prerequisite: MSA majors only.  Introduction to corporate governance, SEC and other reporting requirements of complex accounting policies in the US including exposure to financial accounting research relating to earnings quality and the stock market, current scandals and frauds.   Letter grade only (A-F).","4"
"Accountancy","ACCT 603","Financial Statement Analysis","Prerequisite: MSA majors only.  Focuses on the content and analysis of publicly available financial statement data. Students will learn analytical tools to assess a firm’s profitability and risk and to value the firm’s common stock using valuation models.   Letter grade only (A-F).","4"
"Accountancy","ACCT 604","Forensic Accounting","Prerequisite: MSA majors only.  Introduction to the fundamental forensic accounting skills employed by accountants. Specific topics include professional responsibilities of forensic practitioners, fraud prevention, detection, and response, business valuation, damage computations, and the accountant as an expert witness.   Letter grade only (A-F).","2"
"Accountancy","ACCT 605","Seminar in Accounting Information Systems","Prerequisite: MSA majors only.  Familiarization with accounting information systems analysis, design, development, and implementation. Studied through use and application of computers.   Letter grade only (A-F).","4"
"Accountancy","ACCT 610","Managerial Accounting and Control","Prerequisite: ACCT 500 and MBA majors only.  Introduces basic cost concepts of managerial accounting using a quantitative analytical approach. Topics include costing systems, cost-volume-profit analysis, budgeting, cost control, and compensation with focus on management decision-making.   Letter grade only (A-F). Laboratory and/or class computer applications required.   Not open for credit to students with credit in ACCT 510 .","3"
"Accountancy","ACCT 611","Seminar in Auditing and Assurance Services","Prerequisite: MSA majors only.  Selected conceptual issues in auditing and assurance services. Differences between audit and assurance services. Public accountant responsibilities. Problems and cases on engagement to compile or review financial statements of nonpublic entities under accounting and review services standards.   Letter grade only (A-F).","4"
"Accountancy","ACCT 612","Governmental and Non-Profit Accounting & Taxation","Prerequisite: MSA majors only.  Concepts and problems in the accounting for local, state, and government agencies and for not-for-profit institutions including colleges and hospitals.   Letter grade only (A-F).","4"
"Accountancy","ACCT 622","Taxation of Partnerships & S Corporations","Prerequisite: MSA majors only.  Focuses on the federal income taxation of partnerships, S corporations, and their owners/beneficiaries. Students will learn why so many closely-held businesses and real estate investments are owned by partnerships or LLCs.   Letter grade only (A-F).","4"
"Accountancy","ACCT 623","Taxation of C Corporations and Shareholders","Prerequisite: MSA majors only.  Focuses on the federal income taxation of C corporations and shareholders. It also focuses on reading and interpreting tax laws to determine tax consequences of completed transactions and to formulating tax-planning strategies.   Letter grade only (A-F).","4"
"Accountancy","ACCT 633","Accounting Database Systems","Prerequisite: MSA standing.  Examines the architecture of enterprise information. Semantic and syntactic modeling of enterprise economic phenomena, relational database technology and database design for business systems, business process analysis patterns and implementation compromises.   Letter grade only (A-F).","4"
"Accountancy","ACCT 695","Selected Topics in Accountancy","Prerequisite: ACCT 500 and MBA majors only.  Current topics of interest in Accountancy.   Letter grade only (A-F).    May be repeated to a maximum of 6 units with different topics in different semesters.","3"
"Accountancy","ACCT 697","Directed Studies in Accountancy","(1-4 units)   Prerequisite: ACCT 500 , consent of department chair.  Advanced individual projects, study and research in Accountancy.   Letter grade only (A-F).    May be repeated to a maximum of 4 units in different semesters.",""
"Accountancy","ACCT 699","Accountant’s Professional Responsibilities and Ethics","Prerequisites: ACCT 611 , ACCT 622 and MSA majors only.  A case-based capstone course that examines different theories of the accountant’s professional responsibilities and ethics. Accountants’ ethical reasoning is examined along with the legal and regulatory obligations.   Letter grade only (A-F).","4"
"Africana Studies","AFRS 100A","Composition I","Prerequisite: CSU General Education Written Communication Placement. Directed Self-Placement must be completed prior to enrollment.  Composition I does not count toward meeting the major requirements but does count toward graduation. Must have a “credit” to qualify for enrollment in a GE English Composition course. First half of a one-year composition course that offers intensive writing practice, ranging from generating ideas to final proofreading, with a focus on developing critical reading comprehension for specific writing tasks.Credit/No Credit grading only.   Same course asAIS 100A,CHLS 104A,ENGL 100A. Not open for credit to students with credit in:AIS 100A,CHLS 104A, orENGL 100A.","3"
"Africana Studies","AFRS 100B","Composition II","Prerequisite(s): CSU General Education Written Communication Placement; credit in ENGL 100A , CHLS 104A , AFRS 100A , ASAM 100A , AIS 100A , or ALI 150 ; or equivalent transfer course. Directed Self-Placement must be completed prior to enrollment.  Expository writing course designed for first-year students. Satisfies one of the writing requirements for general education at CSULB. Emphasizes academic discourse, focusing on analytical reading, thesis-driven writing, and rhetorical strategies.   Both grading options   Same course as AIS 100B , ASAM 100B , CHLS 104B , and ENGL 100B . Not open for students with credit in AIS 100B , ASAM 100B , CHLS 104B , or ENGL 100B .","3"
"Africana Studies","AFRS 110","Introduction to Africana Studies","Prerequisite/Corequisite: One GE Foundation course.   A critical survey of the major themes, issues, concepts, current research, schools of thought, theorists and scholars in the discipline of Africana Studies, as well as its historical evolution and academic rationale.   Both grading options.","3"
"Africana Studies","AFRS 119","Introduction to Racial and Ethnic Studies","Prerequisite/corequisite: One GE Foundation course.   Survey of race and ethnic relations in the U.S. with focus on four racialized groups: American Indians, African Americans, Asian Americans, and Chicanas/os/xs and Latinas/os/xs. Special attention is given to the formation and transformation of each racialized ethnic group and their particular and collective roles in the shaping and development of the United States.   Both Options: Letter Grade (A-F) and CR/NC.   Same course as AIS 119 , ASAM 119 , and CHLS 119 . Students may earn a maximum of 3 total units from all of these courses:  AFRS 119, AFRS 215, AIS 119 , AIS 215, ASAM 119 , ASAM 215, CHLS 119 , or CHLS 215.","3"
