"course_code","course_title","credits","department","description"
"AAS 100","Introduction to Asian American Studies","3","AAS - Asian American Studies","Survey of research on Asians in America, including: history, community life, language experience, arts, education, politics and economics. Emphasizes research on Americans of Chinese, Filipino, Japanese, Korean, Southeast Asian, South Asian and Pacific Island ancestry. Available for Section B of the Multicultural Requirement for Credential Candidates. Meets the Ethnic Studies requirement. (Available for General Education, …"
"AAS 113A","Approaches to University Writing A","3","AAS - Asian American Studies","Prerequisite: Placement in a supported GE subarea A2 Written Communication course. Corequisite: UNIV 061. Expository prose writing with a focus on both content and form. Specific emphases shall include the exercise of logical thought and clear expression, the development of effective organizational strategies and the appropriate gathering and utilization of evidence. Includes instruction on diction, syntax …"
"AAS 113B","Approaches to University Writing B","3","AAS - Asian American Studies","Prerequisite: Successful completion of 113A. Corequisite: UNIV 062. Expository prose writing with a focus on both content and form. Specific emphases shall include the exercise of logical thought and clear expression, the development of effective organizational strategies and the appropriate gathering and utilization of evidence. Includes instruction on diction, syntax and grammar, as well as …"
"AAS 114A","Approaches to University Writing A","3","AAS - Asian American Studies","Prerequisite: Placement in a supported GE subarea A2 Written Communication course. Expository prose writing with a focus on both content and form. Specific emphases shall include the exercise of logical thought and clear expression, the development of effective organizational strategies and the appropriate gathering and utilization of evidence. Includes instruction on diction, syntax and grammar, as well …"
"AAS 114B","Approaches to University Writing B","3","AAS - Asian American Studies","Prerequisite: Successful completion of 114A. Expository prose writing with a focus on both content and form. Specific emphases include the exercise of logical thought and clear expression, the development of effective organizational strategies and the appropriate gathering and utilization of evidence. Includes instruction on diction, syntax and grammar, as well as the elements of prose …"
"AAS 115","Approaches to University Writing","3","AAS - Asian American Studies","Prerequisite: Multiple Measures Placement in GE-level writing. Expository prose writing with a focus on both content and form. Specific emphases shall include the exercise of logical thought and clear expression, the development of effective organizational strategies and the appropriate gathering and utilization of evidence. Includes instruction on diction, syntax and grammar, as well as the elements …"
"AAS 151","Fundamentals of Public Speaking","3","AAS - Asian American Studies","Prerequisite: Multiple Measures Placement in GE-level writing, or completion of 113A or 114A, or completion of the lower division writing requirement. This course is an introduction to public speaking and oral communications processes, with particular emphasis on issues related to Asian American Studies and Asian Pacific American communities. In addition to basic skills, students will be introduced to …"
"AAS 201","Race, Racism and Critical Thinking","3","AAS - Asian American Studies","Preparatory: Completion of the lower division writing requirement and GE section B4 Mathematics. Introduction to the process of critical thinking through the lens of race-based theories and selected historical and contemporary discourse of African Americans, Asian Americans, European Americans and Latinos on race relations and multiculturalism in American society. Examines contemporary social issues through the …"
"AAS 210","History of Asians in America","3","AAS - Asian American Studies","Introduction to the history of Asian Americans in the United States from the 1800s to the present. Students review the historical forces affecting immigration of the following communities: Chinese, Japanese, Filipino, Korean, South Asian, Southeast Asian and Pacific Islander. Analysis of problems resulting from limited access to the social, political and economic institutions of American …"
"AAS 220","Survey of Asian American Literature","3","AAS - Asian American Studies","Prerequisite: Completion of the lower division writing requirement. Survey of Asian American literature from the late 19th century to the present. Introductory study of prose fiction and nonfiction, poetry and drama written by Americans of Chinese, Japanese, Korean, Filipino, Southeast Asian, South Asian and Pacific Islander ancestry. Regular writing assignments required. Meets the Ethnic Studies requirement. …"
"AAS 230","Asian Americans and the Media","3","AAS - Asian American Studies","Study of the effects of mass media on the history and development of Asians in America. Particular attention to Asian American images in film, television, the Internet and advertisements. Meets the Ethnic Studies requirement. (Available for General Education, E Lifelong Learning.) (ES)"
"AAS 296A-Z","Experimental Topics Courses in Asian American Studies","1-3","AAS - Asian American Studies","Experimental courses in Asian American Studies with course content to be determined."
"AAS 311","Research Methods in Asian American Studies","3","AAS - Asian American Studies","Prerequisite: Completion of the lower division writing requirement. Preparatory: Completion of an AAS course. This course is designed to introduce students to the fundamentals of developing qualitative community-based research projects within Asian American communities. Students will learn theories used in Asian American Studies, develop a short-term research project, practice data collection methods, analyze qualitative data …"
"AAS 321","Asian American Fiction","3","AAS - Asian American Studies","Prerequisite: Completion of the lower division writing requirement. Study of Asian American fiction written by Americans of Chinese, Japanese, Korean, Filipino, South Asian and Southeast Asian ancestry. Regular writing assignments required. Meets the Ethnic Studies requirement. (Available for General Education, C2 Humanities.) (ES) (WI)"
"AAS 340","Asian American Women","3","AAS - Asian American Studies","Prerequisite: Completion of the lower division writing requirement. Multidisciplinary analysis of women in the diverse Asian American communities. Study of the historical, social, political and economic factors that have impacted the role and status of Asian Pacific American women in U.S. society. Regular writing assignments required. Available for Gender and Women’s Studies Minor, Ethnic Studies and …"
"AAS 345","Contemporary Issues in Asian American Studies","3","AAS - Asian American Studies","Prerequisite: Completion of the lower division writing requirement. Critical analysis of contemporary issues confronting Asian Americans in the U.S. Emphasis placed on social and economic issues such as immigration, education, employment, health and inter-ethnic and intra-Asian conflict. Regular writing assignments required. Available for Section B, Multicultural Requirement for Credential Candidates. Meets the Ethnic Studies requirement. (Available …"
"AAS 347","Asian American Politics and the Law","3","AAS - Asian American Studies","Prerequisite: Completion of the lower division writing requirement. Recommended: Prior completion of an AAS course. Advanced course on the legal and political history and contemporary struggles of Asian Americans. Overview of American political system through the examination of basic texts, including the U.S. Constitution. Examines the history and formation of Asian communities in the U.S., …"
