"course_code","course_title","credits","department","description"
"ACCY 1","Accounting Fundamentals.","3 Units","Accountancy (ACCY)","Accounting as the basis of an information system with emphasis on concepts and assumptions underlying data accumulation for financial reports.  Includes the concepts of income determination and financial position, and the accounting for various types of ownership equities."
"ACCY 2","Managerial Accounting.","3 Units","Accountancy (ACCY)","Use and reporting of accounting data for managerial planning, control, and decision making. Broad coverage of concepts, classification, and behavior of costs."
"ACCY 111","Intermediate Accounting I.","3 Units","Accountancy (ACCY)","In-depth knowledge of how financial information provides information about a company's: economic resources, obligations, and owner's equity; income and its components; and cash flows.  Topics include the development and application of basic assumptions, principles and constraints underlying financial statements; the use of information derived from financial statements and the limitations of the information; and the use of accounting information to evaluate a company's return on investment, risk, financial, flexibility, liquidity, and operational capability.  Students learn how to prepare financial statements."
"ACCY 112","Intermediate Accounting II.","3 Units","Accountancy (ACCY)","Application of Generally Accepted Accounting Principles to the reporting of tangible and intangible assets, liabilities, and the capital section of the balance sheet.  Other topics include the reporting of stock-based compensation and earnings-per-share."
"ACCY 113","Intermediate Accounting III.","3 Units","Accountancy (ACCY)","Application of Generally Accepted Accounting Principles to revenue recognition and matching, pensions, leases, income taxes, accounting changes, interim financial statements, and segmental reporting.  Students develop an in-depth knowledge of the preparation and the analysis of the cash flow statement."
"ACCY 117","Advanced Accounting.","3 Units","Accountancy (ACCY)","Specialized topics in partnership accounting; consolidated statements; foreign currency translation and financial statements."
"ACCY 121","Cost Accounting.","3 Units","Accountancy (ACCY)","Importance of the allocation of costs; the cost allocation techniques available to accountants; the techniques used by management to maintain and create enterprise value, e.g., CVP analysis; the accountant's responsibility for the management of inventory; and the ethical consideration in internal reporting."
"ACCY 122","Advanced Management Accounting.","3 Units","Accountancy (ACCY)","Accountant's responsibility to provide financial and no financial information to managers; the planning techniques available to accountants; managerial control techniques that enhance the maintenance and improvement of enterprise value, and short-run and long-run analyses."
"ACCY 131","Survey of Auditing, Attest, and Assurance Topics.","3 Units","Accountancy (ACCY)","Survey of topics in auditing as a control activity in society.  Covers a variety of opportunities in the auditing profession including external auditing, internal auditing, compliance auditing, and operational auditing as well as fraud examinations.  Topics include evidence and documentation, professional ethics, auditing computer systems, statistical sampling, and internal controls."
"ACCY 132","Accountants' Ethical and Professional Responsibilities.","3 Units","Accountancy (ACCY)","This course addresses professional responsibilities for the accounting profession, including the development of ethical standards, ethical reasoning, AICPA and California Codes of Professional Conduct, financial reporting fraud, corporate goverance, and other relevant topics."
"ACCY 133","Internal Auditing.","3 Units","Accountancy (ACCY)","This course introduces students to the internal audit profession and the internal audit process. Students will learn how the internal audit function helps the management of an organization by providing assurance, adding value, and improving on the organization¿s results and operations. Topics covered include responsibilities of internal auditors, internal auditing standards, internal controls, risk management, accumulation of audit evidence, and reporting."
"ACCY 141","Accounting Information Systems Development.","3 Units","Accountancy (ACCY)","Design, analysis, and implementation of computer-based accounting information systems. Discussion of flow charting, data security, systems development, program architecture, and management of the implementation process. Development of computer applications and formulation of decision information for managerial uses. Use of the computer in projects."
"ACCY 143","Accounting Data Analytics.","3 Units","Accountancy (ACCY)","Examines the changing technological environment in accounting, and the role of data analytics in accounting. This course will help students to understand different structured and unstructured accounting data, and develop new analytic skills to make better accounting decisions. It will also improve students' ability to conduct audit analytical procedures in accordance with financial reporting regulatory requirements."
