"course_code","course_title","credits","department","description"
"ACCT 2110","Introductory Accounting I","Units: 3","Accounting (ACCT)","Fundamentals of recording, analyzing, and communicating financial information including income determination, assets and liability relationships and preparation of financial statements. Previously offered as ACCT 211."
"ACCT 2120","Introductory Accounting II","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 2110. Quarter Prerequisite: ACCT 211Continuation of Introductory Accounting I with emphasis on Analysis of accounting methods providing data for optimal managerial decisions, implementation and control. Topics include cost allocation; cost, volume and price relationships; product cost accounting and control systems; operations and capital budgeting, and related behavioral, reporting and information processing aspects. Previously offered as ACCT 212."
"ACCT 3110","Financial Accounting and Reporting","Units: 3","Accounting (ACCT)","Fundamentals of recording, analyzing, and communicating financial data to inform various corporate stakeholders. Topics include income determination, assets, liability and stockholder's equity relationships, preparation of financial statements and corporate legal issues related to GAAP reporting."
"ACCT 3120","Managerial Accounting Analysis","Units: 3","Accounting (ACCT)","Fundamentals of processing and analyzing accounting data for managers to perform their managerial functions of planning, control and decision-making. Topics include costing methods, cost volume and profit analysis, incremental analysis, budgeting and variance analysis."
"ACCT 3150","Accounting Information Systems and Business Ethics","Units: 3","Accounting (ACCT)","Introduction to the concepts, objectives and importance of properly designed accounting information systems and professional ethics. Extensive study of internal controls including systems documentation. Materials fee required. Previously offered as ACCT 315."
"ACCT 3470","Management Accounting and Ethics in Business","Units: 3","Accounting (ACCT)","Overview of techniques to facilitate business decision-making and professional ethics in business. Models include break-even analysis, differential costing, product cost pricing analyses, capital budgeting and investment analysis techniques. The role of budgeting in management planning and control and an examination of cost and revenue variances. Transfer pricing, management compensation and performance evaluation are reviewed in both domestic and international situations. Formerly offered as ACCT 347."
"ACCT 3720","Intermediate Accounting I","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 2110andACCT 2120. Quarter Prerequisite: ACCT 211 and ACCT 212First of a two-course sequence covering an in-depth study of financial accounting topics, including accounting valuation and reporting practices. Three major areas examined include financial accounting theory, current and noncurrent assets, and current and noncurrent liabilities. Formerly ACCT 372."
"ACCT 3730","Intermediate Accounting II","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 3720. Quarter Prerequisite: ACCT 372Continuation ofACCT 3720with emphasis on financial accounting areas including stockholders equity, dilutive securities, investments, income measurement issues, and the preparation and analysis of financial statements. Formerly ACCT 373."
"ACCT 4260","Introduction to Taxation","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 2110and junior standing. Quarter Prerequisite: ACCT 211 and junior standingIntroduction to the basic concepts of federal income taxation. Includes history and objectives of the tax, along with the treatment of various types of entities, types of income, types of deductions and types of credits. Emphasis is on the individual as a taxpayer. Formerly offered as ACCT 426."
"ACCT 4400","Financial Statement Auditing","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 3150andACCT 3730. Quarter Prerequisite: ACCT 315, ACCT 373, and the upper-division writing requirementTheory and function of the auditor, viewed from the perspective of public accounting. Topics will include standard audit reports, assessing audit risk, auditors' legal liabilities, tests of controls, and audit evidence. Generally accepted auditing standards will be critically examined. Materials fee required. Formerly offered as ACCT 440."
"ACCT 5200","Forensic Accounting I","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 3730This course provides an overview of Forensic Accounting knowledge, skills, and responsibilities needed for career development in the field. It also covers the ethical and legal environment in which professionals practice. Topics include Fraud, Bankruptcy, Digital Forensics, Family Law, Economic Damages and Business Valuations."
"ACCT 5300","Advanced Tax Topics: Corporate Taxation","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 4260The study of federal tax consequences of the formation, operation, reorganization, and liquidation of corporations from the standpoint of the corporation and shareholders, with some reference to the taxation of S corporations. Formerly ACCT 630/6300."
"ACCT 5360","Corporate and Partnership Taxation","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 4260The basic concepts and basic tax forms of the federal income taxation of corporations and partnerships. Includes an introduction to tax research. Formerly offered as ACCT 536."
"ACCT 5390","Advanced Accounting","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 3730with a ""C"" or better grade. Quarter Prerequisite: ACCT 373 with a ""C"" or better gradeTopics include accounting and reporting for mergers and acquisitions, accounting for consolidation, accounting for partnerships, foreign currency transaction and translation, and accounting for segment reporting.  Formerly offered as ACCT 539."
"ACCT 5410","EDP Auditing and Control","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 4400. Quarter Prerequisite: ACCT 440This course builds on the knowledge base from Introductory Auditing, not only to provide students with an in-depth understanding of professional standards, but also to prepare students for the responsibilities and challenges faced as an auditor in charge. The course assumes a base line knowledge of internal and external audit, and will also cover advanced topics concerning complex auditing judgments. Materials fee required. Formerly ACCT 541."
"ACCT 5440","Accounting Law, Ethics and Institutions","Units: 3","Accounting (ACCT)","Semester Prerequisite:MGMT 2300or equivalent. Quarter Prerequisite: MGMT 230 or equivalentAdvanced accounting law topics, ethical standards, and institutions for professional accountants. Emphasis on legal problems encountered in the public accounting profession, including an examination of the ethical standards and political and regulatory institutions that affect the practice of public accounting. Formerly offered as ACCT 544."
"ACCT 5470","Advanced Cost Accounting","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 3470. Quarter Prerequisite: ACCT 347 or equivalentProduct and service costing with attention to analysis of overhead and multiple allocation techniques. Topics include joint costs, byproducts, spoilage, rework and scrap. Alternative costing systems including operations costing and process costing. Valuation of inventory for decision-making purposes. Procedures for just-in-time inventory management are included. Formerly offered as ACCT 547."
"ACCT 5560","Estates and Gifts, Ethics and other Specialized Taxation Topics","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 4260. Quarter Prerequisite: ACCT 426Professional ethics in tax practices and taxation topics not covered in depth inACCT 4260and 5360, including gift and estate tax, income taxation of trusts and estates, tax administration and practice, working with tax law, advanced individual income tax topics, and other special topics. Formerly offered as ACCT 556."
"ACCT 5680","Accounting for Government and Not-for-Profit Organizations","Units: 3","Accounting (ACCT)","Semester Prerequisite:ACCT 2110. Quarter Prerequisite: ACCT 211Provides students an opportunity to study the specialized the GASB accounting principles applicable to state and local governments. It affords learners an opportunity to acquire proficiency with the FASB financial reporting standards applicable to a variety of tax exempt non-profit organizations encountered in practice with an emphasis on fair value accounting and the basic principles used to record of assets, liabilities, equity, revenues, and expenditures. The course also covers the analysis and interpretation of government financial statements. Previously offered as ACCT 468."
"ACCT 5753","Accounting Internship","Units: 3","Accounting (ACCT)","Supervised work and study in Accounting functions of private or public organizations. May be repeated once for credit. A total of six units ofACCT 5753(Accounting Internship) course may be applied toward graduation. May be taken two times for six units. Graded credit/no credit. Formerly ACCT 575."
"ACCT 5755","Internship","Unit: 1","Accounting (ACCT)","Semester Prerequisite:  Consent of college internship coordinator. Quarter Prerequisite: senior standing preferred; consent of instructor and the departments internship coordinatorSupervised work and study in private or public organizations. May be repeated for credit. A total of six units of Jack H. Brown College of Business and Public Administration 5753 or 5755 courses may be applied toward graduation. Graded credit/no credit."
"ACCT 5915","Seminar in Accounting","Unit: 1","Accounting (ACCT)","An intensive study of some phase of accounting to be developed by the instructor. May be repeated for credit as topics change."
"ACCT 5930","Seminar in Accounting","Units: 3","Accounting (ACCT)","An intensive study of some phase of accounting to be developed by the instructor. May be repeated for credit as topics change. Formerly offered as ACCT 590."
"ACCT 5951","Independent Study","Unit: 1","Accounting (ACCT)","Semester Prerequisite:  Junior status, or graduate statusSpecial topics involving library and/or field research. A total of 8 units in any Jack H. Brown College of Business and Public Administration 5951, 5952, 5953, 5955 may be applied toward graduation. Consent of instructor and approval by the department of a written project/proposal submitted to the appropriate department in the Jack H. Brown College of Business and Public Administration on a standard application filed in advance of the semester in which the course is to be taken. Course is cross-listed across different departments within the college."
