"subject","course_code","course_name","description","credits"
"Other Courses","ENGL XXXX","Core Options","ENGL 2321 - British Literature (3 Credit Hours)ENGL 2322 - British Literature I (3 Credit Hours)ENGL 2323 - British Literature II (3 Credit Hours)ENGL 2326 - American Literature (3 Credit Hours)ENGL 2327 - American Literature I (3 Credit Hours)ENGL 2328 - American Literature II (3 Credit Hours)ENGL 2331 - World Literature (3 Credit Hours)ENGL 2332 - World Literature I (3 Credit Hours)ENGL 2333 - World Literature II (3 Credit Hours)ENGL 2341 - Forms of Literature (3 Credit Hours)ENGL 2351 - Mexican-American Literature (3 Credit Hours)",""
"Other Courses","ESOL 0031","ESOL 0034 -","Campus Location: BHC, CVC, EFC, ECC, MVC, NLC, RLC   These courses prepare students to communicate orally in both public and academic environments. Emphasis is placed on developing language functions, pronunciation, and listening skills, and improving social and intercultural communication skills. Activities range from one-on-one conversation and brief descriptions to formal oral presentations and debates.   Introduction  The English for Speakers of Other Languages (ESOL) credit curriculum is designed to develop a student’s preacademic language proficiency in the areas of listening, speaking, reading, and writing. The plan of study consists of sixteen courses divided into four proficiency levels and four skill areas (Listening-Speaking, Reading, Writing, and Grammar). The credit curriculum is designed to interface both with other ESOL programs and with developmental studies or college level programs on each campus. A student enters this program by taking an English placement test and then by being advised by a specially trained ESOL academic advisor.","Listening/Speaking"
"Other Courses","ESOL 0031","ESOL 0034 - ESOL Listening/Speaking","Campus Location: BHC, EFC, ECC, MVC, NLC, RLC   Estos cursos preparan al alumno para comunicarse con confianza en situaciones sociales y academicas. Se desarollan las varias funciones del lenguaje, se mejora la pronunciacion y comprension auditiva y se practica la comunicacion academica y transcultural. Las actividades didacticas incluyen describir lugares y objetos, proyectos en grupo, presentaciones orales y debates formales.   Introduction  El programa de credito academico de Ingles Como Segundo Idioma ESOL esta diseñado para desarrollar el dominio del idioma pre-academico del estudiante en las areas de escuchar, hablar, leer y escribir. El plan de estudio consiste en dieciseis cursos divididos en cuatro niveles de dominio y cuatro areas de habilidades (Escuchar/Hablar, Lectura, Escritura y Gramatica). El programa de credito academico esta disenado para complementar otros programas de ESOL y con los estudios de desarrollo o programas de nivel universitario de cada campus. El estudiante comienza este programa al tomar un examen de clasificacion y despues de una entrevista individual con un asesor academico entrenado especialmente en ESOL.","2 Credit Hours"
"Other Courses","ESOL 0041","ESOL 0044 -","Campus Location: BHC, EFC, ECC, MVC, NLC, RLC   Estos cursos permiten a los estudiantes el acceso a material de lectura de la vida diaria y los prepara para tareas de lectura academica. Cada curso instruye a los estudiantes en habilidades de lectura, desarrollo de vocabulario, pensar en forma critica","Lectura"
"Other Courses","ESOL 0041","ESOL 0044 -","Campus Location: BHC, EFC, ECC, MVC, NLC, RLC   These courses engage students in reading material from daily experience and prepare them for college reading tasks. Each course instructs students in reading skills, vocabulary development, critical thinking skills, and the use of resources.","Reading"
"Other Courses","ESOL 0051","ESOL 0054 -","Campus Location: BHC, EFC, ECC, MVC, NLC, RLC   Estos cursos estan diseñados con el objeto de ayudar los alumnos a obtener fluidez y confianza en escritura. Los cursos se enfocan en el proceso de escritura. A traves de crear, planear y revisar, los estudiantes produciran escritos para diferentes audiencias y con diversos propositos.","Escritura"
"Other Courses","ESOL 0051","ESOL 0054 -","Campus Location: BHC, EFC, ECC, MVC, NLC, RLC   These courses are designed to help students increase fluency and build confidence in writing. The courses focus on writing as a process. Through inventing, drafting, and revising, students write for specific audiences and purposes.","Writing"
"Other Courses","ESOL 0061","ESOL 0064 -","Campus Location: BHC, EFC, ECC, MVC, NLC, RLC   Estos cursos estan disenados para complementar la serie de Escritura 0051-0054. Dichos cursos proveen instruccion y ejercicios practicos, asi como puntos esenciales de gramatica necesarios para la efectiva comunicacion escrita.","Gramatica"
"Other Courses","ESOL 0061","ESOL 0064 -","Campus Location: BHC, EFC, ECC, MVC, NLC, RLC   These courses are designed to complement the ESOL 0051 - ESOL 0054  writing series. They provide instruction and practice with discrete grammar points necessary for effective writing.","Grammar"
"Other Courses","HRPO 2004","Employee Relations","An examination of policies, practices, and issues required to build strong employee relations. Topics include communications, employee conduct rules, performance appraisal methods, Title VII, Family Medical Leave Act, Fair Labor Standards Act, and Americans with Disabilities Act updates.   CE",""
"Other Courses","HUMA XXXX","Core Options","HUMA 1302 - Introduction to Humanities II (3 Credit Hours)HUMA 1305 - Introduction to Mexican-American Studies (3 Credit Hours)HUMA 2319 - American Minority Studies (3 Credit Hours)",""
"Accounting","ACCT 2301","Principles of Financial Accounting","Campus Location: BHC, CVC, EFC, ECC, MVC, NLC, RLC   This course is an introduction to the fundamental concepts of financial accounting as prescribed by U.S. generally accepted accounting principles (GAAP) as applied to transactions and events that affect business organizations. Students will examine the procedures and systems to accumulate, analyze, measure, and record financial transactions. Students will use recorded financial information to prepare a balance sheet, income statement, statement of cash flows, and statement of shareholders’ equity to communicate the business entity’s results of operations and financial position to users of financial information who are external to the company. Students will study the nature of assets, liabilities, and owners’ equity while learning to use reported financial information for purposes of making decisions about the company. Students will be exposed to International Financial Reporting Standards (IFRS).   Course Hour Configuration  (3 Lec.)   Acad   Coordinating Board Academic Approval Number 5203015104   This is a Texas Common Course Number.","3 Credit Hours"
