"subject","course_code","course_name","description","credits"
"Accompanying","MUSC 6457","Advanced Vocal Accompanying","May be repeated for credit.       Extensive study of techniques correlated with practical experience of performing with vocal majors. Accompanying of vocal music major in half recital in one of two semesters.","2"
"Accompanying","MUSC 6467","Advanced Vocal Accompanying","May be repeated for credit.       Extensive study of techniques correlated with practical experience of performing with vocal majors. Accompanying of vocal music major in half recital in one of two semesters.","2"
"Accompanying","MUSC 6557","Advanced Instrumental Accompanying/Chamber Music","May be repeated for credit.       Extensive study of techniques correlated with practical experience of performing with instrumental majors. Accompanying of instrumental music major in half recital in one semester.","2"
"Accompanying","MUSC 6567","Advanced Instrumental Accompanying/Chamber Music","May be repeated for credit.       Extensive study of techniques correlated with practical experience of performing with instrumental majors. Accompanying of instrumental music major in half recital in one semester.","2"
"Accompanying","MUSC 6993","Graduate Recital","May be repeated. P: Acceptance to the MM degree; prior approval by appropriate faculty necessary before recital may be scheduled.      Public performance of musical compositions appropriate to the MM degree (collaborative piano concentration).","1"
"Accompanying","MUSC 6994","Graduate Recital","May be repeated for credit. P: Acceptance to the MM degree; prior approval by appropriate faculty necessary before recital may be scheduled.      Public performance of musical compositions appropriate to MM degree (collaborative piano concentration).","1"
"Accounting","ACCT 6221","Principles of Accounting and Finance","Generation and flow of financial information through the accounting system as well as financial control, capital budgeting, time value of money, ratio analysis, and valuation.","3"
"Accounting","ACCT 6231","Principles of Business","Functions of business from organizational structure and human resource management to marketing behavior.","3"
"Accounting","ACCT 6241","Financial and Managerial Accounting","May not count toward the MSA. Generation and flow of financial information through accounting system and its uses by management in decision-making process.","3"
"Accounting","ACCT 6301","Fraud Examination","May not count as an elective for MBA or MSA degrees if credit has been earned in ACCT 3101 or an equivalent course.        Basic understanding of fraud prevention, detection concepts, and examination techniques.","3"
"Accounting","ACCT 6521","Accounting for Decision Making","May not count for MSA students with an undergraduate degree in accounting.  P: ACCT 6241  .      Managerial accounting, cost theories, and applications and their effect on decision making.","3"
"Accounting","ACCT 6611","Auditing","P/C: ACCT 6631  .  Auditing standards and procedures and their relation to principles and systems of internal control of business operations.","3"
"Accounting","ACCT 6621","Intermediate Financial Accounting Theory","P: ACCT 6241  .      Principles and concepts underlying the compilation of financial statements along with financial reporting problems and contemporary financial accounting issues.","6"
"Accounting","ACCT 6631","Advanced Cost and Systems","P/C: ACCT 6241  .  Types of cost accounting for planning, control, and product cost combined with the study of the accounting system.","3"
"Accounting","ACCT 6641","Advanced and Governmental Accounting","P: ACCT 6621  .      Business combinations, other advanced accounting topics and the principles underlying the compilation/presentation of governmental and nonprofit financial statements.","3"
"Accounting","ACCT 6701","Regulation","P: ACCT 6891  .      Regulatory issues confronting accountants and AICPA standards for professional responsibility.","3"
"Accounting","ACCT 6801","Accounting Theory","P: ACCT 6241  .      Accounting principles, practices, and procedures of complex business enterprises.","3"
"Accounting","ACCT 6831","Taxation and Business Decisions","May not count toward the BSA/MSA. P: ACCT 6241  ; FINA 6144  .      Analysis of how tax issues affect business decisions.","3"
"Accounting","ACCT 6891","Federal Income Taxation","General income tax theory and applications to problems encountered by individuals and businesses. Compliance, planning, and research.","3"
"Accounting","ACCT 6901","Advanced Federal Taxation","P: ACCT 6891  .      Income tax issues encountered by corporations, partnerships, and families. Includes gift and estate taxation, research and compliance procedures, and planning for maximization of after-tax benefits for multiple entities.","3"
"Accounting","ACCT 6911","Research in Taxation","Federal taxation at research level. Research for individuals and corporations. Introduction to estates and trusts.","3"
"Accounting","ACCT 6921","Advanced Taxation of Partnerships","P: ACCT 6891  .      Federal taxation of partnerships, S-corporations, and limited liability companies.","3"
"Accounting","ACCT 6931","Advanced Taxation of Estates","P: ACCT 6891  .      Federal taxation of estates, trusts, and gifts.","3"
"Accounting","ACCT 6951","Auditing Seminar","P: ACCT 6611  .      Conceptual framework of independent auditing. Emphasis on development of theory, methodology, standards, and practice.","3"
"Accounting","ACCT 6961","Information Technology Auditing","P: ACCT 6611  .      Fundamental concepts of the information technology (IT) security audit and control process in government, financial, and healthcare industries.","3"
"Accounting","ACCT 6971","Corporate Governance and Accounting Ethics","Fundamental concepts of corporate governance and accounting ethics.","3"
"Accounting","ACCT 6981","The Professional Accounting Environment","P: ACCT 6611  , ACCT 6891  .      Advanced accounting topics, the audit, and contemporary issues and problems. Emphasis on cost accounting, international accounting, business combinations, taxation, and practical application.","3"
"Accounting","ACCT 6991","Advanced Topics in Accounting","May be repeated a maximum of 9 s.h. with a change of topic and consent of department chair or MSA program coordinator.        Investigation of specific problems in accounting.","3"
"Addictions and Rehabilitation","ADRE 6000","Medical and Psychosocial Aspects of Disability","Functional capacities of individuals with disabilities, impact of disability on individual, and personal and social adjustment to life.","3"
"Addictions and Rehabilitation","ADRE 6001","Medical and Psychosocial Aspects of Disability","Functional capacities of individuals with disabilities, impact of disability on individual, and personal and social adjustment to life.","0"
"Addictions and Rehabilitation","ADRE 6010","Introduction to Clinical, Addictions, and Rehabilitation Counseling","History and philosophy of the counseling profession, including credentialing, ethical standards and counselor role and function in clinical, substance abuse, and rehabilitation settings.","3"
"Addictions and Rehabilitation","ADRE 6050","Ethical and Legal Aspects in Clinical, Addictions, and Rehabilitation Counseling","P: Admission to MS in clinical counseling or MS in rehabilitation and career counseling, or consent of instructor.      Ethical standards, legal issues, and decision making in counseling.","3"
"Addictions and Rehabilitation","ADRE 6100","Occupational Analysis and Career Counseling","REHB 5100   P: Consent of instructor.      Current occupational, vocational, career counseling, and career development theories and practices related to persons with and without disabilities across the life-span.","3"
"Addictions and Rehabilitation","ADRE 6200","Psychosocial Aspects of Disability","Social and psychological issues related to physical and mental disability. Identification of adjustment problems and design of appropriate rehabilitation responses.","3"
