"subject","course_code","course_name","description","credits"
"Accounting","ACCT 2101","Survey of Financial and Managerial Accounting","May not substitute for ACCT 2401  or ACCT 2521  May not count toward any College of Business requirement. P: MATH 1050  or MATH 1065  .      Survey from a user perspective.","3"
"Accounting","ACCT 2401","Financial Accounting","P: MATH 1065  or MATH 2119  or MATH 2121  or MATH 2171  .      Basic concepts and transformation processes of accounting information system.","3"
"Accounting","ACCT 2521","Managerial Accounting","P: ACCT 2401  .      Accounting information systems for gathering and organizing data for planning and control of organization activities.","3"
"Accounting","ACCT 3101","Fraud Examination","P: ACCT 2101  or ACCT 2401  .      Pervasiveness and causes of fraud in society; exploration of methods of fraud detection, investigation, and prevention.","3"
"Accounting","ACCT 3551","Intermediate Accounting I","P: ACCT 2521  ;    P/C: FINA 3724  or FINA 6144.  Concepts, principles, and transformations underlying compilation and presentation of financial statements.","3"
"Accounting","ACCT 3561","Intermediate Accounting II","P: ACCT 3551  .      Financial reporting theory, financial reporting problems, and contemporary financial accounting issues.","3"
"Accounting","ACCT 3621","Cost Accounting","P: ACCT 2521  or ACCT 6241.      Types of cost accounting, including application and analysis of standard costs for planning, control, and product costing.","3"
"Accounting","ACCT 3731","Advanced Accounting","P: ACCT 3561  .      Accounting for business combinations, international operations and other advanced accounting topics.","3"
"Accounting","ACCT 3851","Accounting Information Systems","ACCT 4651.   Registration preference given to declared majors with a minimum 2.5 GPA.     P/C: ACCT 3551  .  Procedures, techniques, and cycles with an emphasis on business processes and internal control.","3"
"Accounting","ACCT 4451","International Accounting","P: ACCT 2101  or ACCT 2401  .      Study of international trade, foreign direct investment, corporate governance, and social reporting for multinational companies in the global economy.","3"
"Accounting","ACCT 4611","Taxation for Decision Making","Registration preference given to declared majors with a minimum 25 GPA. P: ACCT 3551  .      Examination of major tax issues inherent in business and financial transactions. Emphasis on planning to maximize tax opportunities and minimize tax liabilities.","3"
"Accounting","ACCT 4621","Controllership Topics","Registration preference given to declared majors with a minimum 2.5 GPA. P: ACCT 3551  ; ACCT 3621  .      Major aspects of controllership, including planning, organizing, directing, measuring, and analysis of accounting information.","3"
"Accounting","ACCT 4631","Internal Auditing","P: ACCT 3621  ; ACCT 3851  .      Fundamental elements of internal control systems, including business, enterprise, and audit risk, and basic principles used to establish internal audit objectives plus programs.","3"
"Accounting","ACCT 4641","Governmental and Not-for-Profit Accounting","Registration preference given to declared and intended majors with a minimum 2.5 GPA. P: ACCT 3551  .      Concepts, principles, and transformations underlying compilation and presentation of governmental and not-for-profit financial statements.","3"
"Accounting","ACCT 4661","Accounting Systems II","Registration preference given to declared and intended majors with minimum 25 GPA. P: ACCT 3851  .      Development of accounting systems for manual and automated environments. Emphasis on internal control and reporting requirements for management and GAAP.","3"
"Accounting","ACCT 4921","Accounting for Business Professionals","P: ACCT 2521  .      Not for accounting majors. Overview of business processes, internal control and taxation. Includes exposure to generalized accounting software package.","3"
"Accounting","ACCT 4991","Topics in Accounting","May be repeated for credit with change of topic and consent of chair.       Selected topics in accounting.","3"
"Adult Education","ADED 3500","Introduction to Peer Tutoring","P: Consent of Director of Pirate Tutoring Center.      Theoretical and skills development for becoming an effective peer tutor.","2"
"Adult Education","ADED 4100","Introduction to Teaching Adults","Contexts, approaches, and unique characteristics of adult learners and the associated learning environments.","3"
"Adult Education","ADED 4150","Instructional Methods","Key decisions and core factors in preparing and delivering instruction to adult learners.","3"
"Adult Education","ADED 4210","Writing Training Materials","Approaches and guidelines for the documentation of content used in training materials.","3"
"Adult Education","ADED 4220","History and Philosophy of Adult Education","Overview of the historical and philosophical roots of adult education in the US from the 1800s to the present.","3"
"Adult Education","ADED 4230","Evaluation and Assessment in Education","Procedures for designing or selecting, administering, and interpreting a variety of assessment measures for use in adult learning environments, as well as the design and interpretation of a course evaluation.","3"
"Adult Education","ADED 4500","Lead Tutor Development","P: Consent of Director of Pirate Tutoring Center.      Leadership development to become an effective lead peer tutor.","2"
"Adult Education","ADED 4501","Independent Study","May be repeated for a maximum of 3 s.h. P: Consent of instructor.       Individual study in a selected area of adult education under the immediate direction of a faculty member.","1-3"
"Adult Education","ADED 4502","Independent Study","May be repeated for a maximum of 3 s.h. P: ADED 4501  and consent of instructor.       Individual study in a selected area of adult education under the immediate direction of a faculty member.","1-3"
"Aerospace Studies","AERO 1100","Heritage and Values of the United States Air Force I","Basic characteristics, missions, and organization of the US Air Force.","1"
"Aerospace Studies","AERO 1101","Leadership Lab","2 lab and 2 physical fitness hours per week.        Training in military drill and ceremonies. Individual, element, and flight activities. Introduction to US Air Force customs and courtesies. Participation in Air Force physical fitness program and physical fitness tests.","1"
"Aerospace Studies","AERO 1102","Heritage and Values of the United States Air Force II","Continuation of AERO 1100  .       Overview of  foundations of officership, leadership, team building, core values, and oral and written communications.","1"
"Aerospace Studies","AERO 1103","Leadership Lab","2 lab hours and 2 physical fitness hours per week.  P: AERO 1101  .      Further study of US Air Force customs and courtesies, including those of the flag. Grade structure and chain of command, honor and ethics, and environment of US Air Force officer. Continued participation in US Air Force physical fitness activities.","1"
"Aerospace Studies","AERO 2200","Team and Leadership Fundamentals I","Foundation for teams and leadership in the US Air Force.","1"
"Aerospace Studies","AERO 2201","Leadership Lab","2 lab and 2 physical fitness hours per week.  P: AERO 1103  .      Advanced work and studies in subjects covered in AERO 1103  . Emphasis on development of personal responsibility, military proficiency, and leadership skills. Participation in Air Force physical fitness program and physical fitness tests.","1"
