"code","level","title","credits","description"
"FRW4420","Undergraduate","16Th C French Lit",3,"A study of major authors of the French Renaissance, Rabelais, Ronsard, Montaigne, etc. Course conducted in French. Inactivated per SCNS review, last term offered Spring 1991"
"EUH4520","Undergraduate","18Th C. England",3,"Cleanup of Course Catalog occurred on 28-JUL-2004.  Course was inactivated."
"ARH4355","Undergraduate","18th Century European Art",3,"A study of European academic of art, Rococo, Neoclassicism, and early Romanticism. Artists to be considered include Poussin, Watteau, Hogarth, Reynolds, Barry, Fuseli, and David."
"FRW4213","Undergraduate","18th Century French Prose",3,"Major works by the 18th century French philosophes that illustrate the evolution of socio-political and aesthetic thought leading to the French Revolution"
"SPW4440","Undergraduate","18Th C Spanish Lit",3,"Examines the most relevant poetry and prose produced by 18th century Spanish writers. Inactivated per SCNS review."
"SPW4341","Undergraduate","19-20C Trad Spanish Poetry",3,"Examines major traditions and styles in 19th- and 20th- century Spanish peninsular poetry."
"SPW6368","Graduate","19Th C Sp-Carib Lit",3,"Cleanup of Course Catalog occurred on 28-JUL-2004.  Course was inactivated."
"ENL3261","Undergraduate","19C Women Novelists",3,"Examines fiction written by women in the 19th century, including classical realist, gothic, sensation, working-class, and New Woman novels. Authors include Austen, Eliot, Bronte, and Gaskell."
"ARH4414","Undergraduate","19th Century Art",3,"A study of Neoclassicism, Romanticism, Realism, and Impressionism. Artists to be considered include David, Ingres, Gericault, Delacroix, Goya, Courbet, Manet, Degas, Monet, and Renoir."
"SPW5475","Graduate","19Th C Lat Amer Lit",3,"A study of the main literary works of Spanish speaking 19th Century Latin America: Romanticism, Realism, Naturalism and Modernism. Prerequisites: Upper level and graduate standing."
"WST4230","Undergraduate","Women Write Empire",3,"We engage with Victorian women writers of color in the 19th century, reflecting on how women's bodies and lived experiences in literature represented, strengthened, or resisted the British Empire."
"SPW3342","Undergraduate","20Th C Spn Poets",3,"Readings from selected poets of the 20th century, such as Antonio Machado, Miguel Hernandez, Damaso Alonso, and Rafael Alberti. Close examination of the poems representative of these poets, and their contribution to the development of Spanish poetry from the Generation of 1898 to the middle of the 20th century. Inactivated per SCNS review, last term offered Spring 2000"
"HUM3252","Undergraduate","20Th Cent Cult/Civ",3,"The 20th century through the Vietnam war, as represented by the period¿s creative and intellectual works in literature, art, history and philosophy - discussed from an interdisciplinary perspective. (AA approval, not taught in 5yrs)"
"ARH4670","Undergraduate","20Th C.Latin Am.Art",3,"The art of Central and South America and the Caribbean of the 20th century."
"PHH4600","Undergraduate","20th Century Philosophy",3,"The basic concerns and teachings of representative philosophers and schools of thought in the cultural settings of the present century, and linkages to past and emerging generations are emphasized in this course."
"ART5017C","Graduate","2D Animation",3,"This course will introduce graduate students to advanced terminology, concepts, and techniques of creating computer generated 2D animation."
