"subject","course_code","course_name","description","credits"
"Accountancy","ACCT 3","Essentials of Accounting","Not open to students majoring in accounting or business administration. Basic concepts in preparation of business financial statements; introduction to understanding, analyzing, and interpreting accounting data by investors, managers, and creditors for decision making, planning, and control. Only minor attention given to record keeping procedures.     Fall","3"
"Accountancy","ACCT 4A","Financial Accounting Principles and Systems","Not open to freshmen. Financial accounting; accounting statements, transaction analysis, and data accumulation; partnership and corporation accounting.     Fall, Spring","3"
"Accountancy","ACCT 4B","Managerial Accounting Principles and Systems","Prerequisite: ACCT 4A  with a C grade or better.  Not open to freshmen. Basic coverage of managerial control and decision support tools, job order costing, activity based costing, standard costing, budgeting, relevant costing, and quality control.     Fall, Spring","3"
"Accountancy","ACCT 120A","Intermediate Accounting I","Prerequisite: ACCT 4A  with a B grade or better, or a 2.5 GPA in ACCT 4A  and ACCT 4B  , or ACCT 4A  with a C grade or better.  Corequisite: ACCT 4B  . DS 71  or equivelent recommended  Preparation and analysis of balance sheet and income statements; basic accounting theory and conceptual framework underlying financial accounting; theory of current assets; theory of current liabilities; investments; revenue recognition; error correction and principle changes; and a review of applicable authoritative pronouncements.     Fall, Spring","4"
"Accountancy","ACCT 120B","Intermediate Accounting II","Prerequisite: ACCT 120A  with a C grade or better. DS 71  or equivalent recommended  An in-depth study of principles, procedures, and reporting requirements in financial accounting as applied to corporate entities; fixed and other noncurrent assets; income tax allocation; noncurrent liabilities, including pensions and leases; inflation accounting; and cash flow. Special attention is given to authoritative pronouncements.     Fall, Spring","4"
"Accountancy","ACCT 132","Cost Accounting","Prerequisite: ACCT 4A  with a B grade or better, or a 2.5 GPA in ACCT 4A  and ACCT 4B  , or ACCT 4A  with a C grade or better.  Corequisite: ACCT 4B  . DS 71  or equivalent and IS 52  recommended.  Industrial and service industry cost accounting; intermediate level coverage of job order and process costing and standard costing; master budgeting, activity based costing/management, decision support tools, support department joint cost allocations, and quality control issues.     Fall, Spring","4"
"Accountancy","ACCT 144","Tax Accounting and Planning","Prerequisite: ACCT 4A  with a C grade or better.  Federal income taxation, research, and planning affecting individuals.     Fall, Spring","4"
"Accountancy","ACCT 145","Federal Income Taxation of Entities and the Federal Uniform Estate and Gift Tax","Prerequisite: ACCT 4B  and ACCT 144  with a C grade or better.  Federal income tax laws relating to entities. Primary emphasis placed on tax issues regarding C corporations, S corporations, and partnerships (including limited liability companies). Analysis of the Federal Uniform Estate and Gift tax. Entity tax accounting, return preparation, reporting, and tax research.     Fall, Spring","4"
"Accountancy","ACCT 146S","Accounting Information Systems and Controls SL","Prerequisite: ACCT 4A  , ACCT 4B  and IS 130  with a C grade or better.  Design of systems used in the collection, organization and reporting of accounting information. Applied knowledge of business cycles and internal system controls using relevant AIS software. Introduction to accounting analytics for managerial reporting, financial analysis, and auditing purposes. Academic topics and skills learned in this class will be applied in a real-world Service-Learning experience.     Fall, Spring","4"
"Accountancy","ACCT 148","Accounting for Governmental and Nonprofit Organizations","Prerequisite: ACCT 120A  with a C grade or better.  Concepts, principles, and problems of accounting for governmental and nonprofit organizations. Budgeting, fund accounting, cost/benefit analysis, cash planning and control, and independent auditing are introduced in the context of making decisions in governmental and nonprofit organizations.     Fall","4"
"Accountancy","ACCT 162","Auditing","Prerequisite: ACCT 120A  and ACCT 120B  with a C grade or better.  Objectives and techniques in verification of business financial statements; duties, responsibilities, and professional ethics of the auditor; auditor’s reports; analysis of internal controls; audits of computerized systems.     Fall, Spring","4"
"Accountancy","ACCT 165","International Accounting","Prerequisite: ACCT 4A  , ACCT 4B  , and ACCT 120A  with a C grade or better.  Accounting concepts, principles, and methods for multinational corporations. Currency for translation of financial statements, financial reporting, international accounting and auditing standards, and the managerial aspects of multinational transactions.     Spring","4"
"Accountancy","ACCT 167","Advanced Accounting Problems","Prerequisite: ACCT 120A  with a C grade or better.  Accounting for corporate consolidations and partnerships.     Spring","4"
"Accountancy","ACCT 169","Forensic Accounting","Prerequisite: ACCT 120A  and ACCT 132  with a C grade or better.  Basic forensic and investigative accounting. Case studies from financial accounting, cost accounting, federal income taxes, auditing, business law, and other business disciplines will be used to help students analyze facts and provide usable accounting and financial information.     Fall, Spring","4"
"Accountancy","ACCT 170A","CPA Exam Study I: Business Environment and Concepts (BEC) & Financial Accounting and Reporting (FAR)","Prerequisite: ACCT 120A  , ACCT 120B  , ACCT 132  and ACCT 187  with a C grade or better. ACCT 148  and ACCT 167  recommended  The course is available for students in the Professional Accounting Certificate Program only and cannot be used toward undergraduate or graduate degree requirements. The course will cover two of the four exam sections of the national examination required to become a Certified Public Accountant: Business Environment and Concepts (BEC) and Financial Accounting and Reporting (FAR). CR/NC grading only.     Fall","3"
"Accountancy","ACCT 170B","CPA Exam Study II: Auditing (AUD) & Regulation (REG)","Prerequisite: ACCT 120A  , ACCT 120B  , ACCT 132  , ACCT 144  and ACCT 187  with a C grade or better. ACCT 162  and ACCT 145  recommended.  The course is available for students in the Professional Accounting Certificate Program only and cannot be used toward undergraduate or graduate degree requirements. The course will cover two of the four exam sections of the national examination required to become a Certified Public Accountant: Auditing and Attestation (AUD) and Regulation (REG). CR/NC grading only.     Fall","3"
"Accountancy","ACCT 187","Accounting Ethics and Professional Responsibilities","Prerequisite: ACCT 120A  and ACCT 120B  with a C grade or better.  This course examines the Accountants’ ethics and professional responsibilities that are integrated in the various roles an accountant undertakes in the recording and reporting of a business processes and financial information.     Fall, Spring","3"
"Accountancy","ACCT 189T","Topics in Accounting and Auditing","This course provides an introduction to the environment of financial accounting and reporting, financial statement analysis, federal income taxation affecting individuals, and Quickbooks financial software. Students will learn what accounting is, identify four financial statements, learn how to understand and analyze financial statements, and become familiar with federal income tax law in the determination of income, deductions, gains, losses, taxable income for individual income taxpayers. Students will also learn how to use Quickbooks to organize business finances and create invoices and reports.   for a maximum of 6 units.","3"
"Accountancy","ACCT 190","Independent Study","See Academic Placement – Independent Study. Approved for RP grading.   for a maximum of 6 units.   Fall, Spring","1-3"
"Accountancy","ACCT 195I","Internship","Prerequisite: permission of internship coordinator  As a course substitution, prior department approval required. Only one internship may count towards option requirements. CR/NC grading only. Requires 150 hours of work at a pre-qualified, academically-related work station (business, government or nonprofit agency). CR/NC grading only.   for a maximum of 6 units.   Fall, Spring","3"
"Africana Studies","AFRS 1","Ethnic Experience","Examines the experiences of various ethnic minorities in the U.S., addresses the issue of race as it affects ethnic formation, analyzes public policy and ethnic experience, discusses the comparable ideologies of race and gender, and evaluates culture and ethnic experience.     Fall","3"
"Africana Studies","AFRS 10","Introduction to Africana Studies: Beginnings, Political Struggle, and Academic Warfare","GE Area 6 (formerly GE F)   A survey course designed to introduce students to the vast array of scholarship defining the African American experience as they relate to the experiences of Africans on the continent and other peoples of African descent in the Diaspora.     Fall","3"
"Africana Studies","AFRS 15","Slavery and the American Experience","GE Area 6 (formerly GE F)   A survey course examining the role of slavery in the economic, political and social development of the United States from the founding of the colonies through the revolutionary period to the civil war and beyond.     Spring","3"
"Africana Studies","AFRS 20","Critical Thinking About Race","GE Area 1B (formerly GE A3) must be satisfied with a C grade or better   This course uses critical thinking skills to discuss, analyze, and critique centuries-old ideas on race/ethnicity and the social policies that were enacted to promote prejudice and discrimination against minorities with a special focus on peoples of African decent and American Indians.     Fall, Spring","3"
"Africana Studies","AFRS 21","Gospel Choir","(Same as AFRS 121  and MUSIC 102GC  ) Performance of a variety of inspirational songs reflecting the African American cultural experience. Participation through rehearsals, activities, programs, and field trips.   Additional Activity: field trips  for a maximum of 8 units.   Fall, Spring","1"
"Africana Studies","AFRS 24","African American Music","The origin and evolution of African American music from the perspective of social and cultural history. Emphasis on slave songs, gospel, jazz, rhythm and blues, and soul music.","3"
"Africana Studies","AFRS 27","Black Popular Culture","GE Area 6 (formerly GE F)   Introduction to the historical and contemporary experiences of African Americans. Examines historical and social arrangements implicated in the experiences and the images these arrangements construct both in the United States and around the world.     Fall, Spring","3"
"Africana Studies","AFRS 35","Art and Music of Africa","Comprehensive study of African artistry and music.","3"
"Africana Studies","AFRS 36","Contemporary African Societies","GE Area 4B (formerly GE D2)   Analysis of the cultural and political structure of African societies; understanding the impact of colonialism in Africa; realizing the relationship of African Americans to Africa.     Fall","3"
"Africana Studies","AFRS 38","Sociology of the Black Experience","Basic principles sociology and their application to the black experience. This introductory course utilizes the sociological approach to seek an understanding of the various experiences of black people in society. Involves participant observation, interviewing, and field trips.   Additional Activity: field trips","3"
"Africana Studies","AFRS 40","Law, Policing, and Black Communities","GE Area 6 (formerly GE F)   Introduction to the historical and contemporary experiences of African Americans as shaped by laws, policing, and the prison system. Examines African American perceptions of the legal system, including their efforts to implement change.     Fall","3"
"Africana Studies","AFRS 55T","Topics in African American Studies","Selected topics at the introductory level in African American Studies.   for a maximum of 9 units.","1-3"
"Africana Studies","AFRS 56","The African American Family","Deals with the origin, development, and adaptations the African American family has created to sustain itself as a viable institution. Emphasis is on problems encountered and created by the American society and how the African American family handles these adversities.     Fall","3"
"Africana Studies","AFRS 60","Introduction to African American Theatre","Study and practice in performance of African American drama and oral interpretation projects. Class will include poetry reading; dance performances; dramatic interpretations; comedic sketches. Previous experience not required.","3"
"Africana Studies","AFRS 68","Black Protest from Emmett Till to Breonna Taylor","GE Area 6 (formerly GE F)   Introduction to historical and contemporary Black experience related to social protest/justice from 1955 to the present, including the Civil Rights Movement, Black Power, and the movement for Black lives. Emphasis on racial justice with inclusion of intersectionality and diverse identities.     Fall, Spring","3"
"Africana Studies","AFRS 102A","African Dance","Focuses on the history of African dance in the United States, uses of dance among Africans/African Americans. Activities include dance techniques; imagery/visualization, dance exercises; simple constructive rest techniques; African dance step techniques preparatory for advance class.   Weekly Lecture Hours: 2  Weekly Lab/Activity Hours: 2","3"
"Africana Studies","AFRS 104W","Writing About American Inequality","Upper Division Writing Requirement   Prerequisite: GE Area 1A (formerly GE A2) with a C grade or better.  Analysis of poverty, social class, and inequality in America. Students receive feedback in preparing papers on poverty and inequality. Emphasis on research techniques, evaluation and documentation of evidence, and style and mechanics of writing.     Fall, Spring","3"
"Africana Studies","AFRS 121","Gospel Choir","(Same as AFRS 21  and MUSIC 102GC  ) Performance of a variety of inspirational songs reflecting the African American cultural experience. Participation through rehearsals, activities, programs, and field trips.   Additional Activity: field trips  for a maximum of 8 units.   Fall, Spring","1"
"Africana Studies","AFRS 129","African American Literary Classics","GE Area UD 3 (formerly GE IC)   Prerequisite: GE Areas 1A, 1B, 1C, 2 (Foundation) and Area 3 (formerly GE Area C).  Discussion and written analyses of significant poetry, drama, fiction, and nonfiction by African American writers representing a variety of views and perspectives. Historical and social contexts of literary works.     Fall, Spring","3"
"Africana Studies","AFRS 130T","Topics in Ethnic Studies","In-depth research and writing on the past and contemporary situation of America’s major ethnic minorities.   for a maximum of 6 units.","1-3"
"Africana Studies","AFRS 135","The African American Community","Analysis of the various lifestyles and cultural patterns of African American communities. Emphasis on unique cultural features of the family, religion, foods, music, art, and folkways. )     Fall","3"
"Africana Studies","AFRS 137","African American Women","(AFRS 137 same as WGSS 137  .) An overview of the accomplishments of African American women in the United States; their contributions to American culture; African influence; African American women as defined by a dominant society vs. legitimate definition designed to encourage a positive self-concept.     Fall","3"
"Africana Studies","AFRS 139","The African American Experience: Black Men and the Search for Self-Liberation","In this course, we will study the history of Black men, Black masculinity, and representations of Black men in media over the last century.. We will explore Black men’s relationships with Black women, the State, and to other Black men.     Fall","3"
"Africana Studies","AFRS 140","The African American Church","History of the formation and development of African American religious institutions (Christianity, Islam, Judaism) in the African American community; their effect on the African American personality.","3"
"Africana Studies","AFRS 142","Hip Hop Culture","Analysis of the pre-history, formal advent, and subsequent cultural development and expansion of Hip-Hop primarily in Africana communities. Examines how Hip-Hop’s history, politics, and economics in America shapes Africana gender identities, political sensibilities, and cultural worldviews.     Spring","3"
"Africana Studies","AFRS 143","Blacks and Jews in America: Identities, Activism and Cultures","Multicultural/International   Prerequisite: GE Areas 1A, 1B, 1C, 2 (Foundation) and Area 4 (formerly GE Area D)  ( JS 143  same as AFRS 143) The history of Americans who are both Black and Jewish and the relationships of Black and Jewish communities in the United States. Course explores intersectional identities and cross-cultural dynamics with a focus on community engagement, racism and antisemitism, political and civil rights activism, and the arts and popular culture.","3"
"Africana Studies","AFRS 144","Race Relations","GE Area UD 4 (formerly GE ID)   Prerequisite: GE Areas 1A, 1B, 1C, 2 (Foundation), Area 4 (formerly GE Area D) and PLSI 2   Analysis of the moral and intellectual issues surrounding the attitudes of whites toward blacks and other racial groups in the United States and elsewhere. Explores the functions of race relations and the social life that developed among non-white groups themselves.     Spring","3"
"Africana Studies","AFRS 145","Life and Times of Martin Luther King Jr.","Explores Dr. King’s leadership in the nonviolent movement for racial equality and human dignity, from the Montgomery Bus Boycott to King’s assassination (1955-68). Emphasis on philosophy, ideology. Format: lectures, films, slides, recorded speeches, and discussion.","3"
"Africana Studies","AFRS 146","Law and the Minority Community","Critical analysis of the foundation and changing structure of law and legal institutions as perceived by minority communities, with emphasis on equal employment and education, criminal justice, and political power.     Spring","3"
"Africana Studies","AFRS 148","Issues in the African American Community","Prerequisite: AFRS 10  or permission of instructor  In-depth, comprehensive, critical analysis of the current social and economic structure of the African American community. Examination of the effects of institutional racism on current social policy.","3"
"Africana Studies","AFRS 150","South Africa","Multicultural/International   Prerequisite: GE Areas 1A, 1B, 1C, 2 (Foundation) and Area 4 (formerly GE Area D)  An introductory analysis of the social, racial, political, and economic problems of people of South Africa, both past and present.     Spring","3"
"Africana Studies","AFRS 164","African Cultural Perspectives","Multicultural/International   Prerequisite: GE Areas 1A, 1B, 1C, 2 (Foundation) and Area 4 (formerly GE Area D)  This course explores the realities of the African cultural experiences through readings and films by Africans. The goal is to study the historical, political, economic, religious, and socio-cultural conditions of the continent in the pre-colonial, colonial, and postcolonial periods.     Fall","3"
"Africana Studies","AFRS 165","African-American Theatre","( DRAMA 187  same as AFRS 165.) Performance, scene development, and dramatic styles consistent with the African American experience. Exploration of cross-cultural aesthetics as they inform creative development. Development of self-written or published scenes and plays.   for a maximum of 6 units.   Spring","3"
"Africana Studies","AFRS 178","History of African Americans","( HIST 178  same as AFRS 178.)     Fall","3"
"Africana Studies","AFRS 180T","Community-Based Topics in Africana Studies","Selected topics related to Black culture, Black institutions and networks, contemporary issues, activism and anti-bias work. CR/NC grading only.   for a maximum of 9 units.","1-3"
"Africana Studies","AFRS 189","Fieldwork in Community Relations","Supervised field observation, participation, and documentation in the operation of minority communities.   for a maximum of 6 units.   Spring","3"
"Africana Studies","AFRS 190","Independent Study","See Academic Placement – Independent Study. Approved for RP grading.   for a maximum of 6 units.   Fall, Spring","1-3"
"Africana Studies","AFRS 191","History of Allensworth","An examination of the historical development of the African American town of Allensworth from its status as a town to its existence as a state historic park. Students will be exposed to various academic disciplines through lectures and a field trip to the park.   Additional Activity: field trips    Spring","1"
