Course Code,Title,Credits
3DA119,Project and Portfolio I: 3-D Arts,"Credit Hours
3.0"
3DA155,Project I: 3-D Arts,"Credit Hours
2.0"
3DA156,Portfolio I: 3-D Arts,"Credit Hours
1.0"
3DA229,Project and Portfolio II: 3-D Arts,"Credit Hours
3.0"
AAR349,Project and Portfolio IV: Audio Arts,"Credit Hours
3.0"
AAR359,Project and Portfolio V: Audio Arts,"Credit Hours
3.0"
AAR469,Project and Portfolio VI: Audio Arts,"Credit Hours
3.0"
AAR3222,Professional Development Seminar II: Audio Arts,"Credit Hours
1.0"
AAR4601,Entrepreneurship in the Audio Industry,"Credit Hours
3.0"
AARC322,Professional Development Seminar II: Audio Arts,"Credit Hours
1.0"
ACG3223,Business Accounting,"Credit Hours
4.0"
ADF155,Project I: Application Development Fundamentals,"Credit Hours
2.0"
ADF156,Portfolio I: Application Development Fundamentals,"Credit Hours
1.0"
AEM1001,Audio Arts in the Entertainment and Media Industries,"Credit Hours
4.0"
APB239,Project and Portfolio III: Audio Production,"Credit Hours
3.0"
APR1355,Fundamentals of Music,"Credit Hours
3.0"
APR3466,Mixing Techniques,"Credit Hours
4.0"
APR3570,Musical Structure and Analysis,"Credit Hours
4.0"
APR3571,Structure of Music,"Credit Hours
4.0"
APR4111,Advanced Audio Editing Techniques,"Credit Hours
4.0"
APR4316,Game Audio Production Techniques,"Credit Hours
3.0"
APR4404,Vocal Techniques,"Credit Hours
3.0"
APR4704,Advanced Mixing Techniques,"Credit Hours
3.0"
ART1201,Design and Art Theory,"Credit Hours
4.0"
ART3006,Art History,"Credit Hours
4.0"
AUD119,Project and Portfolio I: Audio Arts,"Credit Hours
3.0"
AUD155,Project I: Audio Arts,"Credit Hours
2.0"
AUD156,Portfolio I: Audio Arts,"Credit Hours
1.0"
AUD229,Project and Portfolio II: Audio Arts,"Credit Hours
3.0"
AUD239,Project and Portfolio III: Audio Arts,"Credit Hours
3.0"
AUD1923,Recording Principles,"Credit Hours
4.0"
AUD2001,Principles of Music,"Credit Hours
3.0"
AUD3011,Fundamentals of Music Business,"Credit Hours
3.0"
AUD3311,History of Recorded Music,"Credit Hours
3.0"
AUD3425,Sound Design for Games,"Credit Hours
4.0"
BEM1001,Business in the Entertainment and Media Industries,"Credit Hours
4.0"
BIN520,Foundations of Business Intelligence,"Credit Hours
3.0"
BIN530,Enterprise Data Management,"Credit Hours
3.0"
BIN550,Business Intelligence Technologies,"Credit Hours
3.0"
BIN560,Business Intelligence Analytics,"Credit Hours
3.0"
BIN580,Data Mining,"Credit Hours
3.0"
BIN610,Patterns and Recognition,"Credit Hours
3.0"
BIN620,Process Modeling and Analysis,"Credit Hours
3.0"
BIN630,Data Visualization and Creative Reporting,"Credit Hours
3.0"
BIN650,Business Intelligence Leadership and Communication Skills,"Credit Hours
3.0"
BIN660,Business Intelligence Case Studies,"Credit Hours
3.0"
BIN680,Business Intelligence Capstone,"Credit Hours
3.0"
BUL2100,Business Law,"Credit Hours
4.0"
BUL3514,Intellectual Property,"Credit Hours
4.0"
BUL5582,Legal Issues in Sports,"Credit Hours
3.5"
BUL5629,Advanced Entertainment Law,"Credit Hours
3.5"
BUS119,Project and Portfolio I: Personal Branding,"Credit Hours
3.0"
BUS155,Project I: Personal Branding,"Credit Hours
2.0"
BUS156,Portfolio I: Personal Branding,"Credit Hours
1.0"
BUS229,Project and Portfolio II: Market Research,"Credit Hours
3.0"
BUS349,Project and Portfolio IV: Business,"Credit Hours
3.0"
BUS359,Project and Portfolio V: Business,"Credit Hours
3.0"
BUS469,Project and Portfolio VI: Business,"Credit Hours
3.0"
BUS4790,Innovative Business Solutions,"Credit Hours
3.0"
CAB239,Project and Portfolio III: Computer Animation,"Credit Hours
3.0"
CAB401,Industry Production,"Credit Hours
4.0"
CAN3111,Professional Development Seminar I: Computer Animation,"Credit Hours
1.0"
CAN3222,Professional Development Seminar II: Computer Animation,"Credit Hours
1.0"
CANC311,Professional Development Seminar I: Computer Animation,"Credit Hours
1.0"
CANC322,Professional Development Seminar II: Computer Animation,"Credit Hours
1.0"
CAP320,The Artificial Intelligence Ecosystem,"Credit Hours
3.0"
CAP350,Deep Learning,"Credit Hours
4.0"
CAP355,Natural Language Processing,"Credit Hours
4.0"
CAP415,Computer Vision,"Credit Hours
3.0"
CAP445,Human-AI Interaction,"Credit Hours
3.0"
CAP450,Security in Artificial Intelligence,"Credit Hours
3.0"
CAP460,Artificial Intelligence Architecture,"Credit Hours
3.0"
CAP4053,Artificial Intelligence,"Credit Hours
4.0"
CGA101,Fundamentals of Art I,"Credit Hours
3.0"
CGA103,Fundamentals of Art II,"Credit Hours
4.0"
CGA121,3-D Foundations,"Credit Hours
4.0"
CGA343,Character Modeling Fundamentals,"Credit Hours
4.0"
CGA356,Compositing and Scene Finishing,"Credit Hours
4.0"
CGA365,Compositing Fundamentals,"Credit Hours
3.0"
CGA366,Visual Development,"Credit Hours
4.0"
CGA462,Animation Production,"Credit Hours
3.0"
CGA2112,3-D Animation I,"Credit Hours
4.0"
CGA3112,3-D Animation II,"Credit Hours
4.0"
CGA3312,Character Rigging,"Credit Hours
3.0"
CGA4014,Character Animation,"Credit Hours
4.0"
CGA4631,Technical Animation,"Credit Hours
3.0"
CGG333,Game Animation I,"Credit Hours
4.0"
CGG351,Art Creation for Games,"Credit Hours
4.0"
CGG382,Game Production,"Credit Hours
3.0"
CGG432,Texture Painting and Sculpting,"Credit Hours
3.0"
CGG443,Advanced Game Characters,"Credit Hours
3.0"
CGG452,Level Assembly and Lighting,"Credit Hours
4.0"
CGG3447,Game Characters,"Credit Hours
4.0"
CGG4316,Game Animation II,"Credit Hours
3.0"
CGG4555,Environment Art,"Credit Hours
4.0"
COD3315,Computer Graphics,"Credit Hours
3.0"
COD3412,Digital Logic,"Credit Hours
4.0"
COD3511,Computer Organization and Architecture,"Credit Hours
3.0"
COD3622,Information and Database Systems,"Credit Hours
3.0"
COD3721,Computer Networks,"Credit Hours
3.0"
COM349,Project and Portfolio IV: Communications,"Credit Hours
3.0"
COM359,Project and Portfolio V: Communications,"Credit Hours
3.0"
COM469,Project and Portfolio VI: Communications,"Credit Hours
3.0"
COP1000,Programming I,"Credit Hours
4.0"
COP1050,Programming for Interactive Technology I,"Credit Hours
4.0"
COP1334,Programming I,"Credit Hours
4.0"
COP2050,Programming for Interactive Technology II,"Credit Hours
4.0"
COP2334,Programming II,"Credit Hours
4.0"
COS119,Project and Portfolio I: Computer Science,"Credit Hours
3.0"
COS155,Project I: Computer Science,"Credit Hours
2.0"
COS156,Portfolio I: Computer Science,"Credit Hours
1.0"
COS229,Project and Portfolio II: Computer Science,"Credit Hours
3.0"
COS239,Project and Portfolio III: Computer Science,"Credit Hours
3.0"
COS349,Project and Portfolio IV: Computer Science,"Credit Hours
3.0"
COS359,Project and Portfolio V: Computer Science,"Credit Hours
3.0"
COS469,Project and Portfolio VI: Computer Science,"Credit Hours
3.0"
COS479,Project and Portfolio VII: Computer Science,"Credit Hours
3.0"
COS540,Research Approaches in Computer Science,"Credit Hours
3.0"
COS550,Advanced Software Engineering,"Credit Hours
3.0"
COS560,Data Science,"Credit Hours
3.0"
COS570,Advanced Artificial Intelligence,"Credit Hours
3.0"
COS580,Machine Learning,"Credit Hours
3.0"
COS590,Human-Computer Interaction,"Credit Hours
3.0"
COS630,Data Visualization and Extended Reality,"Credit Hours
3.0"
COS640,HCI Application Development,"Credit Hours
3.0"
COS650,"Software Project: Research, Planning, and Design","Credit Hours
3.0"
COS660,Software Project: Development I,"Credit Hours
3.0"
COS670,Software Project: Development II,"Credit Hours
3.0"
COS680,Software Project: Deployment and Professional Presentation,"Credit Hours
3.0"
