"course_code","course_title","department","credits","description"
"ACCT 2101","Principles of Accounting I","Accounting (ACCT)","3 Credit Hours.","A study of the underlying theory and application of financial accounting concepts. These concepts include measurement principles, financial statement preparation, and introductory financial analysis."
"ACCT 2102","Principles of Accounting II","Accounting (ACCT)","3 Credit Hours.","A study of the underlying theory and application of managerial accounting concepts. These concepts include cost measurement, decision making, budgeting, and variance analysis."
"AE 1355","Aerospace Systems Design Competition I","Aerospace Engineering (AE)","3 Credit Hours.","Team-oriented aerospace systems design project directed by a faculty advisor.  Typically a national student competition in aircraft, rotorcraft, or spacecraft design. Technical role commensurate with freshman standing."
"AE 1601","Introduction to Aerospace Engineering","Aerospace Engineering (AE)","1 Credit Hour.","Overview of aerospace engineering. Common terminology, introduction to use of engineering models, professional and ethical standards and experience with team-based design of aerospace systems. Students cannot receive credit for bothAE 1601and AE 1350."
"AE 1750","Introduction to Bioengineering","Aerospace Engineering (AE)","3 Credit Hours.","An introduction to the field of bioengineering, including the application of engineering principles and methods to problems in biology and medicine, the integration of engineering with biology, and the emerging industrial opportunities. Crosslisted with BMED, CHE, ECE, ME, andMSE 1750."
"AE 1XXX","Aerospace Engineering Elective","Aerospace Engineering (AE)","1-21 Credit Hours.",""
"AE 2010","Thermodynamics & Fluids Fundamentals","Aerospace Engineering (AE)","4 Credit Hours.","Thermodynamic and fluid properties. Conservation laws, Isentropic flow, shocks and expansions, introduction to flows with friction and heat transfer. Applications to aerospace devices. Students cannot receive credit for bothAE 2010andAE 3450."
"AE 2010R","AE 2010 Recitation","Aerospace Engineering (AE)","0 Credit Hours.","This recitation is an optional session in support ofAE 2010. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions."
"AE 2011","Fluid Fundamentals","Aerospace Engineering (AE)","2 Credit Hours.","Flowfield concepts, fluid properties, conservation equations for flows, isentropic flow, shocks and expansions, introduction to flows with friction and heat transfer. Applications to aerospace devices."
"AE 2011R","AR 2011 Recitation","Aerospace Engineering (AE)","0 Credit Hours.","This recitation is an optional session in support ofAE 2011. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions."
