course_code,course_name,credits,description
ACC-240,Fundamentals of Accounting,4 credits,"In this course, students examine basic accounting concepts and explore how accounting information assists business leaders in making financial decisions that increase profitability and contribute to competitive advantage. There is specific emphasis on the analysis of financial statements in the business decision- making process, budgeting, and factors businesses must consider when determining appropriate pricing of goods and services. Prerequisite: MAT-134, MAT-144, MAT-154, or higher subsequent math course."
ACC-250,Financial Accounting,4 credits,"This course is an introduction to the accounting cycle and the construction of financial statements. Students explore the fundamental principles and practices of financial accounting as outlined by Generally Accepted Accounting Principles (GAAP); the steps in the accounting cycle from journalizing transactions through the preparation of financial statements; and the use and interpretation of the balance sheet, income statement, and statement of cash flows. Prerequisite: MAT-134, MAT-144, MAT-154, or higher subsequent math course."
ACC-260,Management Accounting,4 credits,"This course is an introduction to the use of managerial accounting data in the decision-making process. Topics include the use of cost-volume-profit (CVP) analysis and relevant costs in decision making, using budgets and the balanced scorecard to evaluate performance, methods for setting prices of products and services, and analyzing capital investment opportunities. Prerequisite: ACC-250."
ACC-335,Accounting Information Systems,4 credits,"This course provides students with an introduction to current practices and techniques used to design, install, operate, and manage an integrated accounting system in either a manual or computerized setting. Application controls, information security requirements, and integration with other business information systems are examined. Prerequisite: ACC-250."
ACC-337,Introduction to Accounting,4 credits,"Analytics This course is an introduction to data analytics techniques frequently used in accounting. Students explain basic concepts of financial data analytics and apply descriptive analyses, diagnostic analyses, predictive analytics, and prescriptive analytics to business scenarios. Prerequisite: ACC-335."
ACC-360,Cost Accounting,4 credits,"This course provides a study of principles of internal accounting, including job order systems, process costing, activity-based costing, and budgeting. Prerequisite: ACC-260 or ACC-350. ------------------ ∆ Writing intensive course |  Fulfills General Education requirement | ------------------ Summer 2025 Academic Catalog 264 scriptions"
ACC-361,Intermediate Managerial,4 credits,"Accounting This course explores intermediate managerial accounting concepts. Students analyze cost behavior, value inventory using multiple costing methods, prepare budgets and evaluate variances, and use financial data and nonfinancial measures to analyze performance. Prerequisite: ACC-260."
ACC-370,Intermediate Accounting I,4 credits,"This course is an in-depth study of accounting objectives, principles, theory, and practice as related to the balance sheet and income statement. Students explore the accounting cycle, the preparation of detailed financial statements in accordance with Generally Accepted Accounting Principles (GAAP), accounting for assets, and other items frequently addressed on the Uniform Certified Public Accounting Examination (Uniform CPA Exam). Prerequisites: ACC-250 and ACC-260."
ACC-371,Intermediate Accounting II,4 credits,"This course is an in-depth study of accounting objectives, principles, theory, and practice as related to the balance sheet and income statement. Students explore liabilities and equity items; the specific rules for accounting for leases, accounting changes, and revenue recognition, and other items frequently addressed on the Uniform Certified Public Accounting Examination (Uniform CPA Exam). Prerequisite: ACC-370."
ACC-425,Ethics in Accounting,4 credits,"This course is an in-depth study of ethical issues encountered in public accounting. Students develop a foundation for ethical decision making and explore ethical guidelines specific to the accounting profession. This course is designed to meet the requirements for licensure of certified public accountants in California. Prerequisites: BUS-340, ACC-460, and ACC-491."
ACC-460,Taxation,4 credits,"This course provides a study of the theory and practices of accounting for income taxes of individuals. Students explore the responsibilities of a tax accountant, specific transactions that affect the tax liability of individuals. Prerequisite: ACC-370 or FIN-350."
