"subject","course_code","course_name","description","credits"
"AAST Africana Studies","AAST 2000","Introduction to African American Studies","Interdisciplinary introduction to African American studies from a social science perspective.   Prerequisite(s): ENGL 1101  .  Repeat Limit: Not Repeatable","3 Credit Hours"
"AAST Africana Studies","AAST 3030","Selected Topics in Africana Studies","Designed to promote interdisciplinary engagement and, or, in individualized specialization so that the student can deepen their knowledge of Africa and the African Diaspora.   Repeat Limit: Unlimited","1-4 Credit Hours"
"AAST Africana Studies","AAST 3230","Introduction to Africa and Its Diaspora","A general examination of the history, cultures, and societies of peoples of African descent throughout the world, with emphasis on those who live in Africa, the United States, the Caribbean, and Latin America.   Repeat Limit: Not Repeatable","3 Credit Hours"
"AAST Africana Studies","AAST 3235","Race and Ethnicity","This course is a survey of the major concepts and theories in the study of racial and ethnic relations in the United States. The situations and experiences of various racial and ethnic groups are considered.   Prerequisite(s): A minimum grade of “C” in SOCI 1101  .  Cross Listing(s): SOCI 3235  .  Repeat Limit: Not Repeatable","3 Credit Hours"
"AAST Africana Studies","AAST 3330","Yoruba Culture and Civilization","Introduction to Yoruba culture in Nigeria and other west African societies as well as the Diaspora.   Repeat Limit: Not Repeatable","3 Credit Hours"
"AAST Africana Studies","AAST 3332","African American Theatre","Investigates the contributions of black playwrights, actors, and directors to American theatre.   Cross Listing(s): THEA 3332  .  Repeat Limit: Not Repeatable","3 Credit Hours"
"AAST Africana Studies","AAST 3435","African Art History","Surveys the major themes, cultural groups, and art traditions of Africa. Focuses on materials, functions, meaning and the distinctive aesthetic values of cultural objects and their ritual significance in African societies.   Prerequisite(s): A minimum grade of “C” in ARTH 2531  or ARTH 2532  .  Repeat Limit: Not Repeatable","3 Credit Hours"
"AAST Africana Studies","AAST 3436","African American Art History","The study of African American art and design from the period of pre colonial Africa to the contemporary United States. The course investigates the creativity and cultural identity of African Americans and their contributions to the visual culture in America.   Prerequisite(s): A minimum grade of “C” in ARTH 2531  or ARTH 2532  .  Repeat Limit: Not Repeatable","3 Credit Hours"
"AAST Africana Studies","AAST 4133","Gullah and Geechee Language and Culture","This course introduces students to the culture, language, folklore, traditional stories, and creative output of the Gullah and Geechee people in Georgia and South Carolina through readings, lectures, films, and hands-on experiences.   Prerequisite(s): A minimum grade of “C” in ENGL 1102  .  Repeat Limit: Not Repeatable","3 Credit Hours"
"AAST Africana Studies","AAST 4134","The Civil Rights Movement","The course explores the origins, ideologies, strategies and legacy of the modern civil rights movement in the North and the South with special focus on the impact of race, class and gender on civil rights from 1946-1968.   Cross Listing(s): HIST 4134  .  Repeat Limit: Not Repeatable","3 Credit Hours"
