course_code,course_name,credits,description
ACCT 2101,Principles of Accounting I,3.0,"DESCRIPTION Principles of Accounting I is an introduction to the principles of financial accounting. The course focuses on analyzing business transactions to chart their effects on the results of operations, the cash flows, and the financial position of businesses organized for profit. Emphasis is on using financial information from a decision-making perspective to optimize the outcomes of business decisions. Topics include recording, reporting, and analyzing assets, liabilities, stockholders' equity, revenues, and expenses."
ACCT 2102,Principles of Accounting II,3.0,"PREREQUISITES ACCT 2101 DESCRIPTION Principles of Accounting II is an introduction to the principles of managerial accounting. Emphasis is given to the development and use of accounting information to support managerial decision-making in manufacturing, service, and merchandising operations. Topics include managerial concepts and systems, analyses for decision making, and planning and control."
ACCT 4101,Essentials of Financial Reporting I,3.0,"PREREQUISITES ACCT 2101 and ACCT 2102 with a grade of B or higher REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION In this course students will learn how to value and record operating activities in the accounting cycle, analyze data to provide insights about business operations and performance, and apply critical thinking to support evidence- based conclusions including ethical dimensions."
ACCT 4102,Essentials of Financial Reporting II,3.0,"PREREQUISITES ACCT 2101 and ACCT 2102 with a grade of B or higher REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION ACCT 4101 and BCOM 3950 with a grade of C- or higher. In this course students will learn how to identify, analyze and record the assets, liabilities and equity of an enterprise, account for and report complex business transactions and disclosures, apply financial accounting theory, professional standards and judgment to real world business transactions, and analyze firm performance using financial accounting information."
ACCT 4111,Intermediate Accounting I,3.0,"ACCT 2101, ACCT 2102 and BCOM 3950 with grade of B or higher  Must meet RCB upper division course requirements and 45 semester hours  Students will learn the environmental and theoretical structure of financial accounting, the accounting process, and preparation of an income statement, balance sheet and statement of cash flows. Students will also learn to measure income, do profitability analysis, apply time value of money concepts to financial accounting measurements, account for cash, receivables and inventories, and learn to research financial accounting issues using the FASB Codification Database. 778"
ACCT 4112,Intermediate Accounting II,3.0,"PREREQUISITES ACCT 2101, and ACCT 2102 with grade of B or higher and ACCT 4111, and MGS 3100 with grade of C- or higher REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION Students will learn how to account for the economic resources and liabilities of an enterprise. Topics studied will include operational assets, investments, current liabilities, bonds, and leases. Students will also learn rudimentary financial statement analysis pertaining to these topics, analyze real world cases and learn to research financial accounting issues using the FASB Codification Database."
ACCT 4113,Intermediate Accounting III,3.0,"PREREQUISITES ACCT 2101, and ACCT 2102 with grade of B or higher, and ACCT 4111, and ACCT 4112 with grade of C- or higher DESCRIPTION Students will study accounting for income taxes, pensions, shareholders equity, share-based compensation, accounting changes, error corrections, and derivatives. Students will also learn the computation of earnings per share and the preparation of a complex statement of cash flows. Students will also learn rudimentary financial statement analysis, analyze real world cases pertaining to these topics and learn to research financial accounting issues using the FASB Codification Database."
ACCT 4210,Cost Managerial Accounting,3.0,"PREREQUISITES ACCT 2101 and ACCT 2102 with grade of B or higher for AC and non-FI majors or FI 4000 for fin majors or prerequisite above REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION Students study the information needed by managers to plan, monitor, and improve their critical processes, products, and services. This course stresses the application of information technologies to tasks such as measuring costs to produce, market, and deliver products and services; planning via flexible budgets and cost-volume-profit analysis; implementing activity-based management systems; and measuring and performance. Students communicate implications of their analyses to stakeholders using database, spreadsheet, and word processing skills."
ACCT 4310,Accounting Information Systems,3.0,"CIS 2010, MGS 3100, and ACCT 4210 with grade of C- or higher  This course develops skills required by accountants as users, managers, designers, and evaluators of information systems in business environments. The skills include choosing, extracting, and analyzing information to solve business problems, modeling technology-enabled business processes, and evaluating internal control in business environments. 779"
ACCT 4389,Directed Readings in Accounting,1.0,"PREREQUISITES ACCT 2101, and ACCT 2102 with grade of B or higher, and consent of instructor REQUIREMENTS Must meet RCB upper division course requirements and 45 semester hours DESCRIPTION This course may include a Signature Experience component."
