"course_code","course_name","course_credits"
"AAA 200","AAA 200 - Understanding Africa","3 credits"
"AAA 201","AAA 201 - Introduction to African American Studies","3 credits"
"AAA 231","AAA 231 - Early African American Literature","3 credits"
"AAA 232","AAA 232 - Modern African American Literature","3 credits"
"AAA 300","AAA 300 - U.S. - Africa Relations","3 credits"
"AAA 302","AAA 302 - African Diaspora","3 credits"
"AAA 319","AAA 319 - African Politics","3 credits"
"AAA 333","AAA 333 - Study Abroad - African/African American Studies","1 to 6 credits"
"AAA 337","AAA 337 - Contemporary Black Literature","3 credits"
"AAA 340","AAA 340 - African American Culture and Social Thought","3 credits"
"AAA 343","AAA 343 - Black Feminist Thought","3 credits"
"AAA 352","AAA 352 - Black Women's Culture and Communities","3 credits"
"AAA 357","AAA 357 - The Black Athlete in History","3 credits"
"AAA 380","AAA 380 - Special Topics in African/African American Studies","1 to 3 credits"
"AAA 399","AAA 399 - Independent Readings","1 to 3 credits"
"AAA 490","AAA 490 - Practicum: Career-Service in Community Building","1 to 6 credits"
"AAA 499","AAA 499 - Independent Study and Research","1 to 4 credits"
"ACC 201","ACC 201 - Accounting for Non-Business Majors 1","1.5 credits"
"ACC 202","ACC 202 - Accounting for Non-Business Majors 2","1.5 credits"
"ACC 212","ACC 212 - Principles of Financial Accounting","3 credits"
"ACC 213","ACC 213 - Principles of Managerial Accounting","3 credits"
"ACC 240","ACC 240 - Financial Accounting Applications","1 credits"
"ACC 280","ACC 280 - Special Topics in Accounting","1 to 3 credits"
"ACC 310","ACC 310 - Intermediate Accounting I","3 credits"
"ACC 311","ACC 311 - Intermediate Accounting II","3 credits"
"ACC 317","ACC 317 - Individual Income Taxation","3 credits"
"ACC 318","ACC 318 - Entity Taxation","3 credits"
"ACC 321","ACC 321 - Cost Strategy and Decision Making","3 credits"
"ACC 330","ACC 330 - International Accounting","3 credits"
"ACC 333","ACC 333 - Corporate Governance and Accounting Ethics","3 credits"
"ACC 340","ACC 340 - Accounting Systems","3 credits"
"ACC 380","ACC 380 - Special Topics in Accounting","1 to 3 credits"
"ACC 408","ACC 408 - Governmental and Not-for-Profit Accounting","3 credits"
"ACC 413","ACC 413 - Internal Auditing","3 credits"
"ACC 414","ACC 414 - External Auditing","3 credits"
"ACC 416","ACC 416 - Information Systems Auditing","3 credits"
"ACC 480","ACC 480 - Special Topics in Accounting","1 to 3 credits"
"ACC 490","ACC 490 - Accounting Internship","1 to 6 credits"
"ACC 499","ACC 499 - Independent Research","1 to 3 credits"
"ACC 508","ACC 508 - Governmental and Not-for-Profit Accounting","3 credits"
"ACC 511","ACC 511 - Financial and Managerial Accounting Concepts","3 credits"
"ACC 513","ACC 513 - Internal Auditing","3 credits"
"ACC 514","ACC 514 - External Auditing","3 credits"
"ACC 516","ACC 516 - Information Systems Auditing","3 credits"
"ACC 580","ACC 580 - Special Topics in Accounting","1 to 3 credits"
"ACC 603","ACC 603 - Accounting and Auditing Research","3 credits"
"ACC 607","ACC 607 - Ethics for Accountants","3 credits"
"ACC 608","ACC 608 - Forensic Accounting","3 credits"
"ACC 611","ACC 611 - Contemporary Managerial Accounting","3 credits"
"ACC 612","ACC 612 - The Accountant's Legal Environment","3 credits"
"ACC 613","ACC 613 - Financial Statement Analysis","3 credits"
