course_name,department,college,subject,description
Independent Study by Candidates for Master's Degrees,ADV 9201,GSD,Graduate School of Design,"Students may take a maximum of 8 units with different GSD instructors in this course series. 9201 must be taken for either 2 or 4 units.Prerequisites: GSD student seeking a Master's degreeCandidates may arrange individual work focusing on subjects or issues that are of interest to them but are not available through regularly offered coursework. Students must submit an independent study petition, and accompanying documentation as noted on the petition, after securing approval of the fac"
Preparation of MUP Design Thesis,ADV 9204,GSD,Urban Planning & Design,"What does it take to complete an Urban Planning Thesis? The seminar introduces different types of theses that might be produced by students, whether textual, design-focused, or based in some other medium, such as film. It addresses topic and question identification, research methods, case selection, the craft of thesis production, managing the student-advisor relationship, and techniques for verbally defending a thesis.Over the semester, students identify and refine their thesis topic, solidify"
Independent Thesis in Satisfaction of Degree MArch,ADV 9301,GSD,Architecture,"The Thesis Program encourages students to take advantage of the wide range of resources and research initiatives of the Graduate School of Design and its faculty to make a thoughtful contribution to the discipline. Thesis is a required component of the March I program, and an optional track for the March II program.Each student works on a final thesis project based upon the interests and research done in the semesters leading up to the final term and under the guidance of a designated faculty ad"
Preparation of MLA Design Thesis,ADV 9341,GSD,Landscape Architecture,"“The natural sciences are concerned with how things are . . . Design, on the other hand, is concerned with how things ought to be.”            —Herbert Simon, The Sciences of the Artificial, 1969A thesis is a thematic proposition offered for discussion and debate. A thesis is typically developed through a piece of original research specific to an academic discipline, often at the culmination of a program of study. Theses are produced through vari"
Independent Design Engineering Project I,ADV 9381,GSD,Architecture,"The Independent Design Engineering Project (IDEP) is a two-semester project during which students in the Master in Design Engineering (MDE) program work on understanding a concise, real-world problem and develop a prototypical solution. Methodologically a continuation of the MDE first-year studio, each student frames a complex problem and engages with stakeholders in order to understand its multi-scalar, multidisciplinary aspects. Work on a solution involves a combination of analytical and visua"
Independent Study by Candidates for Doctoral Degrees,ADV 9502,GSD,Graduate School of Design,"9502 must be taken for either 2 or 4 units. Under faculty guidance, the student conducts an independent reading program and formulates a thesis proposal. The course is intended for doctoral students. In addition to enrolling in the course, students must download and fill out the independent study petition, which can be found on my.Harvard. Enrollment will not be final until the petition is submitted."
Preparation of Doctoral Thesis Proposal,ADV 9503 001,GSD,Architecture,Independent study with doctoral advisor to produce a preliminary literature review. Prerequisite: Enrollment in GSD DDes program.
Preparation of Doctoral Thesis Proposal,ADV 9503 002,GSD,Architecture,Independent study with doctoral advisor to produce a preliminary literature review. Prerequisite: Enrollment in GSD DDes program.
Preparation of Doctoral Thesis Proposal,ADV 9503 003,GSD,Architecture,Independent study with doctoral advisor to produce a preliminary literature review. Prerequisite: Enrollment in GSD DDes program.
Preparation of Doctoral Thesis Proposal,ADV 9503 004,GSD,Architecture,Independent study with doctoral advisor to produce a preliminary literature review. Prerequisite: Enrollment in GSD DDes program.
Preparation of Doctoral Thesis Proposal,ADV 9503 005,GSD,Architecture,Independent study with doctoral advisor to produce a preliminary literature review. Prerequisite: Enrollment in GSD DDes program.
Preparation of Doctoral Thesis Proposal,ADV 9503 006,GSD,Architecture,Independent study with doctoral advisor to produce a preliminary literature review. Prerequisite: Enrollment in GSD DDes program.
Preparation of Doctoral Thesis Proposal,ADV 9503 007,GSD,Architecture,Independent study with doctoral advisor to produce a preliminary literature review. Prerequisite: Enrollment in GSD DDes program.
Preparation of Doctoral Thesis Proposal,ADV 9503 008,GSD,Architecture,Independent study with doctoral advisor to produce a preliminary literature review. Prerequisite: Enrollment in GSD DDes program.
