course_name,department,college,subject,description
Introduction to African American Studies,AFRAMER 10,FAS,African & African Amer Studies,This course aims to provide an interdisciplinary examination of the complex array of African-American cultural and political practices from slavery to the present.  The course will involve close readings of a variety of primary sources and classic texts that present key issues in African American thought and practice.  The course will place special emphasis on debates concerning African American people with the goal of introducing students to the process and the methodology of interdis
Introduction to African Studies,AFRAMER 11,FAS,African & African Amer Studies,"This course introduces students to the rich diversity and complexity of Africa, including its historical dynamics, economic developments, social and political practices, and popular cultures. Throughout, we assume that Africa is not a unique isolate but a continent bubbling with internal diversity, historical change, entrepreneurial spirit, and cultural links beyond its shores. Our goal is to train students to think rigorously about Africa from interdisciplinary and transnational perspectives. W"
History of Sport in Africa,AFRAMER 66,FAS,African & African Amer Studies,"This course studies African histories of politics, culture, economics, colonialism, decolonization, and more through the histories of sports. Sports and games of various kinds have played a key role in African societies for many centuries, and this course will begin with those earlier histories before looking at the role of Africa and Africans in modern sports history, a period that began in the late 19th century around the development of the Olympic games and professional leagues globally. Euro"
Race and Public Health Crises: From TB to AIDS to COVID-19,AFRAMER 86,FAS,African & African Amer Studies,"This course explores the complex interplay between race and public health crises, from tuberculosis to AIDS and COVID-19. Students will examine the visual culture of epidemics, critically analyze systems of racial classification, and study the work of influential sociologists, political scientists and historians of medicine and public health. The course challenges students to question the racial epistemology underlying epidemiological research and practice, fostering a deeper understanding of ho"
Supervised Reading and Research,AFRAMER 91R,FAS,African & African Amer Studies,"Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
Sophomore Tutorial: Understanding Race and Racism,AFRAMER 97,FAS,African & African Amer Studies,"This course will examine the history of race and racism – key analytical constructs that express fundamental issues not only of power and inequality, but also of justice, democracy, equity, and emancipation. The study of race in the social sciences and humanities is an established, dynamic, multidisciplinary, and international field. To understand race and racism with a global perspective, it is necessary to have a transdisciplinary, cross-cultural view to read critically the phenomena tha"
Junior Tutorial - African American Studies,AFRAMER 98,FAS,African & African Amer Studies,"Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have the permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
Junior Tutorial - African Studies,AFRAMER 98A,FAS,African & African Amer Studies,"Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have the permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
Senior Thesis Workshop,AFRAMER 99B,FAS,African & African Amer Studies,Thesis supervision under the direction of a member of the Department. Part two of a two part series.
"Chocolate, Culture, and the Politics of Food",AFRAMER 119X,FAS,African & African Amer Studies,"This course will examine the sociohistorical legacy of chocolate, with a delicious emphasis on the eating and appreciation of the so-called “food of the gods.” Interdisciplinary course readings will introduce the history of cacao cultivation, the present day state of the global chocolate industry, the diverse cultural constructions surrounding chocolate, and the implications for chocolate’s future of scientific study, international politics, alternative trade models, and the fo"
American Democracy,AFRAMER 123Z,FAS,African & African Amer Studies,"Democracy, inequality, and nationalism in America.  The white working class and American politics. Class and race. Identities and interests.  Conditions for socially inclusive economic growth and for the deepening and dissemination of the knowledge economy. Alternative directions of institutional change, viewed in light of American history. Democratizing the market and deepening democracy. Self-reliance and solidarity. We explore and discuss the past, present, and especially the future"
"Tobacco and Sugar, Seminar in Caribbean Counterpoints",AFRAMER 124,FAS,African & African Amer Studies,"Cuban Counterpoint: Tobacco and Sugar (Fernando Ortiz 1940) will guide explorations of aesthetic and historical tensions throughout the Spanish Caribbean. Different crops produced different political/cultural responses. Along with musical forms, plastic arts, and politics, we concentrate on literary works including abolitionist Cecilia Valdés, El reino de este mundo, the Dominican Over, Puerto Rico's La charca, Jamaica's Wide Saragasso Sea, writings by Hostos, Bonó, Mintz, Klein, among others."
Black Feminist Theory Seminar,AFRAMER 135Y,FAS,African & African Amer Studies,"This course traces the development of Black feminist theory and thought, from 19th century thinkers such as Anna Julia Cooper, Maria Stewart, Ida B. Wells through 20th century movements including identity politics, standpoint theory, matrices of domination, intersectionality, as well as Marxian and liberation feminism. Students will be expected to develop critical fluency with the movements and concepts covered and apply them to social, cultural, and political issues."
African Landscape Architecture: Alternative Futures for the Field,AFRAMER 143Y,FAS,African & African Amer Studies,A central aim of this seminar is to reveal the plurality of ways landscapes are shaped across the African continent and how they help mitigate the impacts of changing climates and social injustice now and in the future. Africa is a continent rich in landscape projects and practices but only eight out of fifty-four African nations have professional associations of landscape architects. The course is framed around three central questions: 1.) How is landscape architecture currently practiced in Af
African American Fraternal Associations in U.S. Society and Politics,AFRAMER 154Y,FAS,African & African Amer Studies,"Cross-class fraternal associations were long central to African American civil society. Using unique primary sources as well as secondary works, this research seminar explores the development of a range of fraternal orders that flourished from the mid-1800s through the Jim Crow and Civil Rights eras. Case studies include the largest U.S.-centered transnational associations; fraternal groups founded and led by Black women; and the small number of groups that tried to include both Blacks and white"
Healthcare and the Welfare State,AFRAMER 159Y,FAS,African & African Amer Studies,"This conference course examines state-based guarantees to healthcare through an initial comparative analysis of different welfare states, largely focused on the United States’ experience. It asks why the United States has not guaranteed a right to healthcare, unlike most other advanced, industrialized, and wealthy countries. Within the United States’ federated system, the place of healthcare varies widely amidst other demands for social insurance, which includes unemployment benefits, parental l"
"Abolition, Then and Now",AFRAMER 179X,FAS,African & African Amer Studies,"The modern American prison abolition movement consciously evokes the nineteenth century movement to abolish slavery. The institutions each movement sought to end—chattel slavery and the contemporary carceral state—are also directly linked, by intersecting lineages and genealogies, and by the text of the Thirteenth Amendment, which outlawed slavery “except as a punishment for crime” and thus preserved the legality of American slavery to this day, within prisons. This course examines these linkage"
"Religion, Culture, and Society in Africa",AFRAMER 186,FAS,African & African Amer Studies,"Exploring the meaning of religion  and its  impact of on African culture and society broadly, this course will highlight both religious traditions and innovations. Instead of treating each of the religions of Africa, the triple heritage in the words of Ali Mazrui of indigenous African religions, Islam, and Christianity, as distinct and bounded entities, we will explore the hybridity, interaction, and integration between categories throughout Africa. Using case studies, a unique perspec"
African American Lives in the Law,AFRAMER 191X,FAS,African & African Amer Studies,"This seminar focuses on biographical and autobiographical writings in a historical examination of the role of the individual in the American legal process. We will seek to understand how specific African Americans (as lawyers, judges, and litigants) made a difference-how their lives serve as a ""mirror to America""-and also to understand the ways personal experience informs individual perspectives on the law and justice."
W.E.B. Du Bois and His Critics,AFRAMER 210,FAS,African & African Amer Studies,"W. E. B. Du Bois was among the most profound thinkers of his time, devoting a forensic and evolving attention to the issue of race over a varied career that extended from the turn of the century to his death on the eve of the March on Washington in 1963. Although he earned his PhD from Harvard in history, he is increasingly seen as one of the pioneering scholars in the then-nascent field of sociology. In this course, we will employ a structure of text and critique to evaluate the reach and utili"
Race and Ethnicity in Latin America,AFRAMER 219B,FAS,African & African Amer Studies,"This yearlong seminar introduces students to current questions and debates in the study of race and ethnicity in Latin America, from the colonial period to the present. Our seminar answers the call, issued by anthropologist Peter Wade (1997), to produce scholarship integrating the study of Africans and their descendants, along with indigenous peoples, as participants in shared processes of racial formation, nation making, and state building. Through the systematic comparison of several cases, th"
Storied Lives: Methods in Oral History,AFRAMER 223,FAS,African & African Amer Studies,"How can we understand the lives of people who are excluded from the historical record? How might attention to the time and space in which words are spoken allow us to treat oral history as text, and text as oral history? This course explores storytelling as a foundational element of the human experience. It analyzes the myriad ways in which orality has been used to consolidate origin stories, document events, communicate embodied experience, and transfer ancestral knowledge. By centering methodo"
Individual Reading Tutorial,AFRAMER 310,FAS,African & African Amer Studies,Allows students to work with an individual member of the faculty in a weekly tutorial.
Individual Research,AFRAMER 390,FAS,African & African Amer Studies,Requires students to identify and carry out a research project under the guidance of a member of the faculty. Graduate students may use this course to begin work on the research paper required for admission to candidacy.
Directed Writing,AFRAMER 391,FAS,African & African Amer Studies,Requires students to identify a major essay and carry it out under the guidance of a member of the faculty. Graduate students may use this course to begin to work on the research paper that is a requirement of admission to candidacy.
"Teaching, Writing, and Research",AFRAMER 392,FAS,African & African Amer Studies,
Reading and Research,AFRAMER 398,FAS,African & African Amer Studies,
Direction of Doctoral Dissertations,AFRAMER 399,FAS,African & African Amer Studies,
Elementary Afrikaans,AFRIKAAN AB,FAS,African & African Amer Studies,"A study of Afrikaans a major language spoken in South Africa at the Elementary level (First year part 2). Contact hours supplemented by digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year."
Advanced Afrikaans II,AFRIKAAN 101BR,FAS,African & African Amer Studies,"A study of Afrikaans a major language spoken in South Africa at the Advanced level in the Spring semester. As needed, successive advanced readings in Afrikaans may be taken under Afrikaans 101br every Spring."
Exploring the Human Form: An Introduction to Figure Drawing,AFVS 11G,FAS,"Art, Film, and Visual Studies","In this introductory figure drawing course, you'll embark on a structured and guided journey of exploration into the world of figure drawing. Through direct observation of a live nude model, you will progressively establish a strong foundation in the fundamentals of life drawing and approach. The course is designed around a series of assigned projects that will challenge you to address both technical and conceptual aspects of figure drawing. You will be encouraged to view the human body as a"
Introduction to Photography,AFVS 40S,FAS,"Art, Film, and Visual Studies","This studio course will introduce you to the conceptual and artistic potential of photography. Your understanding and use of the medium will be contextualized within contemporary and historic photographic art practices. Your own art practice will be developed alongside technical skills. We will discuss topics such as the ethics of photographing people, how to make meaningful images amid the proliferation of digital images, and traits that are unique to photography. This class is organized around"
"Introduction to Photography: Looking In, Looking Out",AFVS 42L,FAS,"Art, Film, and Visual Studies","This course will introduce you to the conceptual, artistic potential of photography. Your understanding and use of the medium will be contextualized within contemporary and historic photographic art practices. Your own art practice based in part from your interior life will be developed alongside technical skills. We will discuss topics such as the ethics of photographing people, how to make meaningful images amid the proliferation of digital images, and traits that are unique to photography. T"
Introduction to Nonfiction Filmmaking,AFVS 50B,FAS,"Art, Film, and Visual Studies",Introductory exercises in live-action 16mm filmmaking culminating in the production of a nonfiction film as a group project in the spring term. Students must complete both terms of this course (part A and part B) within the same academic year to receive credit.
Introduction to Nonfiction Videomaking,AFVS 52P,FAS,"Art, Film, and Visual Studies","This course is an introduction to documentary filmmaking. We will explore a range of approaches to nonfiction filmmaking through assignments which encompass video and sound recording and editing, cinematography and montage. Following a series of introductory nonfiction camera, sound and editing exercises, both individual and collaborative, designed to introduce and explore the range of expressive possibilities in digital video, each student will spend the semester making a single nonfiction film"
Fundamentals of Animation,AFVS 53AR,FAS,"Art, Film, and Visual Studies",An introduction to the possibilities of animation for absolute beginners.
Sight and Sound: Introduction to Narrative Filmmaking,AFVS 61,FAS,"Art, Film, and Visual Studies","A practice based course in which students are introduced to the fundamentals of visual and aural story-telling. During the semester the class will explore techniques of cinematographic production including camerawork, sound recording and montage. Students will make short films and be encouraged to explore diverse forms of cinema from fiction to non-fiction to other hybrid forms. The course will include creative workshops, film screenings and discussions of student work."
Building the Real: Non-Fiction Essentials (New Course),AFVS 66,FAS,"Art, Film, and Visual Studies","This introductory production course teaches students the basics of non-fiction filmmaking. We cover camera operation, sound recording, interview strategies, and editing. Classes will be a mixture of workshops and discussion of other students’ work, with film screenings and readings that build on these technical concepts. This will be an intensive, hands-on course with weekly filmmaking exercises to help build students’ skills."
The Art of Film,AFVS 70,FAS,"Art, Film, and Visual Studies","This introductory course surveys the history of film and visual media in the 20th and 21st centuries. We will both explore the rise of major cinematic movements in their striving to define the “art of film” and shed light on the often overlooked parts and marginalized figures in the history of film. Building upon Rudolf Arnheim’s concept of visual thinking, this class puts special emphasis on creative practices and visual exercises that introduce students to new forms of visual"
Special Projects,AFVS 91R,FAS,"Art, Film, and Visual Studies",Open to a limited number of students who wish to carry out a special project under supervision. Students wishing to enroll in AFVS 91R must find a member of the faculty to advise the project and submit an application to the Director of Undergraduate Studies.
Tutorial - Sophomore Year,AFVS 97,FAS,"Art, Film, and Visual Studies","A tutorial course on the foundations and subjects of Art, Film and Visual Studies, encompassing Film, Video and Animation; Studio Art and Photography; Film Studies; Environmental Studies; Design; and Curatorial Studies, including the work of both the Harvard Film Archive and the Carpenter Center for the Visual Arts. Supported by readings, screenings, collaborative workshops, field trips, and project-based assignments, the tutorial is taught by a rotation of the regular and visiting faculty. In t"
Tutorial - Junior Year,AFVS 98R,FAS,"Art, Film, and Visual Studies","This workshop for junior concentrators in Art, Film, & Visual Studies continues development of approaches and questions central to research and practice from the Sophomore Tutorial. For concentrators in the film/video or studio art curricular areas, Junior Tutorial is optional and offers exposure to visiting artists and filmmakers as well as a space to cultivate and workshop approaches to a senior thesis. For AFVS undergraduate concentrators in the film and visual studies curricular are"
Tutorial - Senior Year (Thesis/Senior Project),AFVS 99A,FAS,"Art, Film, and Visual Studies","All students wishing to undertake an AFVS 99 project, either a senior thesis or senior project, must have permission of the project adviser, chosen by the student, before being considered. The Director of Undergraduate Studies and the AFVS Honors Board must approve all AFVS 99 projects and theses in advance.  Part one of a two part series."
Tutorial - Senior Year (Thesis/Senior Project),AFVS 99B,FAS,"Art, Film, and Visual Studies","All students wishing to undertake an AFVS 99 project, either a senior thesis or senior project, must have permission of the project adviser, chosen by the student, before being considered.  The Director of Undergraduate Studies and the AFVS Honors Board must approve all AFVS 99 projects and theses in advance.  Part two of a two part series."
"Drawing 2: Subversive Marks: Drawing, Notation, and Meaning",AFVS 112E,FAS,"Art, Film, and Visual Studies","The close look at, and adoption of, drawing as a functional tool. This typology of drawing is often found in scientific journals and extra-artistic contexts in the form of diagrams, symbols, maps, calendars, graphic models, architectural renderings and technical illustrations of many kinds. These drawings often imply or suggest a lack of poetic and artistic goals, inviting unambiguous readings of specific content. We will explore, manipulate, subvert, or find alternative uses for these often ove"
Hoarding Fever/Archive Fatigue (Studio Course),AFVS 114,FAS,"Art, Film, and Visual Studies","Why do we decide to keep things? What politics hide in taxonomy? How do citizenship, colonialism, and death relate to our stuff? And what’s the deal with Marie Kondo? This studio course will use the discourses around Archive and research based practice as a starting point for developing work in a range of media. We will look at existing archives, develop our own collections as a form of artistic practice, and destabilize the authority of archives by considering informal, queer, pathol"
Post Brush: Studio Course,AFVS 123R,FAS,"Art, Film, and Visual Studies","Using the silkscreen printing process, students will create 2D and 3D works as well as installations that incorporate images and things found in popular culture. Through image and informal discussions students will be introduced to contemporary artists."
