"code","title","credits","department","campus"
"AAAD-A 100","AFRICAN AMERICAN DANCE COMPANY: FOUNDATIONS AND PRACTICES",2,"College of Arts and Sciences","Bloomington"
"AAAD-A 101","CONTEMPORARY MINORITY POLITICAL PROBLEMS",3,"College of Arts and Sciences","Northwest"
"AAAD-A 103","INTRODUCTION TO URBAN STUDIES",3,"College of Arts and Sciences","Northwest"
"AAAD-A 110","AFRICAN AMERICAN CHORAL ENSEMBLE: FOUNDATIONS AND PRACTICES",2,"College of Arts and Sciences","Bloomington"
"AAAD-A 112","BLACK MUSIC OF TWO WORLDS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 113","ATKINS LIVING-LEARNING CENTER FOUNDATIONAL COURSE",1,"College of Arts and Sciences","Bloomington"
"AAAD-A 120","SOUL REVUE: FOUNDATIONS AND PRACTICES",2,"College of Arts and Sciences","Bloomington"
"AAAD-A 132","RECENT AFRICAN AMERICAN AND AFRICAN DIASPORA LITERATURE",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 150","SURVEY OF THE CULTURE OF BLACK AMERICANS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 150","SURVEY OF THE CULTURE OF BLACK AMERICANS",3,"College of Arts and Sciences","Northwest"
"AAAD-A 151","MINORITY PEOPLE IN THE U.S.",3,"College of Arts and Sciences","Northwest"
"AAAD-A 154","HISTORY OF RACE IN THE AMERICAS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 156","BLACK LIBERATION STRUGGLES AGAINST JIM CROW AND APARTHEID",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 169","INTRODUCTION TO AFRICAN AMERICAN LITERATURE",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 169","INTRODUCTION TO AFRICAN AMERICAN LITERATURE",3,"College of Arts and Sciences","Northwest"
"AAAD-A 197","TOPICS IN AFRICAN AMERICAN AND AFRICAN DIASPORA STUDIES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 199","SPECIAL TOPICS IN ARTS AND HUMANITIES FOR AAADS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 201","INTRODUCTION TO AFRICAN AMERICAN AND AFRICAN DIASPORA STUDIES",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 203","STUDYING BLACKS OF THE NEW WORLD: AFRICAN AMERICANS AND AFRICANS IN THE AFRICAN DIASPORA",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 204","TOPICS IN AFRO-AMERICAN STUDIES",3,"College of Arts and Sciences","Northwest"
"AAAD-A 205","BLACK ELECTORAL POLITICS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 206","THE URBAN COMMUNITY",3,"College of Arts and Sciences","Northwest"
"AAAD-A 208","THE AFRICAN CARIBBEAN",3,"College of Arts and Sciences","Northwest"
"AAAD-A 210","BLACK WOMEN IN THE DIASPORA",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 210","BLACK WOMEN IN THE DIASPORA",3,"College of Arts and Sciences","Northwest"
"AAAD-A 219","HISTORY OF BLACK DANCE",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 221","DANCE IN THE AFRICAN DIASPORA",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 222","BLACK WOMEN ARTISTS",3,"College of Arts and Sciences","Bloomington"
"AAAD-A 230","CONTEMPORARY URBAN AFFAIRS AND THE AFRICAN AMERICAN EXPERIENCE",3,"College of Arts and Sciences","Northwest"
"AAAD-A 238","COMMUNICATION IN BLACK AMERICA",3,"College of Arts and Sciences","Bloomington"
