"course_code","course_name","description","department","credits"
"ACCT 2150","Legal Environment of Business","Prereq: Sophomore classificationGeneral history, structure, and principles of the US legal system. The legal system, as an agency of social control and tool for resolving disputes. The court systems, Constitution, torts, crimes, intellectual property, contracts, property rights, employment law, basic business entity law, bankruptcy, administrative agencies, environmental law and agency law.
		
		 (Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","Credits:3"
"ACCT 2840","Financial Accounting","Introduction to the basic concepts and procedures of financial accounting from a user perspective. The course examines the accounting cycle, business terminology, basic control procedures, and the preparation and evaluation of financial reports, with an emphasis on financial statement analysis.
		
		 (Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","Credits:3"
"ACCT 2850","Managerial Accounting","Prereq:ACCT 2840Understanding of fixed and variable costs and their role in planning, control and performance evaluation. Examination of alternative costing methods. Making decisions by identifying and developing relevant information. Development of spreadsheet skills.
		
		 (Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","Credits:3"
"ACCT 3010","The Accounting Cycle","Prereq:ACCT 2840Interactive computer-based analysis of the accounting cycle including transactions and financial statements. Preparation of journal entries and adjusting entries and completion of the closing process.
		
		 (Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","Credits:1"
"ACCT 3150","Business Data Streams and Issues","Prereq:ACCT 2840andMIS 3010Identification of open data sources and other private data sources. Develop methods of data access, collection, and sharing; develop methods to validate and standardize data sources; develop methods to assess data worthiness (risk). Typically Offered: Fall (even-numbered years), Spring (odd-numbered years), Summer (annually).","Accounting (ACCT)","(Cross-listed withMIS 3150)"
"ACCT 3830","Intermediate Managerial Accounting","Prereq:ACCT 2850and credit or enrollment inACCT 3010Generation, communication and use of information to assist management with planning, control, and decision making in manufacturing and service organizations. Includes cost concepts and relevance to decision situations, operational and capital budgeting, and performance evaluation. Emphasis on developing effective teamwork skills as well as spreadsheet capabilities.
		
		 (Typically Offered:Fall, Spring)","Accounting (ACCT)","Credits:3"
"ACCT 3840","Accounting Information Systems and Analytics","Prereq: Credit or enrollment inACCT 3010andMIS 3010Concepts and procedures underlying creating, sharing, reporting, storing, and analyzing accounting data. Information technology internal controls and audit techniques. Trends in accounting information systems.","Accounting (ACCT)","Credits:3"
"ACCT 3860","Intermediate Financial Accounting I","Prereq: (ACCT 2840or ACCT 2840H) andACCT 3010The conceptual framework of financial accounting. Communication of financial information on the income and retained earnings statements, statement of cash flows, and the balance sheet. Accounting concepts relating to current and operational assets of the firm.
		
		 (Typically Offered:Fall, Spring)","Accounting (ACCT)","Credits:3"
"ACCT 3870","Intermediate Financial Accounting II","Prereq: Minimum of C- inACCT 3860Financial accounting and reporting practices for business entities. Generally accepted accounting principles (GAAP) relative to firm liabilities, equity, income, taxes, employee benefits, leases, accounting changes and cash flows. Discussion of current issues in financial accounting.
		
		 (Typically Offered:Fall, Spring)","Accounting (ACCT)","Credits:3"
"ACCT 4010","Financial Management for Healthcare Organizations","Prereq:FIN 3010and credit or enrollment inHCM 3010Examination of the current accounting system for, and the financing of, health care and the factors affecting the industry. Exploration and analysis of budgetary concepts, financial management, cost accounting, and management under rate control and competition, as well as the differences between the goods and service industries. Additional areas of discussion include the practical application of health care finance theory as it applies to the current healthcare environment. The revenue and expense applications will be explored in-depth, particularly in relation to the delivery of health care services. Specific emphasis will be placed on understanding the components of the income statement and balance sheet, developing a budget, and using these financial statements for analyzing operational changes.
		
		 (Typically Offered:Fall, Spring)","Accounting (ACCT)","(Cross-listed withHCM 4010)"
"ACCT 4160","Business Law","Prereq:ACCT 2150Continuation of 2150. The Uniform Commercial Code as applied to sales contracts and negotiable instruments. Property law, wills and estates, insurance, secured transactions, corporation law, partnership law and antitrust law.
		
		 (Typically Offered:Fall, Spring)","Accounting (ACCT)","(Dual-listed withACCT 5160)"
"ACCT 4420X","Generative AI in Business Decision-Making","This intensive course is designed to equip students with the knowledge and skills to leverage generative AI in business decision-making. Through learning modules, interactive case studies, and practical assignments, students will learn to create effective prompts and use Generative AI to transform business processes and decision-making.
		
		 (Typically Offered:Spring, Summer)","Accounting (ACCT)","(Dual-listed withACCT 5420X/MIS 5420X)"
"ACCT 4610","Entrepreneurship and Accounting Information","Accounting information recording, dissemination, and use by entrepreneurs. Introduces pro forma financials, venture capital, private equity, and state and federal regulations for business creation and formation. Other topics include intrapreneurship, intellectual property, information privacy, cybersecurity, and internal controls, including managing the risk of embezzlement.","Accounting (ACCT)","(Dual-listed withACCT 5610)"
"ACCT 4830","Application and Communication in Managerial Accounting","Prereq:ACCT 3830orACCT 5810Business simulation focusing on generation and communication of information to assist management with financial decision-making. Emphasis on developing teamwork, written communication, data visualization, and oral presentation skills.","Accounting (ACCT)","(Dual-listed withACCT 5830)"
"ACCT 4840","Advanced Accounting Information Systems","Prereq:ACCT 3840Advanced accounting information systems concepts; database design and information retrieval, internal controls within computerized accounting information systems, financial reporting in an electronic environment.","Accounting (ACCT)","(Dual-listed withACCT 5840)"
"ACCT 4850","Principles of Federal Income Tax","Prereq: Minimum of C- inACCT 3860Introduction to the fundamentals of federal income taxation and concepts applicable to all tax entities. Addresses issues related to the measurement and recognition of income, deductions, gains, and losses, taxation of property transactions, and basis / cost recovery concepts. Includes coverage of tax law policy objectives, tax implications of business and investment decisions, tax versus financial reporting treatment of common business transactions, and ethical issues related to tax compliance and planning.
		
		 (Typically Offered:Fall, Spring)","Accounting (ACCT)","Credits:3"
"ACCT 4870","Volunteer Income Tax Assistance","Prereq: (ACCT 2850orACCT 5010) OR department permissionIntroduction to and field work in the preparation of individual income tax returns (state and federal). Basic coverage of filing and residency status, taxable income, exemptions, deductions, and credits. Tax software usage and online filing.
		
		 (Typically Offered:Spring)","Accounting (ACCT)","(Dual-listed withACCT 5870)"
"ACCT 4880","Governmental and Non-profit Institution Accounting","Prereq:ACCT 3860Accounting and financial reporting principles of local and state governments, including universities, schools, and hospitals. In addition, accounting and financial reporting of non-profit organizations will be addressed. Financial statements of local governmental units and the university are explored.","Accounting (ACCT)","(Dual-listed withACCT 5880)"
"ACCT 4890","Sustainability Reporting","Prereq: Junior, Senior, or Graduate StandingTheory and practice of social and environmental reporting, the role of the corporation in society, and the mechanisms by which society might hold corporations accountable for their actions.
		
		 (Typically Offered:Spring)","Accounting (ACCT)","(Dual-listed withACCT 5890)"
"ACCT 4900","Independent Study","Prereq: Department Permission for Course(Typically Offered:Fall, Spring, Summer)","Accounting (ACCT)","Credits:1-3"
"ACCT 4930","Corporate Taxation","Prereq:ACCT 3860Introduction to the fundamentals of corporate taxation issues. Discussion of concepts related to the formation and capital structure of corporations. Identification and effect of tax codes and regulations related to corporations. Discussion of operating rules, earnings and profits, distributions, as well as redemptions and liquidations of corporations.
		
		 (Typically Offered:Fall, Spring)","Accounting (ACCT)","(Dual-listed withACCT 5930)"
"ACCT 4950","Advanced Financial Accounting Problems","Prereq:ACCT 3870Accounting for business combinations and affiliated companies, intercompany transactions, and consolidated financial statements; Partnership accounting; Segment and Interim Reporting; Multinational accounting.","Accounting (ACCT)","(Dual-listed withACCT 5950)"
"ACCT 4960","Accounting in the Global Economy","Prereq:ACCT 3860orACCT 5010Financial reporting issues in a global environment, including introduction to International Financial Reporting Standards (IFRS) and the potential for the use of IFRS in the U.S. Accounting and managerial issues faced by multinational corporations. Technical issues such as transfer pricing, inflation accounting and taxation will be discussed.","Accounting (ACCT)","(Dual-listed withACCT 5960)"
"ACCT 4970","Introduction to Auditing","Prereq:ACCT 3840andACCT 3870andSTAT 3260The conceptual framework of auditing. Professional ethics. External reporting concepts. Audit methodology including risk analysis, internal control, procedures for gathering evidence and the role of statistical sampling in auditing.
		
		 (Typically Offered:Fall, Spring)","Accounting (ACCT)","Credits:3"
