"school","subject","course_code","course_name","credits","description"
"School of Business","Graduate Business Courses","BUKO-A 511","Financial Accounting Theory & Practice I","3 cr.","An intermediate financial accounting course emphasizing financial statement preparation and analysis. Includes intermediate theory and problems, asset valuation, income measurement, preparation and analysis of financial statements."
"School of Business","Graduate Business Courses","BUKO-A 512","Financial Accounting Theory & Practice II","3 cr.","Application of intermediate accounting theory to problems involving long-term liabilities, corporations, earnings per share, tax allocation, pensions, leases and cash flows."
"School of Business","Graduate Business Courses","BUKO-A 522","Advanced Financial Accounting","3 cr.","Consideration of advanced financial accounting problems, including those related to consolidated financial statements, business combinations (mergers and acquisitions), branches, foreign operations and nonprofit organizations."
"School of Business","Graduate Business Courses","BUKO-A 524","Survey of Economics","2 cr.","Foundation course for those whose background in economics is inadequate for advanced business courses. The microeconomic component analyzes applications to problems of market behavior market structure, and welfare. The macroeconomic component analyzes the basic model of income-employment determination in relation to microeconomics."
"School of Business","Graduate Business Courses","BUKO-A 528","Introduction to Taxation","3 cr.","Course focuses on individual income taxation and tax planning, introducing students to U.S. federal income tax law. Basic tax treatment of corporations, partnerships, limited liability companies, trusts and estates included. Through tax research students develop appreciation for tax law sources - Internal Revenue code, regulations, administrative pronouncements and case law."
"School of Business","Graduate Business Courses","BUKO-A 533","Accounting Function","2 cr.","An overview of basic accounting concepts and functions through a case method approach. Provides an understanding of the financial accounting cycle of a business entity, including an overview of various financial statements and the elements which comprise them."
"School of Business","Graduate Business Courses","BUKO-A 534","Auditing Theory and Practice","3 cr.","This course addresses the concepts and procedures of external and internal audits for businesses, including issuance of the audit report, reviews of internal control, statistical sampling, EDP systems, the company's business cycles, forensic accounting, auditing for fraud and other assurance services. Many topics covered are included on the CPA exam."
"School of Business","Graduate Business Courses","BUKO-A 537","Business Information Systems","3 cr.","An overview of accounting systems and their existence within businesses. The course includes discussions of system controls, transaction processing, business cycles and issues related to development and installation of automated accounting systems."
"School of Business","Graduate Business Courses","BUKO-C 555","Investments","3 cr.","P: BUS-F 301 or equivalent. The course provides the conceptual and analytical framework for formulating investment policies, analyzing securities, and constructing portfolio strategies for individuals and institutions. Topics include risk and return analysis, portfolio theory, valuation of stocks and bonds, financial institutions, market efficiency, and derivative securities."
"School of Business","Graduate Business Courses","BUKO-C 562","Professional Development and Self-Leadership","2 cr.","The course concepts provide direction to individuals towards a satisfying career; and, in influencing and enhancing their behaviors resulting in effective work relationships and organizational contribution, including the global context. Topics are career management and career transitions; organizational socialization; behavior self-management and social learning; and leader substitutes, such as empowerment."
"School of Business","Graduate Business Courses","BUKO-C 567","Issues in Financial Management","1-3 cr.","P: BUS-F 301 or equivalent. Application of financial theory to current problems and topics in financial management. The approach may include case analyses and active class discussion; emphasis on decision making in an uncertain financial environment. Topics include dividend theory, capital structure, investments and agency theory."
"School of Business","Graduate Business Courses","BUKO-C 570","Issues in Human Resource Management","1-3 cr.","P: BUS-Z 302 or equivalent. This course examines in depth selected topics in human resource management, such as strategic human resource planning and recruitment, employee rights and responsibilities, performance appraisal and training, and occupational health and safety. (""Staffing Organizations"" typical topic offered)."
"School of Business","Graduate Business Courses","BUKO-C 581","Advertising and Sales Promotion","3 cr.","P: BUS-M 301 or equivalent. Theories and practices of advertising, sales promotion and public relations as they relate to the overall marketing program. Emphasis is placed on policy planning, decision tools, and the legal and social environment."
