"school","subject","course_code","course_name","credits","description"
"School of Business","Undergraduate Business","BUS-A 200","Foundations of Accounting","3 cr.","Survey of financial and managerial accounting topics that provide a foundation for students who are not pursuing a business concentration. No credit toward a B.S. in Business. Credit not given for both BUS-A 200 and BUS-A 201."
"School of Business","Undergraduate Business","BUS-A 201","Introduction to Financial Accounting","3 cr.","P: Completion of 26 credit hours. Concepts and issues of financial reporting for business entities; analysis and recording of economic transactions."
"School of Business","Undergraduate Business","BUS-A 202","Introduction to Managerial Accounting","3 cr.","P: BUS-A 201. Concepts and issues of management accounting; budgeting; cost determination and analysis."
"School of Business","Undergraduate Business","BUS-A 311","Intermediate Accounting","3 cr.","P: BUS-A 202. Theory of asset valuation and income measurement. Principles underlying published financial statements including consideration of enterprise assets and liabilities."
"School of Business","Undergraduate Business","BUS-A 312","Intermediate Accounting","3 cr.","P: BUS-A 311. Application of intermediate accounting theory to problems of accounting for economic activities, including long-term liabilities, corporations, earnings per share, tax allocation, pensions, and leases. Also covered are the statement of changes in financial position, and inflation accounting."
"School of Business","Undergraduate Business","BUS-A 325","Cost Accounting","3 cr.","P: BUS-A 202. Conceptual and technical aspects of management and cost accounting. Product costing; cost control over projects and products; profit planning."
"School of Business","Undergraduate Business","BUS-A 328","Introduction to Taxation","3 cr.","P: BUS-A 202 or consent of instructor. Internal Revenue Code and regulations. Emphasis on the philosophy of taxation, including concepts, exclusions from income, deductions, and credits."
"School of Business","Undergraduate Business","BUS-A 337","Accounting Information Systems","3 cr.","P: BUS-A 201; BUS-A 202 The course's primary objective is to build upon, extend, and facilitate the integration of business and technical knowledge to help students succeed as managers in a technology-intensive, corporate environment. Through the use of readings, lectures, cases, and exercises the course enables students to understand and manage information technology in order to achieve competitive advantage through improved decision making, business processes, operations, and organizational controls."
"School of Business","Undergraduate Business","BUS-A 339","Advanced Income Tax","3 cr.","P: BUS-A 328. Internal Revenue Code and regulations; advanced aspects of income, deductions, exclusions, and credits, especially as applied to tax problems of partnerships and corporations."
"School of Business","Undergraduate Business","BUS-A 380","Professional Practice in Accounting","1-9 cr.","P: Junior or senior standing in major area and consent of instructor. Provides work experience in cooperating firms and organizations. Grades of S or F are assigned by faculty."
"School of Business","Undergraduate Business","BUS-A 422","Advanced Financial Accounting","3 cr.","P: BUS-A 312. Generally accepted accounting principles, as applied to partnerships, business combinations, branches, foreign operations, and nonprofit organizations. Particular emphasis on consolidated financial statements."
"School of Business","Undergraduate Business","BUS-A 424","Auditing","3 cr.","P: BUS-A 312. Public accounting organization and operation; review of internal control, including EDP system; verification of balance sheet and operating accounts; statistical applications in auditing."
"School of Business","Undergraduate Business","BUS-A 490","Independent Study in Accounting","1-3 cr.","P: Consent of instructor."
"School of Business","Undergraduate Business","BUS-A 491","Internship in Accounting","3 cr.","P: Junior or Senior standing and consent of supervising faculty member. Work experience in cooperating firm or organization. Forty (40) hours of work related to the academic discipline must be completed per credit hour earned. Internship should be coordinated with the supervising faculty member and the application should be completed and turned in to the School of Business office. S/F graded."
