"subject","course_code","course_name","description","credits"
"Accounting","ACTG 594","Business Practicum for Accountants","PeopleSoft Course ID: 010629 Grading Basis GRD    Through the Accounting Internship Program, students engage in a supervised work experience in public accounting, industry, not-for-profit organizations or government. During this time, students gain insight into the real world that will enhance their understanding in subsequent accounting coursework. It is the expectation that students taking ACTG 594 will have significant accounting classes to complete when they return to JMU from the internship. Prerequisite(s): Admission to master of science in accounting program.","1.00 - 3.00"
"Accounting","ACTG 625","Tax Research and Strategy","PeopleSoft Course ID: 002491 Grading Basis GRD    Provides the student with a working knowledge of tax research methodology and the technology utilized by tax professionals. Case-based to provide experience in dealing with unstructured situations encountered in professional tax practice. Both problem identification and resolution are emphasized. Because this is a capstone course, a grade of “B” or better is required in this course for successful completion of the M.S.A. program with a tax concentration. Prerequisite(s): Master of Science student or permission of instructor.","3.00"
"Accounting","ACTG 627","Advanced Taxation of Business Entities I","PeopleSoft Course ID: 002132 Grading Basis GRD    Examines the entity and owner tax consequences of forming, operating, liquidating and distributing profits from sole proprietorships, C Corporations, Partnerships and S Corporations. Prerequisite(s): Master of Science student or permission of the instructor.","3.00"
"Accounting","ACTG 628","Advanced Taxation of Business Entities II","PeopleSoft Course ID: 011849 Grading Basis GRD    This course covers advanced topics in federal income taxation of corporations including mergers and acquisitions, consolidated tax returns, and accounting for income taxes. Prerequisite(s): ACTG 627or permission of the instructor.","1.00-3.00"
"Accounting","ACTG 629","Selected Topics in Taxation","PeopleSoft Course ID: 011856 Grading Basis GRD    Seminar on tax topics of current interest in specialized areas. Topics may include international taxation, deferred compensation, problems of closely-held businesses, estate planning and taxation of trusts, and new developments. May be repeated to a maximum of six credit hours for different topic areas. Prerequisite(s): Master of Science student or permission of instructor.","1.00 - 3.00"
"Accounting","ACTG 630","Seminar in Financial Planning","PeopleSoft Course ID: 011689 Grading Basis GRD    Designed to develop a fundamental knowledge of personal finance, including goal setting, cash management, credit, insurance, taxes, housing, investment alternatives and employee benefits. Prerequisite(s): Master of Science student or permission of the instructor.","1.00 - 3.00"
"Accounting","ACTG 640","Data Analytics for Accountants","PeopleSoft Course ID: 003738 Grading Basis GRD    The course will provide a conceptual framework for students regarding the steps needed to provide data-driven insights and recommendations in the accounting profession. Students will conduct data analysis using current software tools that may include Excel, SQL, Tableau, IDEA, XBRL and Alteryx. Prerequisite(s): Master of Science student or permission of the instructor.","1.00-3.00"
"Accounting","ACTG 645","Advanced Accounting and Reporting","PeopleSoft Course ID: 011688 Grading Basis GRD    Study of the current theory and practice of financial reporting as it relates to business combinations and consolidations among commercial enterprises and the financial reporting of private not-for-profit organizations. Prerequisite(s): Master of Science student or permission of the instructor.","1.00-3.00"
"Accounting","ACTG 675","Accounting Theory","PeopleSoft Course ID: 001242 Grading Basis GRD    Study of selected areas in accounting theory, practice, and methodology, requiring integration and synthesis of student’s accounting knowledge. Because this is the capstone course, a grade of “B” or better is required for this course for successful completion of the M.S.A. program. Prerequisite(s): Master of Science student or permission of the instructor.","3.00"
"Accounting","ACTG 677","Advanced Assurance Theory and Data Analysis","PeopleSoft Course ID: 000177 Grading Basis GRD    Students will develop a deeper understanding of auditing and assurance topics and the skills necessary to become leaders in the profession. Professional standards and underlying theory will be reviewed. Students will apply their knowledge to acquire hands-on experiences and perform data analysis. Prerequisite(s): Master of Science student or permission of the instructor.","3.00"
