"subject","course_code","course_name","description","credits"
"Accounting","ACTG 244","Accounting for Non-Business Majors","PeopleSoft Course ID 012593 Grading Basis GRD     For non-business majors only. This course introduces basic business and accounting topics such as revenue, investments, expenditures, liabilities, credit, cash management and taxation. Heavy emphasis is placed on the measurement of operating performance, and interpretation and use of accounting data for organizational decision-making. Prerequisite(s): Non-business majors only. Junior standing or higher.","3.00"
"Accounting","ACTG 302","Introduction to the Profession: Role of Accountants","PeopleSoft Course ID 012298 Grading Basis GRD     This class relies heavily on discussions with practicing accountants in public accounting, industry and government. Topics include career preparation and the role of accountants in business and capital markets. Written assignments are used to enhance communication skills. Prerequisite(s): Completion of bothCOB 241andCOB 242with minimum grades of “B” in each and COB 300. Corequisite(s): COB 300.","1.00"
"Accounting","ACTG 305","Spreadsheet Skills and Data Analysis for Accounting Information","PeopleSoft Course ID 014499 Grading Basis GRD     This course provides students the opportunity to learn and become proficient with spreadsheet and analytics skills expected by today’s employers utilizing Microsoft Excel and Power BI analytics software. (May be taken with or after COB 242  .) Prerequisite(s): Accounting major. Corequisite(s): COB 242.","3.00"
"Accounting","ACTG 310","Data Analytics for Accountants","PeopleSoft Course ID 010279 Grading Basis GRD     This course is an introduction to data analytics and the use of data analytics in various accounting settings. Topics include the data analytics mindset, data preparation, data quality, statistical analysis, and data visualization and reporting.Prerequisite(s):Accounting major,ACTG 305, minimum grade of “B-” in bothCOB 241andCOB 242; or permission of the department head.","3.00"
"Accounting","ACTG 313","Accounting Information Systems","PeopleSoft Course ID 000188 Grading Basis GRD     This course covers the use of accounting systems for the collection, organization, analysis and reporting of accounting data. Topics include: internal controls, documentation of accounting systems, transaction processing cycles, auditing information technology, computer and information systems security, and integration of business functions in the accounting process. Prerequisite(s): Accounting majors only. COB 300,ACTG 305, and a minimum grade of “B-” in bothCOB 241andCOB 242; or permission of the department head.","3.00"
"Accounting","ACTG 343","Corporate Financial Reporting I","PeopleSoft Course ID 008363 Grading Basis GRD     This course provides a theoretical framework to explain and critically evaluate financial reporting by businesses. In addition to studying the authoritative standards for preparing financial statements, students develop the ability to read, use, analyze and interpret financial statements. Students gain an understanding that managers can shape the financial information communicated to investors and creditors. Prerequisite(s): Accounting majorsonly. COB 300 and a minimum grade of “B-” in bothCOB 241andCOB 242; or permission of the department head.","3.00"
"Accounting","ACTG 344","Corporate Financial Reporting II","PeopleSoft Course ID 005920 Grading Basis GRD     This course continues the development of a theoretical framework to read, use, analyze, interpret, explain and critically evaluate financial reporting by businesses. Selected topics include financial instruments, corporate obligations, stockholders’ equity and other corporate reporting issues. Prerequisite(s): ACTG 343with a minimum grade of “C-.”","3.00"
"Accounting","ACTG 377","Federal Income Tax Accounting","PeopleSoft Course ID 000378 Grading Basis GRD     This course is designed to introduce students to the federal income tax system, including individual and business entity taxation. Topics include income, exclusions, deductions and property transactions. The course also facilitates development of research skills. Prerequisite(s): Accounting majorsonly. COB 300 and a minimum grade of “B-” in bothCOB 241andCOB 242; or permission of the department head.","3.00"
"Accounting","ACTG 410","Auditing and Assurance","PeopleSoft Course ID 003105 Grading Basis GRD     This course provides a study of techniques available for gathering, summarizing, analyzing and interpreting the data presented in financial statements and procedures used in verifying the fairness of the information. The course will also emphasize ethical and legal aspects and considerations. Prerequisite(s): ACTG 313andACTG 344. Corequisite(s): ACTG 344.","3.00"
"Accounting","ACTG 413","Cybersecurity and Accounting Information Protection Strategies","PeopleSoft Course ID 014503 Grading Basis GRD     This course will examine application of knowledge of internal controls over financial reporting to the operational area of cybersecurity. Topics include understanding best practices around IT governance and controls, applying knowledge of internal controls toward preventing cyberattacks of corporate information within ERP systems, evaluating the role of third-party service organizations and their control reports (SOC), and analyzing accounting disclosure strategies surrounding information protection controls and cybersecurity incidents. Prerequisite(s): ACTG 313.","3.00"
