"subject","course_code","course_name","description","credits"
"Aero and Astronautical Engineering","AAE 1001L","Introduction to Aerospace Engineering Laboratory","1Credit HoursPrerequisite:ENGR 1000Concurrent:MATH 1190The lab course is the first taste of Aerospace Engineering for AAE majors. It provides an example of the application of the principles of mathematics and physics to aerospace engineering from the perspective of fundamental quantitative analysis. This lab aims to provide the background and basis for further exploration of fluid mechanics, structures, and aerodynamics and for emerging into the world of professional engineering and/or academia.Course Learning OutcomesStudents who successfully complete this course will be able to:Apply the fundamental equations for the physics of fluids to measure the air speed  against pressure difference.Understand flow patterns around a cylinder.Calculate pressure distribution  for an airfoil surface under different flow speeds.Estimate drag, and lift on an airfoil.Explore the relationship between the shape of an object and the drag forces it produces.Visualize the streamlines  around an object placed in air stream.",""
"Aero and Astronautical Engineering","AAE 3000","Introduction to Flight","3Credit Hours  This course is an introduction to Aeronautical and Astronautical Engineering. Technological and historical perspectives are covered at a fundamental level via the study of several topics including the first aeronautical engineers, the atmosphere, aerodynamic concepts, aircraft performance, stability and control, space flight, propulsion, and hypersonic vehicles.    Course Learning Outcomes Students who successfully complete this course will be able to: Identify several key historical concepts and figures associated with the evolution of aerospace engineering.Apply the basic concepts, equations, and tables associated with the standard atmosphere.Apply the basic concepts and equations of aerodynamics to various aerodynamic shapes (airfoils, wings, etc.).Calculate values for various key elements of airplane performance and stability and control.Apply the basic principles and equations of space flight and hypersonic flight to various aerospace vehicles and scenarios.",""
"Aero and Astronautical Engineering","AAE 3125","Orbital Mechanics","3Credit Hours  Prerequisite:MATH 2306 and ENGR 3122  This course provides a comprehensive introduction to the fundamentals of orbital mechanics, focusing on two-body motion and conic sections. Students will explore Kepler’s laws, integrals of motion, and the universal variables formulation as they apply to spacecraft orbits. Emphasis is placed on both analytical and numerical methods for predicting orbits, accounting for gravitational, aerodynamic, and other perturbing forces. The course covers specific trajectory types, including ballistic missile trajectories, lunar and planetary orbits, and deep space missions. Additionally, students will learn the fundamentals of perturbation theory, variation of parameters, and Lagrange’s planetary equations, with applications to orbital maneuvers, rendezvous, and space navigation.    Course Learning Outcomes Students who succcessfully complete this course will be able to:1. Formulate two-body orbital mechanics problems.2. Solve nonlinear algebraic and differential equations.3. Analyze spacecraft orbits.4. Calculate 2D and 3D space trajectories.5. Derive motion of multiple bodies under gravitational force.6. Describe relative motion between spacecraft in proximity.7. Apply filtering methods to estimate orbits based on a few observations.",""
"Aero and Astronautical Engineering","AAE 3801L","Aerodynamics and UAS Lab","1Credit Hours  Prerequisite:ENGR 3801  In this laboratory course, students will learn hands on problem solving related to aerodynamics and fluid flow. Students will learn experiments related to Bernoulli’s principle, airflow over airfoils, air flow around blunt and streamlined bodies, pressure distribution around cylinder and airfoils, lift and drag forces for blunt and streamlined shapes, and flow visualization.    Course Learning Outcomes Students who successfully complete this course will be able to: Apply Bernoulli’s equation to solve fluid dynamics problems.Analyze air flow characteristics over airfoils.Evaluate air flows around both blunt and streamlined shapes.Investigate pressure distributions around cylinders and airfoils.Calculate lift and drag forces for various shapes, both blunt and streamlined.Implement flow visualization techniques to understand fluid behavior.Utilize manometers for measuring fluid pressure.Demonstrate UAS operations and conduct simulations effectively.",""
"Aero and Astronautical Engineering","AAE 4201","Aircraft and UAS Design I","1Credit Hours  Prerequisite:AAE 4250  Airplane conceptual design principles are developed to meet modern aerodynamics, propulsion, structural, and performance specifications. Students perform requirements analysis, design concepts, weight estimation, constraint analyses, mission profiles, etc.    Course Learning Outcomes Students who successfully complete this course will be able to: Develop requirements for aircraft design.Develop concepts, structured design methods, functional requirements, quality function deployment (QFD).Form teams and interact with others in the roles of design engineers.Perform weight estimation, cost estimation and constraint diagrams.Conduct concept generation and selection; preliminary sizing - Design requirement sensitivities, weight estimation, wing area selection, power/propulsion system requirements.",""
"Aero and Astronautical Engineering","AAE 4202","Aircraft and UAS Design II","3Credit Hours  Prerequisite:AAE 4201  A complete airplane is designed, resulting in a design package consisting of specifications, aerodynamic calculations, inboard profile drawing, weight and balance, general arrangement drawing, aerodynamic drag analysis, and complete performance report.    Course Learning Outcomes Students who successfully complete this course will be able to: Refine design.Perform technical writing and presentations; design reviews (oral and written reports).Perform stability and control surface sizing.Perform mission simulation and performance verification.Conduct prototype development; real or virtual models and products.Perform flight verification and write final report.",""
"Aero and Astronautical Engineering","AAE 4203","Spacecraft Design 1","1Credit Hours  Prerequisite:AAE 4250  Spacecraft preliminary design principles are developed to meet mission objectives. The complete space-related system is designed, resulting in a design package consisting of specifications, calculations, CAD drawings, weight and various subsystem budgets, and a series of trade studies, reviews, and design reports.    Course Learning Outcomes Students who successfully completet this course will be able to: Develop a conceptual design for a space-related system, which meets a prescribed set of performance requirements and industry standards.Apply estimation procedures for the weight, size, and geometric configuration of the conceptual design, including margins.Perform a design layout of payloads, subsystems, and equipment (if applicable to the project).Evaluate if the conceptual design and its subsystems meet the performance requirements through analysis.Perform a risk analysis of the proposed design.Defend design choices orally and through written reports.",""
"Aero and Astronautical Engineering","AAE 4204","Spacecraft Design II","3Credit Hours  Concurrent:AAE 4203  Principles of spacecraft detail and subsystem design, analysis, modeling, manufacture, and testing are covered and incorporated into projects to give actual experience in the detailed design and integration of space-related subsystems and systems. Integration of multiple subsystems into a single functional model is a key component of the course.    Course Learning Outcomes Students who successfully complete this course will be able to: Create a configuration management system with formal engineering drawings of the system and subsystems.Compose formal written reports on each design phase, including all calculations, conclusions, and engineering drawings.Verbally present the challenges, approach, and results of each design phase.Complete a conformity inspection where a prototype is compared to the formal engineering drawings.Test the system or chosen subsystem for vibration, functionality, and robustness (if applicable to the project).Assess the test results to ensure the system or chosen subsystem verifies the project requirements.",""
"Aero and Astronautical Engineering","AAE 4250","Aerospace Structures Computer-Aided Design","3Credit HoursPrerequisite:ENGR 3801andENGR 3804Fundamental concepts and procedures of the Finite Element Method (FEM) for calculations of stress, strain, and deformation in structures and materials. Various finite element formulations and applications to one-, two- and three-dimensional problems in solid mechanics are central to the course. The engineering practice of finite element analysis, such as geometric modeling, mesh design, material constitutive behavior, as well as Verification and Validation (V&V) is introduced. This course also describes the role of a commercial finite element package in aerospace structural analysis and design. Students are expected to carry out projects with the software package independently by developing life-long learning skills.Course Learning OutcomesStudents who successfully complete this course will be able to:Appraise fundamental concepts of solid mechanics for finite element formulations.Formulate governing equations for basic finite elements, including bars, beams, frames, and two-dimensional and three-dimensional solid elements.Calculate benchmark problems by following the general steps of the FEM.Construct mesh discretization of an aerospace structure for finite element analysis.Compute using simulation software for finite element analysis of aerospace engineering.Experiment Verification and Validation (V&V) of finite element simulations.",""
"Aero and Astronautical Engineering","AAE 4501","Aircraft and UAS Dynamic Systems Control","3Credit Hours  Prerequisite:ME 1311 and MATH 2306 and AAE 3125  In this course, students will learn and solve problems related to linearized equations of motion. They will analyze the modes and natural motion of aircrafts and unmanned aircraft systems (UASs).    Course Learning Outcomes Students who successfully complete this course will be able to: Identify the basic mode of the vehicle dynamics.Analyze static and dynamic aircraft and UAS motion.Simulate Sensors/actuators/dynamics/control.Analyze the entire control system.Apply classical and state space control approaches.Analyze multi-loop design techniques.",""
