"code","title","credits","department","campus","description"
"ACCT2301","Principles of Financial Accounting","3","ACCT - Accounting","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","This course is an introduction to the fundamental concepts of financial accounting as prescribed by U.S. generally accepted accounting principles (GAAP) as applied to transactions and events that affect business organizations. Students will examine the procedures and systems to accumulate, analyze, measure, and record financial transactions. Students will use recorded financial information to prepare a balance sheet, income statement, statement of cash flows, and statement of shareholders' equity results of operations and financial position to users of financial information who are external to the company. Students will study the nature of assets, liabilities, and owners' equity while learning to use reported financial information for purposes of making decisions about the company. Students will be exposed to International Financial Reporting Standards (IFRS)."
"ACCT2302","Principles Of Managerial Accounting","3","ACCT - Accounting","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","This course is an introduction to the fundamental concepts of managerial accounting appropriate for all organizations. Students will study information from the entity's accounting system relevant to decisions made by internal managers, as distinguished from information relevant to users who are external to the company. The emphasis is on the identification and assignment of product costs, operational budgeting and planning, cost control, and management decision making. Topics include product costing methodologies cost behavior, operational, and capital budgeting, and performance evaluation."
"ACNT1303","Introduction to Accounting I","3","ACNT - Accounting Technician","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A study of analyzing, classifying, and recording business transactions in a manual and computerized environment. Emphasis on understanding the complete accounting cycle and preparing financial statements, bank reconciliations, and payroll. Includes accounting for notes, deferrals and accruals, receivables and payables, inventory and plant assets. This course is for non - majors only. This is an introductory course.  Transfer students to a four-year institution should enroll in ACCT 2301. "
"ACNT1311","Intro to Computerized Accounting","3","ACNT - Accounting Technician","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","Introduction to utilizing the computer in maintaining accounting records with primary emphasis on a general ledger package. Students will use an application software to perform accounting tasks; maintain records and prepare and analyze reports for a business entity; complete a comprehensive project; and explain the components of general ledger software."
"ACNT1313","Computerized Accounting Applications","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","Use of the computer to develop and maintain accounting records and to process common business applications for managerial decision-making."
"ACNT1329","Payroll and Business Tax Accounting","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A study of payroll procedures, taxing entities, and reporting requirements of local, state, and federal taxing authorities in a manual and computerized environment.  This course will survey the international, state, and local taxation of individuals and various entity types."
"ACNT1331","Federal Income Tax: Individual","3","ACNT - Accounting Technician","CyFair, Houston North, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A study of the federal tax law for preparation of individual income tax returns. Emphasis is placed on the determination of income, statutory deductions and federal income tax liability for individuals and sole proprietorships."
"ACNT1340","Accounting and Business Ethics","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Ethical standards and behaviors, codes of professional conduct, and the impact of unethical behavior on an individual, business, and society. We will discuss the fundamental ethical issues of business and society, the roles and responsibilities of accounting and auditing professionals, ethical behavior by management, and legal and professional guidelines that address the ethical concerns of society. This course meets the qualifying educational credit required for the CPA examination and is part of the Accounting Advanced Technical Certificate (ATC). This course is for students who possess a Bachelors degree."
"ACNT1347","Federal Income Tax for Partnerships and Corporations","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, Online, ","A study of federal tax laws for preparation of partnership and corporate returns. 
Emphasis is placed on the determination of taxable income for partnerships, S corporations and C corporations as well as on tax research and planning."
"ACNT1370","Taxation Procedures for Individuals","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","Federal income tax concepts relating to individuals and sole proprietorships. Topics include understanding the appreciation of basic tax concepts and their application of tax law in areas of compensation planning, investment planning, tax shelters and current developments relating to the individual taxpayer. This course is for students who possess a Bachelors degree and is part of the Certificate in Professional Accountancy."
"ACNT1371","Financial Accounting Reporting Standards I","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","A study of financial reporting and disclosure issues with the emphasis on the use of corporate financial statements and their accompanying footnotes. Covers the theoretical structure of financial accounting, required financial statements, and operating assets. This course is for students who possess a Bachelor's degree and is part of the Advanced Technical Certificate in Professional Accountancy. This course meets Texas State Board of Public Accountancy standards to satisfy a qualifying educational credit for the CPA examination."
"ACNT1372","Financial Accounting Reporting Standards II","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","This course is continuation of ACNT 1371 and a study of financial reporting and disclosure issues with the emphasis on the use of corporate financial statements and their accompanying footnotes. The course also includes coverage of accounting for investments, equity, income taxes, accounting changes, statement of cash flows, earnings per share and full disclosure. Additional topics will include a review of long-term liabilities including the recording of bonds and notes payable, stockholders equity, issuance of common and preferred stock and the purchase of treasury stock. This course is for students who possess a Bachelor's degree and is part of the Advanced Technical Certificate in Professional Accountancy. This course meets Texas State Board of Public Accountancy standards to satisfy a qualifying educational credit required for the CPA examination."
"ACNT1373","Taxation Procedures for Partnerships, C Corporations, and S Corporations","3","ACNT - Accounting Technician","CyFair, Kingwood, Montgomery, North Harris, Tomball, University Park, ","This course covers concepts and Federal income tax rules related to the formation and operation of flow-through entities treated as partnerships; and the concepts and principles governing the taxation of corporations and their shareholders; the effect of taxes on corporate formation, capital structure, distributions and liquidations. This course is for students who possess a Bachelor's degree and is part of the Certificate in Professional Accountancy. This course meets Texas State Board of Public Accountancy standards to satisfy a qualifying educational credit required for the CPA examination."
