"subject","course_code","course_name","description","credits"
"Accounting","ACCT 2000","Survey of Accounting","Prereq.:MATH 1021orMATH 1029or equivalent. Credit will not be given for both this course andACCT 2001orACCT 2002. Students in nonbusiness curricula are advised to enroll in ACCT 2000 if they are given the option of ACCT 2000 orACCT 2001, unless they plan to pursue a business degree at a subsequent date. All students in the E. J. Ourso College of Business are required to takeACCT 2001. Introduction to the meaning of the values presented in financial statements; management accounting concepts and internal decision making; fundamentals of individual income taxes.","3"
"Accounting","ACCT 2001","Introductory Financial Accounting","[LCCN: CACC 2113, Introduction to Financial Accounting]  An honors course,ACCT 2002, is also available.Prereq.:MATH 1021or equivalent. Credit will not be given for both this course andACCT 2000orACCT 2002. Required of all students in the E. J. Ourso College of Business. Students in nonbusiness curricula are advised to enroll inACCT 2000if they are given the option ofACCT 2000or ACCT 2001, unless they plan to pursue a business degree at a subsequent date. Financial accounting with emphasis on knowledge required for completion of the accounting cycle, including income measurement and financial statement preparation; accounting for current and plant assets, current and long-term liabilities, stockholders’ equity, and cash flows.","3"
"Accounting","ACCT 2002","Honors: Introductory Financial Accounting","Same asACCT 2001, with special honors emphasis for qualified students. Credit will not be given for this course andACCT 2000orACCT 2001.","3"
"Accounting","ACCT 2101","Introductory Managerial Accounting","[LCCN: CACC 2213, Introduction to Managerial Accounting]  An honors course,ACCT 2102, is also available.Prereq.:ACCT 2000orACCT 2001or equivalent. Credit will not be given for both this course andACCT 2102. Principles and methods of accounting primarily concerned with data gathering and presentation for purposes of internal management evaluation and decision-making.","3"
"Accounting","ACCT 2102","Honors: Introductory Managerial Accounting","Same asACCT 2101, with special honors emphasis for qualified students. Credit will not be given for this course andACCT 2101.","3"
"Accounting","ACCT 3001","Intermediate Accounting–Part I","An honors course,ACCT 3002, is also available.Prereq.:grade of “C” or above inACCT 2101;MATH 1431. Only Accounting and Finance students admitted to the College of Business or permission of department. Credit will not be given for both this course andACCT 3002orACCT 7011. Accounting principles underlying preparation of financial statements; their application in measurement and reporting of selected balance-sheet items and related revenue and expense recognition.","3"
"Accounting","ACCT 3002","Honors: Intermediate Accounting–Part I","Same asACCT 3001, with special honors emphasis for qualified students. Credit will not be given for this course andACCT 3001.","3"
"Accounting","ACCT 3021","Intermediate Accounting–Part II","Prereq.:grade of “C” or above inACCT 3001orACCT 3002. Continuation ofACCT 3001/ACCT 3002. Credit will not be given if credit was earned fromACCT 7011. Accounting for liabilities, income taxes, pensions, leases, stockholders’ equity, earnings per share, accounting changes and corrections of errors, and income and balance sheet presentations.","3"
"Accounting","ACCT 3025","Accounting Analytics","Prereq.:grade of “C” or better inACCT 2101andISDS 2001; or permission of department.  Business and financial risk considerations and application of data analytics and visualization tools.","3"
"Accounting","ACCT 3121","Cost Analysis and Control","[LCCN: CACC 3113, Cost Accounting (Upper Level)]  Prereq.:grade of “C” or above inACCT 3001.  Nature, objectives, basic systems, and procedures of cost accounting and control for manufacturing firms; cost-volume-profit relationships; standard costs and variance analysis; direct costing; relevant costs; activity-based costing.","3"
"Accounting","ACCT 3122","Accounting Information Systems","Prereq.:grade of “C” or above inACCT 3001,ACCT 3025; andISDS 1100,ISDS 1101orISDS 1102. Majors only or permission of department. Credit will not be given for both this course andISDS 3303. Analysis and design of standard accounting systems; emphasis on computerized systems and internal control issues.","3"
"Accounting","ACCT 3201","Fundamental Tax Problems and Tax Planning for Individuals","Not open to accounting majors. Not intended to satisfy the requirements to sit for the CPA exam. For students with little or no previous work in accounting. Credit will not be given for both this course andACCT 3221. General course in taxation; emphasis on aspects of taxation affecting the individual; federal and state income, estate, inheritance, gift, excise, and payroll taxes.","3"
"Accounting","ACCT 3221","Income Tax Accounting I","[LCCN: CACC 3213, Tax I (Upper Level)]  Prereq.:registration in or grade of “C” or above inACCT 3001. Credit will not be given for both this course andACCT 3201. Fundamentals of federal income taxation with respect to individuals and other entities, income inclusions and exclusions and statutory deductions in arriving at tax liability.","3"
"Accounting","ACCT 3222","Auditing","[LCCN: CACC 3313, Auditing (Upper Level)]  Prereq.:grade of “C” or above inACCT 3021andACCT 3122.  Theoretical and practical development of the independent audit function; generally accepted auditing standards; collection and evaluation of audit evidence; understanding internal control; risk assessment; transaction cycles; and reporting.","3"
"Accounting","ACCT 3233","Internal Auditing I","Internal auditing standards, ethics, concepts, audit techniques, and reporting practices.","3"
"Accounting","ACCT 4021","Cases in Accounting Policy","Prereq.:ACCT 3021and accounting major with senior standing.  Case approach; integrates financial accounting, systems, auditing, income tax, and management uses of accounting information; emphasis on financial reporting to owners, the financial community, regulatory agencies, and the general public; relationship of accounting to the law.","3"
"Accounting","ACCT 4022","Advanced Accounting","Prereq.:grade of “C” or above inACCT 3021.  Completion of the core financial accounting sequence; business combinations, consolidated financial statements, segment reporting, foreign operations and Securities and Exchange Commission procedures.","3"
"Accounting","ACCT 4121","Advanced Cost Analysis","Prereq.:grade of “C” or above inACCT 3121.  Measurement, interpretation, planning, and control of manufacturing and distribution costs; budgets and budgetary control; comparison of costs of business alternatives.","3"
"Accounting","ACCT 4221","Income Tax Accounting II","[LCCN: CACC 3223, Tax II (Upper Level)]  Prereq.:grade of “C” or above inACCT 3221; MS in accounting students or permission of department.   Fundamentals of federal income taxation, with respect to partners, partnerships, corporations and shareholders.","3"
"Accounting","ACCT 4225","Research in Federal Income Taxation","Prereq.:registration in or grade of “C” or above inACCT 3221. MS in accounting students or permission of department. Credit will not be given for this course andACCT 7210. Techniques and procedures involved in tax planning and research.","3"
"Accounting","ACCT 4231","Internship in Accounting","Prereq.:Majors only and permission of instructor and department chair required. Grade of “C” or above inACCT 3021.Pass-fail grading.Credit will not be given for this course andACCT 4333. At least 20 hours per week of learning experience in accounting under the general supervision of a faculty member and direct supervision of a professional in accounting. Grading based on the faculty member’s evaluation, professional supervisor’s evaluation, and a written report by the student.","3"
"Accounting","ACCT 4233","Case Studies in Auditing","Prereq.:grade of “C” or above inACCT 3233.  Case studies in operational, compliance, and financial audits.","3"
"Accounting","ACCT 4234","Internal Auditing II","Prereq.:grade of “C” or above inACCT 3233.  Operation, organization and quality control audits; organization theory.","3"
"Accounting","ACCT 4235","Fraud Auditing and Forensic Accounting","Prereq.:grade of “C”or above inACCT 3001; MS in accounting students or permission of department. Credit will not be given for this course andACCT 7235. Proactive and reactive fraud auditing including audit committee and liability related issues; investigative decision-making for prevention, detection, investigation and reporting of fraud.","3"
"Accounting","ACCT 4236","Environmental, Social, and Governance","The study of Environmental, Social, and Governance based on the United Nation’s 10 Principles and 17 Goals of Sustainability of ESG and SEC disclosure requirements.","3"
"Accounting","ACCT 4237","Governance, Risk, and Controls","Prereq.:grade of “C” or above inACCT 3233orACCT 7233or concurrent registration and permission of instructor.  The study of the cornerstones of governance, enterprise risk management, internal audit risk planning, and control frameworks.","3"
"Accounting","ACCT 4244","Audit Analytics","Prereq.:grade of “C” or above inACCT 3122orACCT 3233.  Business and financial risk considerations and application of data analytics and visualization tools.","3"
"Accounting","ACCT 4333","Internship in Internal Auditing","Prereq.:permission of instructor and department chair required.Pass-fail grading.Credit will not be given for this course andACCT 4231. At least 20 hrs. per week of learning experience in internal auditing under the general supervision of a faculty member and direct supervision of a professional in internal auditing. Grading based on the faculty member’s evaluation, a written report by the professional supervisor and a written report by the student.","3"
"Accounting","ACCT 4344","Tax Analytics","Prereq.:Grade of “C” or better inACCT 3122andACCT 3221, andACCT 4244.  Use of analytical tools to address special topics and problems in tax planning, compliance, and the interaction between tax and financial reporting for income tax.","3"
"Accounting","ACCT 4421","Governmental and Not-for-Profit Accounting","Prereq.:grade of “C”or above inACCT 3001.   Accounting, budgeting, fiscal processes, and financial records of local, state and federal governmental bodies and of private nonprofit institutions.","3"
"Accounting","ACCT 4501","Petroleum Accounting","Prereq.:grade of “C”or above inACCT 3021andACCT 3121; MS in accounting students or permission of department.  Accounting for oil and gas exploration and production; accounting for oil and gas leases, exploration costs, undeveloped properties, drilling and development operations, production and oil and gas revenues.","3"
"Accounting","ACCT 4800","Professional Exam Preparation","Prereq.:grade of “C” or above inACCT 3222andACCT 4022orACCT 4421, or permission of department.Pass-Fail grading.Can only be taken once.Course requires purchase of exam preparation software. Comprehensive update of accounting standards, laws, and regulations. This course integrates financial accounting, cost accounting, accounting information systems, tax, audit, business law, and other selected topics to focus one exercises at the professional exam level.","3"
"Accounting","ACCT 7011","Intermediate Accounting","Prereq.:ACCT 2001. Credit will not be given for this course andACCT 3001orACCT 3002andACCT 3021. Accounting principles underlying preparation of financial statements; their application in measurement and reporting of selected balance-sheet items and related revenue and expense recognition.","3"
"Accounting","ACCT 7021","Advanced Theory of Accounts","Prereq.:ACCT 3021and consent of instructor orACCT 4022. MS in accounting students or permission of instructor.  Corporate reporting strategies and practices by managers; preparation of financial statements; interpretation of corporate financial reports.","3"
"Accounting","ACCT 7201","Tax Aspects of Business Entities","Prereq.:ACCT 3021or equivalent.  Basic concepts of business  entities, including corporations, partnerships, and S corporations; tax  consequences of the formation and operation of a business entity and  distributions to the owners.","3"
"Accounting","ACCT 7210","Tax Research, Planning and Business Decision Making","Prereq.:ACCT 3221or equivalent. Credit will not be given for both this  course andACCT 4225. Fundamental tax research methodology based on the  Internal Revenue Code, regulations and rulings, judicial  interpretations, annotated and topical tax services, computerized tax  research methods and techniques of communicating research results.","3"
