course_code,course_name
ACTG-GT 1002,Production Crew/Act
ACTG-GT 1005,Acting III
ACTG-GT 1010,Stage Movement III
ACTG-GT 1020,Voice and Speech III
ACTG-GT 1200,Acting IV
ACTG-GT 1210,Stage Movement IV
ACTG-GT 1220,Voice and Speech IV
ACTG-GT 1500,Ind Study/Acting
ACTG-GT 2000,Graduate Acting
ACTG-GT 2010,Graduate Stage Movement
ACTG-GT 2020,Grad Voice and Speech
AFRS-GA 2000,Proseminar in Africana Studies
AFRS-GA 3210,Readings in Africana Studies
AFRS-GA 3310,Internship
AMLT-GE 2053,Organizational Theory
AMST-GA 2302,"NYLON New York: Culture, Politics, Technology"
AMST-GA 2309,American Studies Exam Preparation
AMST-GA 3301,American Studies Seminar
AMST-GA 3302,Sem American Studies: Latinx Visual Culture
AMST-GA 3309,Reading in American Studies
AMST-GA 3701,Topics:: Mother Tongue:Theories of Language and Maternality
ANST-GA 1000,Animals. Culture and Society
ANST-GA 2500,Topics in Animal Studies: Animal Stories: The Art of Crafting Conservation N
ANST-GA 2500,"Topics in Animal Studies: Animals, Art, and Technology"
ANST-GA 2500,Topics in Animal Studies: Captive Wild Animal Welfare
ANST-GA 2500,Topics in Animal Studies: TBD
ANTH-GA 1001,Theories and Methods in the Study of Religion
ANTH-GA 1010,Theory and Practice of Social Anthropology I
ANTH-GA 1215,Culture & Media I: Hist & Theory of Ethno Film
ANTH-GA 1218,Video Production Sem I
ANTH-GA 1240,Dental Anthropology
ANTH-GA 1262,Anthropology and Abolition
ANTH-GA 1507,"Primate Behavior, Ecology and Conservation"
ANTH-GA 1516,Human Osteology and Odontology
ANTH-GA 1521,Human Osteology Laboratory
ANTH-GA 1541,Internship in Biological Anthropology
ANTH-GA 1636,History of Anthropology
ANTH-GA 2700,Ethnographic Methods
ANTH-GA 3399,Topical Seminar: Forensic Genetics
ANTH-GA 3399,Topical Seminar: Geoarchaeology Methods
ANTH-GA 3399,Topical Seminar: Latinx Visual Studies
ANTH-GA 3910,Reading in Anthropology
ANTH-GA 3997,Research in Anthropology
APSTA-GE 2001,Statistics for the Social and Behavioral Sciences I
APSTA-GE 2003,Interm Quantitative Methods: General Linear Model
APSTA-GE 2006,"Math, Statistics and R Programming Bootcamp"
APSTA-GE 2042,Multi-Level Modeling: Nested Data/Longitudinal Data
APSTA-GE 2047,Messy Data and Machine Learning
APSTA-GE 2085,Basic Statistics
APSTA-GE 2110,Large Databases in Applied Research
APSTA-GE 2139,Survey Research Methods
APSTA-GE 2300,Independent Study
APSTA-GE 2310,Internship
APSTA-GE 2331,Data Science for Social Impact
APSTA-GE 2351,Practicum in Applied Statistics: Applied Probability
APSTA-GE 2352,Practicum in Applied Statistics: Statistical Computing
APSTA-GE 2356,Practicum in Applied Statistics: Multi-Level Models
APSTA-GE 2401,Statistical Consulting Research Seminar
APSY-GE 2025,Cognitive Behavior Therapy: Theory and Application
APSY-GE 2038,Abnormal Psychology
APSY-GE 2070,Research and Evaluation Methods in Behavioral Sciences
APSY-GE 2083,Foundations of LGBTQ+ Affirmative Counseling
APSY-GE 2084,LGBTQ+ Sexual Wellness and Relationships
APSY-GE 2138,Human Growth and Development
APSY-GE 2178,Social Justice & Advocacy for the LGBTQ+ Community
APSY-GE 2182,Psychopathology and Use of the DSM
APSY-GE 2270,Intervention and Prevention Early Childhood Contexts
APSY-GE 2271,Survey of Developmental Psychology
APSY-GE 2300,Independent Study
APSY-GE 2500,Trauma:Theoretical and Clinical Perspectives
APSY-GE 2527,The Development of Immigrant Origin Youth
APSY-GE 2655,Internship in Counseling Mental Health and Wellness I
APSY-GE 2657,Individual Counseling: Theory and Process
APSY-GE 2658,Lab in Individual Counseling Skills
APSY-GE 2661,Foundations of Counseling for Mental Health and Wellness
APSY-GE 2672,Interpretation and Use of Tests in Counseling Adults
APSY-GE 2674,Human Sexuality for Mental Health Counselors
APSY-GE 2684,"Marriage,Couple & Family Counseling"
APSY-GE 2691,Substance-Related & Addictive Disorders Theory/Rsch/Treatment
APSY-GE 2826,Intervention and Social Change
APSY-GE 2827,Practicum in Intervention-Research or Policy-Research I
APSY-GE 2830,Advanced Seminar in Psychology and Social Intervention
APSY-GE 2837,Professional Development Seminar I
APSY-GE 2839,Project Research Seminar: PSI
APSY-GE 2895,"Counseling Lesbian, Gay, Bisexual & Transgender Youth"
APSY-GE 3009,Departmental Seminar: Theories of Change in Applied Psychology
APSY-GE 3016,Internship in Clinical/Counseling Psychology
APSY-GE 3020,Research Practicum in Developmental Psychology
APSY-GE 3023,The Developmental Psychology Seminar: Current Topics in Developmental Science
APSY-GE 3031,Practicum in Clinical Intake and Diagnosis
APSY-GE 3607,Supervised Advanced Clinical/Counseling Practicum I
APSY-GE 3610,Externship in Clinical/Counseling Psychology
APSY-GE 3620,Clinical/Counseling Psychology Program Forum
APSY-GE 3629,Practicum in Supervision and Consultation
APSY-GE 3665,Psychological Testing and Assessment I
APSY-GE 3901,IES-Pre-doctoral Interdisciplinary Training Seminar on Causal Inference in Education I
ARCS-GE 2012,Literature & Methodology of Costume Studies
ARCS-GE 2022,Research in Costume Studies
ARCS-GE 2061,Case Studies in Fashion History: Prehistory to 1800
ARCS-GE 2063,20th Century Fashion
ARCS-GE 2078,History of Textiles: The Modern Era
ARCS-GE 2302,Internship in Costume Studies
ARCS-GE 2910,Graduate Projects: Exhibition Praxis
ARCS-GE 2911,History of Fashion Photo
ARCS-GE 2913,Global Fashion Systems
