course_code,course_name
ACA-UF 101,Arts and Cultures across Antiquity
ACA-UF 9101,Arts and Cultures across Antiquity
ACCT-UB 9001,Principles of Financial Accounting
ACE-UE 110,Advanced Writing and Research
ACM-SHU 201,Arts and Cultures of Modernity
ACM-UF 201,Arts and Cultures of Modernity
ACM-UF 9201,Arts and Cultures of Modernity
ACS-UH 1010X,Anthropology and the Arab World
ACS-UH 1011X,Introduction to Modern Arabic Literature
ACS-UH 1410X,Making of the Muslim Middle East
ACS-UH 1612X,Energy and Society in the Gulf
ACS-UH 4000,Arab Crossroads Studies Senior Capstone Seminar
ADAV1-UC 1000,Applied Data Analytics I
ADAV1-UC 1005,Data Visualization
AE-UY 4603,Compressible Flow
AE-UY 4653,Aircraft Flight Mechanics
AELS-UF 1002,Academic English for Liberal Studies II
AENR1-UC 9805,Student Success Seminar
AFGC-UF 101,African Cultures
AGT-UF 9301,"Advanced Global Topics: Globalization, Gender & Identities"
AGT-UF 9301,"Advanced Global Topics: Transnational Migration, Identity, & Citizenship"
ANST-UA 323,Introduction to Marine Ecology and Conservation
ANST-UA 500,Animals and Public Policy
ANST-UA 600,Topics in AS:: An Animal History of Science
ANST-UA 600,Topics in AS:: Animal Sex and Sexuality
ANST-UA 600,Topics in AS:: Animals and American Empire
ANTH-UA 1,Introduction to Cultural Anthropology
ANTH-UA 108,Global Biocultures: Anthropological Perspectives on Public Health
ANTH-UA 115,Human Genetics
ANTH-UA 116,Primate Behavioral Ecology
ANTH-UA 129,Anthropology of Gender and Sexuality
ANTH-UA 135,Barbarian Europe
ANTH-UA 137,The Archaeology of Climate Change
ANTH-UA 140,Introduction to Bioarchaeology
ANTH-UA 2,Introduction to Biological Anthropology
ANTH-UA 224,Belief and Social Life in China
ANTH-UA 3,Introduction to Archaeology
ANTH-UA 302,Topical Seminar in Biological Anthropology I: Problems & Perspectives in Human Evolution
ANTH-UA 901,Honors Research I
ANTH-UA 903,Internship
ANTH-UA 9037,Anthropology of Indigenous Australia
ANTH-UA 905,Independent Study
ANTH-UA 9061,Climate Change
ANTH-UA 9063,Modern Italy
ANTH-UA 9065,Ancient Israel: History & Archaeology
ANTH-UA 9067,Languages of Israel
ANTH-UA 9070,Languages of Paris
ANTH-UA 9071,International Perspectives on Human Rights
ANTH-UA 9072,What is Islam?
ANTH-UA 9073,"Religion, Culture, & Politics in Central Europe"
ANTH-UA 9074,Law & Human Rights in Central Europe
ANTH-UA 9075,Immigration
ANTH-UA 9076,Transnational Migration
ANTH-UA 9077,The Politics of Organized Crime
ANTH-UA 9078,Argentina Hoy / Argentina Today (in Spanish)
ANTH-UA 9079,Myths Icons & Invented Trad: A Cultural History of Latin America (in Spanish)
ANTH-UA 9087,Documenting the African City
ANTH-UA 9088,Culture of the City
ANTH-UA 9089,Global Connections:: Berlin Spaces
ANTH-UA 9091,The Australian Experience
ANTH-UA 9093,"Current Social, Political and Urban Challenges to European Cities"
ANTH-UA 9100,"Culture, Identity and Politics in Latin America: (in Spanish)"
ANTH-UA 9200,"From ""Gypsies"" to ""Roma"": Ethnic Politics in a Global Prague"
ANTH-UA 9256,Migration and Cultural Diversity in Spain: Anthropological
ANTH-UA 9800,Special Topics: Latin American Health Care Sys in Cultural Context
ANTH-UA 9901,Urban Ethnography
ANTH-UH 2111,India: Topics in Anthropology & History
ANTH-UH 2122,Ethnography and the Arts
ANTH1-UC 5003,Cultural Anthropology
ANTH1-UC 5011,World Cultures: Africa
ANTH1-UC 5012,World Cultures: Middle East
ANTH1-UC 5061,"Sex, Gender & Language"
APRGS-UF 101,Approaches to Global Studies
APSTA-UE 10,Statistical Mysteries and How to Solve Them
APSTA-UE 1085,Basic Statistics I
APSTA-UE 1301,Power + Politics of Data
APSY-UE 10,Developmental Psychology
APSY-UE 1000,Independent Study
APSY-UE 1012,The Counseling Interview
APSY-UE 1014,Psychology & Education
APSY-UE 1032,Psychology & Social Change
APSY-UE 1033,Mind Playing Tricks on Me: Mental Health in Contemporary Music
APSY-UE 1034,Professional Development in Applied Psychology
APSY-UE 1038,Abnormal Psychology
APSY-UE 1041,Women and Mental Health: A Life Cycle Perspective
APSY-UE 1050,The Cultures of Psychology
APSY-UE 1082,Preventing Adolescent Suicide: Population-Based Approaches
APSY-UE 1110,Sexual Identities Across The Lifespan
APSY-UE 1124,Seminar in Applied Psychology I: Principles & Practices
APSY-UE 1125,"Seminar in Applied Psychology II: Theory, Research & Practice"
APSY-UE 1137,Research Methods in Applied Psychology II
APSY-UE 1271,Developmental Psychology Across the Lifespan
APSY-UE 1272,Adolescent Development
APSY-UE 1278,"Families, Schools, and Child Development"
APSY-UE 1620,Group Dynamics
APSY-UE 19,Introduction to Personality Theories
APSY-UE 1995,Honors Seminar in Applied Psychology I
APSY-UE 2,Introduction to Psychology and Its Principles
APSY-UE 20,Human Development I
APSY-UE 21,Human Development II: Application for Early Childhood Educators
APSY-UE 22,Human Development II: Application for Childhood Educators
APSY-UE 23,Human Development II: Early Adolescents and Adolescents
APSY-UE 25,Research Methods in Applied Psychology I
APSY-UE 9005,Community Psychology
ARABL-UH 1110,Elementary Arabic 1
ARABL-UH 1130,Arabic Language and Heritage 1
ARABL-UH 1132X,Elementary Qur'anic Arabic
ARABL-UH 2110,Intermediate Arabic 1
ARABL-UH 2211,Colloquial Arabic: Levantine Dialect 1
ARABL-UH 2213,Colloquial Arabic: Emirati Dialect and Culture
ARABL-UH 3110,Advanced Arabic 1
ARCS-UE 1088,Fashion in Context
ARCS-UE 1098,How to: (analyze) Fashion
ART-SHU 101,What is Art?
ART-SHU 103,Foundations in Visual Arts
ART-SHU 105,Actions and Gestures - Embodied Media as Performance Art
ART-SHU 180,East Asian Art in the World
ART-SHU 211,Foundations in Painting: Painting in Practice and Theory
ART-SHU 222,Site and Situation: Public Art
ART-SHU 225A,Contemporary Dance
ART-SHU 230,Ballet
