"course_code","course_title","credits","department","description"
"A HI 1113","The Understanding of Art","3 Credit Hours.","A HI-Art History","Explanation and analysis of the principles underlying the visual arts. Consideration of formal, historical and other factors in the valuation and enjoyment of painting, sculpture, architecture and utilitarian objects. (F, Sp, Su) [IV-AF]"
"A HI 1314","Introduction to Art History","4 Credit Hours.","A HI-Art History","Students will be introduced to basic concepts in art and art history through a thematic study of global art. (F, Sp) [IV-AF]"
"A HI 2303","Introduction to Art in Europe: 1300-1800","3 Credit Hours.","A HI-Art History","This course is an introduction to art and architecture of the early modern period in Europe, from the beginning of the Renaissance in the 1300s until the end of the French Revolution, around 1800. (Irreg.)"
"A HI 2403","Introduction to American Art","3 Credit Hours.","A HI-Art History","This course offers an introduction to American art, architecture, and visual culture from the colonial period to the present, with an emphasis on art of the United States. Foregrounding issues of encounter and exchange between peoples, nations, and cultures, we will ask what new visual forms were forged in the hybrid cultures of North America. (Irreg.)"
"A HI 2503","Introduction to Modern Art","3 Credit Hours.","A HI-Art History","This course offers an Introduction to Modern Art, tracing its emergence, development, and some reactions to its practice. We will discuss the institutional, social, and political conditions that spurred artists to address and critique their contemporary moment, beginning with the gritty Realism of Gustave Courbet and stretching to the modular geometries of Minimalism. (Irreg.)"
"A HI 2603","Introduction to Contemporary Art","3 Credit Hours.","A HI-Art History","This course focuses on contemporary art of the world with a strong emphasis on art made since 1989. Departing from transformations in late modern art that marked the aftermath of World War II and the process of decolonization, we will survey major developments and investigate social, political, and economic aspects of contemporary art. (Irreg.) [IV-AF]"
"A HI 2703","Introduction to Museum Studies","3 Credit Hours.","A HI-Art History","This introductory course lays the foundation for understanding both the practical and theoretical concerns of the museum world. Topics will include museum management, the acquisition and conservation of art and artifacts, debates over display and interpretation, repatriation and the rights of Native peoples, and memorial museums. (Irreg.) [IV-AF]"
"A HI 2803","Introduction to Native American Art","3 Credit Hours.","A HI-Art History","This course is designed as a broad survey of Native American art history. We will examine artworks from a vast range of locations, communities, and artistic practices throughout North America and focus on Native peoples' kinships with the natural world and trade partnerships. (Irreg.) [IV-WDC]"
"A HI 2970","Special Topics/Seminar","1-3 Credit Hours.","A HI-Art History","Special Topics. 1 to 3 hours. May be repeated; Maximum credit nine hours. Special topics course for content not currently offered in regularly scheduled courses. May include library and/or laboratory research, and field projects. (Irreg.)"
"A HI 3133","Survey of Aegean Art and Architecture","3 Credit Hours.","A HI-Art History","Prerequisite: junior standing. Understanding of art and architecture of the Aegean civilization. The focus of the course will be on artistic production of the island of Crete and to a lesser extent Cycladic and Mycenaean achievements in the Bronze Age Greece. (alt. Sp) [IV-WC]"
"A HI 3213","Classical Art and Archaeology: Greek Art to the Death of Alexander","3 Credit Hours.","A HI-Art History","(Crosslisted withCL C 3213) Prerequisite: sophomore standing. Lectures, occasionally illustrated, and assigned readings. Survey of the architecture, sculpture, painting and minor arts in the Greek regions of the eastern Mediterranean in the successive stages of their development, with analyses of dominant styles and detailed study of select masterpieces and monuments. (F) [IV-AF]"
"A HI 3223","Classical Art and Archaeology:  Hellenistic Greek Art; Roman Art","3 Credit Hours.","A HI-Art History","(Crosslisted withCL C 3223) Prerequisite: sophomore standing. Continuation of 3213. Survey of Hellenistic art, with particular attention to the individuality of style and diversity of matter. Early Etruscan and Roman art. The development of Roman art in native and assimilated forms; studies in domestic and national monuments. (Sp) [IV-AF]"
"A HI 3233","Medieval Art I","3 Credit Hours.","A HI-Art History","Prerequisite: Junior standing. This course covers the art and architecture of Europe and the Mediterranean from Late Antiquity through the fall of Constantinople in 1453. Beginning with Constantine and the rise of Christianity, this course follows the development and spread of new cultures and art forms, stretching from Islamic material in the east to insular art of the British Isles. (Irreg.) [IV-WC]"
"A HI 3263","Survey of Byzantine Art and Architecture","3 Credit Hours.","A HI-Art History","Prerequisite: junior standing   A survey of Byzantine monuments from the foundation of Constantinople in 330 CE to its fall in 1453. (Sp-Alt) [IV-AF]"
"A HI 3303","Renaissance Art in Italy 1200-1600","3 Credit Hours.","A HI-Art History","Prerequisite: junior standing. Focuses on Renaissance art and architecture in Italy from a social and cultural framework, beginning in the 1200's and ending around 1580. (Irreg.) [IV-AF]"
"A HI 3313","Art and Culture in Italy","3 Credit Hours.","A HI-Art History","Prerequisite: permission of department: acceptance to ""Journey to Italy"". Taught on-site in Italy as part of the ""Journey to Italy"" summer program in Arezzo. Students will study art from ancient Roman through the Baroque, with special focus on the Renaissance. (Irreg.) [IV-WC]"
"A HI 3343","Northern Renaissance Art","3 Credit Hours.","A HI-Art History","Prerequisite: Junior standing. Painting, sculpture and architecture in Northern Europe from 1400-1600. The course will emphasize painting in Flanders, Germany and the Netherlands. (Irreg.) [IV-WC]"
"A HI 3403","Baroque Art and Architecture in Europe:1600-1700","3 Credit Hours.","A HI-Art History","Prerequisite: junior standing; Covers art and architecture in Europe in the seventeenth century, during the time period called the Baroque. (Irreg.) [IV-WC]"
"A HI 3440","Mentored Research Experience","3 Credit Hours.","A HI-Art History","0 to 3 hours. Prerequisites:ENGL 1113or equivalent, and permission of instructor. May be repeated; maximum credit 12 hours. For the inquisitive student to apply the scholarly processes of the discipline to a research or creative project under the mentorship of a faculty member. Student and instructor should complete an Undergraduate Research & Creative Projects (URCP) Mentoring Agreement and file it with the URCP office. Not for honors credit. (F, Sp, Su)"
"A HI 3503","Art of the 18th Century: The Age of Enlightenment","3 Credit Hours.","A HI-Art History","Prerequisite: Junior standing. Emphasizes the interaction of art with scientific, literary, historic and philosophical innovations of the eighteenth century. Content includes painting, sculpture and architecture of Northern Europe. (Irreg.) [IV-WC]"
"A HI 3553","Nineteenth-Century Art","3 Credit Hours.","A HI-Art History","Prerequisite: Junior standing. European art from the French Revolution to 1900, with particular emphasis on developments in French painting. Brief consideration of parallel trends in American art. (Irreg.) [IV-WC]"
"A HI 3603","American Art","3 Credit Hours.","A HI-Art History","Prerequisite: junior standing. American art from the colonial period to 1950. (Irreg.) [IV-WC]"
"A HI 3613","Studies in American Art","3 Credit Hours.","A HI-Art History","Prerequisite:ENGL 1213orEXPO 1213; junior standing; May be repeated with change of subject matter; maximum credit 9 hours. Specialized study in selected topics in American art. Topics vary by semester; potential topics include colonial portraiture, nineteenth-century genre painting, murals in American art, U.S. sculpture, U.S. art in international contexts, and U.S. memorials and monuments. (Irreg.)"
"A HI 3663","Contemporary Art","3 Credit Hours.","A HI-Art History","Prerequisite: Junior standing. Focuses on contemporary art of the world with a strong emphasis on art made since 1989. (Irreg.)  [IV-AF]"
"A HI 3673","History of Visual Communication","3 Credit Hours.","A HI-Art History","Prerequisite: junior standing. The history of visual communications and design from prehistoric times to the twentieth century. (Sp)"
"A HI 3693","New Media Art","3 Credit Hours.","A HI-Art History","Prerequisite: Junior standing. This course covers new media - video, installation, performance, and digital media - and technology in art since 1950. (Irreg.)  [IV-AF]"
"A HI 3703","Exhibition Preparation and Presentation","3 Credit Hours.","A HI-Art History","Prerequisite:ENGL 1213orEXPO 1213, Junior standing. This course will familiarize you with practical aspects of museum studies involving exhibitions. Taught by faculty with varied areas of expertise, the course is unique each time it is offered, as each instructor will bring differing expertise, interests, and projects into the classroom. Students gain working experience involving varied aspects of the preparation and presentation of exhibitions. (Irreg.)"
"A HI 3733","Art of the American West","3 Credit Hours.","A HI-Art History","Prerequisite:ENGL 1213and junior standing. An introduction to the art of the American West accompanied by close study of relevant primary and scholarly texts. Students will be responsible for active participation in class discussion and for a series of short papers and assessments designed to develop skills in writing and historical interpretation. (Irreg.)"
"A HI 3803","Pre-Columbian Art & Architecture of Meso- and South America","3 Credit Hours.","A HI-Art History","Prerequisite: junior standing. An overview of Pre-Columbian art and architecture in Meso-America from Prehistoric times until the Spanish intervention in the early 1500s. (F-alternate) [IV-WDC]"
"A HI 3813","Colonial Latin American Art","3 Credit Hours.","A HI-Art History","Prerequisite:ENGL 1213orEXPO 1213; junior standing. This upper-level course examines the history of artistic production in Latin America from the sixteenth through the mid eighteenth century. We will conduct case studies of artistic media by region, beginning with Peru and ending with the Californias. A geographical approach allows us to identify regional differences in artistic expression, which reflect local materials and Indigenous ideas. (Irreg.) [IV-AF]"
"A HI 3833","Native American Art of the West","3 Credit Hours.","A HI-Art History","Prerequisite: Junior standing. This course will focus on the artistic and architectural practices of Native American communities throughout the western United States and parts of Canada and Mexico. We will examine how Native artists responded to the impacts of colonization on their ancestral practices. (Irreg.) [IV-AF]"
"A HI 3903","Art History, Theory and Practice","3 Credit Hours.","A HI-Art History","Prerequisite:A HI 1314, A HI 2000-level elective, and junior standing; or permission of instructor. Introduction to the theory and practice of Art History required for the major involving consideration of the field's history, exposure to historical and contemporary approaches to its practice, and training in art historical writing and critical and visual analysis. (Irreg.)"
"A HI 3913","American Visual Culture","3 Credit Hours.","A HI-Art History","Prerequisites: junior standing. Explores approaches to American visual culture, an interdisciplinary area of inquiry that considers the role of visual experience in everyday life. These include photography, cinema, television, digital media. and public art. We examine the key theorists, methodologies, and cultural practices that have shaped the field of Visual Culture Studies.(Irreg.)"
"A HI 3960","Honors Reading","1-3 Credit Hours.","A HI-Art History","1 to 3 hours. Prerequisite: Admission to Honors Program. May be repeated; maximum credit six hours. Consists of topics designated by the instructor in keeping with the student's major program. The topics will cover materials not usually presented in the regular courses. (F, Sp, Su)"
"A HI 3970","Honors Seminar","1-3 Credit Hours.","A HI-Art History","1 to 3 hours. Prerequisite: admission to Honors Program. May be repeated; maximum credit six hours. Subjects covered vary. Deals with concepts not usually treated in regular courses. (Irreg.)"
"A HI 3980","Honors Research","1-3 Credit Hours.","A HI-Art History","1 to 3 hours. Prerequisite: Admission to Honors Program. May be repeated; maximum credit six hours. Will provide an opportunity for the gifted Honors candidate to work at a special project in the student's field. (F, Sp, Su)"
"A HI 3990","Independent Study","1-3 Credit Hours.","A HI-Art History","1 to 3 hours. Prerequisite: permission of instructor and junior standing. May be repeated once with change of content. Independent study may be arranged to study a subject not available through regular course offerings. (F, Sp, Su)"
"A HI 4043","Native Americans, Museums and Exhibitions","3 Credit Hours.","A HI-Art History","(Slashlisted with AHI 5043) Prerequisite: Junior standing;A HI 1314or permission of instructor. A discussion-based seminar on the history of museums and Native American art and culture. An examination of early collecting practices that removed materials and belongings from Native American communities, eventually becoming part of museum collections. We will also look at the interventions living artists are making and how they choose to present themselves and their culture to the public. No student may earn credit for both 4043 and 5043. (Irreg.)"
"A HI 4163","Etruscan Art","3 Credit Hours.","A HI-Art History","(Slashlisted with 5163) Prerequisite: junior standing or permission of instructor. Examine and interpret selected works of Etruscan art in reference to the possible influences from the social, political, economic, literary, and religious ""climate"" of the time. No student may earn credit for both 4163 and 5163. (F) [IV-WC]"
"A HI 4273","Byzantine Icons","3 Credit Hours.","A HI-Art History","(Slashlisted with 5273) Prerequisite: junior standing. Byzantine images occupy a principal position at the heart of the Eastern Church and they are an organic part of daily services. The icon represents a vision of the invisible, and therefore a vision founded on divine knowledge which transforms the created work into the miracle working image. This Class will examine the challenging process of producing holiness and divinity through painting panels. No student may earn credit for both 4273 and 5273. (Irreg.) [IV-AF]"
"A HI 4373","The Italian City: Renaissance and Baroque Architecture","3 Credit Hours.","A HI-Art History","(Slashlisted with 5373) Prerequisite: junior standing. Architecture and urban planning of Italy from about 1300-1700. Emphasis on the growth of the city and how new forms of social interaction affected the development of architecture and the urban setting. No student may earn credit for both 4373 and 5373. (Alt. F) [IV-WC]"
"A HI 4383","Italian Renaissance Art and Science","3 Credit Hours.","A HI-Art History","Prerequisite: junior standing. Focuses on the confluence of science and art in Renaissance Italy through a study of materials, process, technique and structural issues addressed by artists in the creation of painting, sculpture, and architectures. (Su) [IV-WC]"
"A HI 4463","Issues in Northern Baroque Art","3 Credit Hours.","A HI-Art History","(Slashlisted withA HI 5463) Prerequisite: junior standing. Focuses on Northern Baroque art as case-study for examination of a variety of art historical methodologies and problems such as attribution, function, and meaning. No student may earn credit for both 4463 and 5463. (Irreg.)"
"A HI 4523","Art and Power","3 Credit Hours.","A HI-Art History","(Slashlisted with AHI 5523) Prerequisite: Junior standing. What is the relationship between art and power, and how has it changed over time? This course delves into how art and architecture have been used to assert, reinforce, and resist power from 1800 to the present. We will explore topics including propaganda, cultural diplomacy, monumentality, restitution and repatriation, thinking critically about how similar strategies are utilized today. No student may earn credit for both 4523 and 5523. (Irreg.)"
"A HI 4573","Impressionist Revolt","3 Credit Hours.","A HI-Art History","(Slashlisted withA HI 5573) Prerequisite:A HI 1314, A HI 2000-level elective, and junior standing; or permission of instructor. This course will establish a context for the Impressionist movement by looking at works by theme. We will examine the physical and social transformation of Paris at midcentury, prostitution and the deceptions of capitalism, cafe culture and precarious public spaces, performers of (theater, opera, dance), and the escapist seduction of suburban leisure. No student may earn credit for both 4573 and 5573. (Irreg.)"
"A HI 4583","Caricature and Satire","3 Credit Hours.","A HI-Art History","(Slashlisted withA HI 5583) Prerequisite:A HI 1314, A HI 2000-level elective, and junior standing; or permission of instructor for non-majors in related areas of study. This course will investigate topics and themes related to satire and caricature, first grounding our discussion in theoretical foundations. We will look at social caricature and social science, political critique and the rise of the illustrated press, criminality and 19th-century science, cults of celebrity, and the impact of censorship on form. No student may earn credit for both 4583 and 5583. (Irreg.)"
"A HI G4623","Contemporary Art and the Environment","3 Credit Hours.","A HI-Art History","Prerequisite: Junior standing. In this course, we will think together about how contemporary art relates to the environment. We will approach this topic at the intersection of the discipline of art history and the interdisciplinary area of environmental studies, which can draw on the arts, humanities, sciences, and professional disciplines like medicine, engineering, and law. (Irreg.) [IV-AF]"
