"course_code","course_title","department","description","credits"
"ACCT 2003Survey","of Accounting","Accounting (ACCT)","Prerequisites:24 semester credit hours. Description:Introduction to financial and managerial accounting concepts and objectives. May not be used for degree credit withACCT 2103andACCT 2203. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 2103Financial","Accounting","Accounting (ACCT)","Prerequisites:24 semester credit hours, includingENGL 1113andMATH 1483or equivalent. Description:Financial accounting concepts and the use of financial accounting information in decision-making. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 2203Managerial","Accounting","Accounting (ACCT)","Prerequisites:ACCT 2103. Description:Managerial accounting concepts and objectives, planning and control of sales and costs, analysis of costs and profits. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 3001Practicum","in Professional Accounting I","Accounting (ACCT)","Prerequisites:ACCT 2003with a grade of ""C"" or better or bothACCT 2103andACCT 2203with a grade of ""C"" or better. Description:Study of current and emerging issues in the accounting profession. Graded on a pass-fail basis. Contact hours:Lecture: 1 Contact: 1 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","1"
"ACCT 3003Foundational","Accounting Skills","Accounting (ACCT)","Prerequisites:ACCT 2003with a grade of ""C"" or better (orACCT 2103andACCT 2203with a grade of ""C"" or better). Description:Foundational skills and concepts underlying financial accounting and reporting. May not be used for degree credit withACCT 3004. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 3004Foundational","Accounting and Data Skills","Accounting (ACCT)","Prerequisites:(MSIS 2103orAGEC 3213) with a grade of ""C"" or better andACCT 2003(or bothACCT 2103andACCT 2203) with a grade of ""C"" or better. Description:Foundational skills and concepts underlying financial accounting and reporting and data analytics in accounting. May not be used for degree credit withACCT 3003. Contact hours:Lecture: 3 Lab: 2 Contact: 5 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Accounting ","4"
"ACCT 3013Federal","Income Taxation","Accounting (ACCT)","Prerequisites:ACCT 3004orACCT 3003with a grade of ""C"" or better. Description:Federal income tax and its relationship to business decision-making; primary emphasis on recognition of the important tax consequences that attach to business transactions and the impact on decision-making. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 3103Intermediate","Accounting I","Accounting (ACCT)","Prerequisites:ACCT 3003orACCT 3004with a grade of ""C"" or better (orACCT 2103andACCT 2203with a grade of ""C"" or better and satisfactory score on a qualifying exam covering basic accounting concepts). Description:Theory and concepts underlying financial accounting and reporting. Previously offered as ACCT 3433 and ACCT 3303. May not be used for degree credit withACCT 3104. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 3104Intermediate","Accounting I and Data Analysis","Accounting (ACCT)","Prerequisites:ACCT 3004orACCT 3003with a grade of ""C"" or better. Description:Theory and concepts underlying financial accounting and reporting. Foundational accounting data analytics skills. May not be used for degree credit withACCT 3103. Contact hours:Lecture: 3 Lab: 2 Contact: 5 Levels:Undergraduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Accounting ","4"
"ACCT 3113Intermediate","Accounting II","Accounting (ACCT)","Prerequisites:ACCT 3104orACCT 3103with a grade of ""C"" or better Description:Theory and concepts underlying financial accounting and reporting. Continuation ofACCT 3103. Previously offered as ACCT 4433 and ACCT 3403. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 3203Cost","Accounting","Accounting (ACCT)","Prerequisites:ACCT 3004orACCT 3003with a grade of ""C"" or better andSTAT 2013orSTAT 2023orSTAT 2053with a grade of ""C"" or better. Description:Cost accounting knowledge and skills required of early career accountants. Topics covered likely to include cost accumulation systems, allocating product costs, planning and controlling costs, standard costing, and profitability analysis. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 3603Accounting","Information Systems and Data Analytic Tools","Accounting (ACCT)","Prerequisites:ACCT 3004orACCT 3003with a grade of ""C"" or better. Description:Accounting information systems knowledge and skills required of early career accountants. Topics likely to include accounting system design and installation, and related internal controls, as well as relevant data analytic tools. Course previously offered as ACCT 4603. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 4033Advanced","Federal Income Taxation","Accounting (ACCT)","Prerequisites:ACCT 3013with a grade of ""C"" or better. Description:Federal income tax law applicable to individuals, corporations, partnerships, trusts and estates, and other specialized topics. Previously offered as ACCT 4013. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 4133Advanced","Accounting","Accounting (ACCT)","Prerequisites:ACCT 3113with a grade of ""C"" or better. Description:Advanced accounting knowledge and skills required of early career accountants. Topics likely to include accounting for business combinations and consolidations, accounting for governmental and not-for-profit entities. Previously offered as ACCT 4403. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 4233Internal","Auditing","Accounting (ACCT)","Prerequisites:ACCT 2003andMSIS 3223. Description:Internal auditing theory, procedures, and practices required of early career accountants. Previously offered as ACCT 4203. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 4503External","Auditing","Accounting (ACCT)","Prerequisites:ACCT 3104(orACCT 3103) with a grade of ""C"" or better andACCT 3603with a grade of ""C"" or better or concurrent enrollment. Description:External auditing theory, procedures, and practices required of early career accountants. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 4553Ethics","for Public Accountants","Accounting (ACCT)","Prerequisites:ACCT 3113with a grade of ""C"" or better. Description:Ethics concepts and applications required of early career accountants. Topics likely to include basic theories of ethics, including moral reasoning, moral values, relativity and objectivity, freedom and responsibility. Lecture and case approach for examination of issues such as independence, integrity, objectivity, client relationships, employee-employer relations, advertising, preferential treatment, core values and the corporation, and corporate governance, such as Sarbanes-Oxley Act, Foreign Corrupt Practices Act, and SEC regulations. Some states, including Texas, California, Colorado, and Virginia, require the completion of an ethics course to be eligible to sit for the CPA Exam. May not be used for degree credit withACCT 5453. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 4623Expanding","Accounting Horizons in the U.S. for Non-Majors","Accounting (ACCT)","Prerequisites:ACCT 2003with a grade of ""C"" or better (or bothACCT 2103andACCT 2203with a grade of ""C"" or better). Description:A visit to a region or regions within the United States. An integrated approach to the organization, economic, political, historical, and technological issues impacting the firms, industries, or standard setters visited. May not be used for degree credit withACCT 4723. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 4723Expanding","Accounting Horizons in the US","Accounting (ACCT)","Prerequisites:ACCT 3004orACCT 3003with a grade of ""C"" or better. Description:A visit to a region or regions within the United States. An integrated approach to the organizational, economic, political, historical, and technological issues impacting the firms, industries, and standard settlers visited. Effect on the accounting profession of the firms, industries, and standard settlers visited is also examined. May not be used for degree credit withACCT 4623. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 4743Oil","and Gas Accounting","Accounting (ACCT)","Prerequisites:ACCT 3104orACCT 3103with a grade of ""C"" or better. Description:Generally accepted accounting practices and procedures in the oil and gas industry. May not be used for degree credit withACCT 5133. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 4763International","Accounting Abroad (I)","Accounting (ACCT)","Prerequisites:ACCT 2003with a grade of “C” or better or consent of instructor. Description:A visit to a location or locations outside the United States. An integrated approach to the cultural, economic, political, historical, and technological effects of the region on international accounting. Comparison of the accounting issues of the region to that of the U.S. Contact hours:Lecture: 3 Contact: 3 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting General Education and other Course Attributes:International Dimension ","3"
"ACCT 4901Advanced","Accounting Tools and Technologies","Accounting (ACCT)","Prerequisites:ACCT 3104with a grade of ""C"" or better. Description:Advanced accounting analytics and technology skills. Contact hours:Lecture: 1 Contact: 1 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","1"
"ACCT 4911Practicum","in Professional Accounting II","Accounting (ACCT)","Prerequisites:ACCT 3113with a grade of ""C"" or better; BSBA-Accounting major or minor. Description:Study of current and emerging issues in the accounting profession, focusing on the impact of emerging technology. Contact hours:Lecture: 1 Contact: 1 Levels:Undergraduate Schedule types:Lecture Department/School:Accounting ","1"
"ACCT 4930Accounting","Projects","Accounting (ACCT)","Prerequisites:Consent of instructor. Description:Special topics, projects and independent study in accounting. Previously offered as ACCT 4010.

Offered for variable credit, 1-9 credit hours, maximum of 9 credit hours. Contact hours:Contact: 1-9 Other: 1-9 Levels:Undergraduate Schedule types:Independent Study Department/School:Accounting ","1-9"
"ACCT 4933Internship","in Accounting","Accounting (ACCT)","Prerequisites:ACCT 3113with a grade of ""C"" or better. Description:Supervised internship of at least 320 hours in public accounting, industry, government, or not-for-profit sector. Does not count toward upper-level accounting requirements for CPA Exam eligibility in all states. May not be used for degree credit with ACCT 5830. Graded on a pass-fail basis. Contact hours:Contact: 3 Other: 3 Levels:Undergraduate Schedule types:Independent Study Department/School:Accounting ","3"
"ACCT 4943CIA","Review","Accounting (ACCT)","Prerequisites:ACCT 3113with a ""C"" or better, andACCT 4233with a ""C"" or better or concurrent enrollment. Description:Review of content and skills tested on the Certified Internal Auditor exam. Does not count toward upper-level accounting requirements for CPA Exam eligibility in all states. Graded on a pass-fail basis. Please see instructor for additional costs associated with the course and related materials. May not be used for degree credit withACCT 4953,ACCT 4963,ACCT 4970, ACCT 5994, orACCT 5980. Contact hours:Contact: 3 Other: 3 Levels:Undergraduate Schedule types:Independent Study Department/School:Accounting ","3"
"ACCT 4953CMA","Review","Accounting (ACCT)","Prerequisites:ACCT 3113,ACCT 3203, andFIN 3113, all with a ""C"" or better. Description:Review of content and skills tested on the Certified Management Accountant exam. Does not count toward upper-level accounting requirements for CPA Exam eligibility in all states. Graded on a pass-fail basis. Please see instructor for additional costs associated with the course and related materials. May not be used for degree credit withACCT 4943,ACCT 4963,ACCT 4970, ACCT 5994, orACCT 5980. Contact hours:Contact: 3 Other: 3 Levels:Undergraduate Schedule types:Independent Study Department/School:Accounting ","3"
"ACCT 4963CPA","Review","Accounting (ACCT)","Prerequisites:ACCT 4133with a grade of ""C"" or better (or concurrent enrollment) and completion of 120 credit hours. Description:Review of context and skills tested on the Certified Public Accountant exam. Does not count toward upper-level accounting requirements for CPA Exam eligibility in all states. May not be used for degree credit withACCT 4943,ACCT 4953,ACCT 4970, ACCT 5994, orACCT 5980. Graded on a pass-fail basis. Please see instructor for additional costs associated with the course and related materials. Contact hours:Contact: 3 Other: 3 Levels:Undergraduate Schedule types:Independent Study Department/School:Accounting ","3"
"ACCT 4970Accounting","Professional Certification Review","Accounting (ACCT)","Prerequisites:ACCT 3113with a ""C"" or better and Instructor permission. Description:Review of content and skills tested on specified professional accountancy exams. Does not count toward upper-level accounting requirements for CPA Exam eligibility in all states. May not be used for degree credit withACCT 4943,ACCT 4953,ACCT 4963, ACCT 5994, orACCT 5980. Graded on a pass-fail basis. Offered for variable credit, 1-4 credits, maximum 4 credit hours. Please see instructor for additional costs associated with the course and related materials. Contact hours:Contact: 1-4 Other: 1-4 Levels:Undergraduate Schedule types:Independent Study Department/School:Accounting ","1-4"
"ACCT 5003Advanced","Federal Income Taxation","Accounting (ACCT)","Prerequisites:Admission to MS in accounting. Description:Federal income tax law applicable to individuals, corporations, partnerships, trusts and estates, and other specialized topics. Previously offered asACCT 4033. May not be used for degree credit withACCT 4033. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting Additional Fees:Business Graduate Program fee of $6 per credit hour applies. ","3"
"ACCT 5013Tax","Research","Accounting (ACCT)","Prerequisites:Admission to MS in accounting. Description:Development and administration of federal tax law with emphasis on the development of tax research skills. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting Additional Fees:Business Graduate Program fee of $6 per credit hour applies. ","3"
"ACCT 5043Taxation","of Pass-Through Entities","Accounting (ACCT)","Prerequisites:Admission to MS in accounting and completion ofACCT 5013. Description:Federal income tax laws applicable to pass-through entities, including partnerships and S corporations, and their owners. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5053Corporate","Taxation","Accounting (ACCT)","Prerequisites:Admission to MS in accounting and completion ofACCT 5013. Description:Federal income tax law applicable to corporations and shareholders. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5093Reimagine:","Innovative Accounting and Analytics Mindset","Accounting (ACCT)","Prerequisites:Admission to the MS in Accounting Program. Description:Focus on improving innovation, creativity, leadership and communication skills related to the accounting function. Please see Program Coordinator for additional costs associated with the course, related travel costs and scholarship opportunities. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5103Seminar","in Contemporary Accounting Theory I","Accounting (ACCT)","Prerequisites:Admission to MS in accounting. Description:Origins and development of accounting theory. Critical study of issues in contemporary accounting theory. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5113Financial","Accounting Research","Accounting (ACCT)","Prerequisites:Admission to MS in accounting. Description:Research and presentation of solutions for complex issues in contemporary accounting practice; using databases, SEC, FASB, AICPA, IASB, as well as other publicly available information. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting Additional Fees:Business Graduate Program fee of $6 per credit hour applies. ","3"
"ACCT 5133Oil","and Gas Accounting","Accounting (ACCT)","Prerequisites:Admission to MS in accounting. Description:Financial accounting and reporting for oil and gas operations. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5143Advanced","Topics in Financial Reporting","Accounting (ACCT)","Prerequisites:Admission to MS in Accounting Program Description:Advanced theory and concepts underlying financial accounting and reporting. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5153Financial","Statement Analysis","Accounting (ACCT)","Prerequisites:Admission to MS in accounting. Description:Study of the demand and supply of financial data, properties of numbers derived from financial statements, the role of financial information in investment decisions, and features of the decision-making environment. Previously offered as ACCT 5313. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting Additional Fees:Business Graduate Program fee of $6 per credit hour applies. ","3"
"ACCT 5183MBA","Financial Reporting","Accounting (ACCT)","Prerequisites:Admission to a SSB graduate program or consent of MBA director. Description:Fundamentals of financial reporting, preparation and analysis of financial statements, and the role of financial accounting in decision making.  Previously offered asACCT 5103. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting Additional Fees:Business Graduate Program fee of $6 per credit hour applies. ","3"
"ACCT 5204Financial","Reporting I","Accounting (ACCT)","Prerequisites:Admission to a Spears School of Business graduate degree or certificate program and a “C” or better inACCT 3003orACCT 3004orACCT 5183. Description:Theory and concepts underlying financial accounting and reporting. Foundational accounting data analytics skills. May not be used for degree credit if a student has credit inACCT 3103,ACCT 3104, or the equivalent. Contact hours:Lecture: 3 Lab: 2 Contact: 5 Levels:Graduate Schedule types:Lab, Lecture, Combined lecture and lab Department/School:Accounting ","4"
"ACCT 5213Financial","Reporting II","Accounting (ACCT)","Prerequisites:Admission to a Spears School of Business graduate degree or certificate program and a “C” or better inACCT 3003orACCT 3004orACCT 5183. Description:Theory and concepts underlying financial accounting and reporting. May not be used for degree credit withACCT 3113. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5223Financial","Reporting III","Accounting (ACCT)","Prerequisites:Admission to a Spears School of Business graduate degree or certificate program and a “C” or better inACCT 5213or equivalent Description:Advanced accounting knowledge and skills required of early career accountants. Topics likely to include accounting for business combinations and consolidations, accounting for governmental and not-for-profit entities. May not be used for degree credit if a student has credit inACCT 4133or the equivalent. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5283MBA","Managerial Accounting","Accounting (ACCT)","Prerequisites:ACCT 5183and admission to MBA program or consent of MBA director. Description:Interpretation of accounting data in planning, controlling and decision-making. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5333Cost","Accounting","Accounting (ACCT)","Prerequisites:Admission to graduate program in the Spears School of Business AND ACCT 3004 OR ACCT 5183 or the equivalent Description:Cost accounting knowledge and skills required of early career accountants. Topics covered likely to include cost accumulation systems, allocating product costs, planning and controlling costs, standard costing, and profitability analysis. Cannot be used for degree credit withACCT 3203. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5343Accounting","Information Systems and Data Analytics Tools","Accounting (ACCT)","Prerequisites:Admission to a Spears School of Business graduate degree or certificate program andACCT 3003orACCT 3004orACCT 5183; Description:Accounting information systems knowledge and skills required of early career accountants. Topics likely to include accounting system design and installation, and related internal controls, as well as relevant data analytic tools. May not be used for degree credit if a student has credit inACCT 3603, or the equivalent. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
"ACCT 5353Federal","Income Taxation","Accounting (ACCT)","Prerequisites:Admission to a Spears School of Business graduate degree or certificate program and a “C” or better inACCT 3003orACCT 3004orACCT 5183. Description:Federal income tax and its relationship to business decision-making; primary emphasis on recognition of the important tax consequences that attach to business transactions and the impact on decision-making. May not be used for degree credit if a student has credit inACCT 3013. Contact hours:Lecture: 3 Contact: 3 Levels:Graduate Schedule types:Lecture Department/School:Accounting ","3"
