"code","level","title","description","credits"
"TLED 3160","Undergraduate","Application of Development in Learning Contexts","Designed for students to apply theories and research of child growth and development in multiple learning contexts.
Prereq: Not open to students with credit for EduTL 3160. GE soc sci indivs and groups course. GE foundation social and behavioral sci course.",3
"PHYSICS 1250","Undergraduate","Mechanics, Work and Energy, Thermal Physics","Calculus-based introduction to classical physics: Newton's laws, work and energy, fluids, thermodynamics; for students in physical sciences, mathematics, and engineering.
Prereq or concur: Math 1141, 1151, 1154, 1156, 1161, 1181H, or 4181H. This course is available for EM credit. GE nat sci phys course. GE foundation natural sci course.",5
"SOCWORK 2110","Undergraduate","Sport and Positive Youth Development","This course focuses on how characteristics of individuals, families, peer systems, schools, neighborhoods & other environmental contexts contribute to the development of social, academic, & health-related problems among youth. Students will apply the knowledge & skills of generalist practice to the design and delivery of prevention and youth development programs in sport/recreation/play settings.
GE theme health and well-being course.",3
"SOCWORK 4501","Undergraduate","Generalist Practice with Families","This course addresses professional values, knowledge, and skills essential for effective generalist social work practice with families. Emphasis is placed on family theory, models, and strategies for intervention, practice skills, and ethics necessary for beginning practice in social service agencies. The development of culturally competent practice is an integral part of this course.
Prereq: 3502.",3
"CHEM 1210","Undergraduate","General Chemistry I","First course for science majors, covering dimensional analysis, atomic structure, the mole, stoichiometry, chemical reactions, thermochemistry, electron configuration, bonding, molecular structure, gases, liquids, and solids.
Prereq: One unit of high school chemistry, and Math Placement Level L or M; or a grade of C- or above in Math 1120, 1130, 1131, 1148, 1150, or above. Not open to students with credit for 1220, 1620, 1920H, 1250, 1610, or 1910H. This course is available for EM credit. GE nat sci phys course. GE foundation natural sci course.",5
"CHEM 2540","Undergraduate","Organic Chemistry Laboratory I","Introduction to spectroscopic characterization, scientific writing, computational chemistry, and the laboratory techniques of organic chemistry, including synthesis, isolation, purification, and identification of organic compounds. Spectroscopic techniques discussed included (Infrared Spectroscopy, Mass Spectrometry, 1H and 13C Nuclear Magnetic Resonance).
Prereq or concur: 2310, or 2510, or 2610 or 2910H; and 1208, or 1210, or 1250, or 1610 or 1910H; and 1220, or 1620 or 1920H; and Math Placement Level L or M, or a grade of C- or above in Math 1120, 1130, 1131, 1148, 1150, or above.",2
"BIOLOGY 1101","Undergraduate","Introductory Biology","Basic principles of biology; topics include the nature of science, organismal diversity, evolution, ecology, genetics, reproduction, and cellular structure and function. Not intended students majoring in one of the biological sciences.
Prereq: Not open to students with credit for 1101E, 1113 (113), 1113H (115H), 101, Entmlgy 1101 (101), or MolGen 1101 (PlntBio101). This course is available for EM credit. GE nat sci bio course. GE foundation natural sci course.",4
"PSYCH 1100","Undergraduate","Introduction to Psychology","A prerequisite to advanced courses; a broad survey of psychological science. Application of the scientific method to the empirical study of behavior with emphasis on individual and cultural differences.
Prereq: Not open to students with credit for 100, 1100H (100H) or 1100E (100E). This course is available for EM credit. GE soc sci indivs and groups and diversity soc div in the US course. GE foundation social and behavioral sci course.",3
"ENGLISH 1110.01","Undergraduate","First-Year English Composition","Practice in the fundamentals of expository writing, as illustrated in the student's own writing & in the essays of professional writers. May be available as a service learning course with five hours community service required at the Lima campus only.
Prereq: EduTL1902 (108.01) or 1902.04 (108.01), or English Placement Level 4. Not open to students with credit for 1109 (109.01 or 109.02), 1110.01 (non-DL version), 1110.01H (110.01H), 1110.02 (110.02), 1110.02H (110.02H), 1110.03 (110.03), 1167H (167H ), 110.01. This course is available for EM credit. GE writing and comm course: level 1. GE foundation writing and info literacy course.",3
"PSYCH 3331","Undergraduate","Abnormal Psychology","Examination of current theories and empirical findings regarding the major forms of psychopathology and treatment.
Prereq: 1100 or 1100H. Not open to students with credit for 2367.02, 3331H, or 3331E.",3
"PSYCH 3375","Undergraduate","Stereotyping and Prejudice","Lectures address experimental research in stereotyping and prejudice; readings focus on historical, cultural, and sociological perspectives on issues related to gender, ethnicity, and social class.
Prereq: 1100 or 1100H. GE diversity soc div in the US course.",3
"MATH 1131","Undergraduate","Calculus for Business","Survey of calculus of one and several variables; applications to business.
Prereq: A grade of C- or above in 1130, 1144, 1148, or 1150, or credit for 130, 148, or 150, or Math Placement Level L. Not open to students with credit for 1151 (151) or above, or 1134 (132). This course is available for EM credit. GE quant reason math and logical anly course. GE foundation math and quant reasoning or data anyl course.",5
"MATH 1148","Undergraduate","College Algebra","Functions: polynomial, rational, radical, exponential, and logarithmic. Introduction to right-angle trigonometry. Applications.
Prereq: A grade of C- or above in 1075, or credit for 104 or 148, or Math Placement Level N, or ACT math subscore of 22 or higher that is less than 2 years old, or permission of department. Not open to students with credit for 1144, or for Math courses numbered 1150 (150) or above. This course is available for EM credit. GE quant reason math and logical anly course. GE foundation math and quant reasoning or data anyl course.",4
"ECON 2002.01","Undergraduate","Principles of Macroeconomics","Introduction to the theory of national income determination; economic fluctuations; money; government policy; international economics.
Prereq: Not open to students with credit for 2002.02, 2002.03H, 201, or 201H. This course is available for EM credit. GE soc sci orgs and polities course. GE foundation social and behavioral sci course.",3
"ART 2555","Undergraduate","Introduction to Digital Photography and Contemporary Issues","Students will learn fundamental digital camera techniques and explore contemporary and historical issues in photography including the relationships between technique, concept, and aesthetics as well as the relationship between images, identity formation, and larger social structures.
Prereq: Not open to students with credit for 3555. GE VPA course. GE foundation lit, vis and performing arts course.",3
"TLED 2368","Undergraduate","Introduction to Children's Literature","This is a survey course in which students study the historical and contemporary elements of literature intended for children, including picturebooks; traditional tales; novels of realism, and fantasy; nonfiction; poetry; and multicultural books.
Prereq: English 1110, or equiv. Not open to students with credit for EduTL 2368. GE lit course. GE foundation lit, vis and performing arts course.",3
"ESPHE 3206","Undergraduate","School and Society","Use of concepts and methods of history, philosophy and the social sciences to grasp the interrelationship between a diverse society and education.
GE diversity soc div in the US course. GE foundation race, ethnicity and gender div course.",3
"CONSYSM 2305","Undergraduate","Professional Development I","Business communications and professional development in construction systems management including informative and persuasive writing, academic planning, project management, research techniques, teaming, report writing and presentations.
Prereq: English 1110. Not open to students with credit for AgSysMt 2305. This course is available for EM credit.",2
"PHILOS 1300","Undergraduate","Introduction to Ethics","The nature of right and wrong, good and evil; the grounds of moral choice and decision; the resolution of moral conflicts.
GE cultures and ideas course. GE foundation historical and cultural studies course.",3
"THEATRE 2700","Undergraduate","Understanding Television","Understanding and critical written analysis and discussion of television, through viewing, discussing, reading, and writing. Students will focus on the ways in which racial, ethnic, and gender diversity issues are represented on television.
Prereq: EduTL 1902, 1902.04, IELP WRITE score of 80, English Placement Level 4, or English 1110 or equivalent. Not open to students with credit for 2367.03, ArtEduc 2367.03, or 2700. GE writing and comm course: level 2 and diversity soc div in the US course. GE foundation writing and info literacy and race, ethnicity and gender div course. Cross-listed in ArtEduc.",3
"THEATRE 2811","Undergraduate","The Craft of Acting","An introductory acting class exploring the basic techniques of imagination, concentration, character development, and script analysis through work on monologues, scenes, and plays.
Prereq: Not open to students with credit for 280. GE VPA course. GE foundation lit, vis and performing arts course.",3
"ARTSSCI 3191.01","Undergraduate","For-Credit Internship","Internship conducted under the supervision of the employer; grade determined by ASC faculty member. Student must obtain the internship before the start of the term, and a signed learning agreement approved by faculty member and employer by first day. Enrollment in an academic department internship course is not permitted during the same term.
Prereq: GPA 2.50 or above, and Soph standing or above. Repeatable to a maximum of 12 cr hrs or 4 completions. This course is graded S/U.","1 - 12"
"MUSIC 2252","Undergraduate","History of Rock 'n' Roll","The history and culture of rock 'n' roll.
Prereq: Not open to students with credit for 252. GE VPA course. GE foundation lit, vis and performing arts course.",3
"HISTORY 3106","Undergraduate","History of Mexico","This course offers an intersectional study of the history of Mexico, highlighting the importance of gender, sexuality, race, and ethnicity from the precolonial era to the present day. Throughout the semester we will examine patterns of conflict and negotiation, including ways in which everyday people participated in and influenced cultural and political events.
GE historical study and diversity global studies course. GE foundation historical and cultural studies and foundation race, ethnicity and gender div course.",3
"HISTORY 3245","Undergraduate","The Age of Reformation","The history of the Protestant, Catholic, and Radical Reformations of 16th and early 17th century Europe.
Prereq or concur: English 1110.xx, or GE foundation writing and info literacy course, or permission of instructor. GE historical study course. GE theme citizenship for div and just wrld and traditions, cultures, and transformations course.",3
"ENGLISH 1193","Undergraduate","Individual Studies","Intensive practice in the fundamentals of expository writing.
Prereq: Permission of Director of First-Year Writing. Concur: 1110.03. Repeatable to a maximum of 6 cr hrs or 6 completions. This course is graded S/U.","1 - 4"
"PSYCH 4999.02","Undergraduate","Thesis Research II","Seminar designed to support data collection/analysis, and writing and defending of the Thesis, including quantitative methods, data interpretation, summary, and presentation, writing results and discussion, poster presentation, and oral defense.
Prereq: 4999.01.",2
"EEOB 2520","Undergraduate","Human Physiology","A survey of the human nervous system, sense organs, muscle function, circulation, respiration, digestion, metabolism, kidney function, and reproduction.
Prereq: 3 sem cr hrs in Biological Sciences. Not open to students with credit for 232. GE nat sci bio course. NS Admis Cond course.",3
"HISTORY 2105","Undergraduate","Latin America and the World","Latin America's relationship with the World since independence (1825) focusing on cases of direct and indirect U.S. intervention as well as European influences and globalization.
Prereq or concur: English 1110.xx, or GE foundation writing and info literacy course, or permission of instructor. GE historical study and diversity global studies course. GE foundation historical and cultural studies course.",3
"ESSPED 4191.02","Undergraduate","Student Teaching in Special Education: Mild/Moderate","Student teaching for Special Education students in mild/moderate intervention.
Prereq: 5735. This course is graded S/U.","1 - 12"
"BUSMHR 2292","Undergraduate","Business Skills & Environment","Introduce the role of business in the lives of individuals, consumers, employees, and citizens. Focus on the concept of ethical leadership with emphasis on both oral and written communication skills for the business environment.
Prereq: English 1110.01 or equivalent; and admission to the Business Administration major. Not open to students with credit for 2291. Not open to pre-business students.",3
"SOCWORK 3600","Undergraduate","Introduction to Psychopathology and Social Work Practice","This course will familiarize students with the major mental disorders, offer strategies for building on clients' strengths and resilience, provide basic tools for screening and referral, and impart knowledge of the mental health delivery system and its resources.
Prereq: Admission to SocWork major.",3
"ENGRTEC 1200","Undergraduate","Introduction to Engineering Technology","Introduction to the roles available in engineering technology, professional development planning for students pursuing this degree, and exposure to common elements in engineering technology. Course work will emphasize written and verbal communication skills.
Prereq: Enrollment in the BSET program.",1
"GERMAN 1101.02","Undergraduate","Beginning German I (Distance Learning)","1101.02 helps you learn to communicate in culturally appropriate ways in German. We aim to help you develop balanced skills in speaking, listening, reading, & writing. By semester's end, you should be able to engage in simple conversations, read & understand short texts & write short essays & learn about life and culture in German-speaking countries. This course is the online version of 1101.01.
Prereq: Not open to students with credit for 1101.01 or 1101.51 or 1101.61. This course is available for EM credit. GE for lang course. GE world languages course.",4
"GENED 1201","Undergraduate","GE Launch Seminar","This course is first GE Bookend class. The Launch seminar provides a strong introduction for the broad goals of the General Education program, introduces key skills, and supports sustained growth in terms of attaining program goals.
This course is graded S/U. GE bookend launch seminar course.",1
"HISTORY 3676","Undergraduate","Leadership in History","This course employs the lessons, models, and narratives of history to consider different characteristics of leadership and analyze how those qualities might shape students' own vision of what it means to be an informed citizen, leader, and follower.
GE theme citizenship for div and just wrld course.",3
"EXP 1100.01","Undergraduate","University Exploration Survey","Introduction to the process of decision making and exploring majors at Ohio State; introduction to university community; strategies for successful transition to and participation in that community; university resources and procedures.
Prereq: Fresh standing in Exp, and permission of instructor. Not open to students with credit for 100.01, 100.01H, 100.02, or 100.03.",1
"SOCIOL 1101","Undergraduate","Introductory Sociology","Fundamental concepts of sociology and introduction to the analysis of social problems and interactions (e.g. wealth, gender, race, inequality, family, crime) using sociological theories.
Prereq: Not open to students with credit for 1101H, 1101E, 1102, RurlSoc 1500, or equiv. GE soc sci orgs and polities and diversity soc div in the US course. GE foundation social and behavioral sci course.",3
"PHILOS 2465","Undergraduate","Death and the Meaning of Life","Explore the question of whether there is a relation between mortality and a meaningful life.
GE lit course. GE theme health and well-being course.",3
"CSCFFS 2260","Undergraduate","Healthy Finances and Economic Wellbeing for Individuals and Families","The management of family financial resources; topics include financial planning and budgeting, insurance, credit, and savings and investments.
GE foundation social and behavioral sci course.",3
"PHYSICS 1200","Undergraduate","Mechanics, Kinematics, Fluids, Waves","Algebra-based introduction to classical physics: Newtons laws, fluids, waves.
Prereq: A grade of C- or above in Math 1120 or 1148, or Math Placement Level M. This course is available for EM credit. GE nat sci phys course. GE foundation natural sci course.",5
"PHYSICS 1250","Undergraduate","Mechanics, Work and Energy, Thermal Physics","Calculus-based introduction to classical physics: Newton's laws, work and energy, fluids, thermodynamics; for students in physical sciences, mathematics, and engineering.
Prereq or concur: Math 1141, 1151, 1154, 1156, 1161, 1181H, or 4181H. This course is available for EM credit. GE nat sci phys course. GE foundation natural sci course.",5
"SOCWORK 2110","Undergraduate","Sport and Positive Youth Development","This course focuses on how characteristics of individuals, families, peer systems, schools, neighborhoods & other environmental contexts contribute to the development of social, academic, & health-related problems among youth. Students will apply the knowledge & skills of generalist practice to the design and delivery of prevention and youth development programs in sport/recreation/play settings.
GE theme health and well-being course.",3
"SOCWORK 3501","Undergraduate","Building Engagement & Interpersonal Skills","This foundation course provides the opportunity for undergrad students in the professional social work program to focus on the understanding and use of core engagement and communication skills critical to social work practice. The course will engage each student in the learning and development of social work skills through didactic presentations, skill demonstrations, and experiential exercises.
Prereq: Jr or Sr standing, and enrollment in SocWork major.",3
"EDUTL 5137","Undergraduate","Teaching and Learning of Social Studies Grades Pre-K - 3","Designed to provide opportunities to examine interesting and effective social studies content knowledge, cultural understandings, and pedagogies for the early childhood learner within global contexts.
Prereq: Not open to students with credit for 737.",3
"TLTED 5469","Undergraduate","Language and Word Study for All Learners","This course provides a detailed examination of the ways that oral and written languages work and how this supports development of English word reading and spelling skills for learners who are monolingual speakers of Standard English as well as those who speak other languages and varieties of English.
Prereq: 5468. Not open to students with credit with EduTL 5469.",3
"SOCWORK 1130","Undergraduate","Introduction to Social Work in Contemporary Society","An introduction to the core values, fundamental goals, unique functions and methods of the social work profession.
Prereq: Not open to students with credit for 230. GE soc sci indivs and groups course. GE foundation social and behavioral sci course.",3
"CHEM 2510","Undergraduate","Organic Chemistry I","Introduction to structure, nomenclature, physical properties, preparation and reactions of alkanes, alkenes, conjugated dienes, alkynes, alcohols, ethers, epoxides, aldehydes, and ketones. Other topics include stereochemistry, conformations of molecules, acids, bases, and reaction mechanisms.
Prereq: Chem 1208, or 1210, or 1250, or 1610 or 1910H; and Chem 1220, or 1620 or 1920H; and Math Placement Level L or M, or a grade of C- or above in Math 1120, 1130, 1131, 1148, 1150, or above. Not open to students with credit for Chem 2520, 2610, 2620, 2910H, or 2920H.",4
"SOCWORK 3401","Undergraduate","Research & Statistics for Understanding Social Work Problems and Diverse Populations","This is the first course in the BSSW program sequence preparing students to effectively work with research evidence and statistics as social work professionals. Students will develop the requisite skills and knowledge for beginning to identify, assess, and apply existing bodies of evidence to answer questions about social work problems and diverse populations.
Prereq or concur: Math 1060, or 1075 or above, or Stat 1350.01, Stat 1350.02, or Stat 1450 or above, or Math Placement Level R or above; and admission to the Social Work major. Not open to students with credit for 3401E.",3
"EARTHSC 1121","Undergraduate","The Dynamic Earth","This course introduces students to earth sciences. Topics include earth processes and human impacts; the structure and composition of the earth, plate tectonics, rock & water cycles, energy & mineral resources, and climate change. Autumn 2021 and after: Add EarthSc 1200 for Physical Science GE lab credit. Autumn 2022 and after: Add EarthSc 1200 to fulfill GE Foundations: Natural Science.
Prereq: Math 1075 or above, or ACT Mathematics Subscore of 22 or higher, or Math Placement Level R or better. Not open to students with credit for 1100. This course is available for EM credit. GE nat sci phys course. GE foundation natural sci course.",3
