"department","code","title","description","credits"
"Accounting (ACCTG)","ACCTG 501","Research Methods in Accounting","An introduction to the methods and techniques of contemporary research in accounting.","3 Credits"
"Accounting (ACCTG)","ACCTG 502","Accounting Research and Analysis","This course prepares DBA students to consume and produce accounting research. Students will also be equipped with a solid understanding of the philosophy of science and know how to design a research study to avoid common threats to validity. Students will also be instructed on the proper etiquette they should employ when serving in the academic community-especially as it pertains to scholarly peer reviews.","3 Credits"
"Accounting (ACCTG)","ACCTG 512","Financial Accounting Theory and Reporting Problems","Measurement and reporting of financial information for external purposes, with particular attention to current problems in asset and income measurement.","3 Credits"
"Accounting (ACCTG)","ACCTG 524","Managerial Accounting","CONCEPTS AND TECHNIQUES OF ACCOUNTING FOR PLANNING, CONTROL, AND MOTIVATION.","3 Credits"
"Accounting (ACCTG)","ACCTG 566","Corporate Disclosure in the Capital Markets","ACCTG 566provides a broad perspective of accounting that spans beyond the Generally Accepted Accounting Principles (GAAP) by exploring the role of financial accounting (and more broadly, corporate disclosure) in the capital markets. This includes discussions about (i) how accounting information flows in the capital markets and why it is so crucial to a well-functioning economy, (ii) key capital market stakeholders, their incentives, and their relation with corporate disclosure, (iii) various disclosure types and venues and their decision usefulness, (iv) the role of corporate governance in ensuring the provision of useful accounting information, (v) earnings management types, incentives, and settings, (vi) the standard setting process, and (vii) the role of emerging technologies in shaping corporate communications with the market. The course will also expose students to the history of accounting to provide insight into how and why accounting has morphed into its current state. Finally, throughout the course, there will be discussion and tie-ins to academic research on capital markets with an emphasis on corporate disclosure research.","3 Credits"
"Accounting (ACCTG)","ACCTG 573","Topics in Financial Reporting","This course examines the accounting for complex business transactions with an emphasis on understanding the ""why"", rather than exclusively the ""how"". There is a focus on the economic substance of transactions and developing a deep understanding of the Financial Accounting Standards Board Conceptual Framework. This enables one to analyze the consistency of current financial reporting standards within a conceptual framework while considering alternative accounting treatments that can better reflect the economic substance of transactions. An overview of the conceptual and practical issues surrounding the accounting for investments, fair values, business combinations, consolidation of financial statements, structured transactions, derivatives, and hedging activities and foreign operations will also be covered with the intent for developing an awareness of academic research related to the economics of and accounting for complex business transactions.","3 Credits"
"Accounting (ACCTG)","ACCTG 590","Colloquium","Continuing seminars which consist of a series of individual lectures by faculty, students, or outside speakers.","1-3 Credits/Maximum of 3"
"Accounting (ACCTG)","ACCTG 596","Individual Studies","Creative projects, including nonthesis research, which are supervised on an individual basis and which fall outside the scope of formal courses.","1-9 Credits/Maximum of 9"
"Accounting (ACCTG)","ACCTG 597","Special Topics","Formal courses given on a topical or special interest subject which may be offered infrequently; several different topics may be taught in one year or term.","1-9 Credits/Maximum of 9"
"Accounting (ACCTG)","ACCTG 597C","**SPECIAL TOPICS**","","2-4 Credits"
