"code","title","credits","subject","description"
"19:910:500","PRACTICE WITH INDIVIDUALS AND FAMILIES",3.0,"CM",""
"19:910:501","PRACTICE WITH COMMUNITIES AND ORGANIZATIONS",3.0,"CM",""
"19:910:502","HUMAN BEHAVIOR AND THE SOCIAL ENVIRONMENT",3.0,"CM",""
"19:910:506","DIVERSITY AND OPPRESSION",3.0,"CM",""
"19:910:508","PRACTICUM I",2.0,"CM",""
"19:910:511","CLINICAL SOCIAL WORK I",3.0,"CM",""
"19:910:516","CLINICAL SOCIAL WORK: HEALTH",3.0,"CM",""
"19:910:517","CSW:MENTAL HEALTH",3.0,"CM",""
"19:910:518","CLINICAL SOCIAL WORK: CHILDREN",3.0,"CM",""
"19:910:535","MANAGEMENT PRACTICE AND THEORY",3.0,"CM",""
"19:910:541","FUNDRAISING AND MARKETING",3.0,"CM",""
"19:910:553","PRACTICUM LAB SEMINAR",1.0,"CM",""
"19:910:584","ADVANCED CONTEMPORARY POLICY: INTERPERSONAL VIOLENCE",3.0,"CM",""
"19:910:591","ACP:CHILDREN & YOUTH",3.0,"CM",""
"19:910:595","EVALUATION OF SOCIAL WORK PRACTICE AND PROGRAMS",3.0,"CM",""
"19:910:600","PRACTICUM 3 - CSW",3.0,"CM",""
"50:014:215","AFRICAN AMERICAN THEATER",3.0,"CM",""
"50:014:318","LEARNING ABROAD PROGRAM",3.0,"CM",""
"50:014:381","SPECIAL TOPICS IN AFRICANA STUDIES",3.0,"CM",""
"50:014:382","SPECIAL TOPICS IN AFRICAN AMERICAN      STUDIES",3.0,"CM",""
"50:070:101","INTRODUCTION TO CULTURAL ANTHROPOLOGY",3.0,"CM",""
"50:070:307","PSYCHOLOGICAL ANTHROPOLOGY",3.0,"CM",""
"50:070:323","ANTHROPOLOGY OF AMERICAN CULTURE",3.0,"CM",""
"50:070:495","INDEPENDENT STUDY IN ANTHROPOLOGY","","CM",""
"50:080:102","VISUAL FUNDAMENTALS",3.0,"CM",""
"50:080:103","SCULPTURE FOUNDATION",3.0,"CM",""
"50:080:126","CONCEPTUAL ART I",3.0,"CM",""
"50:080:211","CERAMICS I",3.0,"CM",""
"50:080:212","CERAMICS II",3.0,"CM",""
"50:080:213","GRAPHIC DESIGN I: COMPUTATIONAL FOUNDATIONS",3.0,"CM",""
"50:080:214","SCULPTURE I",3.0,"CM",""
"50:080:221","DRAWING I",3.0,"CM",""
"50:080:225","COLOR STUDIES",3.0,"CM",""
"50:080:226","CONCEPTUAL ART II",3.0,"CM",""
"50:080:261","FILM PHOTOGRAPHY I",3.0,"CM",""
"50:080:264","DIGITAL PHOTOGRAPHY I",3.0,"CM",""
"50:080:271","PRINTMAKING",3.0,"CM",""
"50:080:279","COMPUTER ANIMATION I",3.0,"CM",""
"50:080:280","CLASSICAL ANIMATION",3.0,"CM",""
"50:080:282","STUDIO LIGHTING FOR PHOTOGRAPHY",3.0,"CM",""
"50:080:332","GRAPHIC DESIGN III STUDIO",3.0,"CM",""
"50:080:333","TYPOGRAPHY I",3.0,"CM",""
"50:080:346","USER EXPERIENCE AND INTERFACE DESIGN",3.0,"CM",""
"50:080:351","PAINTING I",3.0,"CM",""
"50:080:361","ART THERAPY I",3.0,"CM",""
"50:080:382","SCULPTURE II",3.0,"CM",""
"50:080:388","3D MODELING AND PRINTING",3.0,"CM",""
"50:080:391","INDEPENDENT STUDY IN STUDIO ART","","CM",""
"50:080:421","ART THERAPY II",3.0,"CM",""
"50:080:429","ARTS MANAGEMENT PRACTICUM",3.0,"CM",""
"50:080:438","GRAPHIC DESIGN CAPSTONE I",3.0,"CM",""
"50:080:439","SPECIAL TOPICS IN GRAPHIC DESIGN",3.0,"CM",""
"50:080:446","AI GENERATED ANIMATION",3.0,"CM",""
"50:080:448","CHARACTER ANIMATION",3.0,"CM",""
"50:080:451","ADVANCED PAINTING",3.0,"CM",""
"50:080:452","PAINTING CAPSTONE",3.0,"CM",""
"50:080:460","EXPERIMENTAL PHOTOGRAPHY",3.0,"CM",""
"50:080:461","SENIOR PHOTOGRAPHY CAPSTONE",3.0,"CM",""
"50:080:478","SCULPTURE CAPSTONE",3.0,"CM",""
"50:080:481","ADVANCED SCULPTURE",3.0,"CM",""
"50:080:483","ANIMATION CAPSTONE I",3.0,"CM",""
"50:080:488","3D INTERACTIVE DESIGN IN VR",3.0,"CM",""
"50:080:491","ELECTONIC ARTS INTERNSHIP","","CM",""
"50:080:492","ART INTERNSHIP","","CM",""
"50:080:498","HONORS IN ART",3.0,"CM",""
"50:082:101","INTRODUCTION TO ART HISTORY I: PREHISTORY TO 1400",3.0,"CM",""
"50:082:102","INTRODUCTION TO ART HISTORY II: EARLY MODERN TO NOW",3.0,"CM",""
"50:082:104","INTRODUCTION TO THE ART OF ASIA",3.0,"CM",""
"50:082:203","MEDIEVAL ART AND CULTURE",3.0,"CM",""
"50:082:212","JAPANESE ART",3.0,"CM",""
"50:082:368","20TH CENTURY AMERICAN ART",3.0,"CM",""
"50:082:380","HISTORY OF ANIMATION",3.0,"CM",""
"50:082:491","INDEPENDENT STUDY IN ART HISTORY","","CM",""
"50:082:497","HONORS IN ART HISTRY",3.0,"CM",""
"50:090:180","PREMED/MCAT WORKSHOP",2.0,"CM",""
"50:090:399","INTERNSHIP COURSE-ARTS AND SCIENCES",3.0,"CM",""
"50:100:306","DESCRIPTIVE ASTRONOMY",3.0,"CM",""
"50:115:403","GEN BIOCHEMISTRY I",3.0,"CM",""
"50:115:407","GEN BIOCHEM LAB I",1.0,"CM",""
"50:115:430","BIOMOLECULAR FORENSIC SCIENCE",3.0,"CM",""
"50:115:431","BIOMOLECULAR FORENSIC LABORATORY",1.0,"CM",""
"50:120:101","GENERAL BIOLOGY I",3.0,"CM",""
"50:120:105","THE FACTS OF LIFE",3.0,"CM",""
"50:120:107","GENERL BIOLOGY LAB I",1.0,"CM",""
"50:120:111","GENERAL BIOLOGY 101 RECITATION",1.0,"CM",""
"50:120:153","ESSENTIALS OF ANATOMY AND PHYSIOLOGY I",3.0,"CM",""
"50:120:155","ESSENTIALS OF ANATOMY AND PHYSIOLOGY LAB I",1.0,"CM",""
"50:120:199","EXPLORING CAREERS IN BIOLOGY",1.0,"CM",""
"50:120:200","EXP RES IN BIO",1.0,"CM",""
"50:120:211","MICROBIOLOGY AND ITS APPLICATION",3.0,"CM",""
"50:120:212","MICROBIOLOGY AND ITS APPLICATIONS LAB",1.0,"CM",""
"50:120:231","CLINICAL ASPECTS OF HUMAN GENETICS",3.0,"CM",""
"50:120:253","BASIC ANATOMY & PHYSIOLOGY I",3.0,"CM",""
"50:120:255","BASIC ANATOMY & PHYSIOLOGY I LABORATORY",1.0,"CM",""
"50:120:283","STATISTICS FOR BIOLOGICAL RESEARCH",3.0,"CM",""
"50:120:300","ADVANCED ANATOMY AND PHYSIOLOGY I",3.0,"CM",""
"50:120:302","ADVANCED ANATOMY AND PHYSIOLOGY I       LABORATORY",1.0,"CM",""
"50:120:305","MOLECULAR BIOLOGY",3.0,"CM",""
"50:120:306","MOLECULAR BIOLOGY LABORATORY",1.0,"CM",""
"50:120:344","NEUROBIOLOGY I: CELL AND MOLECULAR",3.0,"CM",""
"50:120:347","PATHOPHYSIOLOGY",3.0,"CM",""
"50:120:351","GENERAL ECOLOGY",3.0,"CM",""
"50:120:353","GENERAL ECOLOGY LAB",1.0,"CM",""
"50:120:362","MORPHOLOGY OF PLANTS",3.0,"CM",""
"50:120:368","MORPH OF PLANTS LAB",1.0,"CM",""
"50:120:371","EVOLUTION MORPHOLOGY",3.0,"CM",""
"50:120:376","ANIMAL HISTOLOGY",3.0,"CM",""
"50:120:377","ANIMAL HISTOLOGY LAB",1.0,"CM",""
"50:120:399","CURRENT TOPICS IN BIOLOGY",3.0,"CM",""
"50:120:402","MYCOLOGY",3.0,"CM",""
"50:120:491","INDEPENDENT RESEARCH IN BIOLOGY I","","CM",""
"50:120:492","INDEPENDENT RESEARCH IN BIOLOGY II","","CM",""
"50:120:494","SEMINAR IN BIOLOGY",1.0,"CM",""
"50:120:495","BIOLOGY HONORS THESIS I","","CM",""
"50:121:400","COMPUTATIONAL AND INTEGRATIVE BIOLOGY   CAPSTONE I",2.0,"CM",""
"50:121:401","COMPUTATIONAL AND INTEGRATIVE BIOLOGY   CAPSTONE II",2.0,"CM",""
"50:160:103","GENERAL ORGANIC AND BIOCHEMISTRY I",4.0,"CM",""
"50:160:115","CHEMICAL PRINCPLE I",4.0,"CM",""
"50:160:125","CHEMICAL PRIN LAB I",1.0,"CM",""
"50:160:325","ANALYTICAL CHEM I",3.0,"CM",""
"50:160:329","ANALYTICAL CHEMLAB I",1.0,"CM",""
"50:160:335","ORGANIC CHEMISTRY I",4.0,"CM",""
