"code","title","credits","subject","description"
"01:013:111","THE BIBLE IN ARAMAIC",3.0,"NB",""
"01:013:140","ELEMENTARY ARABIC I",4.0,"NB",""
"01:013:141","ELEMENTARY ARABIC II",4.0,"NB",""
"01:013:143","ARABIC LAB 1",1.0,"NB",""
"01:013:152","ELEM MODERN HEBREW",4.0,"NB",""
"01:013:160","ELEMENTARY HINDI I",4.0,"NB",""
"01:013:161","ELEMENTARY HINDI II",4.0,"NB",""
"01:013:162","ELEMENTARY URDU I",4.0,"NB",""
"01:013:176","ELEMENTARY PERSIAN I",4.0,"NB",""
"01:013:190","ELEMENTARY TURKISH I",4.0,"NB",""
"01:013:203","LANGUAGE & SOCIETY IN AFRICA, THE MIDDLEEAST, AND SOUTH ASIA",3.0,"NB",""
"01:013:204","INTRODUCTION TO DISCOURSE ANALYSIS",3.0,"NB",""
"01:013:225","GLOBAL ARABIC",3.0,"NB",""
"01:013:229","WAR AND LITERATURE IN THE ARAB WORLD",3.0,"NB",""
"01:013:240","INTERMEDIATE ARABIC I",4.0,"NB",""
"01:013:243","CLASSICAL ARABIC",3.0,"NB",""
"01:013:252","INTERMED MOD HEBREW",4.0,"NB",""
"01:013:260","INTERMEDIATE HINDI I",4.0,"NB",""
"01:013:276","INTERMEDIATE PERSIAN I",4.0,"NB",""
"01:013:289","CULTURE OF LADINO: AN INTRODUCTION",3.0,"NB",""
"01:013:290","INTERMEDIATE TURKISH I",4.0,"NB",""
"01:013:294","INTERMEDIATE YORUBA",4.0,"NB",""
"01:013:301","TOPICS IN AFRICAN, MIDDLE EASTERN, AND SOUTH ASIAN LANGUAGES AND LITERATURES",3.0,"NB",""
"01:013:308","MINORITIES IN THE MIDDLE EAST",3.0,"NB",""
"01:013:311","WOMEN WRITERS OF AFRICA",3.0,"NB",""
"01:013:312","AFRICN FOLKLORE&MYTH",3.0,"NB",""
"01:013:321","INDEPENDENT STUDY","","NB",""
"01:013:340","ADVANCED ARABIC I",3.0,"NB",""
"01:013:352","ADV MODERN HEBREW",3.0,"NB",""
"01:013:360","ADVANCED HINDI I",3.0,"NB",""
"01:013:376","ADVANCED PERSIAN",3.0,"NB",""
"01:013:390","ADVANCED TURKISH",3.0,"NB",""
"01:013:405","UGARITIC",3.0,"NB",""
"01:013:430","GENDER,NATION & LITERATURE IN SOUTH ASIA",3.0,"NB",""
"01:014:103","INTRODUCTION TO AFRICANA STUDIES",3.0,"NB",""
"01:014:132","BLACK EXPERIENCE AND FILM MEDIUM",3.0,"NB",""
"01:014:140","INTRODUCTION TO AMERICAN CULTURES",1.5,"NB",""
"01:014:202","WHAT EVERYONE SHOULD KNOW ABOUT 'RACE'",3.0,"NB",""
"01:014:203","BLACK EXPERIENCE IN AMERICA",3.0,"NB",""
"01:014:206","THE BLACK WOMAN",3.0,"NB",""
"01:014:210","AFRICA: CONTINENT OF THE FUTURE?",3.0,"NB",""
"01:014:214","FEELING RACE: THE EMOTIONAL POLITICS OF RACE",3.0,"NB",""
"01:014:223","INDEPENDENT STUDY","","NB",""
"01:014:233","INTRODUCTION TO RESEARCH IN AFRICANA    STUDIES",3.0,"NB",""
"01:014:286","MENTORING AS A PUBLIC SERVICE I",3.0,"NB",""
"01:014:301","TOPICS IN AFRICANA STUDIES",3.0,"NB",""
"01:014:305","RACE, INTERNATIONAL LAW AND EMPIRE",3.0,"NB",""
"01:014:307","AFRICANA COMMUNITY HEALTHCARE EXPERIENCEPERSPECTIVES FROM PATIENTS & PHYSICIANS",3.0,"NB",""
"01:014:341","SUPERVISED COMMUNITY PLACEMENT",3.0,"NB",""
"01:014:347","HEALTH ISSUES IN THE AFRICAN-AMERICAN COMMUNITY",3.0,"NB",""
"01:014:370","AFRO-ATLANTIC DIASPORA",3.0,"NB",""
"01:014:380","BLACKS IN SCIENCE",3.0,"NB",""
"01:014:381","POLITICS OF BLACK AMERICA",3.0,"NB",""
"01:014:385","MENTORING AS PUBLIC SERVICE II",3.0,"NB",""
"01:014:399","INDEPENDENT STUDY",1.0,"NB",""
"01:014:423","BLACK THOUGHT",3.0,"NB",""
"01:014:490","SEMINAR IN AFRICANA STUDIES",3.0,"NB",""
"01:014:491","INDEPENDENT STUDY","","NB",""
"01:014:497","AFR STDY SCHOL PROJ",6.0,"NB",""
"01:016:222","MODERN AFRICA",3.0,"NB",""
"01:016:301","IND STY AFRICAN AREA","","NB",""
"01:016:303","DIRECT INTRN AFR STY","","NB",""
