"code","title","credits","subject","description"
"07:965:236","DEVISING A RITE OF PASSAGE WITH         RETURNING CITIZENS",1.0,"NK",""
"11:573:302","ECOLOGICAL HISTORY NA",3.0,"NK",""
"19:910:500","PRACTICE WITH INDIVIDUALS & FAMILIES",3.0,"NK",""
"19:910:501","PRACTICE W/ COMMUNITIES & ORGANIZATIONS",3.0,"NK",""
"19:910:502","HUMAN BEHAVIOR & THE SOCIAL ENVIRONMENT",3.0,"NK",""
"19:910:506","DIVERSITY AND OPPRESSION",3.0,"NK",""
"19:910:508","PRACTICUM I",2.0,"NK",""
"19:910:511","CLINICAL SOCIAL WORK I",3.0,"NK",""
"19:910:516","CLINICAL SOCIAL WORK: HEALTH",3.0,"NK",""
"19:910:520","CLINICAL SOCIAL WORK: SCHOOL",3.0,"NK",""
"19:910:523","CLINICAL SOCIAL WORK:  SURVIVORS OF ABUSE AND TRAUMA",3.0,"NK",""
"19:910:528","HUMAN RESOURCE MANAGEMENT",3.0,"NK",""
"19:910:530","SOL FOC THERAPY",3.0,"NK",""
"19:910:535","MANAGEMENT PRACTICE AND THEORY",3.0,"NK",""
"19:910:541","FUNDRAISING & MARKETING",3.0,"NK",""
"19:910:547","SOCIAL WORK WITH LOSS ACROSS THE LIFESPAN",3.0,"NK",""
"19:910:553","PRACTICUM LAB SEMINAR",1.0,"NK",""
"19:910:584","ADVANCED CONTEMPORARY POLICY: INTERPERSONAL VIOLENCE",3.0,"NK",""
"19:910:587","ADVANCED CONTEMPORARY POLICY: MENTAL HEALTH",3.0,"NK",""
"19:910:591","ADVANCED CONTEMPORARY POLICY: CHILDREN & YOUTH",3.0,"NK",""
"19:910:595","EVALUATION OF SW PRAC & PROGRAMS",3.0,"NK",""
"19:910:600","PRACTICUM 3 - CSW",3.0,"NK",""
"20:831:501","PRINCIPLES OF PUBLIC ADMINISTRATION & DEMOCRATIC GOVERNANCE",3.0,"NK",""
"20:831:521","TECHNOLOGY AND PUBLIC ADMINISTRATION",3.0,"NK",""
"20:831:522","MANAGING PUBLIC ORGANIZATIONS",3.0,"NK",""
"20:831:542","GOVERNMENT BUDGETING",3.0,"NK",""
"20:831:800","MATRIC CONTINUED",1.0,"NK",""
"20:834:501","PRINCIPLES OF PUBLIC ADMINISTRATION",3.0,"NK",""
"20:834:505","COLLABORATIVE GOVERNANCE",3.0,"NK",""
"20:834:510","SP LEADERSHIP",3.0,"NK",""
"20:834:515","ETHICAL CHALLENGES IN PUBLIC AFFAIRS",3.0,"NK",""
"20:834:521","TECHNOLOGY & PUBLIC ADMINISTRATION",3.0,"NK",""
"20:834:522","MANAGING PUBLIC ORGANIZATIONS",3.0,"NK",""
"20:834:523","HUMAN RESOURCE MANAGEMENT",3.0,"NK",""
"20:834:524","THE PUBLIC POLICY PROCESS",3.0,"NK",""
"20:834:529","PERFORMANCE MEASUREMENT & REPORTING FOR PUBLIC & NP ORGANIZATIONS",3.0,"NK",""
"20:834:541","ECONOMICS FOR PUBLIC ADMINISTRATION",3.0,"NK",""
"20:834:542","GOVERNMENT BUDGETING",3.0,"NK",""
"20:834:543","PUBLIC FINANCIAL MANAGEMENT",3.0,"NK",""
"20:834:561","DATA ANALYSIS FOR DECISION MAKING",3.0,"NK",""
"20:834:563","CAPSTONE PROJECT",3.0,"NK",""
"20:834:568","GOVERMENT REVENUE THEORY AND ADMINISTRATION",3.0,"NK",""
"20:834:571","NONPROFIT BUDGETING AND FINANCIAL MANAGEMENT",3.0,"NK",""
"20:834:575","GRANT WRITING & GRANTS MANAGEMENT",3.0,"NK",""
"20:834:581","HEALTH SYSTEMS & POLICY",3.0,"NK",""
"20:834:590","INTERNSHIP I",3.0,"NK",""
"20:834:598","INDEPENDENT STUDY-MPA",3.0,"NK",""
"20:834:800","MATRICULATION CONTINUED",1.0,"NK",""
