"course_code","course_title","credits","department","description"
"ACCT 222","Survey of Accounting","3 Credits","Accounting (ACCT)","Survey of accounting topics related to business decisions including financial reporting, managerial accounting, and other special topics."
"ACCT 225","Introduction to Financial Accounting","3 Credits","Accounting (ACCT)","User-oriented approach to the study of financial accounting and reporting topics related to business decisions."
"ACCT 226","Introduction to Managerial Accounting","3 Credits","Accounting (ACCT)","User-oriented approach to the study of managerial accounting topics related to business decisions."
"ACCT 324","Survey of Commercial Law","3 Credits","Accounting (ACCT)","Basic legal concepts and the judicial system, with emphasis on business law."
"ACCT 335","Survey of Federal Taxation","3 Credits","Accounting (ACCT)","Federal tax law and preparation of individual income tax returns. Not allowed as an upper-division elective by accounting majors and not open for students who received credit forACCT 403."
"ACCT 401","Financial Accounting I","3 Credits","Accounting (ACCT)","Accounting theory and practice as it relates to preparation of financial statements."
"ACCT 402","Cost/Managerial Accounting","3 Credits","Accounting (ACCT)","Internal managerial and cost accounting, including budgeting, cost determination, and analysis."
"ACCT 403","Tax I","3 Credits","Accounting (ACCT)","Overview of individual, corporate, and partnership taxation. Emphasis is on sole proprietorships."
"ACCT 404","Accounting Information Systems I","3 Credits","Accounting (ACCT)","Accounting systems for business decision-making and effective control of the business enterprise."
"ACCT 405","Financial Accounting II","3 Credits","Accounting (ACCT)","Additional accounting theory and practice as it relates to preparation of financial statements."
"ACCT 406","Auditing I","3 Credits","Accounting (ACCT)","Principles of auditing necessary to evaluate the integrity of accounting systems and financial reporting."
"ACCT 421","Advanced Accounting","3 Credits","Accounting (ACCT)","Advanced topics in accounting theory and practice as it relates to the preparation of financial statements."
"ACCT 422","Managerial Accounting for Decision Making","3 Credits","Accounting (ACCT)","Advanced topics in the use of accounting information for managerial decisions."
"ACCT 423","Business Entity Tax Issues","3 Credits","Accounting (ACCT)","Basic concepts of taxation of C Corporations, S Corporations, partnerships, and tax administration procedures."
"ACCT 424","Legal Issues for Accountants & Managers","3 Credits","Accounting (ACCT)","The study of legal issues affecting accountants and managers."
"ACCT 425","Governmental and Nonprofit Accounting","3 Credits","Accounting (ACCT)","Accounting principles and procedures for governmental units and private nonprofit organizations."
"ACCT 426","International Financial Reporting","3 Credits","Accounting (ACCT)","Study of the principles and application of international financial reporting standards."
"ACCT 470","Financial Statement Analysis","3 Credits","Accounting (ACCT)","This course focuses on the analysis of financial statements for profitability and risk assessment and for firm and segment valuation. Restricted to finance majors."
"ACCT 475","Integrated Business Processes with Enterprise Systems","3 Credits","Accounting (ACCT)","The integration, configuration, and operation of accounting information within enterprise resource planning and other databases as applied to current business practices."
