"course_code","course_title","credits","department","description"
"ACCT 100 ","Introduction to Financial Accounting","Units: 3","Accounting (ACCT)","Objectives, basic theory, principles, and methods of financial accounting. Reports as a framework for decision-making. Measuring and reporting financial position regarding income, costs, and revenue."
"ACCT 100AS ","Academic Support for Introduction to Financial Accounting","Unit: 1","Accounting (ACCT)","Prerequisite: Concurrent enrollment inACCT 100*. Student-centered discussion and problem-solving designed to promote understanding of key concepts to enhance student success in ACCT 100 . (CR/NC grading only)"
"ACCT 100SI ","Supplemental Instruction for Introduction to Financial Accounting","Unit: 1","Accounting (ACCT)","Prerequisite: Concurrent enrollment inACCT 100*. Discussion and problem-solving designed to promote understanding of key concepts to enhance student success in ACCT 100 : Introduction to Financial Accounting. Activity. (CR/NC grading only)"
"ACCT 101 ","Introduction to Managerial Accounting","Units: 3","Accounting (ACCT)","Prerequisite:ACCT 100* or equivalent with a grade of C- or better. Introduction to the use of managerial accounting information to plan and control an organization's costs and revenues. Exploration of how quantitative techniques, such as cost-volume-profit analyses, can be used to assist managers in decision-making. Discussion of how to use budgets and variance analyses to evaluate performance."
"ACCT 101AS ","Academic Support for Introduction to Managerial Accounting","Unit: 1","Accounting (ACCT)","Prerequisite: Concurrent enrollment inACCT 101*.ACCT 100* or equivalent with a grade of C- or better. Student-centered discussion and problem-solving for ACCT 101 topics that provide additional practice, such as cost-volume-profit analysis, budgeting, and variances control. (CR/NC grading only)"
"ACCT 101SI ","Supplemental Instruction: Introduction to Managerial Accounting","Unit: 1","Accounting (ACCT)","Prerequisite: Concurrent enrollment inACCT 101*. Discussion and problem-solving for ACCT 101 : Introduction to Managerial Accounting topics that provide additional practice, such as cost-volume-profit analysis, budgeting, and variances control. Activity. (CR/NC grading only)"
"ACCT 301 ","Intermediate Financial Accounting I","Units: 3","Accounting (ACCT)","Prerequisites: Restricted to Business Administration: Concentration in Accounting majors;ACCT 100* with a grade of C or better. A comprehensive treatment of the theory and practice of accounting for assets, income, and the construction of financial statements. Additional topics include current liabilities and accounting changes. (Plus-minus letter grade only)"
"ACCT 302 ","Intermediate Financial Accounting II","Units: 3","Accounting (ACCT)","Prerequisites: Restricted to Business Administration: Concentration in Accounting majors;ACCT 301* with a grade of C or better. A comprehensive treatment of the theory and practice of accounting for investments, long-term liabilities, owners' equity, leases, post-retirement benefits, income taxes, earnings per share, and the cash flow statement. (Plus-minus letter grade only)"
"ACCT 305 ","Cost Accounting","Units: 3","Accounting (ACCT)","Prerequisites: Restricted to upper-division Business Administration: Concentration in Accounting majors;ACCT 101* andACCT 301* with grades of C or better. Cost-volume-profit analysis, cost-accumulation techniques, variances, decentralization, cost allocation, budgeting, and cost estimation. Managerial uses of information for planning, control, and performance evaluation. (Plus-minus letter grade only)"
"ACCT 307 ","Accounting Information Systems","Units: 3","Accounting (ACCT)","Prerequisite: Restricted to Business Administration: Concentration in Accounting majors;ACCT 301* (may be taken concurrently) with a grade of C or better. Development and use of accounting information systems for managerial control and external reporting."
