"subject","course_code","course_name","description","credits"
"Activity/Physical Education Classes","KIN 1","Adapted Physical Activities","1 Structured individualized physical activities to enhance physical/motor fitness and develop an active, health-oriented lifestyle for students unable to participate in the general activity program.    SatisfiesPE: Physical Education.  Repeatable for credit with instructor consent.  Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 2A","Beginning Swimming","1 This course is designed for the non-swimmer and beginning swimmer. It is assumed that all students enrolled in the class have had little or no experience in learning the basic skills of swimming. The course is designed to instruct the student in the basic skills necessary to enable him/her to swim safely in deep water. There are no prerequisites for the course.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 2B","Intermediate Swimming","1 This course is designed to meet the needs of students who have satisfactorily completed the skills involved in beginning swimming.    SatisfiesPE: Physical Education.   Prerequisite(s):Beginning level or its equivalent.  Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 2C","Advanced Swimming","1 This course is designed to refine and extend the development of advanced skills in swimming.    SatisfiesPE: Physical Education.   Prerequisite(s):Intermediate level or its equivalent.  Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 3","Water Polo","1 Fundamental skills, techniques, strategies, rules, and knowledge necessary to safely and correctly play water polo.      Prerequisite(s):Beginning level swimming proficiency.  Grading:Letter Graded   Note(s):Movement Area 5 Team     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 6A","Beginning Pickleball","1 Course is designed to introduce students to pickleball. Students will develop fundamental motor skills and knowledge related to pickleball by practicing a wide range of skills, learning rules and history of the sport.    Activity 2 hours.  SatisfiesPE: Physical Education.   Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 7","Mexican Folklorico Dance","1 Introduction to Mexican Folklorico Dance. Focus is on the development of fundamental Mexican Folk dance skills and knowledge.  Review of the interrelationship of dance culture to origins, holidays, people, and historical context.  Students learn danzas & Mestizo dances from various states and regions of Mexico (e.g. Veracruz Huasteca, Tamaulipas Norte) and indigenous community (e.g. Oaxaca Mixe) dance categories.    SatisfiesPE: Physical Education.  Course may be repeated for credit for up to 4 units.  Grading:Letter Graded   Note(s):Movement Area 3 Dance   Cross-listed with CCS 7 . Chicana Chicano Studies is responsible for scheduling.    Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 8","Skin and SCUBA Diving","2 Both skin and SCUBA diving skills for enjoyment and to understand dangers connected with the sport. Only one unit can be applied for the physical education graduation requirement.   Misc/Lab: Lecture 1 hour/activity 3 hours.  SatisfiesPE: Physical Education.   Prerequisite(s):KIN 2C (or equivalent).  Grading:Letter Graded   Note(s):Movement Area 6 Adventure     Class Schedule|Syllabus Information|University Bookstore","2"
"Activity/Physical Education Classes","KIN 9A","Beginning Sailing","1 Basic skills and safety knowledge in small boats for those with little or no sailing experience.    SatisfiesPE: Physical Education.   Prerequisite(s):Student must be able to swim 100 yards without stopping, tread water for 5 minutes, and exit from an overturned dinghy. Students will be tested for this in the SPX pool.  Grading:Letter Graded   Note(s):Movement Area 6 Adventure     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 10A","Beginning Kayaking","1 Beginning skills and knowledge for those with little or no experience of flat water kayaking. The emphasis will be on safe operation at all times.    SatisfiesPE: Physical Education.   Prerequisite(s):Students must be able to swim 100 yards without stopping, tread water for 5 minutes, and exit from an overturned kayak. Students will be tested for this in the SPX pool.  Grading:Letter Graded   Note(s):Movement Area 6 Adventure     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 11A","Beginning Rowing","1 Basic skills and knowledge for those with little or no experience of sweep rowing or sculling. Initial classes will be on indoor rowing machines, then eight-oared boats will be used. Students will learn both how to row and how to cox; improvement of strength / fitness is central.    SatisfiesPE: Physical Education.   Prerequisite(s):Swim 100 yards without stopping; tread water for 5 minutes; don lifejacket in the water. Tested in a pool.  Grading:Letter Graded   Note(s):Movement Area 5 Team     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 13A","Beginning Rugby","1 This course is designed to familiarize the student with the rules, skills and basic concepts of modern Rugby Union Football. The class will equip the student to be an informed rugby spectator and/ or participant.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 5 Team     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 14A","Beginning Volleyball","1 This course provides the student with the opportunity to learn and develop the basic rules and skills of volleyball, the 6-6 offense and the defense against the 6-6 offense.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 5 Team     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 14B","Intermediate Volleyball","1 This course provides the intermediate student with the opportunity to refine and perfect the basic volleyball skills and to master individual positions when using the 6-2 offense and the defense against the offense.    SatisfiesPE: Physical Education.   Prerequisite(s):Beginning level or its equivalent.  Grading:Letter Graded   Note(s):Movement Area 5 Team     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 14C","Advanced Volleyball","1 This course is designed to teach advanced skills, principles and techniques necessary and fundamental to understanding and playing volleyball.    SatisfiesPE: Physical Education.   Prerequisite(s):Intermediate level or its equivalent.  Grading:Letter Graded   Note(s):Movement Area 5 Team     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 15A","Beginning Basketball","1 This course is designed to assist students in the development of fundamental skills necessary for effective involvement in playing the game of basketball.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 5 Team     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 15B","Intermediate Basketball","1 This course provides the intermediate student with the opportunity to refine and perfect basic basketball skills.    SatisfiesPE: Physical Education.   Prerequisite(s):Beginning level or its equivalent.  Grading:Letter Graded   Note(s):Movement Area 5 Team     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 16A","Beginning Team Handball","1 Development of beginning team handball skills. Knowledge and skills commensurate with playing beginning team handball. Improves the health-related components of fitness through a variety of drills and plays. Also provides an overall historical background of the sport of team handball.    SatisfiesPE: Physical Education   Grading:Letter Graded   Note(s):Movement Area 5 Team     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 17A","Beginning Flag Football","1 Course is designed to introduce students to flag football. Students will develop fundamental motor skills and knowledge related to flag football by practicing a wide range of skills, learning rules and history of the sport.   Activity 2 hours.  SatisfiesPE: Physical Education.   Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 18A","Beginning Handball","1 This course is focused on the development of fundamental handball skills, basic tactics, simple strategies, etiquette and sportsmanship, rules, and their application in beginning games.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 18B","Intermediate Handball","1 Course focuses on improving the quality of fundamental handball skills, learning intermediate handball skills/drills and application, developing intermediate handball tactics and strategies, good sportsmanship, and playing more effective single and double games in different formats.      Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 19A","Beginning Soccer","1 This course is designed to introduce students to the game of soccer, and to provide students with the fundamental ability and knowledge needed to enjoy this game as players and as spectators.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 5 Team     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 19B","Intermediate Soccer","1 Designed for students with previous soccer experience to refine technical skills, enhance offensive and defensive tactical awareness, learn various strategy and game philosophies, and improve conditioning. Develop a greater understanding of the rules of the game with an emphasis on the application of skills and strategy in game play.    SatisfiesPE: Physical Education.   Prerequisite(s):KIN 19A (or equivalent) or Instructor Consent.  Grading:Letter Graded   Note(s):Movement Area 5 Team     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 20A","Beginning Badminton","1 This course is focused on the development of fundamental badminton skills, basic tactics, simple strategies, etiquette, rules, and their application in single and double games.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 20B","Intermediate Badminton","1 This course is focused on improving the quality of fundamental badminton skills, learning intermediate badminton skills and their application, developing intermediate badminton tactics and strategies, good sportsmanship, and playing more effective single and double games in elimination, round robin, and team competitions.    SatisfiesPE: Physical Education.   Prerequisite(s):Completed SJSU beginning badminton class or have equivalent skills/knowledge.  Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 20C","Advanced Badminton","1 This course is focused on improving the quality of fundamental and intermediate badminton skills, learning advanced skills and their application, developing advanced badminton tactics and strategies, good sportsmanship, and playing high level games.    SatisfiesPE: Physical Education.   Prerequisite(s):Completed SJSU intermediate class or show equivalent skills/knowledge.  Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 21A","Beginning Tennis","1 This course is designed to give students a basic understanding of the game of tennis. Students will be given a chance to learn through lecture, demonstration, drilling and match play.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 21B","Intermediate Tennis","1 This course is focused on improving the quality of fundamental tennis skills, learning intermediate tennis skills and drills and application, developing intermediate tennis tactics and strategies, establishing proper manners, and playing more effective single and double games in elimination, round robin, and team competitions.    SatisfiesPE: Physical Education.   Prerequisite(s):Completed SJSU beginning class or have equivalent skills/knowledge.  Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 22A","Beginning Racquetball","1 This course is focused on the development of fundamental racquetball skills, basic tactics, simple strategies, etiquette, rules, and their application in single and double games.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 22B","Intermediate Racquetball","1 This course is focused on improving the quality of fundamental racquetball skills, learning intermediate racquetball skills/drills and application, developing intermediate racquetball tactics and strategies, good sportsmanship, and playing more effective single and double games in different formats.    SatisfiesPE: Physical Education.   Prerequisite(s):Completed SJSU beginning class or have equivalent skills/knowledge.  Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 23A","Beginning Archery","1 This course is designed to introduce the student to the basic skills and concepts, provides the opportunity to learn, practice and analyze correct shooting form and to participate in a variety of archery tournaments.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 23B","Intermediate Archery","1 This course builds upon beginning level skills and knowledge and provides the opportunity to shoot a variety of different archery rounds.    SatisfiesPE: Physical Education.   Prerequisite(s):Beginning level or its equivalent.  Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 24A","Beginning Bowling","1 This course is designed to give students an understanding of the sport of bowling and develop fundamental bowling skills.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 24B","Intermediate Bowling","1 This course is designed to meet the needs of students who have satisfactorily completed the skills in beginning bowling. The course will add more advanced theory and techniques.    SatisfiesPE: Physical Education.   Prerequisite(s):Beginning level or its equivalent.  Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 25A","Beginning Golf","1 Designed for those who have never played golf or who have played very little and have had no basic formal instruction. Provides the student with a sound set of fundamentals to prepare for further instruction, if desired.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 25B","Intermediate Golf","1 Development of intermediate golf skills and knowledge with a focus on technique that facilitates the acquisition of consistent intermediate level performance.    SatisfiesPE: Physical Education.   Prerequisite(s):KIN 25A or equivalent.  Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 27A","Beginning Table Tennis","1 This course is focused on the development of fundamental table tennis skills, basic tactics, simple strategies, etiquette, rules, and their application of in single and double games.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 27B","Intermediate Table Tennis","1 This course is focused on improving the quality of fundamental table tennis skills, learning intermediate table tennis skills and drills and their application, developing intermediate tactics and strategies, good sportsmanship, and playing more effective single and double games in elimination, round robin, and team competitions.    SatisfiesPE: Physical Education.   Prerequisite(s):Completed SJSU beginning class or have equivalent skills/knowledge.  Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 28A","Beginning Gymnastics","1 This course is designed to develop the student’s awareness and performance of basic skills in gymnastics.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 4 Individual/Dual     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 29","Cardio Kickboxing","1 Cardio Kickboxing is a non-contact aerobic conditioning activity combining punches, kicks, traditional aerobic skills, and fitness activities. The course is designed to enhance cardiovascular endurance, muscular strength, and muscular endurance.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 30","Pilates","1 Pilates employs an established exercise protocol designed to develop core strength, flexibility, posture, and range of motion. The course covers the fundamentals of a Pilates workout with an emphasis on breathing, alignment, neutral spine, and core stability.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 31","Body Sculpting","1 Body sculpting employs exercise augmented with moderate weights to enhance fitness. The course is designed to improve muscle tone and endurance, flexibility, balance, and core stability.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 32","Aerobics","1 Aerobics incorporates exercise and music, using large, continuous, rhythmic movements to elevate the heart rate and produce a training effect. The course is designed to improve muscle tone and enhance cardiorespiratory endurance.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 33","Advanced Aerobic Activities","1 Aerobic activities incorporating high intensity interval training, circuit training, cardio kickboxing, power step, and resistance training. This course is designed to enhance cardiorespiratory endurance, muscular strength and muscular endurance.    SatisfiesPE: Physical Education.   Prerequisite(s):KIN 32 or KIN 34 or instructor consent.  Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 34","Step Training","1 Step training is a low-impact aerobic conditioning activity designed to enhance cardiorespiratory endurance, muscular strength, and muscular endurance.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 35A","Beginning Weight Training","1 This course is designed to teach the basic concepts of weight training for muscular strength and endurance. Its goal is to provide students with knowledge about the principles involved in weight training and the health-related components of fitness through a variety of exercises.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 35B","Intermediate Weight Training","1 Designed for individuals with prior training experience and involves higher level exercises. Students will be exposed to a wide variety of machines as well as free weight exercises and will then design a program based on individual needs.    SatisfiesPE: Physical Education.   Prerequisite(s):Beginning level or its equivalent.  Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 36","Conditioning through Cross Training","1 Designed to teach basic concepts of health and fitness by using a variety of exercise modalities to increase cardiovascular fitness and improve full-body strength and power. Students will acquire knowledge about the principles involved with cardiovascular fitness, physical conditioning, and the health and skill related components of physical fitness.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
"Activity/Physical Education Classes","KIN 37","Fitness Walking","1 Fitness walking is a low-impact conditioning activity designed to develop cardiovascular fitness.    SatisfiesPE: Physical Education.   Grading:Letter Graded   Note(s):Movement Area 2 Fitness     Class Schedule|Syllabus Information|University Bookstore","1"
