"code","level","title","credits","subject","description"
"ACC201","Undergraduate","Financial Accounting","3","Accounting","Students will learn the steps of the accounting cycle and how to prepare financial statements in accordance with industry established rules and regulations. Students will develop skills needed to analyze financial accounting information, communicate this information to stakeholders, and understand the accounting procedures that produce this information."
"ACC202","Undergraduate","Managerial Accounting","3","Accounting","Students will explore the financial impact of short-term and long-term business decisions. By learning how accounting and other productivity information can be used to assess and improve performance of an organization, managers will be provided the essential information they need to execute growth strategies and select opportunities that create business value."
"ACC215","Undergraduate","Fundamentals of Financial Accounting","3","Accounting","This course is designed to give students an introduction to financial accounting and reporting techniques and concepts including an overview of the accounting cycle, financial statements and ethical responsibilities of accountants in business."
"ACC225","Undergraduate","Foundations of QuickBooks","1","Accounting","This course will provide an introduction to QuickBooks which is one of the most popular accounting systems used by small businesses. This course will take you through the fundamentals of how this software works. You will learn how to apply the accounting cycle using this software and produce various reports that can be used to provide valuable information to a business. "
"ACC302","Undergraduate","Professional Communication in Accounting","2 - 3","Accounting","Professional Communication in Accounting introduces students to the rhetorical strategies necessary to plan, design, write and distribute texts necessary for professional accounting experiences. Emphasizing the need to address appropriate audience and language, students will be able to create a portfolio of workplace documents representative of their field."
"ACC307","Undergraduate","Intermediate Accounting I","3","Accounting","Review introductory concepts including the accounting cycle, journal and adjusting entries. Learn to address more intricate accounting scenarios such as recording more complex financial statement elements. Apply theoretical frameworks and various accounting standards and regulations to the proper preparation of financial statements."
"ACC308","Undergraduate","Intermediate Accounting II","3","Accounting","Apply accounting rules and methodologies for increasingly complex transactions and elements to create more extensive financial statements. Assess a company’s financial performance using appropriate ratio analysis to support informed decision making."
"ACC309","Undergraduate","Intermediate Accounting III","3","Accounting","Examine reporting and disclosure requirements for complex accounting topics. Analyze the financial impact of changes to an organization based on factors such as stock characteristics, comprehensive income and retained earnings, types of leases and post-retirement benefits. Consider correct disclosure for error corrections, accounting changes and adjustments. Gain perspective on communicating financial information to internal and external stakeholders for informing company decisions."
"ACC311","Undergraduate","Cost Accounting","3","Accounting","In this course, students will gather cost data and behavior trends to support the development of cost reports. Students will analyze the data and communicate findings to stakeholders to support their understanding of business costs and inform business operations and decisions."
"ACC312","Undergraduate","International Managerial Accounting","3","Accounting","The study of foreign currencies and exchange risk management, global organization and control, planning and performance evaluation in multinational enterprises, multinational taxation, global financial statement analysis, and transparency and disclosure in global environment to gain an appreciation and understanding of international managerial accounting.  The above studies will relate to international accounting and reporting considerations, standards, and responsibilities."
"ACC315","Undergraduate","Accounting Information Systems","3","Accounting","The course introduces the student to the fundamentals of accounting information systems and how they function within organizations. Students will explore how accounting information systems facilitate business processes, record transactions, and support internal controls, as well as the functionality of accounting applications and software. Students will learn how accounting information systems are used for data analysis and problem solving."
"ACC317","Undergraduate","Intermediate Accounting I","3","Accounting","In this course, students will take an in-depth look at financial statement elements and the interplay of various financial transactions represented on a financial statement. Students will apply theoretical frameworks and research accounting principles and concepts for the proper preparation and interpretation of financial statements. Students will utilize authentic industry tools and technologies to prepare financial statements and connect concepts learned to the importance of financial information for its users."
"ACC318","Undergraduate","Intermediate Accounting II","3","Accounting","In this course, students will study the liabilities and equities side of the balance sheet and apply accounting concepts for the proper preparation of financial statements. Students will analyze the inflows and outflows of cash for an organization and prepare accurate cash flow statements using direct and indirect methods. Students will utilize authentic tools and technologies to apply accounting principles to a variety of financial reporting situations."
"ACC320","Undergraduate","Microsoft Excel for Accountants","2 - 3","Accounting","Developed specifically for accounting students, this hands-on Microsoft Excel course is designed to teach Excel features, functions, and techniques that are needed in the field of accounting.   Topics include using excel for proper financial statement presentation, computation and presentation of amortization schedules for loans, bonds, and leases with related journal entries, worksheet management, formula usage for computation of financial ratios, creation of charts and pivot tables, usage of excel for capital budgeting tools, and usage of various excel functions and formulas. "
"ACC322","Undergraduate","Governmental and Non-Profit Accounting","3","Accounting","This course covers the accounting principles and procedures applicable to governmental and nonprofit institutions."
"ACC325","Undergraduate","Accounting for Nonprofit Organizations","3","Accounting","Learn how financial information is used to manage and make decisions in a nonprofit organization. Examine generally accepted accounting principles and practices specific to not-for-profit organizations including structure and governance, legal requirements, financial reporting, budgeting, and tax filing."
"ACC330","Undergraduate","Federal Taxation I","3","Accounting","In this course, students will learn about current US tax laws and the Internal Revenue Code (IRC), as well as the relevant source documents, associated with federal tax returns for individuals. Students will research and apply the appropriate tax laws in relation to the specific circumstances and tax liabilities. Students will prepare federal tax returns and communicate various tax return information to stakeholders."
"ACC331","Undergraduate","Federal Taxation II","3","Accounting","A detailed presentation is made of the theory and practice applicable to the preparation of federal income tax returns for S corporations, C corporations and partnerships."
"ACC340","Undergraduate","Controllership","3","Accounting","This course examines the accounting and  interpersonal skills necessary to manage an efficient accounting department.  These skills include processing accounting transactions,  preparing financial statements, recommending improvement in financial operating policies, and monitoring the financial activities in other  departments.  Basic areas of subject coverage include cash management, inventory valuation,  operating budgeting, taxes, insurance, and capital budgeting.  Also included will be the use of  electronic spreadsheets for financial analysis, client-server computing applications,  target costing, disaster recovery planning,  activity based costing, outsourcing, and  managing in a growth environment."
"ACC345","Undergraduate","Financial Statement Analysis/ Business Valuation","3","Accounting","In this course, students will explore the theories, tools, and techniques used to perform fundamental valuations of publicly traded companies. Students will investigate a corporation’s prospects through the analysis of financial documentation. Students will learn how to dissect SEC filings and other financial sources to evaluate organizational health and support business decision making. Students will practice communication skills as they present their analysis to stakeholders to support business decisions."
"ACC350","Undergraduate","Volunteer Income Tax Assistance","3","Accounting","In this course, students will gain an understanding of the guidelines and regulations specific to the Volunteer Income Tax Assistance (VITA) program. The course provides students with the opportunity to become certified under the Volunteer Income Tax Assistance Program sponsored by the IRS. Students will prepare taxes using technology specific to the VITA program and develop communication skills to present information to clients from diverse backgrounds."
"ACC405","Undergraduate","Advanced Accounting","3","Accounting","In this course, students will analyze economic activity of complex business situations as reported within financial statements. Students will evaluate consolidated financial statements for regulatory compliance requirements and accuracy. Students will determine the regulatory requirements needed for the development of financial reports and governmental accounting practices."
"ACC411","Undergraduate","Auditing Principles","3","Accounting","In this course, students will explore the various functions and governing standards required to complete an external audit. Students will apply governing standards to the audit planning process and analyze potential risks and audit strategies for an organization. Students will prepare audit reports based on substantive testing that meet regulatory compliance standards."
"ACC421","Undergraduate","Auditing and Forensic Accounting","3","Accounting","In this course students will learn about classic fraud types and the impact that fraud can have on an organization. Students will identify red flags associated with occupational fraud types and analyze methods to detect, prevent, and deter fraud. Students will discuss the legal impacts of fraud examination procedures."
"ACC423","Undergraduate","Detection/Prevention Fraudulent Financial Statements","3","Accounting","In this course, students will learn how to analyze financial statement fraud to identify and interpret red flags associated with related fraud schemes. Various detection techniques will be used to identify the fraud and assess the risks to an organization. Students will also explore strategies to prevent fraud and make recommendations to stakeholders for approaches to use to mitigate fraud within their organization."
"ACC425","Undergraduate","Interview Techniques/Legal Aspects Fraud","3","Accounting","In this course, students will take a deeper look into the impact of the legal process on fraud investigations within organizations. Students will learn characteristics of fraudsters and analyze the behaviors of individuals who commit fraud. Students will learn about characteristics of a good interview, interview strategies, and questioning techniques which they will apply to various scenarios."
"ACC427","Undergraduate","Investigating with Computers","3","Accounting","In this course, students will learn about common computer fraud schemes and their impact on organizations. Students will determine digital detection and prevention techniques to address cybercrime by learning about authentic digital forensic tools. Students will present their findings and conclusions to internal stakeholders. "
"ACC430","Undergraduate","Data Analytics for Financial Professionals","3","Accounting","This course provides students with an understanding of data analytic thinking and terminology as well as experience with data preparation using analytics tools and techniques. Students will gain the skills necessary to translate accounting and business problems into actionable narratives that can be presented to stakeholders."
"ACC482","Undergraduate","VITA Mentorship","3","Accounting","VITA Mentorship is a hands on class where the student will assist the faculty to mentor and guide accounting students working on VITA client tax returns.  The VITA mentor will also assist in the accuracy review process of tax returns.   "
"ACC485","Undergraduate","Accounting Leadership","0 - 15","Accounting","Hands on class where the student will be an Accounting Lab leader working under the direction of the Accounting Lab Graduate Assistant."
"ACC490","Undergraduate","Accounting Internship","0 - 15","Accounting","This program provides an opportunity for a student to work in public, private or governmental accounting in a supervised and structured work experience."
"ACC496","Undergraduate","Experiential Learning for Accounting","3","Accounting","In this course, students will build on the skills gained throughout the program through experiential learning. Students will apply learning from their accounting program to an authentic industry challenge. Students will determine when and how to use a function within an industry technology to meet needs or challenges specific to the industry. Students will communicate how their career goals align to the skills learned in the accounting program."
"ACC550","Graduate","Cost Accounting","3","Accounting","This course will provide a comprehensive study of the concepts, procedures, and practices of accounting systems that record, classify, and report cost data. These systems are designed to aid in the cost-effective operation of organizations. This course will focus on budgeting, cost data analysis, and accounting tools for planning and control. Additional focus will be placed on relevant cost data analysis for strategic decision making at the executive level of an organization."
"ACC610","Graduate","Financial Reporting I","3","Accounting","In this course, students will be introduced to foundational financial accounting theories and practices, with emphasis placed on standards and compliance with Generally Accepted Accounting Principles (GAAP). Students will learn to analyze financial statements and accounts for advising stakeholders on strategic business decisions. This course will specifically focus on applying accounting methods to current assets and liabilities and long-term assets. This course is part of the financial reporting foundation courses for students who need the required foundational accounting knowledge."
"ACC620","Graduate","Financial Reporting II","3","Accounting","Concepts in this course will concentrate on financial activities and the impact they have on financial statements. These activities will include stockholders’ equity, long-term liabilities, leases, and statement of cash flows. This course is part of the financial reporting foundation courses for students who need the required foundational accounting knowledge."
"ACC630","Graduate","Financial Reporting III","3","Accounting","In this course, students will further explore topics within financial reporting and statements. A focus will be on consolidations and partnerships, along with government, non-profit, and not-for-profit entities. Students will examine these financial statements and gain an understanding of their unique requirements. This course is part of the financial reporting foundation courses for students who need the required foundational accounting knowledge."
"ACC640","Graduate","Auditing","3","Accounting","In this course, students will explore the various aspects of completing an engagement for an audit. Students will apply industry frameworks and governing standards to the audit planning process. Students will apply audit strategies considering risk assessments and internal controls. Students will prepare standard audit reports based on substantive testing, fieldwork, and evidence that meets regulatory compliance standards."
"ACC645","Graduate","Advanced Auditing","3","Accounting","In this course, students will advance their knowledge of auditing topics. Students will apply Standards for Accounting and Review Services to specialized engagements. Students will analyze various attestation reports for compliance with Statements on Standards for Attestation Engagements. Students will describe the ethical and behavioral considerations that apply to auditors."
"ACC646","Graduate","Introduction to Forensic Accounting/ Fraud Exam","3","Accounting","In this course, students will gain a basic understanding of forensic accounting and fraud examination. They will explore the legal requirements for both civil and criminal cases and examine the impacts of fraud on organizations. Students will be introduced to methods of fraud detection and prevention, along with the examination process. This course will cover content that is included in the Certified Fraud Examiner (CFE) certification exam."
"ACC660","Graduate","Controllership","3","Accounting","This course will review the essential functions of a controller within an organization. Specifically, students will examine the process for compiling and analyzing financial and operational information used to determine opportunities for improvement and reduce inefficiencies. Students will explore specific financial data analysis techniques and evaluate how this financial information along with other non-financial factors contributes to the decision making within an organization."
"ACC660X","Graduate","Controllership","2","Accounting","This comprehensive course is designed to help financial managers master the technical, financial, accounting and people management skills necessary for the job of a corporate controller."
"ACC665","Graduate","Governmental and Non-Profit Accounting","3","Accounting","Learn to apply procedures in accounting, financial reporting and budgeting for governmental and non-profit organizations. Prepare, analyze, and interpret these entities' financial statements. Gain experience in how to record assets, liabilities, equity, revenue, and expenditures based on standards set by the Governmental Accounting Standards Board."
"ACC675","Graduate","Control/Audit of Accounting Info System","3","Accounting","New auditing and quality control standards adopted by the PCAOB and the AICPA require auditors to have adequate technical training and must understand the role information technologies play in the maintenance and effective internal control of financial information. Knowledge of EDP auditing and control is particularly important in complying with Section 404 of Sarbanes-Oxley (SOX), which requires auditors to attest to the standards of internal control and any material weaknesses disclosed by senior management.  This course will give auditors the knowledge they need to comply with SOX Section 404 by allowing them to test the process rather than just the product of the financial information system. Select curricular standards set by ISACA will be addressed to assess and to improve auditing and internal control practices."
