"department","code","title","description","credits"
"ACCT - Accounting","ACCT 601","Financial Reporting I","Credits 3. 
3 Lecture Hours.Financial accounting theory and practical applications as related to the preparation and analysis of financial statements, particularly focusing on assets and income determination.Prerequisite:Graduate classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 602","Financial Reporting II","Credits 3. 
3 Lecture Hours.Financial accounting theory and practical applications as related to the preparation and analysis of financial statements, particularly focusing on debt and owner’s equity; topics include reporting issues of leases, retirement benefits, income taxes.Prerequisite:Graduate classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 603","Energy Accounting","Credits 3. 
3 Lecture Hours.Overview of the oil and gas industry and specialized financial accounting procedures associated with the industry; emphasis on accounting for exploration, development, production, depletion and amortization as well as joint operations, asset impairment and retirement obligation; includes reserve accounting/disclosure related to the above topics.Prerequisites:Grade of C or better inACCT 327or approval of instructor.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 604","Auditing","Credits 3. 
3 Lecture Hours.Auditing standards and related auditing procedures; topics include evaluation of internal control, examination of financial statements, and preparation of working papers and auditors’ reports and opinions.Prerequisite:Graduate classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 605","Income Tax","Credits 3. 
3 Lecture Hours.Federal income tax legislation and tax policy issues with an emphasis on taxation of corporations and individuals.Prerequisite:Graduate classification.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 607","Seminar in Auditing","Credits 3. 
3 Lecture Hours.Current issues and research in auditing, attestation and financial disclosures. Classification 6 students may not enroll in this course.Prerequisite:ACCT 407or equivalent.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 608","Internal Auditing","Credits 3. 
3 Lecture Hours.Study of current theory and procedures used by internal auditors in practice; completion of realistic practice case study.Prerequisite:Grade of C or better inACCT 427or equivalent, or approval of instructor.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 610","Financial Accounting","Credits 1 to 3. 
1 to 3 Lecture Hours.Develops a conceptual framework for understanding and using corporate financial statements. Oriented towards the user of financial accounting data (rather than the preparer) and emphasizes the reconstruction of economic events from published financial data. May be repeated for up to 3 hours credit. Classification 6 students may not enroll in this course.Prerequisite:Enrollment is limited to BUAD classification 7 graduate students.","Credits 1 to 3. 
1 to 3 Lecture Hours."
"ACCT - Accounting","ACCT 611","Management of Taxation","Credits 3. 
3 Lecture Hours.Various income taxes on taxable entities. For business and other majors. Classification 6 students may not enroll in this course.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting","ACCT 612","Partnership and Real Estate Taxation","Credits 3. 
3 Lecture Hours.Concepts and principles of partnerships and real estate taxation; use of partnerships and real estate for tax planning. Classification 6 students may not enroll in this course.Prerequisite:ACCT 405.","Credits 3. 
3 Lecture Hours."
