"department","code","title","description","credits"
"AALO - Arabic & Asian Language (AALO)","AALO 285","Directed Studies","Credits 1 to 4. 


1 to 4 Other Hours.Individual supervision of readings or assigned projects in an Asian Language, selected for each student individually; written or oral reports.Prerequisite:Approval of Arabic and Asian Language Office Director.","Credits 1 to 4. 


1 to 4 Other Hours."
"AALO - Arabic & Asian Language (AALO)","AALO 289","Special Topics in...","Credits 1 to 4. 
1 to 4 Lecture Hours. 
0 to 4 Lab Hours.Selected topics in an identified area of an Asian language. May be repeated for credit.Prerequisite:Approval of Arabic and Asian Language Office Director.","Credits 1 to 4. 
1 to 4 Lecture Hours. 
0 to 4 Lab Hours."
"AALO - Arabic & Asian Language (AALO)","AALO 485","Directed Studies","Credits 1 to 4. 


1 to 4 Other Hours.Individual supervision of readings or assigned projects selected for each student individually; written or oral reports.Prerequisite:Approval of Arabic and Asian Language Office Director.","Credits 1 to 4. 


1 to 4 Other Hours."
"AALO - Arabic & Asian Language (AALO)","AALO 489","Special Topics in...","Credits 1 to 4. 
1 to 4 Lecture Hours. 
0 to 4 Lab Hours.Selected topics in an identified area of an Asian language. May be repeated for credit.Prerequisite:Approval of Arabic and Asian Language Office Director.","Credits 1 to 4. 
1 to 4 Lecture Hours. 
0 to 4 Lab Hours."
"ACCT - Accounting (ACCT)","ACCT 200","Opportunities in Accounting","Credit 1. 
1 Lecture Hour.Introduction to career paths in accounting and assessment aptitudes and interests with respect to these career paths.Prerequisite:Business honors, business administration, or accounting majors.","Credit 1. 
1 Lecture Hour."
"ACCT - Accounting (ACCT)","ACCT 209","Survey of Accounting Principles","Credits 3. 
3 Lecture Hours.Accounting survey for non-business majors; non-technical accounting procedures, preparation and interpretation of financial statements and internal control. May not be used to satisfy degree requirements for majors in business. Business majors who choose to take this course must do so on a satisfactory/unsatisfactory basis.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting (ACCT)","ACCT 210","Survey of Managerial and Cost Accounting Principles","Credits 3. 
3 Lecture Hours.A survey of managerial and cost accounting for non-business majors; accounting responsibility of the manager, job and process cost systems, budgeting, cost-volume-profit analysis for decision-making. May not be used to satisfy degree requirements for majors in business. Business majors who choose to take this course must do so on a satisfactory/unsatisfactory basis.Prerequisite:ACCT 209orACCT 229.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting (ACCT)","ACCT 229","Introductory Accounting","Credits 3. 
3 Lecture Hours.(ACCT 2301, 2401) Introductory Accounting.   Analysis, recording and reporting of business transactions; partnership and corporation accounting; analysis and use of financial statements.Prerequisite:Business, Agribusiness, and Maritime Business Administration majors; also taught at Galveston campus.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting (ACCT)","ACCT 230","Introductory Accounting","Credits 3. 
3 Lecture Hours.(ACCT 2302, 2402) Introductory Accounting.   Continuation ofACCT 229. Use of budgets; introduction to cost accounting; cost control techniques and methods of measuring performance.Prerequisites:ACCT 229; Business, Agribusiness, and Maritime Business Administration majors; also taught at Galveston campus.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting (ACCT)","ACCT 321","Professional Development Seminar","Credits 2. 
2 Lecture Hours.Exposure to professional issues of professional accounting practice using a workshop format.Prerequisite:Admission to Professional Program.","Credits 2. 
2 Lecture Hours."
"ACCT - Accounting (ACCT)","ACCT 322","Professional Development Seminar – BBA","Credit 1. 
1 Lecture Hour.Exposure to professional issues in the practice of accounting, including potential careers and employers.Prerequisite:Accounting major or approval of instructor.","Credit 1. 
1 Lecture Hour."
"ACCT - Accounting (ACCT)","ACCT 327","Financial Reporting I","Credits 3. 
3 Lecture Hours.Study of theoretical basis for financial accounting concepts and principles related to financial reporting; emphasizing income measurement and accounting for assets. BBA accounting majors must earn a minimum grade of C for graduation.Prerequisite:Grade of C or higher inACCT 229; admission to upper division in Mays Business School.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting (ACCT)","ACCT 328","Financial Reporting II","Credits 3. 
3 Lecture Hours.Continued study of accounting concepts and principles related to reporting long-debt and owners' equity; including reporting issues of leases, retirement benefits, income taxes and international accounting standards.Prerequisite:ACCT 327with a grade of C or better.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting (ACCT)","ACCT 329","Cost Management and Analysis","Credits 3. 
3 Lecture Hours.Theory, concepts and methods relating to use of information and design of systems to aid managers in planning, controlling, decision making, evaluating performance and reporting financial results.Prerequisite:ACCT 315 orACCT 327with a grade of C or better.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting (ACCT)","ACCT 403","Energy Accounting","Credits 3. 
3 Lecture Hours.Overview of the oil and gas industry and specialized financial accounting procedures associated with the industry; emphasis on accounting for exploration, development, production, depletion and amortization, joint operations, asset impairment and retirement obligation; includes reserve accounting/disclosure related to the above topics.Prerequisite:ACCT 327with C or better.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting (ACCT)","ACCT 405","Income Tax","Credits 3. 
3 Lecture Hours.Introduction to federal income tax legislation pertaining primarily to corporations and individuals.Prerequisite:ACCT 327with a grade of C or better.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting (ACCT)","ACCT 407","Auditing","Credits 3. 
3 Lecture Hours.Introduction to auditing theory and procedures pertaining to financial statements, in the context of both external auditing, by certified public accountants, and internal auditing; preparation of working papers.Prerequisite:ACCT 327with a grade of C or better.","Credits 3. 
3 Lecture Hours."
"ACCT - Accounting (ACCT)","ACCT 408","Internal Auditing","Credits 3. 
3 Lecture Hours.Reading and evaluation of current theory and procedures used by internal auditors; selected case studies; statistical methods of forming auditing judgment.Prerequisite:Grade of C or better inACCT 427.","Credits 3. 
3 Lecture Hours."
