"course_code","course_title","credits","department","description"
"ACC 2301","Accounting in Organizations and Society.","3 Credit Hours. 3 Lecture Contact Hours. 0 Lab Contact Hours.","Accounting (ACC)","Introductory accounting course for non-business majors. Describes the role of accounting as an information system essential for the operation of today’s organizations. Focus is on (1) how data is captured and processed to provide information for decision-making, and (2) how the information provided can be used for decision-making."
"ACC 2361","Introduction to Financial Accounting.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","This course introduces financial accounting concepts and their application in the accounting process for business organizations, including financial statement preparation, analysis and communication of financial information and related ethical responsibilities. Prerequisite:MATH 1315orMATH 1319orMATH 1329orMATH 2321orMATH 2331orMATH 2417orMATH 2471or HON 3391 or ACT Mathematics score of 27 or better or SAT Mathematics score of 580 or better or SAT Math Section Score 600-800."
"ACC 2362","Introduction to Managerial Accounting.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","This course provides an introduction to the use of accounting information as an aid to management decision making and budgeting.  Students will gain an appreciation of control processes and an understanding of accounting reports and related ethical responsibilities.  Prerequisites:ACC 2361andISAN 1323and (MATH 1315orMATH 1319orMATH 1329orMATH 2321orMATH 2331orMATH 2417orMATH 2471or HON 3391); all with a grade of ""D"" or better."
"ACC 3305","Financial Accounting and Reporting.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","This course expands upon financial accounting concepts introduced inACC 2361by emphasizing the use of financial accounting principles to prepare and analyze an organization’s financial statements and provides an in-depth study of the accounting cycle. Prerequisites:ACC 2361with a grade of “C” or better andISAN 1323with a grade of ""D"" or better and a minimum 2.0 Overall GPA."
"ACC 3308","Survey of Income Tax.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","This course is an introduction to federal income tax provisions, concepts and issues concerning individuals, business and property transactions. The coursework focuses on income and expense recognition as well as tax planning opportunities. Prerequisite:ACC 3305with a grade of ""C"" or better orACC 3313with a grade of ""D"" or better and a minimum 2.0 Overall GPA."
"ACC 3313","Intermediate Accounting I.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","An in-depth study of financial accounting concepts and standards with emphasis on current theory and practices relating to corporate financial statements particularly stressing elements of the balance sheet. Prerequisite:ACC 3305with a grade of “B” or better and a minimum 2.0 Overall GPA."
"ACC 3314","Intermediate Accounting II.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","This course is a continuation ofACC 3313and provides an in-depth study of advanced financial accounting topics. Prerequisite:ACC 3313with a grade of “B” or better and a minimum 2.0 Overall GPA."
"ACC 3323","Data Analytics for Accounting.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","This courses introduces students to the application of data analytics in accounting. The focus is on developing a data analytics mindset so that students can critically think through the planning, analysis, and interpretation of data analysis results before making and communicating a professional judgment or decision.  Prerequisite:ACC 3305with a grade of ""B"" or better and [QMST 2333 orMATH 2328] with a grade of ""D"" or better and a minimum 2.0 Overall GPA."
"ACC 3363","Governmental Accounting.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","A study of concepts and techniques of fund accounting, and financial reporting for governmental and not-for-profit organizations including state and local government, universities, hospitals, and other public sector entities. Prerequisite:ACC 3313with a grade of “B” or better."
"ACC 3365","Cost/Managerial Accounting.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","The study of cost/management accounting within the manufacturing and merchandising environment. Includes the analysis of cost accumulation, planning, and control within the organization. Specific topics emphasized are job order and process costing; standard costing, standard costing and variance analysis; absorption and direct costing; budgetary procedures; cost/volume profit analysis; and capital budgeting techniques. Prerequisite:ACC 2362with a grade of ""C"" or better and [QMST 2333 orMATH 2328] with a grade of ""D"" or better and a minimum 2.0 Overall GPA."
"ACC 3385","Accounting Systems.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","A study of elements of theory, procedures, and practice relating to system design and implementation for manual and computerized accounting information systems. Emphasis placed on system selection, data entry, file structure, internal control implementation, and report generation for various information end-users. Prerequisite:ACC 3305orACC 3313with a grade of ""B"" or better and CIS 3380 with a grade of ""D"" or better and a minimum 2.0 Overall GPA."
"ACC 4313","Auditing and Internal Controls.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","This course provides a study of the theory and practices relating to auditing. The course emphasizes the procedures used to evaluate the effectiveness of risk management and control processes, including prevention and detection of fraud. Prerequisite:ACC 3385andACC 3313with grades of “C” or better and a minimum 2.0 Overall GPA."
"ACC 4390A","International Accounting.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","This course introduces students to accounting issues unique to multinational enterprises and international business activity. Financial accounting practices are compared across different countries. The development of international accounting standards is also explored. (MULT) Prerequisite:ACC 3313with a grade of ""C"" or better."
"ACC 5315","Selected Topics in Financial Accounting.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","The study of specialized financial accounting topics, existing and prospective, necessary for an advanced understanding of financial reporting. Topics include: pensions and post-retirement benefits, deferred taxes, derivatives, share-based payments, interim and segment reporting and emerging issues of the Emerging Issues Task Force. Prerequisite:ACC 3314with a grade of “B” or better."
"ACC 5316","Advanced Accounting.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","A study of accounting for business combinations and consolidated financial statements. Additional selected topics may include accounting for multinational operations, interim reporting, SEC reporting, partnership and governmental and not-forprofit accounting. Prerequisite:ACC 3313with a grade of “B” or better."
"ACC 5320","Auditing.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","A study of the underlying theory of external financial auditing including professional ethics, auditing standards and procedures, and the role of auditor’s judgment. (Suggested for CPA eligibility). Prerequisite:ACC 4313with a grade of “B” or better. Corequisite:ACC 3314with a grade of ""B"" or better."
"ACC 5323","Accounting Data Analytics.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","This course introduces students to the process of making decisions using data-driven techniques. Specifically, this course emphasizes question formulation, hypothesis development, data analysis, model building, and model testing using business case studies.  Prerequisite:ACC 3313with a grade of ""C"" or better."
"ACC 5340","Individual Income Tax.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","A study of the tax concepts and issues involved in an individual’s employment and personal life, and in sole proprietorships, property transactions, tax administration and tax practice. Regulatory and ethical issues are incorporated into the discussion. This course may not count as an elective in any master's program in the McCoy College of Business. Prerequisite:ACC 3313with a grade of “B” or better."
"ACC 5350","Professional Accounting Research.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","This course provides a study of the sources of authoritative standards in financial accounting. The course develops procedures for identifying the applicable accounting issues, locating appropriate authority, and communicating the results of professional research. Corequisite:ACC 3314with a grade of “B” or better."
"ACC 5352","Financial Statement Reporting and Analysis.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","A study of financial statement reporting and analysis. Use of tools and skills will be used to analyze and interpret financial reports for assessing financial performance of firms to facilitate investment, lending, and other financial decisions in a variety of business contexts. Prerequisite:ACC 3305orACC 5361either with a grade of ""B"" or better."
"ACC 5355","IT Auditing.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","A study of the IT audit: The process of collecting and evaluating evidence of IT system practices and operations. The course develops understanding of the procedures to test whether the systems are safeguarding assets, maintaining data security and operating effectively and efficiently. Prerequisite:ACC 3305with a grade of ""B"" or better."
"ACC 5357","Regulation and Professionalism.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","This course will cover the professional and legal responsibilities and liabilities of the accounting profession and tax preparers; the commercial law applicable to business transactions; and the legal structure of business organizations.  It will also provide a basic overview of corporate and partnership taxation, focusing on current topics and developments.  Prerequisites:ACC 3313and [ACC 4328  orACC 3308] both with a grade of ""B"" or better."
"ACC 5361","Accounting Analysis for Managerial Decision Making.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","Use of accounting information for improving managerial decision making. Emphasis is on understanding the practice of business management, budgeting, cost behavior, and operational, internal, and management control. Prerequisite: B A 5352 with a grade of ""C"" or better."
"ACC 5362","Cost and Managerial Accounting Theory.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","A study of recent developments and topics in the area of cost and managerial accounting. Includes a discussion of quantitative techniques and their applicability to accounting problems. Prerequisites:ACC 3365orACC 5361either with a grade of “B” or better."
"ACC 5366","Business Entity Taxation.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","Federal income tax provisions affecting business decisions, with an emphasis on C Corporations, Limited Liability Companies, and Partnerships. An introduction to the choice, formation, organization, operation and distribution rules or the preceding business entities. Prerequisite:ACC 3313and [ACC 4328  orACC 3308] both with grades of ""B"" or better."
"ACC 5369","Special Studies in Accounting.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","Directed study and research on selected accounting topics, including the development of accounting thought and research in; advanced tax topics, international accounting, professional ethics and managerial and financial accounting. Courses will be offered as independent instruction. Prerequisite: Instructor approval."
"ACC 5370","Internship in Accounting.","3 Credit Hours. 
0 Lecture Contact Hours. 
20 Lab Contact Hours.","Accounting (ACC)","Experiential learning during which the students work in accounting. This work experience may be in public, industry, or governmental accounting units. The student is immersed in a variety of intensive work assignments with increasing levels of responsibility. Students takingACC 5370for credit may not takeACC 5680for credit. Prerequisite: Instructor approval."
"ACC 5372","Tax Research.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","An examination of the sources of tax authority, which include its primary sources (legislative, judicial, and administrative), as well as secondary sources. The course also develops procedures for identifying the applicable tax issues, locating appropriate tax authority, and communicating the results of tax research. Prerequisite: ACC 4328 orACC 3308with a grade of ""B"" or better. Corequisite:ACC 3314with a grade of ""B"" or better."
"ACC 5373","Fraud Examination.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","An introduction to the theory and techniques used to prevent, detect, and solve occupational and financial fraud and corruption schemes.  Includes forensic accounting procedures, interviewing techniques, rules of evidence, documentary evidence gathering, report writing and other aspects of litigation support. Prerequisite:ACC 3305orACC 3313with a grade of ""B"" or better."
"ACC 5375","Business Information Consulting.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","Integrative capstone for the MSAIT program using principles and concepts applied through the analysis and presentation of case studies dealing with current issues or emerging trends in the fields of accounting and information technology for the accounting professionals serving as consultants. Prerequisite:ACC 3305with a ""B"" or better."
"ACC 5377","Partnership Taxation.","3 Credit Hours. 
3 Lecture Contact Hours. 
0 Lab Contact Hours.","Accounting (ACC)","A comprehensive study of the tax implications of conducting a business as a partnership or as a limited liability company. Life-cycle analysis and tax planning considerations are emphasized. Prerequisite: ACC 4328 or ACC  3308 orACC 5366with a grade of ""B"" or better."
