"subject","level","course_code","course_name","description","credits"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 1301","Economics, Ecology, and Ethics","An introduction to economics for non-AAEC majors focusing on ecology, social ethics, and inequality.  Fulfills core Social and Behavioral Sciences and multicultural requirements.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 2305","Fundamentals of Agricultural and Applied Economics","TCCNS:[AGRI2317]Fundamental economic principles and their application to problems and issues in the food, fiber, and natural resource sectors of the economy.  Fulfills core Social and Behavioral Sciences requirement.   F, S, SS.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 2401","Agricultural Statistics","Principles and procedures involved in the analysis of agricultural data including indices of central tendency and dispersion; probability; sampling; significance tests; analysis of variance; and correlation and simple linear regression.  Partially fulfills core Mathematics requirement (in conjunction with a mathematics course).   F, S, SS.","4 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 3100","Seminar","Prerequisite: Junior standing. Informs students of job opportunities available to agricultural and applied economics graduates. Guest speakers and written assignments will help graduates be successful in entering the job market.     F, S.","1 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 3301","Agribusiness Marketing","Prerequisites: AAEC 2305 or ECO 2301 and ENGL 1302 . Marketing of raw materials and processed products from the management perspective. Market structure, conduct, performance. Marketing channels.     F, S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 3302","Agribusiness Finance","Prerequisites: AAEC 2305 , C or better in MATH 1320 or MATH 1330 . Basic principles of finance emphasizing the mathematics of finance, credit, and financial analysis.     F, S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 3303","Cooperatives","Organization and operation of agricultural and other cooperatives.     S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 3305","Introduction to Sales","Principles and methods used in professional selling for the business environment. Includes concepts of human behavior and professional selling techniques.      F, S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 3306","The Economics of the American West","Prerequisite: Junior standing. Introduces economic concepts to explore various historical forms of social organization in the American West.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 3315","Agricultural Price Theory","Prerequisites: AAEC 2305 or ECO 2301 and MATH 1331 . Basic economic principles with applications to agricultural pricing problems and resource allocations.     F, S, SS.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 3316","Applied Risk Analysis and Management","Prerequisite: AGSC 2301 and AAEC 3315 . Familiarizes students with the concepts of risk and provides tools for applied analysis of risk and risk management, especially as related to biological production and markets.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4000","Internship in Agricultural and Applied Economics","Prerequisite: Sophomore standing and approval. Supervised study providing in-service training and practice in business and organizations.     F, S, SS.","V1-12 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4101","Current Problems in Agricultural and Applied Economics","Prerequisite: Senior standing and instructor consent. Topics may vary. May be repeated twice for credit.    F, S, SS.","1 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4301","Special Problems in Applied Economic Analysis","Prerequisite: Instructor consent. Individual instruction in analysis of a research problem. May be repeated with the approval of the department.    F, S, SS.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4302","Statistical Methods in Agricultural Research","Prerequisites: MATH 1331 , AAEC 2401 or MATH 2300 or MATH 2345 . Advanced agricultural statistical analysis related to research methods using probability theory; tests of statistical significance; multiple correlation and regression; analysis of covariance; and experimental design.     S, SS.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4303","Property Appraisal","Prerequisites: AAEC 2305 or ECO 2301 . Factors governing property prices and valuation. Appraisal of property for use, sale, and other purposes.     F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4304","Agribusiness Logistics","Prerequisite: AAEC 2305 . Logistics and supply chain management course about managing relationships across the complex agribusiness networks that today’s supply chains have become.     S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4305","Agricultural and Public Policy","Prerequisite: AAEC 3315 . Historical development and economic analysis of public programs and policies affecting the food and fiber sector and the environment.   (CL)  F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4306","International Agricultural Trade","Prerequisite: AAEC 3315 . Economic principles of interregional and international trade, location, and inter-area competition in products and services.   (CL)  S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4309","Sustaining Global Ecology, Natural Resources and Economy","Prerequisite: Junior standing. Challenges to global markets and environment across diverse systems and histories.  Fulfills multicultural requirement.   F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4312","Applied Optimization Methods","Prerequisite: AAEC 3315 . Study of techniques applicable to economic optimization problems, including mathematical optimization and linear programming. Emphasis on problem solving.     F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4313","Natural Resource Economics","Prerequisite: AAEC 3315 . Economics of natural resource use and allocation including land economics, economics of water development, and environmental economics.   (CL)  S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4315","Strategic Agribusiness Management","Prerequisite: AAEC 2305 and sophomore standing. Provides key insights and information necessary to achieve success in agribusiness management in a collaborative and interactive manner. Provides information on the logic and methods of strategic analysis, business strategy development and strategic decision-making tools for agribusiness.     F.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4316","Agricultural Financial Analysis","Prerequisite: AAEC 3302 or FIN 3320 . Principles and procedures in managing financial and credit resources; nature, purposes, and use of financial statements, budgets, and credit instruments; and criteria for decision making in borrowing and lending.     S.","3 Semester Credit Hours"
"AAEC - Agricultural and Applied Economics ","Undergraduate Courses","AAEC 4317","Commodity Futures Trading and Analysis","Prerequisites: AAEC 2305 or ECO 2301 . History and characteristics of commodity futures markets, hedging and speculation, and use of futures as a management tool.     F, S.","3 Semester Credit Hours"
