"course_code","course_title","credits","department","description"
"LAWW 4000V","Entertainment Law","1-6 Hour","Law (LAWW) courses","Examines the legal principles and relationships of the entertainment industry, with a primary emphasis on the music industry; provides an introduction to the practice of entertainment law and the negotiation of entertainment contracts; highlights a variety of legal and practical issues that arise when representing clients in the entertainment industry. (Typically offered: Irregular)"
"LAWW 40103","Legal Research & Writing I","3 Hours","Law (LAWW) courses","An introduction to the special problems posed by the legal analysis and the expression of the results of that process. The primary emphasis will be on basic legal analysis techniques, basic legal writing skills, and proper citation form. Students will complete a series of writing assignments. (Typically offered: Fall)"
"LAWW 40204","Contracts","4 Hours","Law (LAWW) courses","Formation and enforcement by litigation and commercial arbitration of commercial and family agreements. Mutual assent or consideration; third-party beneficiaries; assignments; joint obligation; performance; anticipatory breach; discharge of contractual duties; and the Statute of Frauds. (Typically offered: Irregular)"
"LAWW 40504","Property","4 Hours","Law (LAWW) courses","This course deals with the creation and transfer of rights over property. The primary emphasis will be on entitlements in land. Subject to variations among professors, topics will include the rights of landowners to exclude others, estates in land, co-ownership, landlord-tenant law, real estate and personal property transactions, and servitudes. (Typically offered: Irregular)"
"LAWW 4060V","Upper Level Writing","1-3 Hour","Law (LAWW) courses","Second year students must take at least one 2 or 3-hour course in upper level research and writing which has been certified by the faculty as an Upper Level Writing course. The course, which is constructed around a special topic or specific area of the law, focuses on writing or drafting. Writing component accounts for at least 2/3 of the final grade.   Prerequisite:LAWW 40103andLAWW 41103. (Typically offered: Fall, Spring and Summer) May be repeated for up to 10 hours of degree credit."
"LAWW 40704","Criminal Law","4 Hours","Law (LAWW) courses","Deals with the questions of what conduct society punishes through a criminal code and of the appropriate punishment for the forbidden conduct. In this context the course includes an analysis of the theories of punishment, the definitions of various crimes, the defenses available to one charged with criminal conduct, and the limitations placed by the Constitution on governmental power in the criminal law area. Throughout the course, special emphasis is placed on the legislature's role in creating statutes alongside the judiciary's corresponding role in interpreting those statutes. (Typically offered: Irregular)"
"LAWW 41004","Civil Procedure","4 Hours","Law (LAWW) courses","Study of the process of civil litigation from preliminary matters such as court selection and jurisdiction, through joinder of parties and discovery techniques, to disposition of cases and finality of judgments. Some attempt is made to cover the antecedents of modern procedure; where appropriate, suggestions for reform are developed in class discussion.  Emphasis is on the Federal Rules of Civil Procedure. (Typically offered: Fall)"
"LAWW 41103","Legal Research & Writing II","3 Hours","Law (LAWW) courses","An introduction to persuasive writing techniques and intermediate computer research. Student will write a full appellate brief and deliver an oral argument. Prerequisite:LAWW 40103. (Typically offered: Spring)"
"LAWW 41404","Torts","4 Hours","Law (LAWW) courses","An introduction to basic principles of liability for harm to persons and property. The course analyzes various categories of tortious conduct, defenses and immunities, damages, and underlying principles and policies justifying liability. (Typically offered: Irregular)"
"LAWW 41703","Criminal Procedure: Investigations","3 Hours","Law (LAWW) courses","Generally this course focuses on: (1) criminal investigation practices, more precisely, contacts between the police and persons suspected or accused of crime, at the time of or shortly before and after arrest; (2) the federal constitutional rights of suspects in their contacts with the police or, stated another way, the federal constitutional restrictions (or lack of restrictions) on the police, based on the 4th, 5th, 6th, and 14th amendments; (3) the exclusionary rule, which limits the admissibility of evidence obtained by the police from suspects in violation of their federal constitutional rights; and (4) United States Supreme Court jurisprudence. (Typically offered: Irregular)"
"LAWW 41802","Upper Level Writing - Business Drafting","2 Hours","Law (LAWW) courses","ULW-Business Drafting is an advanced writing course that takes students through a number of writing assignments. It is geared at teaching students to produce prescriptive writing, as oppose to predicting how the law would apply or persuading a reader about how the law should apply. This class therefore requires students to use information that they have gained in other classes, notably Business Organizations, and use it in drafting appropriate documents ranging from organizational forms, to documents describing how a business is to be operated, to commercial contracts. Students will also work on professionally communicating with various constituents such as clients and other attorneys about the contents of and rationale behind drafting choices in these documents. Prerequisite:LAWW 42904. (Typically offered: Irregular)"
