"course_code","course_title","credits","department","description"
"ACCT 20103","Accounting Principles","3 Hours","Accounting (ACCT)","Introduction of the overall purpose, meaning, interpretation, and use of accounting information. The course focuses on understanding financial statements, and the production and use of accounting information in planning, controlling and decision making. Prerequisite:  (Non-business majors: (ISYS 11203with a grade of C or better) orDASC 10003orASTM 29003) andMATH 22003or higher with a grade of C or better), or (Business majors: (ISYS 11203with a grade of C or better)),BUSI 11101with a grade of C or better, and (MATH 20503orMATH 24004each with a grade of C or better)). (Typically offered: Fall, Spring and Summer)"
"ACCT 201H3","Honors Accounting Principles","3 Hours","Accounting (ACCT)","Introduction of accounting as an information system with emphasis on processing and presenting information in the form of financial statements for use in decision making. The course emphasizes business processes and double entry accounting. This course is equivalent toACCT 20103. Prerequisite:  (Non-business majors: Honors Standing, (ISYS 11203with a grade of C or better)), andMATH 22003or higher with a grade of C or better) or (Business majors: Honors standing, (ISYS 11203with a grade of C or better)),BUSI 11101with a grade of C or better, and (MATH 20503orMATH 24004with a grade of C or better)). (Typically offered: Spring)This course is equivalent toACCT 20103."
"ACCT 20203","Accounting Principles II","3 Hours","Accounting (ACCT)","Overview of accounting as an information system with emphasis on processing and presenting information in the form of financial statements for use in decision making. The course emphasizes business processes and double entry accounting. Prerequisite:ACCT 20103with a grade of C or better. (Typically offered: Fall, Spring and Summer)"
"ACCT 202H3","Honors Accounting Principles II","3 Hours","Accounting (ACCT)","In this course we study managerial accounting concepts and their use in business decisions. We will examine the development and analysis of cost information for management use in decision-making, income determination, and performance evaluation. Prerequisite:ACCT 20103with a grade of C or better and honors standing. (Typically offered: Fall, Spring and Summer)This course is equivalent toACCT 20203."
"ACCT 24003","Accounting Fundamentals for Planning and Control","3 Hours","Accounting (ACCT)","Use of accounting information for planning and control, including interpretation of financial statements and fundamentals of managerial accounting. Topics include financial statement structures and analysis, profitability and cash flow analysis, cost behaviors, production cost analysis, budgeting, standard costs and performance reporting, sources and uses of corporate capital, and other related topics. Walton College majors are not eligible to register for the course. No degree credit for Walton College majors. (Typically offered: Fall and Spring)"
"ACCT 3100V","Accounting Internship","1-3 Hour","Accounting (ACCT)","This class is designed to give students an internship opportunity to combine their formal academic preparation with an exposure to the accounting profession.  Prerequisite:  Department consent andACCT 37203with a grade of C or better. (Typically offered: Spring) May be repeated for up to 3 hours of degree credit."
"ACCT 310HV","Honors Accounting Internship","1-3 Hour","Accounting (ACCT)","This class is designed to give students an internship opportunity to combine their formal academic preparation with an exposure to the accounting profession.  Prerequisite:  Honors standing, Department consent andACCT 37203with a grade of C or better. (Typically offered: Fall, Spring and Summer) May be repeated for up to 3 hours of degree credit.This course is equivalent toACCT 3100V."
"ACCT 35303","Accounting Technology","3 Hours","Accounting (ACCT)","This course provides an overview of accounting information systems and illustrates the importance of technology to accountants.  Students are exposed to a variety of information technologies including manual, file-oriented, and database systems.  The relative advantages and disadvantages of each type of system are highlighted and discussed. Prerequisite:ACCT 20103with a grade of B or better. (Typically offered: Fall and Spring)"
"ACCT 35403","Accounting Analytics","3 Hours","Accounting (ACCT)","This course provides students with an overview of the data analytics process in accounting: asking appropriate accounting questions, finding and mastering appropriate accounting data to address those questions, performing test analysis and communicating the results of the data through data visualizations. Extensive hands-on, experiential learning using short Excel and Tableau labs is a key part of the course. Basic knowledge of excel is recommended. Prerequisite:   (Non-business majors: (ACCT 20103with a grade of B or better) and (INEG 23104orSTAT 30133with a grade of C or better)) or (Business majors: (ACCT 20103with a grade of B or better) and (BUSI 10303with a grade of C or better)). (Typically offered: Fall and Spring)"
"ACCT 37203","Intermediate Accounting I","3 Hours","Accounting (ACCT)","This course is designed to study the theoretical basis for financial accounting concepts and principles related to financial reporting. This course emphasizes researching technical accounting pronouncements for application to external financial reporting issues. Prerequisite:ACCT 20103with a grade of B or better. (Typically offered: Fall and Spring)"
"ACCT 37503","Intermediate Accounting II","3 Hours","Accounting (ACCT)","This is the second financial accounting course designed to continue study of financial accounting concepts and principles. This course emphasizes research of technical accounting pronouncements for application to external financial reporting issues.  Prerequisite:ACCT 37203with a grade of C or better. (Typically offered: Fall and Spring)"
"ACCT 38403","Fundamentals of Taxation I","3 Hours","Accounting (ACCT)","Introduction to federal income taxation with a focus on individuals, including basic tax concepts, income tax principles applicable to individual taxpayers, primary tax law authorities, tax research techniques, and tax planning strategies. Prerequisite:ACCT 20103with a grade of B or better. (Typically offered: Fall and Spring)"
"ACCT 400H3","Honors Accounting Colloquium","3 Hours","Accounting (ACCT)","Explores events, concepts and/or new developments in the field of accounting. Prerequisite:  Honors standing, Senior standing andACCT 37203with a grade of C or better. (Typically offered: Fall)"
"ACCT 4100V","Special Topics in Accounting","1-3 Hour","Accounting (ACCT)","Explore current events, concepts and new developments relevant to Accounting not available in other courses.  Prerequisite: Department consent. (Typically offered: Irregular) May be repeated for up to 6 hours of degree credit."
"ACCT 412H3","Professional Ethics and Corporate Governance","3 Hours","Accounting (ACCT)","An examination of various aspects of accounting and business ethics including ethical theories; ethical reasoning; ethical values - including integrity, objectivity, auditor independence, and other values relevant for accountants; and ethics codes. The course provides students with a framework of ethical reasoning, professional values and attitudes for exercising professional skepticism and other behavior that is in the best interest of the public and accounting profession. Aspects of corporate governance related to establishing an ethical corporate culture will also be addressed. Prerequisite:  Senior standing, Honors standing, andACCT 37203with a grade of C or better. (Typically offered: Spring)"
"ACCT 42003","Fundamentals of Taxation II","3 Hours","Accounting (ACCT)","Study of federal income taxation with a focus on entities other than individuals (C corporations, S corporations, partnerships, estates, and trusts) as well as an introduction to federal transfer taxes, state and local taxes, and multinational tax issues, including applicable tax principles and continued development of tax research techniques, and tax planning strategies.  Prerequisite:ACCT 37203andACCT 38403each with a grade of C or better. (Typically offered: Fall and Spring)"
"ACCT 46703","Product, Project and Service Costing","3 Hours","Accounting (ACCT)","Cost systems with emphasis on information generation for cost management of products, projects and services. The course includes spreadsheet and other computer program analysis.  Prerequisite:ACCT 20203andACCT 37203each with  grades of C or better. (Typically offered: Fall)"
"ACCT 47003","Governmental/Nonprofit Accounting","3 Hours","Accounting (ACCT)","Governmental and non-profit accounting, financial statement and internal controls compliance, and auditing for government and other non-profit organizations. Industry specific issues in accounting for health care organizations and colleges and universities; and federal governmental accounting. Prerequisite:ACCT 20103andACCT 20203each with a grade of C or better. (Typically offered: Irregular)"
"ACCT 49603","Audit and Assurance Services","3 Hours","Accounting (ACCT)","Professional standards and procedures as applied to external and internal assurance engagements. Including coverage of the economic role of assurance providers, engagement planning, risk assessment, evidence gathering, and reporting.  Prerequisite:ACCT 37203with a grade of C or better. (Typically offered: Fall and Spring)"
"ACCT 5100V","Special Topics in Accounting","1-3 Hour","Accounting (ACCT)","Explore current events, concepts and new developments relevant to Accounting not available in other courses. Graduate degree credit will not be given for bothACCT 4100VandACCT 5100V. Prerequisite: Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Irregular) May be repeated for degree credit."
"ACCT 51203","Corporate Governance and Professionalism","3 Hours","Accounting (ACCT)","Aspects of corporate governance related to establishing an ethical corporate culture are addressed. The course examines various aspects of accounting and business ethics including frameworks for ethical reasoning; professional values - including integrity, objectivity, accounting independence, and professional skepticism; and other core values relevant for accountants. Accounting professional ethics codes and rules are also addressed. Corporate governance structures are examined. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Irregular)"
"ACCT 52203","MBA Accounting Analysis","3 Hours","Accounting (ACCT)","Highlights the role played by accounting information in managing supply chains and retail operations. Provides tools for managing cost flows, including activity-based costing, retail accounting, and operational budgeting. Focuses on improving decision making processes, and linking the impact of retail/supply chain decisions to financial statements and shareholder value. (Typically offered: Fall and Spring)"
"ACCT 52603","Financial Statement Analysis for Executives","3 Hours","Accounting (ACCT)","This course provides a framework for understanding the intersection between business strategy, accounting, economics, and finance. Using historical financial statements as the primary information input, you will employ tools that enable you to better understand the drivers of current performance and risk, forecast future performance, and construct a value estimate. These tools can be applied in a number of contexts including equity valuation, project selection, and managerial evaluation. Not eligible for MAcc program students. Prerequisite:  MBA Director consent. (Typically offered: Summer)"
"ACCT 5350V","Professional Accounting Internship","1-3 Hour","Accounting (ACCT)","This course allows a student to experience an internship within a business and benefit from the applied experience. The internship may be designed to offer a wide range of professional accounting experiences in Industry or Public Accounting. The internship must be supervised by a faculty member as well as a member of the firm. MACC Director approval required. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Fall, Spring and Summer) May be repeated for up to 6 hours of degree credit."
"ACCT 54103","Advanced Financial Accounting","3 Hours","Accounting (ACCT)","Integrated course which examines the financial reporting, tax, managerial, systems and auditing aspects of major corporate restructurings arising from events such as mergers, acquisitions, spinoffs, reorganizations and downsizing. Prerequisite:   Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Spring)"
"ACCT 54303","Fraud Prevention and Detection","3 Hours","Accounting (ACCT)","An examination of various aspects of fraud prevention and detection, including the sociology of fraud, elements of fraud, types of fraud involving accounting information, costs of fraud, use of controls to prevent fraud, and methods of fraud detection. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Irregular)"
"ACCT 54403","Corporate Controllership","3 Hours","Accounting (ACCT)","Managing assets to achieve corporate strategy. Included are issues such as strategy formulation, acquisition processes, internal controls, system requirements, accounting measurements, inventory models, re-engineering, capital budgeting, tax issues, and discussion of current business events that have ethical implications. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Irregular)"
"ACCT 54603","Financial Statement Analysis","3 Hours","Accounting (ACCT)","This course provides a framework for understanding the current economic position and future prospects of firms using corporate financial statements. Specifically, the student will study financial statements and their related footnotes in order to understand the drivers of current performance and risk, forecast future performance, and estimate the intrinsic value implied by those forecasts. These tools can be applied in a number of contexts including equity valuation, project selection, managerial evaluation, and corporate financial statement audits.   Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Irregular)"
"ACCT 54803","Financial Accounting Research and Theory","3 Hours","Accounting (ACCT)","This course explores our contemporary understanding of financial reporting incentives and outcomes. The course draws upon existing research on the determinants and consequences of financial reporting and examines the roles of various constituents including investors, lenders, financial analysts, managers, regulators, and auditors within the financial reporting environment. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Irregular)"
"ACCT 5490V","Special Topics in Accounting","1-3 Hour","Accounting (ACCT)","Seminar in current topics not covered in other courses. Students may enroll in one or more units. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Irregular) May be repeated for up to 3 hours of degree credit."
"ACCT 55203","Advanced Accounting Information Systems","3 Hours","Accounting (ACCT)","This course describes accounting systems in technologically advanced environments.  Controls and other technical design considerations are described for the input, processing, storage, and reporting of accounting information.  Special topics, such as expert systems and artificial intelligence applications in financial accounting, auditing, and tax also receive considerable attention.  Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Irregular)"
"ACCT 56703","Product, Project and Service Costing","3 Hours","Accounting (ACCT)","Cost systems with emphasis on information generation for cost management of products, projects and services. The course includes spreadsheet and other computer program analysis. Graduate degree credit will not be given for bothACCT 46703andACCT 56703. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Fall)"
"ACCT 57003","Governmental/Nonprofit Accounting","3 Hours","Accounting (ACCT)","The course will critically examine current issues in governmental and non-profit accounting, financial statement compliance and control for governmental and non-profit entities, and auditing for government and other non-profit organizations. Topics will include examination of state and local government accounting and reporting; sources and applications of taxes and program resources; not-for-profit organization accounting including taxation, regulatory, performance, and compliance issues; industry specific issues in accounting for health care organizations and colleges and universities; and federal governmental accounting. The course will also examine the application processes and compliance procedures for not-for-profit organizations and grants, and will provide a brief introduction to urban planning and economics. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Irregular)"
"ACCT 58503","State and Local Taxation","3 Hours","Accounting (ACCT)","This course provides an overview of the basic principles of state and local taxation and the federal constitutional limits for state and local taxing authorities. Emphasis will be on the impact on individuals and multistate entities of income tax, sales tax, property taxes and hybrid tax systems. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Spring)"
"ACCT 58603","Taxation of Flow-Through Entities","3 Hours","Accounting (ACCT)","In-depth coverage of the federal tax treatment of pass-through entities and their owners, including Partnerships, LLCs, and S Corporations. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Spring)"
"ACCT 58703","Advanced Taxation","3 Hours","Accounting (ACCT)","In-depth coverage of the tax treatment of corporations including advanced tax issues. Introduction to tax research including the organization and authority of tax law; accessing and using the tax law; and, applying tax law to taxpayer scenarios.  Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Fall)"
"ACCT 58803","Tax Planning","3 Hours","Accounting (ACCT)","In-depth coverage of the tax treatment of passthrough business entities including advanced tax issues.  Overview of the income tax treatment of estates and trusts.  Overview of the essentials of estate and gift taxation. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Spring)"
"ACCT 58903","Multi-jurisdictional Tax Issues","3 Hours","Accounting (ACCT)","This course provides an in-depth examination of multi-jurisdictional tax issues including U.S. federal income taxation of inbound and outbound transactions, state and local taxation, and multi-jurisdictional tax policy issues. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Spring)"
"ACCT 59503","Auditing Standards","3 Hours","Accounting (ACCT)","Professional aspects of financial statement auditing and registered auditors. Including ethics and legal responsibilities; internal control testing; critical evaluation of evidence; application of sampling; and reporting problems. Prerequisite:  Graduate standing in the Master of Accountancy or Master of Professional Accounting program. (Typically offered: Fall)"
"ACCT 60103","Graduate Colloquium","3 Hours","Accounting (ACCT)","Presentation and critique of research papers and proposals. (Typically offered: Irregular) May be repeated for up to 9 hours of degree credit."
"ACCT 60303","Accounting Research Seminar I","3 Hours","Accounting (ACCT)","First course in the accounting research seminar sequence which explores and evaluates current accounting literature. Course content reflects recent developments in the literature and specific interests of participants. Examples of potential topics include research methods in accounting, managerial accounting and behavioral accounting. (Typically offered: Irregular)"
"ACCT 61303","Accounting Research Seminar II","3 Hours","Accounting (ACCT)","Second course in the accounting research seminar sequence which explores and evaluates current accounting literature. Course content reflects recent developments in the literature and specific interests of participants. Examples of potential topics include research methods in accounting, financial accounting, managerial accounting, behavioral accounting, tax, audit, international accounting, and education. Prerequisite:ACCT 60303. (Typically offered: Irregular)"
"ACCT 62303","Accounting Research Seminar III","3 Hours","Accounting (ACCT)","Third course in the accounting research seminar sequence which explores and evaluates current accounting literature. Course content reflects recent developments in the literature and specific interests of participants.  Examples of potential topics include research methods in accounting, financial accounting, managerial accounting, behavioral accounting, tax, audit, international accounting, and education. Prerequisite:ACCT 60303. (Typically offered: Irregular)"
"ACCT 6360V","Special Problems in Accounting","1-6 Hour","Accounting (ACCT)","Special research project under supervision of a graduate faculty member. (Typically offered: Fall and Spring)"
"ACCT 64303","Accounting Research Seminar IV","3 Hours","Accounting (ACCT)","Fourth course in the accounting research seminar sequence which explores and evaluates current accounting literature. Course content reflects recent developments in the literature and specific interests of participants.  Examples of potential topics include research methods in accounting, financial accounting, managerial accounting, behavioral accounting, tax, audit, international accounting, and education. Prerequisite:ACCT 60303. (Typically offered: Irregular)"
