"code","title","subject"
"ACG5917","Directed Research","ACG - Accounting General"
"ACG5937","Special Topics","ACG - Accounting General"
"ACG6185","Financial Statement Analysis","ACG - Accounting General"
"ACG6255","International and Multinational Accounting","ACG - Accounting General"
"ACG6305","Advanced Managerial Accounting","ACG - Accounting General"
"ACG6415","Advanced Accounting Information Systems","ACG - Accounting General"
"ACG6425","Managerial Accounting Analysis","ACG - Accounting General"
"ACG6519","Governmental and Nonprofit Accounting","ACG - Accounting General"
"ACG6636","Advanced Auditing","ACG - Accounting General"
"ACG6675","Operational Auditing","ACG - Accounting General"
"ACG6685","Fraud Auditing","ACG - Accounting General"
"ACG6805","Accounting Theory","ACG - Accounting General"
"ACG6835","Ethics and Professionalism in Accounting and Auditing","ACG - Accounting General"
"ACG6909","Research Report","ACG - Accounting General"
"ACG6918","Directed Research","ACG - Accounting General"
"ACG6938","Special Topics","ACG - Accounting General"
"ACG7157","Seminar in Archival Research in Accounting","ACG - Accounting General"
"ACG7390","Seminar in Managerial Accounting Research","ACG - Accounting General"
"ACG7398","Seminar in Auditing Research","ACG - Accounting General"
"ACG7399","Seminar in Behavioral Accounting Research","ACG - Accounting General"
"ACG7826","Seminar in the Social and Organizational Context of Accounting","ACG - Accounting General"
"ACG7837","Foundations in Behavioral Accounting Research","ACG - Accounting General"
"ACG7885","Research Foundations in Accounting","ACG - Accounting General"
"ACG7887","Accounting Research Forum","ACG - Accounting General"
"ACG7888","Seminar in Critical Accounting and AIS","ACG - Accounting General"
"ACG7915","Directed Research in Accounting","ACG - Accounting General"
"ACG7917","Advanced Research Methods in Accounting and Accounting Information Systems Research","ACG - Accounting General"
"ACG7919","Research","ACG - Accounting General"
"ACG7939","Special Topics","ACG - Accounting General"
"ADE5917","Directed Research","ADE - Adult Education"
"ADE5937","Special Topics","ADE - Adult Education"
"ADE6678","The Socio-Historical Context of Adult Education","ADE - Adult Education"
"ADV5917","Directed Research","ADV - Advertising"
"ADV5937","Special Topics","ADV - Advertising"
"ADV6209","Advertising and Society","ADV - Advertising"
"AFA5917","Directed Research","AFA - African American Studies"
"AFA5937","Special Topics","AFA - African American Studies"
"AFH5259","Colloquium in African History","AFH - African History"
"AFH5806","The Historiography of Slavery in Africa","AFH - African History"
"AFH5917","Directed Research","AFH - African History"
"AFH5937","Special Topics","AFH - African History"
"AFH5944","Internship","AFH - African History"
"AFH6918","Directed Research","AFH - African History"
"AMH5077","Colloquium in Twentieth Century Tourism","AMH - American History"
"AMH5116","Colloquium in Early American History","AMH - American History"
"AMH5169","Colloquium in the American Early Republic","AMH - American History"
"AMH5176","Colloquium in Civil War and Reconstruction","AMH - American History"
"AMH5296","Colloquium in 20th Century U.S.","AMH - American History"
"AMH5391","Colloquium in U.S. Cultural History","AMH - American History"
