"code","title","subject"
"ACG2021","Principles of Financial Accounting","ACG - Accounting General"
"ACG2071","Principles of Managerial Accounting","ACG - Accounting General"
"ACG3131","Intermediate Financial Accounting I","ACG - Accounting General"
"ACG3141","Intermediate Financial Accounting II","ACG - Accounting General"
"ACG3173","Accounting for Decision-Makers","ACG - Accounting General"
"ACG3361","Cost Accounting I","ACG - Accounting General"
"ACG3501","Financial Accounting for Governmental and Nonprofit Organizations","ACG - Accounting General"
"ACG4401C","Accounting Information Systems","ACG - Accounting General"
"ACG4651","Auditing","ACG - Accounting General"
"ACG4671","Internal Auditing","ACG - Accounting General"
"ACG4803","Advanced Issues in Financial Accounting","ACG - Accounting General"
"ACG4840","Accounting Analytics","ACG - Accounting General"
"ADE4382","Teaching Adult Learners in Technical Programs","ADE - Adult Education"
"ADV3001","Advertising Strategy","ADV - Advertising"
"ADV3008","Principles of Advertising","ADV - Advertising"
"ADV4101","Advertising Copywriting","ADV - Advertising"
"ADV4103","Radio-Television Advertising","ADV - Advertising"
"ADV4300","Advertising Media Planning","ADV - Advertising"
"ADV4903H","Honors Directed Reading I","ADV - Advertising"
"ADV4906","Independent Study","ADV - Advertising"
"ADV4912","Research","ADV - Advertising"
"ADV4941","Internship","ADV - Advertising"
"ADV4970H","Honors Undergrad Thesis","ADV - Advertising"
"AFA3006","The African Diaspora: Theories and Movements","AFA - African American Studies"
"AFA3102","Introduction to Africana Studies: A Multidisciplinary Approach","AFA - African American Studies"
"AFA3104","The Black Intellectual Experience","AFA - African American Studies"
"AFA3300","African-American and Caribbean Music","AFA - African American Studies"
"AFA3371","Evolution of Hip Hop","AFA - African American Studies"
"AFA3371H","Honors Evolution of Hip Hop","AFA - African American Studies"
"AFA3850","Researching Africana Heritage and Life","AFA - African American Studies"
"AFA3955","Study Abroad in the Caribbean","AFA - African American Studies"
"AFA4105","Documenting Africana Heritage and Life","AFA - African American Studies"
"AFA4242","Contemporary Issues in Africana Studies","AFA - African American Studies"
"AFH3100","African History to 1870","AFH - African History"
"AFH3200","African History Since 1870","AFH - African History"
"AFH3458","History of South Africa 1652-present","AFH - African History"
"AFR1101","Heritage and Values of the United States Air Force I","AFR - Air Force ROTC"
