"course_title","code","subject","description"
"ArtsCore","ARTS 1","ARTS - Arts","An introduction to the arts in general, and to the arts at UCI. Concentration on (1) the interdisciplinary nature of the arts, and (2) the content of particular arts disciplines.(IV)"
"Independent Study","ARTS 199","ARTS - Arts",""
"Digital Media: Exhibition","ARTS 75","ARTS - Arts","A discussion and critique course in all media arts. Includes a review of key media arts concepts and the preparation of an end-of-quarter exhibition.Prerequisite: Proposal submission required."
"Improvisation and Modes of Research / Creative Expression","ARTS H81","ARTS - Arts","Through immersion, readings, analysis, and observation, students are trained to recognize, build, and engage a set of “improvisatory” cognitive skills in order to enhance artistic creation, the generation of language, data analysis, and the application of the scientific method.Restriction: Campuswide Honors Collegium students only. Seniors only.(IV)"
"Elementary Armenian","ARMN 1A","ARMN - Armenian","Written and conversational Armenian for students with no knowledge of the language. Students learn the Armenian alphabet, read and comprehend simple texts, and carry basic conversation. Emphasis on reading and comprehension, grammar rules, and basic composition.Prerequisite: Placement intoARMN 1A."
"Elementary Armenian","ARMN 1B","ARMN - Armenian","Continues development of the fundamentals of Armenian, including comprehension, reading of simple texts, basic conversation, and writing with a fair degree of grammatical correctness. Students learn basic reading, writing, and sentence structure through lectures, games, and assignments.Prerequisite:ARMN 1A.ARMN 1Awith a grade of C or better. Placement intoARMN 1Bis also accepted."
"Elementary Armenian","ARMN 1C","ARMN - Armenian","Focus on building grammatical knowledge of the Armenian language and developing skills in reading, writing, listening, and speaking. Includes a strong emphasis on expanding vocabulary and developing oral proficiency in higher/formal registers.Prerequisite:ARMN 1B.ARMN 1Bwith a grade of C or better. Placement intoARMN 1Cis also accepted.(VI)"
"Intermediate Armenian","ARMN 2A","ARMN - Armenian","Designed to develop students’ ability to communicate further orally and in writing in Armenian (Western or Eastern) by consolidating knowledge of grammar, increasing vocabulary, and developing reading, comprehension, and writing.Prerequisite:ARMN 1C.ARMN 1Cwith a grade of C or better. Placement intoARMN 2Ais also accepted.(VIII)"
"Intermediate Armenian","ARMN 2B","ARMN - Armenian","Designed to develop students’ ability to communicate further orally and in writing in Armenian (Western or Eastern) by consolidating knowledge of grammar, increasing vocabulary, and developing reading, comprehension, and writing.Prerequisite:ARMN 2A.ARMN 2Awith a grade of C or better. Placement intoARMN 2Bis also accepted.(VIII)"
"Intermediate Armenian","ARMN 2C","ARMN - Armenian","Designed to develop students’ ability to communicate further orally and in writing in Armenian (Western or Eastern) by consolidating knowledge of grammar, increasing vocabulary, and developing reading, comprehension, and writing.Prerequisite:ARMN 2B.ARMN 2Bwith a grade of C or better. Placement intoARMN 2Cis also accepted.(VIII)"
"Arabic Peer-to-Peer Language Mentor Program","ARABIC 10A","ARABIC - Arabic",""
"Arabic Peer-to-Peer Language Mentor Program","ARABIC 10B","ARABIC - Arabic",""
"Independent Study","ARABIC 199","ARABIC - Arabic",""
"Fundamentals of Arabic","ARABIC 1A","ARABIC - Arabic","Designed for students with little or no exposure to Arabic. Using real world texts, provides a firm foundation in the orthography, grammar, syntax, and vocabulary of Modern Standard Arabic. Introduces students to Arab world cultures.Prerequisite: Placement intoARABIC 1A.Overlaps with ARABIC S1AB.Restriction:ARABIC 1Aand ARABIC S1AB may not be taken for full credit."
"Fundamentals of Arabic","ARABIC 1B","ARABIC - Arabic","Designed for students with little or no exposure to Arabic. Using real world texts, provides a firm foundation in the orthography, grammar, syntax, and vocabulary of Modern Standard Arabic. Introduces students to Arab world cultures.Prerequisite:ARABIC 1A.ARABIC 1Awith a grade of C or better. Placement intoARABIC 1Bis also accepted.Overlaps with ARABIC S1AB, ARABIC S1BC.Restriction:ARABIC 1Band ARABIC S1AB and ARABIC S1BC may not be taken for full credit."
"Fundamentals of Arabic","ARABIC 1C","ARABIC - Arabic","Designed for students with little or no exposure to Arabic. Using real world texts, provides a firm foundation in the orthography, grammar, syntax, and vocabulary of Modern Standard Arabic. Introduces students to Arab world cultures.Prerequisite:ARABIC 1Bor ARABIC S1AB.ARABIC 1Bwith a grade of C or better. ARABIC S1AB with a grade of C or better. Placement is also accepted.Overlaps with ARABIC S1BC.(VI)"
"Intermediate Arabic Language and Culture","ARABIC 2A","ARABIC - Arabic","Designed for students to advance their Arabic language skills to intermediate level. Students will develop their understanding of grammar and syntax to a more sophisticated level. Facilitates intermediate-level reading, writing, and speaking skills. Fosters college-level cultural literacy.Prerequisite:ARABIC 1Cor ARABIC S1BC.ARABIC 1Cwith a grade of C or better. ARABIC S1BC with a grade of C or better. Placement intoARABIC 2Ais also accepted.Restriction: School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.(VIII)"
"Intermediate Arabic Language and Culture","ARABIC 2B","ARABIC - Arabic","Designed for students to advance their Arabic language skills to intermediate level. Students will develop their understanding of grammar and syntax to a more sophisticated level. Facilitates intermediate-level reading, writing, and speaking skills. Fosters college-level cultural literacy.Prerequisite:ARABIC 2A.ARABIC 2Awith a grade of C or better. Placement intoARABIC 2Bis also accepted.Restriction: School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.(VIII)"
"Intermediate Arabic Language and Culture","ARABIC 2C","ARABIC - Arabic","Designed for students to advance their Arabic language skills to intermediate level. Students will develop their understanding of grammar and syntax to a more sophisticated level.  Facilitates intermediate-level reading, writing, and speaking skills. Fosters college-level cultural literacy.Prerequisite:ARABIC 2B.ARABIC 2Bwith a grade of C or better. Placement intoARABIC 2Cis also accepted.Restriction: School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.(VIII)"
"Introduction to the Koran","ARABIC 51","ARABIC - Arabic","An introduction to understanding the Koran and its significance to Muslim life, culture, and history. An overview of scholarly traditions related to the Koran, and its critics. Close readings of the Koran in English translation.(IV and VIII )."
"Advanced Academic Writing Across the Curriculum","AC ENG 139W","AC ENG - Academic English","Designed for transfer students who speak English as a second language. Focuses on developing academic reading and writing skills including essay content, organization, vocabulary, and grammar. Academic content also covered.Prerequisite: Satisfactory completion of the Lower-Division Writing requirement.Restriction: Restricted to students whose first language is not English.(Ib)"
"Oral English Communication I","AC ENG 200","AC ENG - Academic English",""
"Oral English Communication II","AC ENG 201","AC ENG - Academic English",""
"Oral English Communication III","AC ENG 202","AC ENG - Academic English",""
"Academic Writing","AC ENG 20A","AC ENG - Academic English","Grammar, sentence structure, paragraph and essay organization of formal written English.Prerequisite: Placement intoAC ENG 20A.Grading Option: Pass/no pass only."
"Academic Writing","AC ENG 20B","AC ENG - Academic English","Grammar, sentence structure, paragraph and essay organization of formal written English.Prerequisite:AC ENG 20A. Placement intoAC ENG 20Bis also accepted.Grading Option: Pass/no pass only."
"Essentials of Academic Writing","AC ENG 20C","AC ENG - Academic English","Grammar, sentence structure, paragraph and essay organization of formal written English.Prerequisite:AC ENG 20B. Placement intoAC ENG 20Cis also accepted.Grading Option: Pass/no pass only."
"Academic Writing","AC ENG 20D","AC ENG - Academic English","Grammar, sentence structure, paragraph and essay organization of formal written English.Prerequisite:AC ENG 20CGrading Option: Pass/no pass only."
"Introduction to Graduate Research Writing","AC ENG 210","AC ENG - Academic English",""
"Graduate Writing for Scholarly Publication","AC ENG 211","AC ENG - Academic English",""
"Thesis/Dissertation Writing for Graduate Students","AC ENG 212","AC ENG - Academic English",""
"Academic English Reading and Vocabulary","AC ENG 22A","AC ENG - Academic English","Intensive reading exercises with occasional practice in extensive reading, focusing on comprehension, development of vocabulary, syntax, rhetorical features, reading strategies, and study skills.Prerequisite: Placement intoAC ENG 22Ais required."
