subject,level,course_code,course_title,credits
Admission,Unknown,1,Entry-Level Writing or English as a Second Language Scholarship Requirement,Unknown Credits
Admission,Unknown,2,American History and Institutions,Unknown Credits
Admission,Unknown,1,Unit,Unknown Credits
Admission,Unknown,2,Scholarship,Unknown Credits
Admission,Unknown,3,"Academic Residence courses in the major, and in all courses applied toward the",Unknown Credits
Admission,Unknown,4,Writing Requirement general education requirements,Unknown Credits
Admission,Unknown,5,Foreign Language,Unknown Credits
Admission,Unknown,6,Upper-Division Nonmajor Courses,Unknown Credits
Admission,Unknown,7,General Education,Unknown Credits
Admission,Unknown,1,Preparation for the Major,Unknown Credits
Admission,Unknown,2,The Major Courses offered by UCLA Extension may not be applied,Unknown Credits
Admission,Lower-Division,1,Introduction to Black Studies,5
Admission,Lower-Division,M9A-M9B-M9C,Elementary Amharic,4
Admission,Lower-Division,M103A,"African American Theater History: Slavery cover African American literature from wide range of 106B. Militarism, International Security, and African",Unknown Credits
Admission,Lower-Division,M103B,African American Theater History: Minstrel structor change. P/NP or letter grading. tary policy central to this inquiry. Emphasis on African,Unknown Credits
Admission,Lower-Division,M103E,Modern African American Drama: Harlem cial-economic context of U.S. and elsewhere in Af- musicology M119 and Global Jazz Studies M119.),Unknown Credits
Admission,Lower-Division,M103J,"Contemporary Black Theater: Modern Civil popular culture in organization of Black conscious- freedom and democratic values, threat to order and",Unknown Credits
Admission,Lower-Division,M104A,Early African American Literature,5
Admission,Lower-Division,M104B,African American Literature from Harlem,Unknown Credits
Admission,Lower-Division,M104C,African American Literature of 1960s and grading. currently scheduled with course CM210. Letter,Unknown Credits
Admission,Lower-Division,105D,African American-Caribbean Relations: Dif- grading,Unknown Credits
Admission,Lower-Division,M104D,Contemporary African American Literature. thinkers on U.S. Civil Rights and Black Power move- sured at nearly every scale of human biology: from,Unknown Credits
Admission,Lower-Division,106A,Africa and World,4
Admission,Lower-Division,M104E,Topics in African American Literature and and south of Sahara. P/NP or letter grading. plinary exploration of experiences of Black reproduc-,Unknown Credits
Admission,Lower-Division,110C,"Black Health Matters: Wellness, Health, and by consent of instructor. Shaped by, and consistently indigenous people. Study takes broad, thematic ap-",Unknown Credits
